,https://roic.ai/company/RYAAY,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,645510000,10228000,533363000,1390300000,869400000,772200000,2293400000,1498300000,3604600000,3062300000,2904500000,2130500000,1484400000,1207200000,465500000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,1060218000,1257350000,1613643000,1439004000,1991929000,1887351000,2116557000,2868200000,2897700000,3480500000,3534300000,3228400000,4789200000,4321500000,4128500000,3645500000,3160000000,3773600000,3116200000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,22788000,26440000,28069000,3422000,2420000,1997000,2075000,2500000,2700000,2800000,2700000,2500000,2100000,3300000,3100000,3700000,2900000,3300000,3600000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,31340000,34183000,45256000,611201000,359927000,497774000,424445000,192700000,577200000,392700000,226600000,213400000,950700000,496700000,574500000,539800000,641100000,717000000,338500000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1114346000,1317973000,1686968000,2053627000,2354276000,2387122000,2543077000,3063400000,3477600000,3876000000,3763600000,3444300000,5742000000,4821500000,4706100000,4189000000,3804000000,4493900000,3458300000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,1352361000,1621025000,2122732000,2532988000,2884053000,3582126000,3644824000,4314200000,4933700000,4925200000,4906300000,5060300000,5471100000,6261500000,7213800000,8123400000,9029600000,9674800000,8549300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,44557147,30359025,46841000,46841000,46841000,- -,- -,- -,46800000,46800000,46800000,46800000,46800000,46800000,- -,146400000,146400000,146400000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,44557147,30359025,46841000,46841000,46841000,46841000,46800000,46800000,46800000,46800000,46800000,46800000,46800000,46800000,46800000,146400000,146400000,146400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-239435000,301234000,-440213000,-1274100000,-755400000,-622500000,-2072200000,-1238000000,-3233600000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43200000,53600000,14000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44557147,-30359025,763000,645510000,10228000,593333000,1413100000,893300000,775500000,2298500000,1498700000,4159100000,88500000,23000000,2600000,227500000,378500000,160000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1352361000,1621025000,2122732000,2580592000,3336969000,3940429000,3844785000,4500000000,5118400000,5125000000,5179400000,5367800000,6443400000,6396800000,7283600000,8172800000,9446700000,10253300000,8869700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,2466707000,2938998000,3809700000,4634219000,5691245000,6327551000,6387862000,7563400000,8596000000,9001000000,8943000000,8812100000,12185400000,11218300000,11989700000,12361800000,13250700000,14747200000,12328000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,61604000,67936000,92118000,79283000,54801000,129289000,132671000,154000000,150800000,181200000,138300000,150000000,196500000,230600000,294100000,249600000,573800000,1368200000,336000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,64607000,80682000,128935000,153311000,234971000,366801000,202941000,265500000,336700000,368400000,399900000,467900000,399600000,449900000,455900000,434600000,309400000,457300000,1778400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126678748,20822000,- -,425000,900000,- -,228800000,251800000,308100000,433300000,536900000,579300000,684400000,740600000,489800000,96700000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,251328000,338208000,436187000,613278000,827958000,1061060000,1043579000,1130100000,1349700000,1265400000,1373500000,1656600000,2749900000,2689000000,2261800000,2728700000,3213400000,3682700000,1412500000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,377539000,486826000,657240000,845872000,1117730000,1557150000,1379191000,1549600000,1837200000,1815000000,1911700000,2274500000,3346000000,3369500000,3011800000,3412900000,4096600000,5508200000,3526900000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,773934000,872645000,1293860000,1524417000,1741814000,1899694000,2302048000,2827300000,3439300000,3256800000,3098400000,2615700000,4032000000,3573100000,3928600000,3528400000,3335000000,3753900000,3648400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126600000,146300000,127800000,90400000,55800000,32500000,12400000,2800000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127260000,151032000,148088000,155524000,199600000,267700000,319400000,346500000,368600000,462300000,385500000,473100000,395200000,460600000,353500000,272400000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,73506000,124239000,131189000,144685000,140896000,220425000,126038000,138300000,-28700000,156800000,186000000,177100000,254200000,260900000,140800000,553600000,143600000,217100000,234200000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,847440000,996884000,1425049000,1796362000,2033742000,2268207000,2583610000,3165200000,3804900000,3879300000,3758700000,3251800000,4804300000,4252000000,4554900000,4480000000,3939200000,4324500000,4155000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245900000,183100000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1224979000,1483710000,2082289000,2642234000,3151472000,3825357000,3962801000,4714800000,5642100000,5694300000,5670400000,5526300000,8150300000,7621500000,7566700000,7892900000,8035800000,9832700000,7681900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,9588000,9643000,9675000,9790000,9822000,9465000,9354000,9400000,9500000,9300000,9200000,8800000,8700000,7700000,7300000,7000000,6800000,6500000,6700000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,678628000,885239000,1151980000,1467623000,1905211000,2000422000,1777727000,2083500000,1967600000,2400100000,2418600000,2465100000,2706200000,3166100000,3456800000,4077900000,4181900000,4245000000,3232300000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-407590974,-443719890,-370066453,-510364628,-624048000,-651702000,-836900000,-1114600000,-1333500000,-1620800000,-1888200000,-2210500000,-2562300000,-3006600000,-3370500000,-3844400000,-4221300000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,553512000,967996974,1009475890,884638453,1135104628,1116355000,1289682000,1592600000,2091400000,2230800000,2465600000,2700100000,3530700000,2985300000,3965500000,3754500000,4870600000,4884300000,1407100000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1241728000,1455288000,1727411000,1991985000,2539773000,2502194000,2425061000,2848600000,2953900000,3306700000,3272600000,3285800000,4035100000,3596800000,4423000000,4468900000,5214900000,4914500000,4646100000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,2466707000,2938998000,3809700000,4634219000,5691245000,6327551000,6387862000,7563400000,8596000000,9001000000,8943000000,8812100000,12185400000,11218300000,11989700000,12361800000,13250700000,14747200000,12328000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,2466707000,2938998000,3809700000,4634219000,5691245000,6327551000,6387862000,7563400000,8596000000,9001000000,8943000000,8812100000,12185400000,11218300000,11989700000,12361800000,13250700000,14747200000,12328000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038683/000119312509157489/0001193125-09-157489-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312510161422/0001193125-10-161422-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312511195220/0001193125-11-195220-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312512323949/0001193125-12-323949-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312513312061/0001193125-13-312061-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312514285738/0001193125-14-285738-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312515270168/0001193125-15-270168-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000155837016006789/0001558370-16-006789-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000110465917046709/0001104659-17-046709-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000155837018005863/0001558370-18-005863-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000155837019006523/0001558370-19-006523-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,8473000,10982000,45525000,57471000,72518000,104483000,150375000,239398000,206611000,266741000,306712000,435600000,390708000,-169173000,305300000,374600000,560400000,569300000,522800000,866700000,1559100000,1315900000,1450200000,885000000,648700000,-1015100000
74,Depreciation and Amortization,- -,3089000,6540000,25140000,36180497,-43499994,-57215976,-58901716,-76752008,-103869029,-100529644,124405000,143503000,175949000,256117000,235400000,277700000,309200000,329600000,351800000,377700000,427300000,497500000,561000000,640500000,748700000,571000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10925000,3757000,4900000,3300000,-700000,1900000,1900000,500000,5900000,5700000,6400000,7700000,7000000,3600000
77,Change in Working Capital,- -,3372000,-10573000,15635000,19937251,-2628459,57121939,110625553,111440338,106306180,18415008,11415887,87633233,45237000,108407000,278800000,96900000,102900000,66900000,133100000,417000000,136000000,115300000,173400000,512300000,231400000,-1706900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-105000,-734000,-1515000,-6325566,- -,-2024884,-1147406,- -,-3656948,- -,-962000,1002000,423000,-78000,-400000,-200000,-100000,100000,200000,400000,-1200000,200000,-600000,800000,-400000,-300000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,5061000,-4425000,5745000,10822252,123185452,125413037,131648164,76916670,253013849,345888637,168037113,203116767,81082000,214026000,47100000,33800000,48500000,55800000,35000000,27500000,-282000000,-7200000,42200000,-28000000,308300000,-300600000
83,Cash Provided by Operating Activities,- -,19995000,2524000,92045000,124411000,149575000,229802000,333747000,351003000,462062000,530515000,610570000,869853000,703901000,413134000,871500000,786300000,1020300000,1023500000,1044600000,1689400000,1846300000,1927200000,2233200000,2017500000,1944100000,-2448000000
84,CAPEX,- -,-3239000,-18053000,-78549000,-108452000,-155099000,-356669000,-397225000,-469878000,-331603000,-619135000,-546225000,-494972000,-937115000,-702017000,-997800000,-897200000,-317600000,-310700000,-505800000,-788500000,-1217700000,-1449800000,-1470600000,-1546700000,-1195800000,-294700000
85,Acquisitions Net,- -,- -,11120000,- -,- -,- -,- -,- -,- -,-32738388,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101500000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-663532000,-58114000,-4225000,-864300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186500000,3703000,223800000,398300000,- -,- -,- -,- -,398100000,- -,- -,646100000,277200000,741700000
88,Other Investing Activites,- -,-12921000,-26766000,-31791000,1329000,1020000,456000,563000,31000,32742388,2234000,208940000,495000,-820696000,-387812000,-908600000,-872300000,-185400000,-1510800000,300700000,-2888200000,536000000,-1290800000,-719400000,-1547000000,-1195300000,195300000
89,Cash Used for Investing Activites,- -,-16160000,-33699000,-110340000,-107123000,-154079000,-356213000,-396662000,-469847000,-331599000,-616901000,-337285000,-1158009000,-692310000,-388334000,-1549100000,-474000000,-185400000,-1821500000,300700000,-2888200000,-283600000,-1290800000,-719400000,-1002400000,-918100000,937000000
90,Debt Repayment,- -,- -,-10793000,-43609000,-79318283,- -,-11825000,-27886000,-44779000,-71278000,-88146000,-123938000,-155071000,-241962000,-327055000,-230300000,-280700000,-329700000,-366400000,-390800000,-419700000,-384900000,-447100000,-458900000,-422800000,-408100000,-950300000
91,Common Stock Issued,- -,- -,6349000,82534000,63487000,122470000,128607000,188331000,56000,6948000,5382000,30590000,11233000,8403000,1615000,14500000,27400000,7100000,21400000,16400000,14400000,800000,- -,- -,- -,19100000,421000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-4595000,-4549000,- -,- -,- -,- -,- -,- -,-299994000,-46015000,- -,- -,-124600000,-559000000,-481700000,-632300000,-1104000000,-1017900000,-829100000,-531600000,-580500000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000000,- -,-491500000,- -,- -,-1104000000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,449000,38758000,-10119000,95647283,96987000,292596000,169309000,331501000,187035000,550021000,386809000,339409000,646392000,459000000,788100000,991400000,292300000,726100000,- -,1690900000,1104000000,793400000,65200000,99900000,682500000,2151800000
95,Cash Used/Provided by Financing Activities,- -,449000,34314000,28806000,79816000,214862000,404829000,329754000,286778000,122705000,467257000,293461000,195571000,112839000,87545000,572300000,238100000,-154900000,-669400000,-856100000,653300000,-1488100000,-671600000,-1222800000,-854500000,-287000000,1622500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-333000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151800000,-27200000
97,Net Change In Cash,- -,4284000,3139000,10511000,12630754,214862000,39205823,20848177,-1195012,-51183432,467257000,566413000,-92585000,124430000,112345000,-105300000,550400000,680000000,-1467400000,489200000,-545500000,74600000,-35200000,291000000,160600000,890800000,84300000
98,Cash at the End of Period,- -,68628000,23791000,58729000,16649883,- -,621401770,83099265,980908475,1258993302,- -,1439004000,1346419000,1470849000,1583194000,1477900000,2028300000,2708300000,1240900000,1730100000,1184600000,1259200000,1224000000,1515000000,1675600000,2566400000,2650700000
99,Cash at the Beginning of Period,- -,64344000,20652000,48218000,4019129,- -,582195948,62251088,982103487,1310176734,- -,872591000,1439004000,1346419000,1470849000,1583200000,1477900000,2028300000,2708300000,1240900000,1730100000,1184600000,1259200000,1224000000,1515000000,1675600000,2566400000
100,Free Cash Flow,- -,16756000,-15529000,13496000,15959000,-5524000,-126867000,-63478000,-118875000,130459000,-88620000,64345000,374881000,-233214000,-288883000,-126300000,-110900000,702700000,712800000,538800000,900900000,628600000,477400000,762600000,470800000,748300000,-2742700000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038683/000119312509157489/0001193125-09-157489-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312510161422/0001193125-10-161422-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312511195220/0001193125-11-195220-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312512323949/0001193125-12-323949-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312513312061/0001193125-13-312061-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312514285738/0001193125-14-285738-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312515270168/0001193125-15-270168-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000155837016006789/0001558370-16-006789-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000110465917046709/0001104659-17-046709-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000155837018005863/0001558370-18-005863-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000155837019006523/0001558370-19-006523-index.htm,- -,- -
102,Forex Rate,undefined,1.273,1.1661,1.0768,1.077,0.9562,0.8778,0.8718,1.0924,1.2315,1.2963,1.2119,1.3358,1.5774,1.3251,1.3512,1.4165,1.3343,1.2818,1.377,1.073,1.1378,1.0649,1.2321,1.1217,1.1029,1.1728
