,https://roic.ai/company/CHX,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,215560000,186848000,113676000,788234000,686930000,1240641000,978069000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,2613000,4783000,7485000,9375000,116787000,- -
61,Total Liabilities,343514000,299542000,264741000,990229000,886611000,1863201000,1780394000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,774000,775000,2004000,2317428000
64,Retained Earnings,- -,- -,- -,55829000,107048000,-638457000,-525158000
65,Other Comprehensive Income/Loss,1639865000,-33629000,-26415000,-42906000,-44037000,-30755000,-21625000
66,Other Total Stockholders Equity,- -,1585353000,1666034000,965372000,969174000,2293179000,- -
67,Total Stockholders Equity,1639865000,1546322000,1635285000,979069000,1032960000,1625971000,1754307000
68,Total Liabilities And Stockholders Equity,1983379000,1845864000,1900026000,1969298000,1919571000,3489172000,3534701000
69,Minority Interest,- -,5031000,4749000,2458000,3254000,-13396000,- -
70,Total Liabilities & Equity,1983379000,1850895000,1904775000,1971756000,1922825000,3475776000,3534701000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1723089/000172308919000030/0001723089-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1723089/000172308920000030/0001723089-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1723089/000172308921000047/0001723089-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1723089/000172308922000021/0001723089-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,51698000,-12751000,109589000,92737000,52164000,-743930000,114240000
74,Depreciation and Amortization,119992000,112112000,111879000,124461000,119938000,214362000,237285000
75,Deferred Income Tax,-20270000,-19994000,-73433000,1914000,-13874000,-41998000,-20552000
76,Stock Based Compensation,1925000,2293000,2236000,5375000,10250000,19536000,23178000
77,Change in Working Capital,75380000,-34189000,46673000,38015000,-34556000,349526000,15290000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -
79,Inventory,58772000,32912000,-14204000,-38708000,19065000,85893000,-124154000
80,Accounts Payable,-32123000,-9874000,29802000,35185000,-20526000,-18389000,171398000
81,Other Working Capital,277816000,243627000,290300000,328315000,293759000,643285000,658575000
82,Other Non-Cash Items,-20822000,85520000,-134550000,-98602000,21977000,512544000,-41222000
83,Cash Provided by Operating Activities,207903000,132991000,62394000,163900000,155899000,310040000,328219000
84,CAPEX,-34217000,-29799000,-26688000,-57918000,-39780000,-45163000,-84464000
85,Acquisitions Net,- -,- -,-8842000,2473000,-14694000,57588000,-20095000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-4874000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2116000,-27273000,3547000,-56678000,-35182000,-35458000,-12442000
89,Cash Used for Investing Activites,-26333000,-27273000,-31983000,-54205000,-49876000,22130000,-37411000
90,Debt Repayment,- -,-4037000,-599000,-49518000,-147055000,-291632000,-223413000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-84254000,- -,-736557000,- -,- -,- -
94,Other Financing Activites,-194977000,-1727000,-32404000,695237000,34652000,116266000,-10934000
95,Cash Used/Provided by Financing Activities,-194977000,-90018000,-33003000,-90838000,-112403000,-175366000,-234347000
96,Effect of Forex Changes on Cash,-531000,-90000,277000,-737000,-162000,9327000,-2704000
97,Net Change In Cash,-13938000,15610000,-2315000,18120000,-6542000,166131000,53757000
98,Cash at the End of Period,10417000,26027000,23712000,41832000,35290000,201421000,255178000
99,Cash at the Beginning of Period,24355000,10417000,26027000,23712000,41832000,35290000,- -
100,Free Cash Flow,173686000,103192000,35706000,105982000,116119000,264877000,243755000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1723089/000172308919000030/0001723089-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1723089/000172308920000030/0001723089-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1723089/000172308921000047/0001723089-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1723089/000172308922000021/0001723089-22-000021-index.htm
102,false,,,,,,,
