,https://roic.ai/company/OTLK,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,1856629
51,Deferred Revenue,1979576,1501416,1212561,3087561,1738603,- -,- -,- -
52,Other Current Liabilities,23498968,15607270,8953819,10030718,8835394,6674712,9831203,4417232
53,Total Current Liabilities,37041599,20210131,20436854,28737737,32042033,20290197,15888806,6752217
54,Long-Term Debt,4922764,3653038,2233803,13382810,98487,50285,904200,10912849
55,Deferred Revenue,6365945,6313342,5153384,4466865,2758262,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,15934582,4975450,1082071,4872992,8195219,7564472,113254,538936
58,Total Non-Current Liabilities,27223291,14941830,8469258,22722667,11051968,7614757,1017454,11451785
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,2082222,165004,1297985,369187,4369121,3558080,4230857,- -
61,Total Liabilities,64264890,35151961,28906112,51460404,43094001,27904954,16906260,18204002
62,Preferred Stock,10190861,9377868,- -,2924441,4734416,5359404,- -,- -
63,Common Stock,39844900,- -,228028,249339,722204,286100,1271831,1764616
64,Retained Earnings,-94064286,-45151218,-147393548,-186215402,-216307363,-254480408,-289719906,-342883254
65,Other Comprehensive Income/Loss,-3643447,-1818847,-5961940,-8644941,-11699292,-1051477,-740102,- -
66,Other Total Stockholders Equity,19070120,23421811,147927282,160960029,201739529,239116424,292014468,345726087
67,Total Stockholders Equity,-28601852,-23548254,-5200178,-30726534,-20810506,-10769957,2826291,4607449
68,Total Liabilities And Stockholders Equity,35663038,11603707,23705934,20733870,22283495,17134997,19732551,22811451
69,Minority Interest,-654417,- -,- -,-1,- -,- -,- -,- -
70,Total Liabilities & Equity,35008621,11603707,23705934,20733869,22283495,17134997,19732551,22811451
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1649989/000157104916020882/0001571049-16-020882-index.html,https://www.sec.gov/Archives/edgar/data/1649989/000157104917008779/0001571049-17-008779-index.html,https://www.sec.gov/Archives/edgar/data/1649989/000114420418065142/0001144204-18-065142-index.html,https://www.sec.gov/Archives/edgar/data/1649989/000110465919074095/0001104659-19-074095-index.html,https://www.sec.gov/Archives/edgar/data/1649989/000155837020014540/0001558370-20-014540-index.htm,https://www.sec.gov/Archives/edgar/data/1649989/000155837021017007/0001558370-21-017007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-13732473,-47393283,-53329262,-38849127,-30091961,-34523787,-35239498,-53163348
74,Depreciation and Amortization,878477,1824600,2394279,2692100,3054352,3361873,554069,262140
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,3958480,11177858,12450079,8571430,1985870,1313335,2807429,4887287
77,Change in Working Capital,1862783,4813827,2305179,-10074771,-3906422,21950917,8843698,12700868
78,Accounts Receivable,- -,-20000,20000,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-96403,6580722,-5326374,5727136,-6714137,-1331640,-1489760,-198469
81,Other Working Capital,-21877366,-17063539,-14758360,-24833131,-28739553,-6788636,2055062,14755930
82,Other Non-Cash Items,12264,2100798,-9302947,22155314,-4081362,-24392326,-8755791,-18940235
83,Cash Provided by Operating Activities,-7020469,-27476200,-45482672,-15505054,-33039523,-32289988,-31790093,-54253288
84,CAPEX,-2366772,-8804244,-1098180,-292086,-2781125,-437307,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-900000,- -
89,Cash Used for Investing Activites,-2366772,-8804244,-1098180,-292086,-2781125,-437307,-900000,- -
90,Debt Repayment,-4072504,-9300932,-13545350,-3668799,-990642,-6943739,-263276,-8032
91,Common Stock Issued,11043000,41249998,53212909,1607396,14695120,45964821,35430727,46301841
92,Common Stock Repurchased,-4128000,-226001,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8631650,11279041,194205,18692175,20648042,4350,2043100,9900817
95,Cash Used/Provided by Financing Activities,11474146,43002106,39861764,16630772,34352520,39025432,37210551,56194626
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2086905,6721662,-6719088,833632,-1468128,6298137,4520458,1941338
98,Cash at the End of Period,2349313,9070975,2351887,3185519,1717391,8015528,12535986,14477324
99,Cash at the Beginning of Period,262408,2349313,9070975,2351887,3185519,1717391,8015528,12535986
100,Free Cash Flow,-9387241,-36280444,-46580852,-15797140,-35820648,-32727295,-31790093,-54253288
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1649989/000157104916020882/0001571049-16-020882-index.html,https://www.sec.gov/Archives/edgar/data/1649989/000157104917008779/0001571049-17-008779-index.html,https://www.sec.gov/Archives/edgar/data/1649989/000114420418065142/0001144204-18-065142-index.html,https://www.sec.gov/Archives/edgar/data/1649989/000110465919074095/0001104659-19-074095-index.html,https://www.sec.gov/Archives/edgar/data/1649989/000155837020014540/0001558370-20-014540-index.htm,https://www.sec.gov/Archives/edgar/data/1649989/000155837021017007/0001558370-21-017007-index.htm
102,false,,,,,,,,
