,https://roic.ai/company/SPWH,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
19,Total Other Income Expenses (Gains),-4392000,-6321000,-25447000,-22480000,-14156000,-13402000,-13738000,-13206000,-7995000,-1288000,53620000
20,Income Before Tax,22227000,47150000,34588000,22412000,45156000,47285000,32830000,30813000,25469000,121460000,144239000
21,Income Before Tax Ratio,0.0590,0.0895,0.0538,0.0340,0.0639,0.0606,0.0405,0.0363,0.0287,0.0837,0.0958
22,Income Tax expense (Gain),-11467000,19076000,12838000,8628000,17385000,17616000,15088000,7063000,5254000,30080000,35769000
23,Net Income,33694000,28074000,21750000,13784000,27771000,29669000,17742000,23750000,20215000,91380000,108470000
24,Net Income ratio,0.0895,0.0533,0.0338,0.0209,0.0393,0.0380,0.0219,0.0280,0.0228,0.0629,0.0720
25,EPS,0.81,0.68,0.52,0.34,0.66,0.70,0.42,0.55,0.47,2.10,2.49
26,EPS Diluted,0.81,0.68,0.52,0.34,0.66,0.70,0.42,0.55,0.46,2.06,2.44
27,Weighted Average Shares Outstanding,41519000,41519000,41519000,39961000,41966000,42187000,42496000,42878000,43166000,43525000,43525000
28,Weighted Average Shares Outstanding Diluted,41534000,41534000,41534000,40141000,42334000,42485000,42522000,42979000,43588000,44430000,44430000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1132105/000156459015002345/0001564590-15-002345-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000156459016015203/0001564590-16-015203-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000155837017002091/0001558370-17-002091-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000155837018002522/0001558370-18-002522-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000155837019002594/0001558370-19-002594-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000155837020003760/0001558370-20-003760-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000155837021003940/0001558370-21-003940-index.htm,https://www.sec.gov/Archives/edgar/data/1132105/000155837022004698/0001558370-22-004698-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,243000,36515000,1354000,1751000,2109000,1911000,1769000,1547000,1685000,65525000,57018000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,243000,36515000,1354000,1751000,2109000,1911000,1769000,1547000,1685000,65525000,57018000
34,Net Receivables,402000,347000,3646000,5615000,469000,411000,319000,249000,1716000,581000,1937000
35,Inventory,105918000,98970000,161334000,185909000,217794000,246289000,270594000,276600000,275505000,243434000,386560000
36,Other Current Assets,5348000,7679000,9982000,10396000,12338000,7313000,8073000,15174000,12732000,15113000,21955000
37,Total Current Assets,111911000,143511000,176316000,203671000,232710000,255924000,280755000,293570000,291638000,324653000,467470000
38,PP&E,33049000,11339000,31494000,54317000,62432000,83109000,94035000,92084000,323287000,334380000,371351000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,1496000,1496000,1496000
40,Intangible Assets,- -,- -,7535000,5729000,3923000,2118000,276000,246000,220000,289000,264000
41,Intangible Assets,- -,- -,7535000,5729000,3923000,2118000,276000,246000,1716000,1785000,1760000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,10064000,8927000,6051000,5398000,- -,- -,- -,- -,- -,- -,5779000
44,Other Non-Current Assets,2000,2786000,2833000,1608000,2263000,5097000,4595000,2997000,- -,- -,-5779000
45,Total Non-Current Assets,43115000,23052000,47913000,67052000,68618000,90324000,98906000,95327000,325003000,336165000,373111000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,155026000,166563000,224229000,270723000,301328000,346248000,379661000,388897000,616641000,660818000,840581000
48,Accounts Payable,18985000,26331000,27664000,28500000,46698000,31549000,36788000,24953000,38157000,77441000,58916000
49,Short-Term Debt,- -,- -,- -,51537000,32445000,66327000,69936000,154603000,156501000,36014000,40924000
50,Tax Payable,- -,- -,- -,- -,1779000,979000,2586000,1838000,5169000,12234000,9500000
51,Deferred Revenue,5338000,6561000,8579000,9629000,3001000,5097000,4595000,2997000,25705000,38454000,- -
52,Other Current Liabilities,56749000,31763000,56857000,27559000,45777000,44246000,44232000,58113000,44413000,75519000,184566000
53,Total Current Liabilities,81072000,64655000,93100000,117225000,127921000,147219000,155551000,240666000,264776000,227428000,284406000
54,Long-Term Debt,21152000,121260000,229272000,156713000,146333000,133721000,132349000,27717000,241035000,228296000,302281000
55,Deferred Revenue,- -,- -,- -,- -,29133000,35307000,41963000,41854000,- -,- -,5779000
56,Deferred Tax Liabilities,- -,- -,- -,- -,2263000,5097000,4595000,2997000,562000,434000,5779000
57,Other Non-Current Liabilities,2470000,22492000,22953000,28117000,-2263000,-5097000,-4595000,-2997000,- -,- -,- -
58,Total Non-Current Liabilities,23622000,143752000,252225000,184830000,175466000,169028000,174312000,69571000,241597000,228730000,313839000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,251741000,264310000,- -
61,Total Liabilities,104694000,208407000,345325000,302055000,303387000,316247000,329863000,310237000,506373000,456158000,526412000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,22000,22000,330000,418000,420000,422000,426000,430000,433000,436000,439000
64,Retained Earnings,41096000,-41866000,-121791000,-108007000,-80236000,-50567000,-32825000,-6441000,23029000,114409000,222879000
65,Other Comprehensive Income/Loss,-6991000,-8412000,-13066000,-20410000,-30173000,-42342000,-58181000,-76052000,-90654000,-111919000,- -
66,Other Total Stockholders Equity,16205000,8412000,13431000,96667000,107930000,122488000,140378000,160723000,177460000,201734000,313730000
67,Total Stockholders Equity,50332000,-41844000,-121096000,-31332000,-2059000,30001000,49798000,78660000,110268000,204660000,314169000
68,Total Liabilities And Stockholders Equity,155026000,166563000,224229000,270723000,301328000,346248000,379661000,388897000,616641000,660818000,840581000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,155026000,166563000,224229000,270723000,301328000,346248000,379661000,388897000,616641000,660818000,840581000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1132105/000156459015002345/0001564590-15-002345-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000156459016015203/0001564590-16-015203-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000155837017002091/0001558370-17-002091-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000155837018002522/0001558370-18-002522-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000155837019002594/0001558370-19-002594-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000155837020003760/0001558370-20-003760-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000155837021003940/0001558370-21-003940-index.htm,https://www.sec.gov/Archives/edgar/data/1132105/000155837022004698/0001558370-22-004698-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,33694000,28074000,21750000,13784000,27771000,29669000,17742000,23750000,20215000,91380000,108470000
74,Depreciation and Amortization,3816000,3431000,13229000,9150000,11569000,13974000,17706000,18250000,19320000,21829000,26200000
75,Deferred Income Tax,-11741000,1292000,2169000,-46000,3062000,167000,502000,714000,710000,-919000,5345000
76,Stock Based Compensation,- -,- -,365000,3293000,2257000,3186000,2294000,2829000,2104000,3302000,3328000
77,Change in Working Capital,-11504000,48017000,4360000,3230000,18343000,3916000,16499000,-72300000,8480000,98796000,85839000
78,Accounts Receivable,-32000,53000,1052000,-12000,-44000,58000,92000,70000,-655000,323000,-1356000
79,Inventory,-18109000,6948000,-28344000,-24575000,-31885000,-28495000,-24305000,-6006000,20247000,39938000,-143126000
80,Accounts Payable,5632000,7346000,1333000,836000,18198000,-15530000,7536000,-11726000,12709000,37812000,-20382000
81,Other Working Capital,30839000,78856000,83216000,86446000,104789000,108705000,125204000,52904000,-2650000,5729000,183064000
82,Other Non-Cash Items,790000,-18915000,-41839000,-8938000,-27340000,-35430000,-23968000,58930000,27037000,24428000,-250808000
83,Cash Provided by Operating Activities,15055000,61899000,34000,20473000,35662000,15482000,30775000,32173000,77866000,238816000,-21626000
84,CAPEX,-6651000,-6856000,-20416000,-30167000,-33957000,-39417000,-41172000,-18195000,-30372000,-19754000,-53452000
85,Acquisitions Net,- -,- -,-47767000,- -,- -,- -,- -,- -,-28536000,-6473000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,10000,45199000,124000,- -,19006000,11923000,9036000,1684000,9844000,- -,- -
89,Cash Used for Investing Activites,-6641000,38343000,-68059000,-30167000,-14951000,-27494000,-32136000,-16252000,-49064000,-26227000,-53452000
90,Debt Repayment,-15042000,-62204000,-128619000,-234225000,-19359000,-23100000,-2580000,-139127000,-34228000,-148459000,66054000
91,Common Stock Issued,227000,- -,- -,73393000,- -,433000,396000,351000,403000,- -,- -
92,Common Stock Repurchased,- -,- -,-302000,-993000,-1041000,-1228000,-635000,-703000,-369000,-870000,- -
93,Dividends Paid,- -,-120250000,-101065000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5086000,118484000,262850000,171916000,47000,35709000,4038000,123336000,5530000,580000,517000
95,Cash Used/Provided by Financing Activities,-9729000,-63970000,32864000,10091000,-20353000,11814000,1219000,-16143000,-28664000,-148749000,66571000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1315000,36272000,-35161000,397000,358000,-198000,-142000,-222000,138000,63840000,-8507000
98,Cash at the End of Period,243000,36515000,1354000,1751000,2109000,1911000,1769000,1547000,1685000,65525000,57018000
99,Cash at the Beginning of Period,1558000,243000,36515000,1354000,1751000,2109000,1911000,1769000,1547000,1685000,65525000
100,Free Cash Flow,8404000,55043000,-20382000,-9694000,1705000,-23935000,-10397000,13978000,47494000,219062000,-75078000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1132105/000156459015002345/0001564590-15-002345-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000156459016015203/0001564590-16-015203-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000155837017002091/0001558370-17-002091-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000155837018002522/0001558370-18-002522-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000155837019002594/0001558370-19-002594-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000155837020003760/0001558370-20-003760-index.html,https://www.sec.gov/Archives/edgar/data/1132105/000155837021003940/0001558370-21-003940-index.htm,https://www.sec.gov/Archives/edgar/data/1132105/000155837022004698/0001558370-22-004698-index.htm
102,false,,,,,,,,,,,
