,https://roic.ai/company/DK,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,- -,167400000,3900000,- -,- -,- -,- -,175500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37900000,-74700000,-42200000,-6000000,-25000000,-365300000,-178100000,-1900000,- -
93,Dividends Paid,- -,- -,- -,- -,-1900000,-28500000,-8000000,-8100000,-8400000,-19500000,-35500000,-57300000,-59200000,-37100000,-37500000,-44000000,-80100000,-86800000,-69100000,- -
94,Other Financing Activites,-4400000,- -,5616000,54107000,14700000,70100000,-70900000,615100000,878000000,962500000,725400000,793200000,1175900000,868600000,364700000,1307800000,2653900000,1845000000,2170200000,-124000000
95,Cash Used/Provided by Financing Activities,-4400000,- -,5616000,54107000,180200000,45500000,-78900000,18200000,-45800000,242400000,72100000,-60000000,16600000,138500000,-61700000,-104600000,-297600000,-7900000,306400000,-124000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4400000,- -,3199000,40462000,39000000,2700000,-89700000,53100000,-19300000,176800000,375800000,-201700000,44100000,-141900000,387000000,252700000,137400000,-124000000,-167800000,69000000
98,Cash at the End of Period,- -,- -,22106000,62568000,101600000,104300000,15300000,68400000,49100000,225900000,601700000,400000000,444100000,302200000,689200000,941900000,1079300000,955300000,787500000,856500000
99,Cash at the Beginning of Period,- -,- -,18907000,22106000,62600000,101600000,105000000,15300000,68400000,49100000,225900000,601700000,400000000,444100000,302200000,689200000,941900000,1079300000,955300000,787500000
100,Free Cash Flow,17500000,- -,17952000,119482000,12700000,92200000,-73800000,-32200000,14000000,49100000,330900000,-119800000,60000000,-41300000,221200000,154600000,236600000,142300000,-555100000,371400000
101,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1694426/000169442618000036/0001694426-18-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1694426/000169442619000021/0001694426-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1694426/000169442620000011/0001694426-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1694426/000169442621000034/0001694426-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1694426/000169442622000048/0001694426-22-000048-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
