,https://roic.ai/company/GNK,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1326200/000092242307000201/0000922423-07-000201-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1326200/000092242309000226/0000922423-09-000226-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000092242310000139/0000922423-10-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000110465911013360/0001104659-11-013360-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000110465912011713/0001104659-12-011713-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000110465913016817/0001104659-13-016817-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000114036114015934/0001140361-14-015934-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000110465915015859/0001104659-15-015859-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000110465916105221/0001104659-16-105221-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837017002200/0001558370-17-002200-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837018001292/0001558370-18-001292-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837019001507/0001558370-19-001507-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837020001543/0001558370-20-001543-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837021001621/0001558370-21-001621-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837022001938/0001558370-22-001938-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7431000,46912000,73554000,71496000,124956000,188267000,270877000,227968000,72600000,122722000,83414000,121074000,133400000,174479000,197499000,155889000,143872000,114573000
32,Short-Term Investments,- -,- -,- -,167524000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7431000,46912000,73554000,239020000,124956000,188267000,270877000,227968000,72600000,122722000,83414000,121074000,133400000,174479000,197499000,155889000,143872000,114573000
34,Net Receivables,664000,219000,471000,2343000,2297000,2117000,8794000,14713000,13531000,15337000,16690000,13324000,11403000,16353000,25446000,17692000,14908000,20116000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,10376000,10322000,11342000,11018000,10478000,9634000,15975000,29548000,27208000,21583000,24563000
36,Other Current Assets,434000,2574000,14093000,26231000,13495000,27684000,14010000,6308000,6007000,16477000,19204000,27653000,18168000,10432000,17958000,22406000,66839000,15578000
37,Total Current Assets,8529000,49705000,88118000,267594000,140748000,218068000,293681000,259365000,102460000,165878000,130326000,172529000,172605000,217239000,270451000,223195000,247202000,174830000
38,PP&E,148070000,431961000,481111000,1230531000,1727985000,2025964000,2786120000,2800451000,2667661000,2678899000,1533544000,1509507000,1355778000,1266591000,1347160000,1288078000,970603000,1012416000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,16772000,72181000,54714000,24468000,20988000,77570000,26486000,12327000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,45029000,8292000,9033000,155147000,104501000,20589000,48193000,34993000,52262000,34907000,62557000,29711000,40577000,37129000,9859000,17619000,15004000,15756000
45,Total Non-Current Assets,193099000,440253000,490144000,1385678000,1849258000,2118734000,2889027000,2859912000,2740911000,2791376000,1622587000,1551545000,1396355000,1303720000,1357019000,1305697000,985607000,1028172000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,201628000,489958000,578262000,1653272000,1990006000,2336802000,3182708000,3119277000,2843371000,2957254000,1752913000,1724074000,1568960000,1520959000,1627470000,1528892000,1232809000,1203002000
48,Accounts Payable,- -,5978000,7784000,17514000,4371000,3171000,6454000,5047000,4477000,5643000,9921000,8271000,6703000,9863000,15110000,26040000,11864000,29956000
49,Short-Term Debt,23203000,- -,4322000,43000000,- -,50000000,71841000,185077000,682000,1432496000,34324000,588434000,4576000,24497000,66320000,71424000,82407000,1858000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,10356000,10404000,9974000,4227000,1324000,1597000,1397000,1058000,1488000,4722000,6404000,6627000,8421000,10081000
52,Other Current Liabilities,845000,- -,3067000,9850000,15465000,15438000,29753000,27351000,19197000,41890000,18296000,19196000,16182000,13367000,14033000,23564000,10929000,- -
53,Total Current Liabilities,24048000,5978000,15173000,70364000,30192000,79013000,118022000,221702000,25680000,1481626000,63938000,616959000,28949000,52449000,101867000,127655000,113621000,41895000
54,Long-Term Debt,102563000,130683000,207611000,893000000,1173300000,1277000000,1674407000,1509316000,1524357000,163625000,395811000,- -,508444000,490895000,468828000,412983000,366994000,244432000
55,Deferred Revenue,1643000,4576000,395000,968000,2298000,2427000,392000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7200000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,479000,1550000,66755000,87738000,49437000,41734000,26641000,32127000,3198000,390000,1149000,1868000,2588000,3468000,9826000,- -,- -
58,Total Non-Current Liabilities,104206000,135738000,209556000,960723000,1263336000,1328864000,1716533000,1535957000,1556484000,166823000,396201000,1149000,510312000,493483000,472296000,422809000,374194000,244432000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,3147000,3290000,390000,1149000,1868000,2588000,3468000,11503000,9826000,8061000
61,Total Liabilities,128254000,141716000,224729000,1031087000,1293528000,1407877000,1834555000,1757659000,1582164000,1648449000,460139000,618108000,539261000,545932000,574163000,550464000,487815000,286327000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120789000,- -,- -,- -,- -,- -
63,Common Stock,135000,254000,255000,290000,317000,318000,359000,363000,443000,445000,615000,728000,74000,345000,416000,417000,418000,419000
64,Retained Earnings,907000,40163000,42644000,79876000,44196000,192820000,334022000,359349000,214391000,66644000,-204117000,-377191000,-594948000,-653673000,-687272000,-743257000,-968830000,-786823000
65,Other Comprehensive Income/Loss,- -,2325000,3546000,19017000,-66014000,13589000,-5210000,-17549000,-11841000,53722000,-25317000,-21000,-163812000,-214434000,-245810000,-290527000,- -,825000
66,Other Total Stockholders Equity,72332000,305500000,307088000,- -,717979000,722198000,803778000,809443000,863303000,846658000,1251197000,1482450000,1667596000,1842789000,1985973000,2011795000,1713406000,- -
67,Total Stockholders Equity,73374000,348242000,353533000,622185000,696478000,928925000,1132949000,1151606000,1066296000,967469000,1022378000,1105966000,1029699000,975027000,1053307000,978428000,744994000,916587000
68,Total Liabilities And Stockholders Equity,201628000,489958000,578262000,1653272000,1990006000,2336802000,2967504000,2909265000,2648460000,2615918000,1482517000,1724074000,1568960000,1520959000,1627470000,1528892000,1232809000,1202914000
69,Minority Interest,- -,- -,- -,- -,- -,- -,215204000,210012000,194911000,341336000,270396000,- -,- -,- -,- -,- -,- -,88000
70,Total Liabilities & Equity,201628000,489958000,578262000,1653272000,1990006000,2336802000,3182708000,3119277000,2843371000,2957254000,1752913000,1724074000,1568960000,1520959000,1627470000,1528892000,1232809000,1203002000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1326200/000092242307000201/0000922423-07-000201-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1326200/000092242309000226/0000922423-09-000226-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000092242310000139/0000922423-10-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000110465911013360/0001104659-11-013360-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000110465912011713/0001104659-12-011713-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000110465913016817/0001104659-13-016817-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000114036114015934/0001140361-14-015934-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000110465915015859/0001104659-15-015859-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000110465916105221/0001104659-16-105221-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837017002200/0001558370-17-002200-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837018001292/0001558370-18-001292-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837019001507/0001558370-19-001507-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837020001543/0001558370-20-001543-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837021001621/0001558370-21-001621-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837022001938/0001558370-22-001938-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,907000,54482000,63522000,106809000,86580000,148624000,141243000,25386000,-144928000,-147741000,- -,-194897000,-217757000,-58725000,-32940000,-55985000,-225573000,182007000
74,Depreciation and Amortization,421000,22322000,26978000,34378000,71395000,88150000,115663000,136203000,139063000,140743000,112666000,79556000,76330000,71776000,68976000,72824000,66527000,57618000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,5864000,4482000,20405000,42136000,20680000,4053000,2231000,2057000,2026000,2267000
77,Change in Working Capital,1390000,59246000,29218000,124285000,-86674000,28499000,36604000,-137996000,39117000,-1392528000,1382136000,-510818000,588086000,21134000,3794000,-73044000,38041000,-5588000
78,Accounts Receivable,- -,445000,-252000,-1872000,- -,- -,- -,- -,1974000,-2527000,- -,4153000,213000,-2482000,-10099000,8605000,710000,-7125000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14215000,2340000,5625000,-2980000
80,Accounts Payable,- -,4610000,2288000,6164000,- -,- -,- -,- -,- -,- -,-39170000,- -,- -,- -,- -,- -,- -,5405000
81,Other Working Capital,-15519000,43727000,72945000,197230000,110556000,139055000,175659000,37663000,76780000,-1315748000,66388000,-444430000,143656000,164790000,168584000,95540000,133581000,1660000
82,Other Non-Cash Items,- -,-47820000,-29650000,-144610000,196115000,-45544000,-30830000,134590000,-57950000,1391900000,-1575359000,527937000,-517321000,-11723000,23846000,113674000,155875000,-5185000
83,Cash Provided by Operating Activities,2718000,88230000,90068000,120862000,267416000,219729000,262680000,158183000,-18834000,-3144000,-60152000,-56086000,-49982000,26515000,65907000,59526000,36896000,231119000
84,CAPEX,-148491000,-268072000,-1840000,-765133000,-514041000,-288710000,-985285000,-132617000,-3269000,-146555000,-208000,-67360000,-787000,-552000,-243334000,-50424000,-20038000,-117464000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-115577000,-10290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,20724000,- -,- -,- -,- -,- -,- -,706000,10489000,- -,- -,- -,- -,- -
88,Other Investing Activites,-40923000,- -,1000000,-103640000,-10681000,-17500000,115055000,-750000,-400000,- -,-74428000,9880000,-2829000,15513000,47959000,27575000,57477000,49891000
89,Cash Used for Investing Activites,-189414000,-268072000,-840000,-984350000,-514288000,-306210000,-870230000,-133367000,-3669000,-146555000,-74636000,-56774000,6873000,14961000,-195375000,-22849000,37439000,-67573000
90,Debt Repayment,- -,-370378000,-795000,-1276931000,-321000000,-16408000,-67890000,-137427000,-174573000,-375000,- -,-144189000,-464856000,-4495000,-535663000,-77096000,-81846000,-553228000
91,Common Stock Issued,- -,230305000,- -,213871000,195442000,- -,55200000,- -,50721000,- -,- -,- -,- -,- -,110249000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-11542000,- -,-318000,- -,- -,- -,136274000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-15226000,-61041000,-69577000,-117109000,- -,-5369000,-7603000,- -,- -,-1025000,- -,- -,- -,- -,-20877000,-9847000,-13463000
94,Other Financing Activites,194127000,374622000,81250000,1994067000,554541000,166200000,708537000,77305000,-9013000,200196000,-39769000,294709000,520291000,-1103000,552697000,20784000,34788000,343997000
95,Cash Used/Provided by Financing Activities,194127000,219323000,19414000,861430000,300332000,149792000,690160000,-67725000,-132865000,199821000,95480000,150520000,55435000,-5598000,127283000,-77189000,-56905000,-222694000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,194127000,39481000,26642000,-2058000,53460000,63311000,82610000,-42909000,-155368000,50122000,-39308000,37660000,12326000,35878000,-2185000,-40512000,17430000,-59148000
98,Cash at the End of Period,7431000,46912000,73554000,71496000,124956000,188267000,270877000,227968000,72600000,122722000,83392000,121074000,133400000,204946000,202761000,162249000,179679000,120531000
99,Cash at the Beginning of Period,- -,7431000,46912000,73554000,71496000,124956000,188267000,270877000,227968000,72600000,122700000,83414000,121074000,169068000,204946000,202761000,162249000,179679000
100,Free Cash Flow,-145773000,-179842000,88228000,-644271000,-246625000,-68981000,-722605000,25566000,-22103000,-149699000,-115243000,-123446000,-50769000,25963000,-177427000,9102000,16858000,113655000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1326200/000092242307000201/0000922423-07-000201-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1326200/000092242309000226/0000922423-09-000226-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000092242310000139/0000922423-10-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000110465911013360/0001104659-11-013360-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000110465912011713/0001104659-12-011713-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000110465913016817/0001104659-13-016817-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000114036114015934/0001140361-14-015934-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000110465915015859/0001104659-15-015859-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000110465916105221/0001104659-16-105221-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837017002200/0001558370-17-002200-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837018001292/0001558370-18-001292-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837019001507/0001558370-19-001507-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837020001543/0001558370-20-001543-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837021001621/0001558370-21-001621-index.htm,https://www.sec.gov/Archives/edgar/data/1326200/000155837022001938/0001558370-22-001938-index.htm
102,false,,,,,,,,,,,,,,,,,,
