,https://roic.ai/company/RCMT,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0058,-0.0328,-0.0352,-0.0145,-0.0819,-0.0335,0.0245,0.0478,0.0297,0.0393,0.0386,0.0486,0.0475,-0.0740,-0.0834,-0.1293,0.0135,- -,0.0196,0.0317,0.0317,-0.1902,- -,0.0358,0.0297,0.0221,0.0117,- -,0.0324,0.0100,0.0108,0.0136,0.0212,- -,-0.0590
25,EPS,0.05,-0.25,-0.30,-0.15,-0.65,-0.35,0.25,0.50,0.30,0.55,0.68,1.11,1.43,-2.09,-1.78,-2.28,0.26,- -,0.31,0.54,0.57,-3.15,- -,0.44,0.33,0.26,0.16,- -,0.48,0.15,0.16,0.22,0.31,- -,-0.77
26,EPS Diluted,0.05,-0.25,-0.30,-0.15,-0.65,-0.35,0.25,0.50,0.30,0.55,0.68,1.07,1.37,-2.09,-1.78,-2.28,0.26,- -,0.30,0.53,0.54,-3.15,- -,0.44,0.33,0.26,0.16,- -,0.47,0.14,0.16,0.22,0.31,- -,-0.77
27,Weighted Average Shares Outstanding,2000000,2400000,2666667,2666667,2923077,2571429,2800000,2800000,3007969,4320571,6563905,8828829,10419580,10499305,10519701,10585503,10716179,- -,11456757,11773301,11970042,12647127,- -,13053593,12976308,12298733,12418959,- -,12496635,11953080,12194350,12340909,13003719,- -,11542880
28,Weighted Average Shares Outstanding Diluted,2000000,2400000,2666667,2666667,2923077,2571429,2800000,2800000,3007969,4320571,6563905,9158879,10875912,10499305,10519701,10585503,10896305,- -,11731591,12034665,12535185,12647127,- -,13202435,13144400,12411538,12437500,- -,12797872,12557143,12194350,12340909,13090323,- -,12149315
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/700841/000070084196000005/0000700841-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/700841/000070084197000002/0000700841-97-000002-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/700841/000070084101000002/0000700841-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/700841/000070084102000003/0000700841-02-000003-index.html,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/700841/000110465909020785/0001104659-09-020785-index.htm,undefined,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/700841/000070084117000004/0000700841-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/700841/000070084118000006/0000700841-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/700841/000070084119000008/0000700841-19-000008-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/700841/000070084121000013/0000700841-21-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,900000,22200000,- -,3170658,2289743,2845154,5152499,- -,3761000,2400000,11600000,800000,- -,24704000,28417000,14123000,9317000,- -,985000,279000,2851000,482000,1847000,- -,734000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,900000,22200000,- -,3170658,2289743,2845154,5152499,- -,3761000,2400000,11600000,800000,- -,24704000,28417000,14123000,9317000,- -,985000,279000,2851000,482000,1847000,- -,734000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,5100000,14000000,24900000,40700000,- -,71449822,47984921,35520519,36269369,- -,44930000,48100000,47400000,55800000,- -,41213000,42060000,53716000,59679000,- -,58427000,49465000,49082000,54904000,64666000,- -,36007000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,700000,400000,600000,1200000,- -,4610753,8568612,8881423,14993204,- -,15425000,5000000,2200000,5200000,- -,2670000,2752000,2506000,3708000,- -,5117000,3327000,3706000,3425000,4144000,- -,7193000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,6100000,14400000,26400000,64100000,- -,79231233,58843276,47247096,56415072,- -,64116000,55500000,61200000,61800000,- -,68587000,73229000,70345000,72704000,- -,64529000,53071000,55639000,58811000,70657000,- -,43934000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,400000,500000,1100000,2600000,- -,6158623,6848765,5890252,5129775,- -,4021000,4400000,4200000,5600000,- -,3295000,2535000,1880000,2291000,- -,4698000,4052000,3446000,3485000,8537000,- -,2078000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39300000,39600000,6500000,- -,7319000,7319000,9545000,9545000,- -,11630000,12325000,11685000,17532000,16354000,- -,16354000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,3700000,9400000,26400000,50200000,- -,88655460,62619400,36753250,38075784,- -,38469000,700000,300000,300000,- -,325000,210000,332000,216000,- -,252000,171000,105000,743000,416000,- -,95000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,3700000,9400000,26400000,50200000,- -,88655460,62619400,36753250,38075784,- -,38469000,40000000,39900000,6800000,- -,7644000,7529000,9877000,9761000,- -,11882000,12496000,11790000,18275000,16770000,- -,16449000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2668813,- -,- -,- -,- -,- -,- -,- -,- -,3303000,2686000,2202000,1609000,- -,- -,- -,431000,398000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,200000,200000,- -,223512,175691,86590,82958,- -,167000,100000,4400000,4600000,- -,183000,- -,244000,159000,- -,227000,212000,1973000,541000,209000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,4200000,10000000,27700000,53000000,- -,95037595,72312669,42730092,43288517,- -,42657000,44500000,48500000,17000000,- -,14425000,12949000,14203000,13820000,- -,16807000,16760000,17640000,22699000,25516000,- -,18527000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,10300000,24400000,54100000,117100000,- -,174268828,131155945,89977188,99703589,- -,106773000,100000000,109700000,78800000,- -,83012000,86178000,84548000,86524000,- -,81336000,69831000,73279000,81510000,96173000,- -,62461000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,300000,700000,1300000,3200000,- -,13610547,8653876,14728729,15574036,- -,14979000,- -,- -,8375000,- -,6004000,3030000,18321000,13576000,- -,16858000,14930000,8634000,9969000,10772000,- -,7895000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1000000,2700000,2000000,- -,- -,- -,31500000,7420000,7300000,- -,3900000,- -,- -,4900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2449000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,538000,- -,39000,226000,119000,404000,- -,343000,- -,372000,97000,130000,- -,436000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1500000,4200000,5900000,7200000,- -,9112082,7712269,8582305,9659457,- -,12205000,16600000,17700000,10225000,- -,7155000,11260000,6742000,11163000,- -,10021000,8783000,13554000,13219000,8187000,- -,20846000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2800000,7600000,9200000,10400000,- -,22722629,47866145,30731034,32533493,- -,31084000,16600000,17700000,23500000,- -,13159000,14290000,25063000,24739000,- -,26879000,23713000,22188000,23188000,21408000,- -,28741000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,14311000,27279000,27540000,38871000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,276000,382000,431000,398000,777000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,300000,- -,- -,2183873,- -,- -,- -,- -,- -,- -,- -,- -,- -,245000,227000,713000,407000,- -,978000,170000,1350000,3185000,2714000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,300000,- -,- -,49483873,- -,- -,- -,- -,- -,- -,- -,- -,- -,245000,227000,713000,407000,- -,22254000,14863000,29060000,31123000,42362000,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17360000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6559000,- -,4880000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2800000,8200000,9500000,10400000,- -,72206502,47866145,30731034,32533493,- -,31084000,16600000,17700000,23500000,- -,13404000,14517000,25776000,25146000,- -,49133000,38576000,51248000,54311000,63770000,- -,46101000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,524982,528588,531304,564264,- -,586000,600000,600000,600000,- -,661000,666000,688000,695000,- -,728000,736000,751000,778000,791000,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-3400000,-1100000,3400000,13200000,- -,8254895,-10501074,-34637004,-31857851,- -,-26115000,-19800000,-13000000,-52800000,- -,-40079000,-35801000,-45259000,-43237000,- -,-69646000,-67888000,-65878000,-63163000,-59105000,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-800000,-1100000,-1400000,-2400000,- -,-4079857,-4282985,-3818092,-4435164,- -,1000000,1000000,1000000,1000000,- -,1415000,1306000,1370000,815000,- -,-2845000,-3000000,-2000000,-3000000,-2748000,- -,-2550000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,11700000,18400000,42600000,95900000,- -,97362306,97545271,97169946,102898847,- -,100218000,101593262,103448000,106551000,- -,- -,105490000,101973000,103105000,- -,- -,101407000,89158000,92584000,93465000,- -,70889000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,7500000,16200000,44600000,106700000,- -,102062326,83289800,59246154,67170096,- -,75689000,83393262,92048000,55351000,- -,69608000,71661000,58772000,61378000,- -,32203000,31255000,22031000,27199000,32403000,- -,22238000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,10300000,24400000,54100000,117100000,- -,174268828,131155945,89977188,99703589,- -,106773000,99993262,109748000,78851000,- -,83012000,86178000,84548000,86524000,- -,81336000,69831000,73279000,81510000,96173000,- -,68339000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6738,-48000,-51000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5878000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,10300000,24400000,54100000,117100000,- -,174268828,131155945,89977188,99703589,- -,106773000,100000000,109700000,78800000,- -,83012000,86178000,84548000,86524000,- -,81336000,69831000,73279000,81510000,96173000,- -,62461000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/700841/000070084196000005/0000700841-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/700841/000070084197000002/0000700841-97-000002-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/700841/000070084101000002/0000700841-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/700841/000070084102000003/0000700841-02-000003-index.html,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/700841/000110465909020785/0001104659-09-020785-index.htm,undefined,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/700841/000070084117000004/0000700841-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/700841/000070084118000006/0000700841-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/700841/000070084119000008/0000700841-19-000008-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/700841/000070084121000013/0000700841-21-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,100000,-600000,-800000,-400000,-1900000,-900000,700000,1400000,800000,2400000,4400000,9800000,14900000,-21896386,-18755969,-24135930,2779153,- -,3536000,6400000,6800000,-39800000,- -,5795000,4278000,3227000,1990000,- -,6015000,1758000,2010000,2715000,4058000,- -,-8869000
74,Depreciation and Amortization,100000,100000,100000,200000,200000,100000,100000,100000,100000,300000,600000,1500000,3000000,6648139,7417543,1279043,1223397,- -,1206000,1507723,1449000,2056000,- -,1383000,1149000,1321000,1111000,- -,1467000,1569000,1757000,1567000,1588000,- -,1386000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2022694,110342,- -,952000,827290,2474000,-5869000,- -,403000,864000,781000,-634000,- -,1322000,463000,-2336000,1430000,1104000,- -,-3712000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317000,110000,169000,849000,- -,1446000,901000,770000,544000,806000,- -,1108000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,3500000,10400000,36500000,2808604,-45531473,5538931,7365517,- -,3432000,5868000,4600000,-5200000,- -,8128000,3511000,-13657000,2683000,- -,-11296000,-8292000,4093000,2172000,13626000,- -,-34056000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5250000,-1024000,-11674000,-6400000,- -,45000,8647000,871000,-7289000,-9937000,- -,15947000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3030000,9328000,-4376000,- -,2813000,-2544000,-2478000,-1087000,-1067000,- -,1639000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,6800000,17200000,53700000,56508604,10977131,16516062,23881579,- -,33032000,38900000,43500000,38300000,- -,55428000,58939000,45282000,47965000,- -,37650000,29358000,33451000,35623000,49249000,- -,15193000
82,Other Non-Cash Items,-200000,500000,700000,200000,900000,-700000,400000,200000,200000,-7900000,-12300000,-23900000,-58200000,39154016,86780204,45804829,-8585036,- -,-5529000,-8998615,-6718000,44006000,- -,-2686000,-3442000,11723000,-9791000,- -,13527000,15236000,-1223000,-8492000,-25960000,- -,69346000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-800000,-1500000,1200000,1700000,1100000,-1900000,-3800000,-2200000,-3800000,26714373,29910305,30509567,2893373,- -,3597000,5604398,8605000,-4807000,- -,13340000,6470000,3564000,-3792000,- -,12481000,11635000,5071000,-64000,-4778000,- -,25203000
84,CAPEX,- -,- -,- -,- -,-100000,- -,- -,- -,-100000,-100000,-500000,-800000,-3800000,-1721434,-1799552,-626978,-431816,- -,-558000,-1568932,-625000,-2667000,- -,-101000,-274000,-511000,-1406000,- -,-2790000,-846000,-1040000,-1518000,-367000,- -,-460000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25692538,-13222932,-5528563,- -,- -,-1896000,-1839677,-259000,-7584000,- -,- -,-128000,-1292000,- -,- -,-249000,- -,-763000,-1066000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,700000,- -,- -,-2300000,-1100000,-17400000,-26000000,-54200000,-17634,47821,189101,-1350006,- -,-29000,8092,33000,-113000,- -,430000,-16000,-45000,84000,- -,3000,15000,- -,1000,4000,- -,41000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-100000,700000,- -,- -,-2400000,-1200000,-17900000,-26800000,-58000000,-27431606,-14974663,-5966440,-1781822,- -,-2483000,-3400517,-851000,-10364000,- -,329000,-418000,-1848000,-1322000,- -,-3036000,-831000,-1803000,-2583000,-363000,- -,-419000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90294000,-79950000,-90068000,-88650000,- -,-98733000
91,Common Stock Issued,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,23300000,52300000,500000,42950,234095,192085,174915,- -,1000000,373136,993000,55000,- -,149000,168000,128000,259000,- -,373000,368000,394000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-206000,-2507000,-4704000,-83000,- -,-2836000,-4257000,-365000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12335000,- -,- -,-12529000,- -,-12194000,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,600000,-700000,- -,-900000,2800000,-800000,-2000000,40800000,- -,-15800000,-24080000,-120000,- -,- -,-3900000,- -,4900000,- -,102000,113000,912000,114000,- -,804000,82627000,91289000,90414000,95277000,- -,73101000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,700000,-700000,- -,-900000,2800000,22500000,50300000,41300000,42950,-15565905,-23887915,54915,- -,- -,-3526864,993000,4955000,- -,45000,-2226000,-15999000,290000,- -,-14188000,-11556000,-826000,346000,6627000,- -,-25632000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-180867,-250652,-99801,1140879,- -,246000,11348,446000,-611000,- -,48000,-113000,-11000,18000,- -,-683000,46000,130000,-68000,-121000,- -,-265000
