,https://roic.ai/company/CG,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,152000000,113800000,-2169100000,-2134700000,-1959700000,-1615600000,-972200000,-685500000,-824000000,4214300000,5118800000,8214800000
37,Total Current Assets,- -,16522700000,23915900000,567100000,1147000000,2337500000,2021000000,816300000,1000100000,629600000,5478400000,6616600000,11350500000
38,PP&E,- -,39600000,52700000,63600000,71000000,77200000,111700000,106300000,100400000,95100000,312000000,510300000,505000000
39,Goodwill,- -,- -,36800000,37000000,40300000,47500000,38300000,10100000,11100000,15300000,16100000,16800000,13300000
40,Intangible Assets,- -,- -,558100000,654100000,542500000,394600000,97400000,31900000,24800000,62000000,46200000,31900000,21600000
41,Intangible Assets,- -,448400000,594900000,691100000,582800000,442100000,135700000,42000000,35900000,77300000,62300000,48700000,34900000
42,Investments,- -,14459000000,21696000000,25696900000,27658700000,26997200000,24899300000,5203600000,6534900000,7555800000,7956100000,8469200000,9360000000
43,Tax Assets,- -,- -,18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-14407100000,-21625800000,4547900000,6162800000,6140300000,5023300000,3804800000,4609300000,4556400000,- -,- -,- -
45,Total Non-Current Assets,- -,539900000,735800000,30999500000,34475300000,33656800000,30170000000,9156700000,11280500000,12284600000,8330400000,9028200000,9899900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22139200000,24673000000,31150300000
47,Total Assets,- -,17062600000,24651700000,31566600000,35622300000,35994300000,32191000000,9973000000,12280600000,12914200000,13808800000,15644800000,21250400000
48,Accounts Payable,- -,211600000,203400000,215000000,290500000,422300000,478300000,384400000,355100000,442200000,354900000,286300000,379700000
49,Short-Term Debt,- -,11525000000,10813300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1493100000,1702300000,15740000000,18239500000,17515700000,12910900000,4194500000,5031500000,5219000000,- -,- -,- -
53,Total Current Liabilities,- -,13229700000,12719000000,15955000000,18530000000,17938000000,13389200000,4578900000,5386600000,5661200000,- -,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6971200000,8047400000,8499400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,48300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1634300000,793800000,14543000000,16283000000,17345000000,18275800000,5086200000,5877400000,6275400000,- -,- -,- -
58,Total Non-Current Liabilities,- -,1634300000,842100000,14543000000,16283000000,17345000000,18275800000,5086200000,5877400000,6275400000,6971200000,8047400000,8499400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17810400000,20762000000,24043600000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,14864000000,13561100000,20871200000,25244900000,26899800000,26113400000,8519000000,9331600000,10077900000,10839200000,12714600000,15544200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,387500000,387500000,- -,- -,- -
63,Common Stock,- -,- -,- -,1073700000,820700000,750500000,606700000,403100000,701800000,673400000,703800000,3500000,3600000
64,Retained Earnings,- -,- -,- -,-4800000,-11200000,-39000000,-90100000,-95200000,-72700000,-83300000,-85200000,139500000,2557800000
65,Other Comprehensive Income/Loss,- -,-34500000,-55800000,-5000000,-11000000,-39000000,-90000000,-95000000,-73000000,-83000000,-85000000,-209000000,-247000000
66,Other Total Stockholders Equity,- -,2233600000,11146600000,5000000,11000000,39000000,90000000,95000000,73000000,83000000,85000000,2755200000,- -
67,Total Stockholders Equity,- -,904000000,797900000,1068900000,809500000,711500000,516600000,307900000,1016600000,977600000,618600000,2689200000,5279000000
68,Total Liabilities And Stockholders Equity,- -,15768000000,14359000000,21940100000,26054400000,27611300000,26630000000,8826900000,10348200000,11055500000,11457800000,15403800000,20823200000
69,Minority Interest,- -,1294600000,10292700000,9626500000,9567900000,8383000000,5561000000,1146100000,1932400000,1858700000,2351000000,241000000,427200000
70,Total Liabilities & Equity,- -,17062600000,24651700000,31566600000,35622300000,35994300000,32191000000,9973000000,12280600000,12914200000,13808800000,15644800000,21250400000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1527166/000119312513107699/0001193125-13-107699-index.html,https://www.sec.gov/Archives/edgar/data/1527166/000119312514070322/d633340d10k.htm,https://www.sec.gov/Archives/edgar/data/1527166/000162828015001092/cg201410-k.htm,https://www.sec.gov/Archives/edgar/data/1527166/000152716616000018/0001527166-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1610462/000155479517000002/0001554795-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/1527166/000152716618000008/0001527166-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1527166/000152716619000008/0001527166-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1527166/000152716620000006/0001527166-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1527166/000152716621000010/0001527166-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1527166/000152716622000007/0001527166-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,1357700000,3051200000,2511200000,20300000,104100000,85800000,-18400000,6400000,244100000,116500000,1184400000,382800000,3045200000
74,Depreciation and Amortization,28600000,24500000,83100000,107800000,163600000,192100000,322800000,72000000,41300000,46900000,65600000,52100000,52000000
75,Deferred Income Tax,- -,- -,-19800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,171000000,3251000000,7903900000,-26584800000,-1995100000,1782500000,4232300000,7605600000,-623900000,-645100000,-81600000,547100000,954900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,17800000,-5900000,29800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,42000000,3293000000,11196900000,-15387900000,-17383000000,-15600500000,-11368200000,-3762600000,-4386500000,-5031600000,- -,- -,- -
82,Other Non-Cash Items,-1138600000,-3449700000,-7800400000,28485100000,4721700000,585300000,-633900000,-7984600000,331400000,138200000,-809800000,-1151200000,-2261100000
83,Cash Provided by Operating Activities,418700000,2877000000,2678000000,2028400000,2994300000,2645700000,3902800000,-300600000,-7100000,-343500000,358600000,-169200000,1791000000
84,CAPEX,-27500000,-79700000,-42300000,-32700000,-29500000,-29700000,-62300000,-25400000,-34000000,-31300000,-27800000,-61200000,-41400000
85,Acquisitions Net,- -,-105600000,-53900000,-42800000,-10200000,-3100000,- -,- -,- -,-67800000,- -,- -,9200000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-58800000,-16700000,-50600000,-95400000,69800000,40800000,5300000,-15500000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-27500000,-185600000,-104800000,-126100000,-135100000,37000000,-21500000,-20100000,-49500000,-99100000,-27800000,-61200000,-32200000
90,Debt Repayment,-303600000,-2692400000,-1721900000,-2469800000,-2458000000,-1067800000,-65300000,-43500000,-286000000,-411800000,97700000,370400000,-562400000
91,Common Stock Issued,- -,- -,- -,615800000,- -,449500000,209900000,- -,- -,- -,- -,- -,4800000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-58900000,-200000,-107500000,-439900000,-26400000,-161800000
93,Dividends Paid,- -,- -,- -,-2870800000,-3470800000,-4780000000,-6366500000,-672900000,-537700000,-547400000,-172600000,-351300000,-355800000
94,Other Financing Activites,-283700000,159000000,-957100000,2883500000,3425100000,3104900000,2210700000,790600000,1142500000,1138700000,365600000,377600000,832700000
95,Cash Used/Provided by Financing Activities,-587300000,-2533400000,-2679000000,-1841300000,-2503700000,-2293400000,-4011200000,15300000,318600000,72000000,-149200000,370300000,-242500000
96,Effect of Forex Changes on Cash,3400000,-29200000,-1500000,-3500000,44000000,-113900000,-120600000,-15200000,67200000,-19900000,8100000,21700000,-30800000
97,Net Change In Cash,-192700000,128800000,-107300000,57500000,399500000,275400000,-250500000,-320600000,329200000,-390500000,189700000,161600000,1485500000
98,Cash at the End of Period,488100000,616900000,509600000,567100000,966600000,1242000000,991500000,670900000,1000100000,638300000,828000000,989600000,2475100000
99,Cash at the Beginning of Period,680800000,488100000,616900000,509600000,567100000,966600000,1242000000,991500000,670900000,1028800000,638300000,828000000,989600000
100,Free Cash Flow,391200000,2797300000,2635700000,1995700000,2964800000,2616000000,3840500000,-326000000,-41100000,-374800000,330800000,-230400000,1749600000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527166/000119312513107699/0001193125-13-107699-index.html,https://www.sec.gov/Archives/edgar/data/1527166/000119312514070322/d633340d10k.htm,https://www.sec.gov/Archives/edgar/data/1527166/000162828015001092/cg201410-k.htm,https://www.sec.gov/Archives/edgar/data/1527166/000152716616000018/0001527166-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1610462/000155479517000002/0001554795-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/1527166/000152716618000008/0001527166-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1527166/000152716619000008/0001527166-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1527166/000152716620000006/0001527166-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1527166/000152716621000010/0001527166-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1527166/000152716622000007/0001527166-22-000007-index.htm
102,false,,,,,,,,,,,,,
