,https://roic.ai/company/ZZLL,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1365357/000109181813000167/0001091818-13-000167-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181814000158/0001091818-14-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181815000062/0001091818-15-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181816000261/0001091818-16-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181817000071/0001091818-17-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181818000086/0001091818-18-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181819000133/0001091818-19-000133-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181820000131/0001091818-20-000131-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000121390021021707/0001213900-21-021707-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,117988,228539,770431,217453,260155,547485,1361357,237097,6280,2034,173,58174,18430,10793,873192,932102
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,117988,228539,770431,217453,260155,547485,1361357,237097,6280,2034,173,58174,18430,10793,873192,932102
34,Net Receivables,- -,415107,1235784,1781913,911320,850212,1695759,2063084,1921305,- -,- -,- -,323872,299027,299346,102301,814750
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42617
36,Other Current Assets,- -,296262,820871,1021943,940238,800482,1999313,3093278,2765571,- -,- -,- -,- -,- -,- -,11860,7752
37,Total Current Assets,- -,829357,2285194,3574287,2069011,1910849,4242557,6517719,4923973,6280,2034,173,382046,317457,310139,987353,1797221
38,PP&E,- -,42134,108754,- -,80091,52430,- -,- -,- -,- -,- -,- -,- -,- -,- -,178131,308875
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,111128,- -,- -,41475,34789,26396,- -,- -,- -,- -,606,366,- -,16219
45,Total Non-Current Assets,- -,42134,108754,111128,80091,52430,41475,34789,26396,- -,- -,- -,- -,606,366,178131,325094
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,871491,2393948,3685415,2149102,1963279,4284032,6552508,4950369,6280,2034,173,382046,318063,310505,1165484,2122315
48,Accounts Payable,- -,368551,1381471,2478105,1103390,781494,1804377,3080100,1581606,1904,- -,- -,17873,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,75000,75000,39815,65648
50,Tax Payable,- -,- -,- -,- -,- -,6172,18568,- -,11820,- -,- -,- -,- -,- -,1389,1389,4219
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,1217300,2094307,1891750,- -,- -,- -,- -,- -,- -,875000,823337
52,Other Current Liabilities,- -,396213,334209,797166,279439,387291,432922,438019,675547,111104,213461,393897,329172,1075969,1148673,851693,1469054
53,Total Current Liabilities,- -,764764,1715680,3275271,1382829,1168785,3454599,5612426,4148903,113008,213461,393897,422045,1150969,1223673,1766508,2358039
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140654,197224
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,682730
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140654,879954
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180469,262872
61,Total Liabilities,- -,764764,1715680,3275271,1382829,1168785,3454599,5612426,4148903,113008,213461,393897,422045,1150969,1223673,1907162,3237993
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,16500,21500,21500,21400,21400,21400,21400,21400,1803,1859,1873,7382,1925,2028,2028,2028
64,Retained Earnings,- -,-213786,-434176,-702293,-1198331,-1193172,-1167418,-1078645,-1269527,-1002455,-1367154,-1591451,-1827188,-2751744,-2872550,-2419950,-2806777
65,Other Comprehensive Income/Loss,- -,-23991,-57177,-57177,4448,32,-1329,-399,4048,- -,- -,- -,- -,-388,804,4397,17224
66,Other Total Stockholders Equity,- -,328004,1148121,1148114,- -,- -,1793596,1793596,1793596,893924,1153868,1195854,1465826,1630950,1671847,1671847,1671847
67,Total Stockholders Equity,- -,106727,678268,410144,594280,606523,646249,735952,549517,-106728,-211427,-393724,-353980,-1119257,-1197871,-741678,-1115678
68,Total Liabilities And Stockholders Equity,- -,871491,2393948,3685415,1977109,1775308,4100848,6348378,4698420,6280,2034,173,68065,31712,25802,1165484,2122315
69,Minority Interest,- -,- -,- -,- -,171993,187971,183184,204130,251949,- -,- -,- -,313981,286351,284703,- -,- -
70,Total Liabilities & Equity,- -,871491,2393948,3685415,2149102,1963279,4284032,6552508,4950369,6280,2034,173,382046,318063,310505,1165484,2122315
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1365357/000109181813000167/0001091818-13-000167-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181814000158/0001091818-14-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181815000062/0001091818-15-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181816000261/0001091818-16-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181817000071/0001091818-17-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181818000086/0001091818-18-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181819000133/0001091818-19-000133-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181820000131/0001091818-20-000131-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000121390021021707/0001213900-21-021707-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,- -,-118323,-220390,-268117,-324942,5159,25754,88773,-190882,-240773,-364699,-247239,-235737,-924556,-120806,452600,-386827
74,Depreciation and Amortization,- -,-13225,-33186,-39771,44205,27821,21601,20407,20231,- -,- -,- -,- -,- -,240,27098,5762
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,22800,11500,15333,- -,- -,85000,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-177460,504921,-270498,-485861,-53729,45894,117335,-130223,-881798,-104699,-182297,353725,-793513,-80022,292698,544189
78,Accounts Receivable,- -,-219980,-820677,-550475,205575,137446,-513145,-366572,137341,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42617
80,Accounts Payable,- -,209751,1113096,1103523,-799935,-321896,605932,1269705,-1498495,1904,-1904,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,64593,569514,299016,- -,- -,787958,905293,775070,-106728,-211427,-393724,-39999,-833512,-913534,875000,631067
82,Other Non-Cash Items,- -,26560,-541688,809286,- -,15978,288373,604644,-820088,939283,236914,391789,-532452,1424532,81228,17127,-82000
83,Cash Provided by Operating Activities,- -,-282448,-290343,230900,-743798,6729,396955,831159,-1120962,-98288,-232484,-37747,-414464,-293537,-119360,789523,81124
84,CAPEX,- -,-12293,-99806,-42337,-20988,-193,-10758,-13848,-12575,- -,- -,- -,- -,-606,- -,-6614,-152724
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22942,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,22700,- -,- -,- -,-57877,- -,146,- -,- -,- -,- -,- -,- -,286,- -
89,Cash Used for Investing Activites,- -,-12293,-77106,-42337,-20988,-193,-68635,-13848,-12429,- -,- -,22942,- -,-606,- -,-6328,-152724
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-113253,- -,- -,- -,- -,- -,- -,- -,- -,-25024,- -
91,Common Stock Issued,- -,- -,- -,- -,624000,- -,- -,- -,- -,58176,260000,42000,275481,159667,41000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,391026,478000,356424,-388323,34327,74168,-4753,4410,46328,-31762,-29056,196984,95120,69531,100635,117683
95,Cash Used/Provided by Financing Activities,- -,391026,478000,356424,235677,34327,-39085,-4753,4410,104504,228238,12944,472465,254787,110531,75611,117683
96,Effect of Forex Changes on Cash,- -,- -,- -,-3095,2036,1839,-1905,1314,4721,- -,- -,- -,- -,-388,1192,3593,12827
97,Net Change In Cash,- -,96285,110551,541892,-527073,42702,287330,813872,-1124260,6216,-4246,-1861,58001,-39744,-7637,862399,58910
98,Cash at the End of Period,- -,117988,228539,770431,243358,260155,547485,1361357,237097,6280,2034,173,58174,18430,10793,873192,932102
99,Cash at the Beginning of Period,- -,21703,117988,228539,770431,217453,260155,547485,1361357,64,6280,2034,173,58174,18430,10793,873192
100,Free Cash Flow,- -,-294741,-390149,188563,-764786,6536,386197,817311,-1133537,-98288,-232484,-37747,-414464,-294143,-119360,782909,-71600
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1365357/000109181813000167/0001091818-13-000167-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181814000158/0001091818-14-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181815000062/0001091818-15-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181816000261/0001091818-16-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181817000071/0001091818-17-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181818000086/0001091818-18-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181819000133/0001091818-19-000133-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000109181820000131/0001091818-20-000131-index.htm,https://www.sec.gov/Archives/edgar/data/1365357/000121390021021707/0001213900-21-021707-index.htm
102,false,,,,,,,,,,,,,,,,,
