,https://roic.ai/company/RC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,-850996,4415474,9651000,1839000,1386000,-10552000,8384000,29083000
23,Net Income,- -,19903273,6673107,26741970,-1260709,49169000,43290000,59258000,72968000,44870000,157744000
24,Net Income ratio,- -,0.8142,0.4106,0.5383,-0.0217,0.4184,0.2991,0.3979,0.5348,0.1770,0.4115
25,EPS,- -,2.44,0.92,3.35,-0.16,1.85,1.38,1.84,1.72,0.81,2.23
26,EPS Diluted,- -,2.44,0.92,3.08,-0.16,1.85,1.38,1.84,1.72,0.81,2.23
27,Weighted Average Shares Outstanding,- -,7970886,7273366,7970886,7970886,26647981,31369565,32085975,42011750,53736523,71618168
28,Weighted Average Shares Outstanding Diluted,- -,7970886,8200280,10677360,8897800,26647981,31369565,32102184,42047648,53818378,71787228
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1527590/000120677414000850/zais_10k.htm,https://www.sec.gov/Archives/edgar/data/1527590/000120677415000907/zfc_10k.htm,https://www.sec.gov/Archives/edgar/data/1527590/000114420416087286/0001144204-16-087286-index.html,https://www.sec.gov/Archives/edgar/data/1527590/000155837017001850/0001558370-17-001850-index.html,https://www.sec.gov/Archives/edgar/data/1527590/000155837018002174/0001558370-18-002174-index.html,https://www.sec.gov/Archives/edgar/data/1527590/000155837019001928/0001558370-19-001928-index.html,https://www.sec.gov/Archives/edgar/data/1527590/000155837020002546/0001558370-20-002546-index.html,https://www.sec.gov/Archives/edgar/data/1527590/000155837021003005/0001558370-21-003005-index.htm,https://www.sec.gov/Archives/edgar/data/1527590/000155837022002392/0001558370-22-002392-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,6326724,19061110,57060806,33791013,20793716,59566000,63425000,54406000,67928000,138975000,229531000
32,Short-Term Investments,- -,- -,- -,- -,- -,319984000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6326724,19061110,57060806,33791013,20793716,379550000,63425000,54406000,67928000,138975000,229531000
34,Net Receivables,- -,6801398,- -,- -,- -,39855000,23214000,23425000,67994000,41135000,83179000
35,Inventory,- -,- -,- -,- -,- -,3933000,- -,- -,- -,- -,- -
36,Other Current Assets,- -,-3033247,2128236,7143078,4371725,-23598000,-5054000,1411751000,4107801000,-23827000,8727364000
37,Total Current Assets,- -,22829261,59189042,40934091,25165441,399740000,81585000,1489582000,4243723000,156283000,9040074000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,4531000,3172000,2402000
39,Goodwill,- -,- -,- -,16512680,14183537,- -,- -,- -,11206000,11206000,31470000
40,Intangible Assets,- -,- -,- -,39047589,53089286,87490000,97302000,122977000,130278000,121649000,219441000
41,Intangible Assets,- -,- -,- -,55560269,67272823,87490000,97302000,122977000,141484000,132855000,250911000
42,Investments,145971111,170671683,557940763,150626265,122143477,352375000,95291000,125375000,151316000,167520000,240644000
43,Tax Assets,- -,- -,- -,- -,- -,- -,17155000,18084000,- -,- -,- -
44,Other Non-Current Assets,- -,1345665,2666799,545277980,560557180,1731152000,577624000,315411000,435964000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,751464514,749973480,2171017000,787372000,581847000,733295000,303547000,493957000
46,Other Assets,154105194,178818746,560892016,- -,- -,- -,- -,- -,- -,5519359000,10027988000
47,Total Assets,154105194,201648007,620081058,792398605,775138921,2570757000,868957000,2071429000,4977018000,5372095000,9534031000
48,Accounts Payable,936008,1895547,3198274,11731089,5699502,16326000,15976000,24826000,31450000,27013000,41378000
49,Short-Term Debt,- -,- -,- -,89417564,100768428,326610000,248674000,199315000,380203000,2056738000,471883000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1144744,8452910,-85858444,-84336197,-261224000,-177725000,-137283000,-190369000,108642000,- -
53,Total Current Liabilities,- -,3040291,11651184,15290209,22131733,81712000,86925000,86858000,221284000,2192393000,513261000
54,Long-Term Debt,- -,- -,290598027,55474741,353298376,1217485000,1144369000,1472351000,2740930000,2750231000,4459621000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,10700000,286000
56,Deferred Tax Liabilities,- -,- -,- -,- -,3564478,632000,18506000,19972000,18757000,16839000,11986000
57,Other Non-Current Liabilities,- -,133466921,140063285,528249843,218366279,753336000,718236000,893587000,1170635000,- -,- -
58,Total Non-Current Liabilities,- -,133466921,430661312,583724584,575229133,1971453000,1881111000,2385910000,3930322000,2777770000,4471893000
59,Other Liabilities,98787320,- -,- -,- -,- -,- -,- -,- -,- -,2345494000,12203704000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,3670000,3002000
61,Total Liabilities,98787320,136507212,442312496,599014793,597360866,2053165000,1968036000,2472768000,4132234000,4537887000,8245072000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119739000
63,Common Stock,302,207,798,798,798,3000,3000,3000,5000,5000,8000
64,Retained Earnings,-5134466,5281941,-4958607,9029947,-4984178,-201000,-3385000,5272000,8746000,-24203000,8598000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-1000000,-6000000,-9947000,-5733000
66,Other Total Stockholders Equity,60452038,39759770,164207617,164207617,164207617,513295000,539455000,540556000,822661000,849541000,1161853000
67,Total Stockholders Equity,55317874,45041918,159249808,173238362,159224237,513097000,536073000,544831000,825412000,815396000,1284465000
68,Total Liabilities And Stockholders Equity,154105194,181549130,601562304,772253155,756585103,2566262000,2504109000,3017599000,4957646000,5353283000,9529537000
69,Minority Interest,- -,20098877,18518754,20145450,18553818,4495000,-1635152000,-946170000,19372000,18812000,4494000
70,Total Liabilities & Equity,154105194,201648007,620081058,792398605,775138921,2570757000,868957000,2071429000,4977018000,5372095000,9534031000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1527590/000120677414000850/zais_10k.htm,https://www.sec.gov/Archives/edgar/data/1527590/000120677415000907/zfc_10k.htm,https://www.sec.gov/Archives/edgar/data/1527590/000114420416087286/0001144204-16-087286-index.html,https://www.sec.gov/Archives/edgar/data/1527590/000155837017001850/0001558370-17-001850-index.html,https://www.sec.gov/Archives/edgar/data/1527590/000155837018002174/0001558370-18-002174-index.html,https://www.sec.gov/Archives/edgar/data/1527590/000155837019001928/0001558370-19-001928-index.html,https://www.sec.gov/Archives/edgar/data/1527590/000155837020002546/0001558370-20-002546-index.html,https://www.sec.gov/Archives/edgar/data/1527590/000155837021003005/0001558370-21-003005-index.htm,https://www.sec.gov/Archives/edgar/data/1527590/000155837022002392/0001558370-22-002392-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,19903273,6673107,26741970,-1260709,49169000,43290000,59258000,72968000,44870000,157744000
74,Depreciation and Amortization,- -,- -,- -,154010,933812,615000,- -,- -,- -,33550000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,5299000,6920000
77,Change in Working Capital,- -,-27235,27748888,-21893976,-22610174,314994292,-323368000,1408064000,2619715000,-6058549000,-17250000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,14188000,8140000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,1226282,1302727,2818360,7100795,-12237000,33713000,-11897000,- -,43378000,- -
81,Other Working Capital,- -,19788970,47537858,25643882,3033708,318028000,-5340000,1402724000,4022439000,-2036110000,-63431000
82,Other Non-Cash Items,- -,-17247878,-26290728,-9691884,-144057,-350015292,632567000,-1327025000,-2745080000,6043723000,-181855000
83,Cash Provided by Operating Activities,- -,2628160,8131267,-4689880,-23081128,14763000,352489000,140297000,-52397000,68893000,-34441000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-1570000,18866000,- -,- -
85,Acquisitions Net,- -,- -,- -,21000000,- -,- -,- -,- -,-16000000,- -,-11536000
86,Purchases of Investments,- -,-104299838,-406263789,-59961280,-23393468,-17388000,-54321000,- -,-26655000,-23707000,-59714000
87,Sales/Maturities of Investments,- -,97494279,338101576,141900347,50630491,303883000,436443000,799058000,15578000,966176000,- -
88,Other Investing Activites,- -,-2052940,-318651070,-134421313,18699333,98200000,-624356000,-1379817000,-1185715000,-1001911000,-1647155000
89,Cash Used for Investing Activites,- -,-8858499,-386813283,-31482246,45936356,384695000,-242234000,-580759000,-1212792000,-59442000,-1718405000
90,Debt Repayment,- -,-60646294,- -,- -,-3302963,-460159000,-5192042000,-3779533000,-5599333000,-7235512000,-15166476000
91,Common Stock Issued,- -,25151174,118862500,- -,- -,- -,- -,86000,91390000,13410000,165050000
92,Common Stock Repurchased,- -,-14181259,-5898891,- -,- -,-131000,- -,-103000,- -,-10516000,-109374000
93,Dividends Paid,- -,-10604146,-10410426,-19130270,-14236480,-46874000,-48260000,-51317000,-63326000,-56885000,-111924000
94,Other Financing Activites,- -,79245250,314128529,32032603,-18313082,125703000,5133906000,4275345000,6869468000,7352554000,17098416000
95,Cash Used/Provided by Financing Activities,- -,18964725,416681712,12902333,-35852525,-381461000,-106396000,444478000,1298199000,63051000,1875692000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,12734386,37999696,-23269793,-12997297,17997000,3859000,4016000,33010000,72502000,122846000
98,Cash at the End of Period,- -,19061110,57060806,33791013,20793716,59566000,63425000,94970000,127980000,200482000,323328000
99,Cash at the Beginning of Period,- -,6326724,19061110,57060806,33791013,41569000,59566000,90954000,94970000,127980000,200482000
100,Free Cash Flow,- -,2628160,8131267,-4689880,-23081128,14763000,352489000,139935000,-53291000,68893000,-34441000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1527590/000120677414000850/zais_10k.htm,https://www.sec.gov/Archives/edgar/data/1527590/000120677415000907/zfc_10k.htm,https://www.sec.gov/Archives/edgar/data/1527590/000114420416087286/0001144204-16-087286-index.html,https://www.sec.gov/Archives/edgar/data/1527590/000155837017001850/0001558370-17-001850-index.html,https://www.sec.gov/Archives/edgar/data/1527590/000155837018002174/0001558370-18-002174-index.html,https://www.sec.gov/Archives/edgar/data/1527590/000155837019001928/0001558370-19-001928-index.html,https://www.sec.gov/Archives/edgar/data/1527590/000155837020002546/0001558370-20-002546-index.html,https://www.sec.gov/Archives/edgar/data/1527590/000155837021003005/0001558370-21-003005-index.htm,https://www.sec.gov/Archives/edgar/data/1527590/000155837022002392/0001558370-22-002392-index.htm
102,false,,,,,,,,,,,
