,https://roic.ai/company/EAST,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1534708/000101968713000929/0001019687-13-000929-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000101968714001356/0001019687-14-001356-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000161577415000617/0001615774-15-000617-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000161577416004925/0001615774-16-004925-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000161577417001422/0001615774-17-001422-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000149315218004490/0001493152-18-004490-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000149315219004107/0001493152-19-004107-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000149315220005258/0001493152-20-005258-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000149315221007474/0001493152-21-007474-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000149315222008172/0001493152-22-008172-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,2738,5899,618,1082290,141317,1088066,2586315,10642877,343293,836000,3276000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2738,5899,618,1082290,141317,1088066,2586315,10642877,343293,836000,3276000
34,Net Receivables,665,300,- -,138041,142206,344955,315321,1064078,1326067,694,1446000
35,Inventory,- -,- -,- -,377020,683824,780037,4051282,11017459,12393235,6728000,6510000
36,Other Current Assets,2800,- -,- -,174147,163506,187714,649749,765146,407524,5276306,2873000
37,Total Current Assets,6203,6199,618,1771498,1130853,2400772,7602667,23489560,14470119,12841000,14105000
38,PP&E,- -,- -,- -,81206,112005,99216,728506,1758130,5516336,3109000,5374000
39,Goodwill,- -,- -,- -,- -,- -,- -,28182,28182,28182,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,610668,752639,15347684,14038000,13624000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,638850,780821,15375866,14038000,13624000
42,Investments,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3075,- -,193750,49000,48000,53942,29297,503542,- -,457000
45,Total Non-Current Assets,- -,3075,- -,274956,161005,147216,1421298,2868248,21395744,17147000,19455000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6203,9274,618,2046454,1291858,2547988,9023965,26357808,35865863,29988000,33560000
48,Accounts Payable,39941,37771,37640,206630,1300532,457034,1267189,1984690,2937426,1864000,1265000
49,Short-Term Debt,80000,155000,7150,153560,472556,4537,293726,- -,2302383,10750000,6506000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1200,- -,730,8275,727,2126,1579,1728,1734,23000,- -
52,Other Current Liabilities,21124,9583,32413,72610,563814,523702,156163,386166,896059,17622000,1727000
53,Total Current Liabilities,142265,202354,77933,441075,2337629,987399,1718657,2372584,6137602,30259000,9498000
54,Long-Term Debt,- -,- -,- -,23271,17842,427756,2161760,5234106,6555820,4268000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,15839123,- -,10663000
58,Total Non-Current Liabilities,- -,- -,- -,23271,17842,427756,2161760,5234106,22394943,4268000,10663000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,870834,1332000,- -
61,Total Liabilities,142265,202354,77933,464346,2355471,1415155,3880417,7606690,28532545,32840000,20161000
62,Preferred Stock,- -,- -,- -,- -,- -,245838,- -,- -,- -,- -,- -
63,Common Stock,1271,1271,3291,4551,4620,764,489,876,967,1000,1000
64,Retained Earnings,-184044,-241062,-327297,-3960685,-7561751,-12813044,-18090961,-27138630,-44234087,- -,-58605000
65,Other Comprehensive Income/Loss,-13466,-13466,- -,-11697,-30974,-52965,-76142,-342928,-2323849,- -,- -
66,Other Total Stockholders Equity,60177,60177,246691,5549939,6524492,13752240,23299577,46231800,53890287,-1109000,72003000
67,Total Stockholders Equity,-136062,-193080,-77315,1582108,-1063613,1132833,5132963,18751118,7333318,-1108000,13399000
68,Total Liabilities And Stockholders Equity,6203,9274,618,2046454,1291858,2547988,9013380,26357808,35865863,31732000,33560000
69,Minority Interest,- -,- -,- -,- -,- -,- -,10585,- -,- -,-1744000,- -
70,Total Liabilities & Equity,6203,9274,618,2046454,1291858,2547988,9023965,26357808,35865863,29988000,33560000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1534708/000101968713000929/0001019687-13-000929-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000101968714001356/0001019687-14-001356-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000161577415000617/0001615774-15-000617-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000161577416004925/0001615774-16-004925-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000161577417001422/0001615774-17-001422-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000149315218004490/0001493152-18-004490-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000149315219004107/0001493152-19-004107-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000149315220005258/0001493152-20-005258-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000149315221007474/0001493152-21-007474-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000149315222008172/0001493152-22-008172-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-22658,-57018,-86235,-4057171,-3601066,-5199619,-5277316,-9047669,-16908104,-9860000,-2196000
74,Depreciation and Amortization,- -,- -,- -,5889,19277,21991,92016,364813,1696755,2286000,1237000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,10000,140370,374687,563356,657546,667397,288000,27000
77,Change in Working Capital,-15742,-60093,118840,1407738,-2537199,2620149,4470637,15232966,-12784459,-25750517,22025000
78,Accounts Receivable,-665,365,-190,80196,-4265,-202749,35858,-748757,292695,552000,-750000
79,Inventory,- -,- -,- -,-317969,-306804,-96213,-3037835,-6966177,-384926,412000,-45000
80,Accounts Payable,- -,- -,- -,165713,1133166,-843498,804976,721209,721123,-458000,-599000
81,Other Working Capital,-136062,-196155,-77315,1330423,-1206776,1413373,5884010,21116976,8332517,-17418000,4607000
82,Other Non-Cash Items,6880,49882,-97655,1549735,4790840,-2771879,-6860434,-21126085,18196109,29100517,-27041000
83,Cash Provided by Operating Activities,-31520,-67229,-65050,-1083809,-1187778,-4954671,-7011741,-13918429,-9132302,-3936000,-5948000
84,CAPEX,- -,- -,- -,-37869,-50076,-9202,-657477,-1296410,-2176506,-524000,-265000
85,Acquisitions Net,- -,- -,- -,364,- -,- -,4541,- -,-1449917,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,4405,- -,- -,- -,- -,- -,- -,624000,114000
89,Cash Used for Investing Activites,- -,- -,4405,-37505,-50076,-9202,-652936,-1296410,-3626423,100000,-151000
90,Debt Repayment,-2000,-4610,- -,-5448,-4892,-154404,-196902,-514867,-607056,- -,- -
91,Common Stock Issued,- -,- -,- -,2158152,- -,3016238,6728079,8679123,1262497,666000,205000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-1518,- -,- -,- -,- -,- -,- -,-2288000
94,Other Financing Activites,- -,75000,55364,22634,301773,3048788,2631749,15107145,1803700,2696000,7266000
95,Cash Used/Provided by Financing Activities,-2000,70390,55364,2173820,296881,5910622,9162926,23271401,2459141,3362000,5183000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-33520,3161,-5281,1052506,-940973,946749,1498249,8056562,-10299584,493000,2440000
98,Cash at the End of Period,2738,5899,618,1082290,141317,1088066,2586315,10642877,343293,836000,3276000
99,Cash at the Beginning of Period,36258,2738,5899,29784,1082290,141317,1088066,2586315,10642877,343000,836000
100,Free Cash Flow,-31520,-67229,-65050,-1121678,-1237854,-4963873,-7669218,-15214839,-11308808,-4460000,-6213000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1534708/000101968713000929/0001019687-13-000929-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000101968714001356/0001019687-14-001356-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000161577415000617/0001615774-15-000617-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000161577416004925/0001615774-16-004925-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000161577417001422/0001615774-17-001422-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000149315218004490/0001493152-18-004490-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000149315219004107/0001493152-19-004107-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000149315220005258/0001493152-20-005258-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000149315221007474/0001493152-21-007474-index.htm,https://www.sec.gov/Archives/edgar/data/1534708/000149315222008172/0001493152-22-008172-index.htm
102,false,,,,,,,,,,,
