,https://roic.ai/company/WD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,10922000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-245953000,- -
20,Income Before Tax,14032000,39526000,40142000,56661000,55770000,66787000,83912000,135366000,185781000,233661000,212850000,230351000,84313000,352058000
21,Income Before Tax Ratio,0.2854,0.4453,0.3295,0.3719,0.2172,0.2093,0.2326,0.2891,0.3229,0.3282,0.2935,0.2819,0.0778,0.2796
22,Income Tax expense (Gain),5332000,10869000,31915000,21797000,21998000,25257000,32490000,52771000,71470000,21827000,51908000,57121000,84313000,86428000
23,Net Income,8700000,28657000,8227000,34864000,33772000,41530000,51422000,82128000,113897000,211127000,161439000,173373000,- -,265762000
24,Net Income ratio,0.1769,0.3229,0.0675,0.2288,0.1315,0.1302,0.1425,0.1754,0.1980,0.2966,0.2226,0.2121,- -,0.2111
25,EPS,0.90,2.00,0.55,1.61,1.32,1.23,1.60,2.76,3.87,7.03,5.35,5.61,7.85,8.73
26,EPS Diluted,0.90,2.00,0.55,1.60,1.31,1.21,1.58,2.65,3.65,6.56,5.04,5.45,7.69,8.55
27,Weighted Average Shares Outstanding,9710521,14306873,15033741,21621534,25545028,33764233,32210000,29754000,29432000,30014000,30191000,29913000,30444000,30444000
28,Weighted Average Shares Outstanding Diluted,9710521,14306873,15036411,21747672,25845015,34335914,32624000,30949000,31172000,32205000,32043000,30815000,31083000,31083000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1497770/000104746912002360/0001047469-12-002360-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000104746913002970/0001047469-13-002970-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000119312514089168/d646318d10k.htm,https://www.sec.gov/Archives/edgar/data/1497770/000119312515077598/d843655d10k.htm,https://www.sec.gov/Archives/edgar/data/1497770/000155837016003573/0001558370-16-003573-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837017000939/0001558370-17-000939-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837018001023/0001558370-18-001023-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837019001390/0001558370-19-001390-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837020001477/0001558370-20-001477-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837021001854/0001558370-21-001854-index.htm,https://www.sec.gov/Archives/edgar/data/1497770/000155837022001963/0001558370-22-001963-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6812000,10390000,33285000,53817000,65027000,170563000,113354000,136988000,118756000,191218000,90058000,120685000,321097000,305635000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6812000,10390000,33285000,53817000,65027000,170563000,113354000,136988000,118756000,191218000,90058000,120685000,321097000,305635000
34,Net Receivables,4468000,15790000,13829000,18501000,1151962000,443725000,1318409000,2754448000,2108194000,1060032000,1622058000,1382723000,65735000,2292730000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,123742000,121098000,321712000,294290000,40611000,55078000,81573000,77496000,94711000,104536000,137152000,130444000,-65735000,191808000
37,Total Current Assets,135022000,147278000,368826000,366608000,1257600000,669366000,1513336000,2968932000,2321661000,1355786000,1849268000,1633852000,321097000,2790173000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,59735000,61777000,76586000,91488000,97372000,123767000,177093000,180424000,- -,698635000
40,Intangible Assets,38943000,82825000,107455000,137079000,320168000,353024000,375907000,412348000,521930000,635532000,670146000,721334000,- -,1137749000
41,Intangible Assets,38943000,82825000,107455000,137079000,379903000,414801000,452493000,503836000,619302000,759299000,847239000,901758000,250838000,1836384000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,9382000,13629000,9339000,18909000,51130000,44799000,48198000,42223000,111469000,93342000,85550000,139589000,- -,579432000
45,Total Non-Current Assets,48325000,96454000,116794000,155988000,431033000,459600000,500691000,546059000,730771000,852641000,932789000,1041347000,250838000,2415816000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,183347000,243732000,485620000,522596000,1688633000,1128966000,2014027000,3514991000,3052432000,2208427000,2782057000,2675199000,571935000,5205989000
48,Accounts Payable,- -,- -,- -,- -,66763000,69206000,60635000,67684000,93211000,130479000,187407000,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15720000
52,Other Current Liabilities,9402000,23338000,33457000,46839000,- -,- -,- -,- -,- -,- -,- -,439418000,2517156000,- -
53,Total Current Liabilities,9402000,23338000,33457000,46839000,66763000,69206000,60635000,67684000,93211000,130479000,187407000,439418000,2517156000,15720000
54,Long-Term Debt,150610000,138324000,284968000,252216000,1165464000,546365000,1388011000,2813932000,2154346000,1101627000,1457392000,1200092000,- -,2681746000
55,Deferred Revenue,- -,- -,- -,- -,9503000,5234000,13668000,5112000,10480000,6461000,20335000,7996000,- -,- -
56,Deferred Tax Liabilities,- -,- -,30226000,39749000,56035000,74246000,84506000,101425000,139020000,108059000,125542000,146811000,- -,225240000
57,Other Non-Current Liabilities,9485000,12259000,12327000,20140000,37692000,31074000,33756000,34489000,40301000,46820000,84189000,278015000,- -,705076000
58,Total Non-Current Liabilities,160095000,150583000,327521000,312105000,1268694000,656919000,1519941000,2954958000,2344147000,1262967000,1687458000,1632914000,- -,3612062000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,937597000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,169497000,173921000,360978000,358944000,1335457000,726125000,1580576000,3022642000,2437358000,1393446000,1874865000,1632914000,3454753000,3627782000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,214000,217000,336000,340000,318000,295000,296000,300000,295000,300000,307000,320000
64,Retained Earnings,- -,- -,47381000,82245000,116017000,157547000,208969000,272030000,381031000,579943000,666752000,796775000,952943000,1154252000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75000,737000,1968000,2558000
66,Other Total Stockholders Equity,13850000,69811000,77047000,81190000,236823000,244954000,224164000,215575000,228889000,229173000,235152000,237877000,241004000,393022000
67,Total Stockholders Equity,13850000,30770000,124642000,163652000,353176000,402841000,433451000,487900000,610216000,809416000,902124000,1035689000,1196222000,1550152000
68,Total Liabilities And Stockholders Equity,183347000,204691000,485620000,522596000,1688633000,1128966000,2014027000,3510542000,3047574000,2202862000,2776989000,2668603000,4650975000,5177934000
69,Minority Interest,- -,39041000,- -,- -,- -,- -,- -,4449000,4858000,5565000,5068000,6596000,-4079040000,28055000
70,Total Liabilities & Equity,183347000,243732000,485620000,522596000,1688633000,1128966000,2014027000,3514991000,3052432000,2208427000,2782057000,2675199000,571935000,5205989000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1497770/000104746912002360/0001047469-12-002360-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000104746913002970/0001047469-13-002970-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000119312514089168/d646318d10k.htm,https://www.sec.gov/Archives/edgar/data/1497770/000119312515077598/d843655d10k.htm,https://www.sec.gov/Archives/edgar/data/1497770/000155837016003573/0001558370-16-003573-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837017000939/0001558370-17-000939-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837018001023/0001558370-18-001023-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837019001390/0001558370-19-001390-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837020001477/0001558370-20-001477-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837021001854/0001558370-21-001854-index.htm,https://www.sec.gov/Archives/edgar/data/1497770/000155837022001963/0001558370-22-001963-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,8700000,28657000,8227000,34864000,33772000,41530000,51422000,82128000,113897000,211127000,161439000,173373000,- -,265762000
74,Depreciation and Amortization,6759000,12917000,16959000,22514000,53925000,75955000,80138000,98173000,111427000,131246000,142134000,152472000,169011000,210284000
75,Deferred Income Tax,- -,- -,30226000,9523000,16042000,16954000,10298000,15509000,37595000,-30961000,17483000,22012000,47165000,34222000
76,Stock Based Compensation,- -,- -,49000,2422000,5176000,9194000,9994000,14084000,18477000,21134000,23959000,24075000,28319000,36582000
77,Change in Working Capital,-1926000,211429000,-15600000,871068000,-590677000,852541000,1448547000,-672798000,-1003143000,436554000,-467427000,-3390493000,4433787000,-21577000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19264000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,7128000,-19257000,12415000,7739000,22035000,22866000,-13957000,- -,- -,- -
81,Other Working Capital,123940000,335369000,319769000,1190837000,600160000,1452701000,2901248000,2228450000,1225307000,1661861000,1194434000,-2196059000,2237728000,- -
82,Other Non-Cash Items,-93008000,-232610000,-211152000,-882330000,-357421000,-159266000,-2329895000,-876734000,1481113000,298542000,186488000,3446122000,-6089652000,345182000
83,Cash Provided by Operating Activities,-79475000,20393000,-171291000,58061000,-839183000,836908000,-729496000,-1339638000,759366000,1067642000,64076000,427561000,-1411370000,870455000
84,CAPEX,-228000,-146000,-586000,-3758000,-4599000,-4519000,-2525000,-1413000,-2478000,-5207000,-4722000,-4711000,- -,-9208000
85,Acquisitions Net,- -,- -,- -,- -,-208109000,- -,-23417000,-12767000,-32243000,-38226000,-10674000,-8103000,-48466000,-520719000
86,Purchases of Investments,- -,- -,- -,- -,- -,-147820000,-339802000,-180375000,-414763000,-183916000,-696331000,-393535000,-1682000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,21700000,250104000,172323000,425820000,219516000,161303000,342588000,- -,- -
88,Other Investing Activites,-228000,-146000,-586000,-3758000,-14022000,-4519000,-2525000,-1413000,-45575000,106762000,-6536000,-20655000,165327000,143168000
89,Cash Used for Investing Activites,-228000,-146000,-586000,-3758000,-222131000,-130639000,-115640000,-22232000,-66761000,104136000,-552238000,-79705000,115179000,-377551000
90,Debt Repayment,77373000,-15608000,-5340000,-3752000,- -,-895112000,-203741000,-130361000,-1006687000,-1194056000,-227273000,-437985000,- -,-1231996000
91,Common Stock Issued,- -,- -,58369000,2054000,151073000,1139000,7756000,7553000,3765000,3013000,8949000,5511000,14021000,5252000
92,Common Stock Repurchased,-354000,-13000,- -,-473000,-741000,-3025000,-37593000,-50261000,-12893000,-34899000,-68832000,-30676000,-45774000,-18872000
93,Dividends Paid,-7553000,-10050000,-10237000,-1750000,- -,- -,- -,- -,- -,- -,-31445000,-37272000,-45350000,-64453000
94,Other Financing Activites,-388000,9002000,151980000,-29850000,922192000,296265000,1021505000,1558573000,322193000,136451000,640431000,168784000,1594730000,852343000
95,Cash Used/Provided by Financing Activities,69078000,-16669000,194772000,-33771000,1072524000,-600733000,787927000,1385504000,-693622000,-1089491000,321830000,-331638000,1517627000,-457726000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-10625000,3578000,22895000,20532000,11210000,105536000,-57209000,23634000,-1017000,82287000,-166332000,16218000,221436000,35178000
98,Cash at the End of Period,6812000,10390000,33285000,53817000,65027000,170563000,113354000,136988000,213467000,295754000,120348000,136566000,358002000,393180000
99,Cash at the Beginning of Period,17437000,6812000,10390000,33285000,53817000,65027000,170563000,113354000,214484000,213467000,286680000,120348000,136566000,358002000
100,Free Cash Flow,-79703000,20247000,-171877000,54303000,-843782000,832389000,-732021000,-1341051000,756888000,1062435000,59354000,422850000,-1411370000,861247000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1497770/000104746912002360/0001047469-12-002360-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000104746913002970/0001047469-13-002970-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000119312514089168/d646318d10k.htm,https://www.sec.gov/Archives/edgar/data/1497770/000119312515077598/d843655d10k.htm,https://www.sec.gov/Archives/edgar/data/1497770/000155837016003573/0001558370-16-003573-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837017000939/0001558370-17-000939-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837018001023/0001558370-18-001023-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837019001390/0001558370-19-001390-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837020001477/0001558370-20-001477-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837021001854/0001558370-21-001854-index.htm,https://www.sec.gov/Archives/edgar/data/1497770/000155837022001963/0001558370-22-001963-index.htm
102,false,,,,,,,,,,,,,,
