,https://roic.ai/company/TECK,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,655000000,565000000,595000000,397000000,253000000,217000000,225000000,224000000,64000000,75000000,88000000,108000000,5000000
14,Depreciation and Amortization,- -,50200000,54700000,79900000,89400000,93800000,96300000,96200000,126000000,226000000,199000000,218000000,275000000,274000000,264445480,332704340,513598834,928000000,940000000,911000000,951000000,1233000000,1344000000,1366000000,1385000000,1467000000,1483000000,1619000000,1510000000,1583000000
15,EBITDA,- -,118400000,158600000,206500000,471600000,-160900000,26000000,125400000,252000000,261000000,234000000,428000000,1197000000,2194000000,3910764212,2742079650,1830985915,4109000000,4297000000,5572000000,2774000000,3080000000,2265000000,-1719000000,3236000000,5478000000,6030000000,1222000000,562000000,6073000000
16,EBITDA ratio,- -,0.2525,0.2925,0.2955,0.6715,-0.2339,0.0374,0.2016,0.2090,0.1097,0.1070,0.1776,0.3492,0.4969,0.5981,0.4304,0.2652,0.5354,0.4601,0.4839,0.2682,0.3283,0.2634,-0.2081,0.3480,0.4547,0.4799,0.1024,0.0628,0.4505
17,Operating Income,- -,89200000,93000000,116000000,373200000,-267600000,-41400000,-11900000,171000000,101000000,77000000,-16000000,725000000,1560000000,3561276794,2738107061,1395094706,- -,- -,4456000000,2785000000,1977000000,1048000000,-2918000000,1725000000,4333000000,4784000000,-150000000,-910000000,4850000000
18,Operating Income ratio,- -,0.1902,0.1715,0.1660,0.5314,-0.3890,-0.0595,-0.0191,0.1418,0.0425,0.0352,-0.0066,0.2115,0.3533,0.5446,0.4298,0.2021,- -,- -,0.3870,0.2693,0.2107,0.1219,-0.3533,0.1855,0.3596,0.3808,-0.0126,-0.1017,0.3598
19,Total Other Income Expenses (Gains),- -,-21000000,10900000,10600000,9000000,12900000,-28900000,41100000,-45000000,-66000000,-42000000,226000000,174000000,360000000,48928239,-230410170,- -,142000000,-300000000,-290000000,-1300000000,-334000000,-324000000,-402000000,-97000000,-357000000,-274000000,-318000000,-226000000,-318000000
20,Income Before Tax,- -,68200000,103900000,126600000,382200000,-254700000,-70300000,29200000,126000000,35000000,35000000,210000000,899000000,1920000000,3610205033,2507696891,1395094706,2640000000,2915000000,4166000000,1485000000,1643000000,724000000,-3320000000,1628000000,3976000000,4510000000,-468000000,-1136000000,4532000000
21,Income Before Tax Ratio,- -,0.1454,0.1916,0.1812,0.5442,-0.3702,-0.1011,0.0469,0.1045,0.0147,0.0160,0.0871,0.2623,0.4349,0.5521,0.3936,0.2021,0.3440,0.3121,0.3618,0.1436,0.1751,0.0842,-0.4020,0.1751,0.3300,0.3590,-0.0392,-0.1270,0.3362
22,Income Tax expense (Gain),- -,39000000,34800000,37000000,127400000,-79100000,-21200000,-16000000,41000000,56000000,5000000,61000000,305000000,575000000,1215051258,794517827,658086450,695000000,932000000,1398000000,615000000,633000000,342000000,-836000000,587000000,1438000000,1365000000,120000000,-192000000,1617000000
23,Net Income,- -,29200000,69100000,89600000,254800000,-175600000,-49100000,45200000,85000000,-21000000,30000000,149000000,617000000,1345000000,2431267474,1614857483,659300631,1831000000,1860000000,2668000000,811000000,961000000,362000000,-2474000000,1040000000,2509000000,3107000000,-605000000,-864000000,2868000000
24,Net Income ratio,- -,0.0623,0.1274,0.1282,0.3628,-0.2552,-0.0706,0.0727,0.0705,-0.0088,0.0137,0.0618,0.1800,0.3046,0.3718,0.2535,0.0955,0.2386,0.1992,0.2317,0.0784,0.1024,0.0421,-0.2996,0.1118,0.2083,0.2473,-0.0507,-0.0966,0.2127
25,EPS,- -,0.17,0.39,0.48,1.32,-0.91,-0.26,0.93,0.39,-0.09,0.07,0.40,1.59,3.31,5.76,3.74,1.46,3.43,3.15,4.52,1.39,1.66,0.63,-4.29,1.80,4.34,5.41,-1.08,-1.62,5.37
26,EPS Diluted,- -,0.17,0.39,0.48,1.26,-0.91,-0.26,0.93,0.39,-0.09,0.07,0.38,1.50,3.11,5.60,3.72,1.45,3.42,3.14,4.50,1.38,1.66,0.63,-4.29,1.78,4.28,5.34,-1.08,-1.62,5.37
27,Weighted Average Shares Outstanding,- -,166857143,179480519,184742268,192301887,194033149,192549020,120000000,220779221,216666667,400000000,369646000,385986000,405000000,421200000,431500000,452100000,589100000,589500000,590400000,585500000,578300000,576200000,576200000,576400000,577500000,573900000,559800000,534400000,534400000
28,Weighted Average Shares Outstanding Diluted,- -,166857143,179480519,184742268,202222222,194033149,192549020,120000000,224294737,232835821,400000000,392105263,412709030,432475884,434154906,434101474,454690090,589100000,590600000,592888889,587681159,578300000,576200000,576200000,576900000,586214953,582100000,559800000,534400000,534400000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886986/000095014209000426/0000950142-09-000426-index.html,https://www.sec.gov/Archives/edgar/data/886986/000095014210000496/0000950142-10-000496-index.html,- -,https://www.sec.gov/Archives/edgar/data/886986/000095014212000605/0000950142-12-000605-index.html,https://www.sec.gov/Archives/edgar/data/886986/000095014213000574/0000950142-13-000574-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/886986/000095014216003244/0000950142-16-003244-index.html,https://www.sec.gov/Archives/edgar/data/886986/000095014217000426/0000950142-17-000426-index.html,https://www.sec.gov/Archives/edgar/data/886986/000119312518064855/0001193125-18-064855-index.html,https://www.sec.gov/Archives/edgar/data/886986/000119312519055171/0001193125-19-055171-index.html,https://www.sec.gov/Archives/edgar/data/886986/000095014220000606/0000950142-20-000606-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,253100000,131700000,132300000,381700000,265300000,196000000,199000000,266000000,101000000,91000000,96000000,907000000,3084000000,5053588071,1408282848,849927149,1329000000,832000000,4405000000,3267000000,2772000000,2029000000,1887000000,1407000000,952000000,1734000000,1026000000,450000000,1427000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227166822,- -,10927635,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,253100000,131700000,132300000,381700000,265300000,196000000,199000000,266000000,101000000,91000000,96000000,907000000,3084000000,5280754893,1408282848,860854784,1329000000,832000000,4405000000,3267000000,2772000000,2029000000,1887000000,1407000000,952000000,1734000000,1026000000,450000000,1427000000
34,Net Receivables,- -,15500000,18400000,59300000,58500000,72900000,76000000,57000000,292000000,242000000,235000000,315000000,364000000,531000000,723438956,592908928,1898980087,881000000,1094000000,1343000000,1426000000,1303000000,1136000000,1298000000,1682000000,1839000000,1258000000,1157000000,1326000000,1987000000
35,Inventory,- -,52600000,45300000,44500000,60600000,51800000,64000000,58000000,466000000,540000000,495000000,387000000,410000000,652000000,786346692,1004071904,1339242351,1375000000,1380000000,1641000000,1880000000,1695000000,1752000000,1620000000,1673000000,1637000000,2065000000,1981000000,1872000000,2390000000
36,Other Current Assets,- -,26400000,31400000,37800000,39000000,40000000,40000000,37000000,172000000,161000000,134000000,135000000,130000000,- -,104846225,1,- -,91000000,- -,- -,- -,- -,- -,- -,- -,350000000,260000000,331000000,352000000,299000000
37,Total Current Assets,- -,347600000,226800000,273900000,539800000,430000000,376000000,351000000,1196000000,1044000000,955000000,933000000,1811000000,4267000000,6895386766,3005263681,4099077222,3676000000,3306000000,7389000000,6573000000,5770000000,4917000000,4805000000,4762000000,4778000000,5317000000,4495000000,4000000000,6103000000
38,PP&E,- -,757600000,893500000,860400000,907700000,864800000,1042000000,1145000000,3283000000,3298000000,3393000000,3615000000,3488000000,3532000000,3838536813,7807130797,23908450704,22426000000,21886000000,23150000000,24377000000,27811000000,28925000000,26791000000,27595000000,29045000000,31050000000,31355000000,33578000000,37382000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,663422386,1724137931,1662000000,1637000000,1647000000,1637000000,1668000000,1710000000,1127000000,1114000000,1087000000,1121000000,1101000000,1093000000,1091000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000000,81000000,79000000,74000000,76000000,80000000,162000000,309000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,663422386,1724137931,1662000000,1637000000,1647000000,1637000000,1753000000,1791000000,1206000000,1188000000,1163000000,1201000000,1263000000,1402000000,1091000000
42,Investments,- -,- -,- -,- -,- -,- -,961000000,1166000000,454000000,606000000,- -,- -,- -,- -,- -,- -,- -,1252000000,1371000000,1853000000,1496000000,284000000,302000000,1137000000,1175000000,1099000000,1238000000,1262000000,1245000000,2631000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,151000000,148000000,494000000,509000000,139000000,130000000,137000000,- -,102516309,69520310,356969403,- -,- -,180000000,229000000,164000000,361000000,90000000,112000000,154000000,160000000,211000000,271000000,161000000
44,Other Non-Current Assets,- -,363900000,680300000,855300000,1132600000,1064300000,-151000000,-148000000,-325000000,-304000000,471000000,589000000,623000000,1010000000,610438024,2028006753,1444876153,857000000,1009000000,- -,305000000,401000000,543000000,659000000,797000000,819000000,660000000,764000000,782000000,- -
45,Total Non-Current Assets,- -,1121500000,1573800000,1715700000,2040300000,1929100000,2003000000,2311000000,3906000000,4109000000,4003000000,4334000000,4248000000,4542000000,4551491146,10568080246,27434434191,26197000000,25903000000,26830000000,28044000000,30413000000,31922000000,29883000000,30867000000,32280000000,34309000000,34855000000,37278000000,41265000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1469100000,1800600000,1989600000,2580100000,2359100000,2379000000,2662000000,5102000000,5153000000,4958000000,5267000000,6059000000,8809000000,11446877912,13573343927,31533511413,29873000000,29209000000,34219000000,34617000000,36183000000,36839000000,34688000000,35629000000,37058000000,39626000000,39350000000,41278000000,47368000000
48,Accounts Payable,- -,52300000,70000000,79400000,91700000,103300000,- -,- -,- -,- -,294000000,334000000,422000000,442000000,414725070,505511967,670228266,- -,1498000000,787000000,792000000,890000000,793000000,810000000,986000000,1150000000,1230000000,1323000000,1489000000,3255000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,7600000,- -,- -,26000000,58000000,38000000,213000000,104846226,30787566,7771976688,1121000000,65000000,359000000,35000000,59000000,428000000,28000000,99000000,55000000,32000000,189000000,234000000,340000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000000,55000000,61000000,59000000,25000000,199000000,273000000,151000000,89000000,102000000,165000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000000,18000000,19000000,67000000,46000000,- -,- -
52,Other Current Liabilities,- -,29600000,17800000,23200000,18000000,2200000,108000000,94400000,436000000,435000000,- -,- -,- -,460000000,1168452935,813387626,835356969,1252000000,177000000,976000000,993000000,1214000000,1188000000,857000000,1097000000,1417000000,1187000000,1218000000,1522000000,165000000
53,Total Current Liabilities,- -,81900000,87800000,102600000,109700000,105500000,108000000,102000000,436000000,435000000,320000000,392000000,460000000,1115000000,1688024231,1349687159,9277561923,2373000000,1740000000,2122000000,1820000000,2163000000,2409000000,1726000000,2200000000,2641000000,2516000000,2776000000,3245000000,3760000000
54,Long-Term Debt,- -,242000000,475800000,400900000,599300000,664300000,700000000,673000000,1123000000,1253000000,933000000,1045000000,627000000,1756000000,1508620690,1491707220,5101991258,6883000000,4883000000,6676000000,7160000000,7664000000,8013000000,9606000000,8244000000,6314000000,5487000000,5557000000,7647000000,8991000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,169000000,183700000,189700000,289200000,185400000,- -,- -,- -,- -,556000000,669000000,895000000,907000000,879543336,1925712583,4964788732,5007000000,5223000000,5342000000,5447000000,5908000000,6091000000,4828000000,4896000000,5398000000,6331000000,5902000000,5383000000,5973000000
57,Other Non-Current Liabilities,- -,- -,20700000,32200000,52300000,60000000,257000000,274000000,1848000000,905000000,599000000,632000000,856000000,648000000,821295433,995133579,1185041283,1029000000,1187000000,2186000000,2213000000,1637000000,1490000000,1891000000,2688000000,3180000000,2274000000,3041000000,4295000000,4871000000
58,Total Non-Current Liabilities,- -,411000000,680200000,622800000,940800000,909700000,957000000,947000000,2971000000,2158000000,2088000000,2346000000,2378000000,3311000000,3209459459,4412553382,11251821273,12919000000,11293000000,14204000000,14820000000,15209000000,15594000000,16325000000,15828000000,14892000000,14092000000,14500000000,17325000000,19835000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6418918919,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,58000000,38000000,213000000,104846226,30787566,7771976688,- -,- -,- -,- -,- -,- -,- -,- -,313000000,338000000,672000000,692000000,694000000
61,Total Liabilities,- -,492900000,768000000,725400000,1050500000,1015200000,1065000000,1049000000,3407000000,2593000000,2408000000,2738000000,2838000000,4426000000,4897483691,5762240541,20529383196,15292000000,13033000000,16326000000,16640000000,17372000000,18003000000,18051000000,18028000000,17533000000,16608000000,17276000000,20570000000,23595000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,729000000,877000000,875000000,1786000000,- -,- -,- -,2155000000,- -,- -,- -,- -,- -,- -,6706000000,6510000000,6509000000,6634000000,6644000000,6609000000,6601000000,6329000000,6140000000,- -
64,Retained Earnings,- -,399800000,450900000,521800000,757300000,562400000,494000000,516000000,572000000,502000000,472000000,581000000,1049000000,2228000000,4225302889,5038236170,5475959203,7307000000,8872000000,10858000000,11017000000,11853000000,11723000000,9174000000,10183000000,12308000000,15495000000,14447000000,13410000000,- -
65,Other Comprehensive Income/Loss,- -,-374700000,-418800000,-504700000,-586800000,-690200000,78000000,338000000,396000000,444000000,262000000,114000000,48000000,-168000000,-144454800,-671367564,263477416,341000000,294000000,16000000,-35000000,104000000,225000000,426000000,422000000,264000000,584000000,309000000,247000000,- -
66,Other Total Stockholders Equity,- -,951100000,1000500000,1247100000,1359100000,1471700000,13000000,- -,- -,- -,- -,- -,- -,168000000,- -,- -,- -,- -,- -,- -,113000000,130000000,149000000,173000000,193000000,202000000,204000000,219000000,242000000,- -
67,Total Stockholders Equity,- -,976200000,1032600000,1264200000,1529600000,1343900000,1314000000,1613000000,1695000000,2560000000,2520000000,2505000000,3221000000,4383000000,6549394222,7718740689,10899708596,14490000000,16052000000,17721000000,17801000000,18597000000,18606000000,16407000000,17442000000,19383000000,22884000000,21304000000,20039000000,23005000000
68,Total Liabilities And Stockholders Equity,- -,1469100000,1800600000,1989600000,2580100000,2359100000,2379000000,2662000000,5102000000,5153000000,4928000000,5243000000,6059000000,8809000000,11446877913,13480981230,31429091792,29782000000,29085000000,34047000000,34441000000,35969000000,36609000000,34458000000,35470000000,36916000000,39492000000,38580000000,40609000000,46600000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,24000000,- -,- -,-1,92362697,104419621,91000000,124000000,172000000,176000000,214000000,230000000,230000000,159000000,142000000,134000000,770000000,669000000,768000000
70,Total Liabilities & Equity,- -,1469100000,1800600000,1989600000,2580100000,2359100000,2379000000,2662000000,5102000000,5153000000,4958000000,5267000000,6059000000,8809000000,11446877912,13573343927,31533511413,29873000000,29209000000,34219000000,34617000000,36183000000,36839000000,34688000000,35629000000,37058000000,39626000000,39350000000,41278000000,47368000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886986/000095014209000426/0000950142-09-000426-index.html,https://www.sec.gov/Archives/edgar/data/886986/000095014210000496/0000950142-10-000496-index.html,- -,https://www.sec.gov/Archives/edgar/data/886986/000095014212000605/0000950142-12-000605-index.html,https://www.sec.gov/Archives/edgar/data/886986/000095014213000574/0000950142-13-000574-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/886986/000095014216003244/0000950142-16-003244-index.html,https://www.sec.gov/Archives/edgar/data/886986/000095014217000426/0000950142-17-000426-index.html,https://www.sec.gov/Archives/edgar/data/886986/000119312518064855/0001193125-18-064855-index.html,https://www.sec.gov/Archives/edgar/data/886986/000119312519055171/0001193125-19-055171-index.html,https://www.sec.gov/Archives/edgar/data/886986/000095014220000606/0000950142-20-000606-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,29200000,69100000,89600000,254800000,-175600000,-49100000,45200000,85000000,-21000000,30000000,149000000,617000000,1345000000,2431267474,1614857483,659300631,1831000000,1860000000,2668000000,811000000,961000000,362000000,-2474000000,1040000000,2509000000,3107000000,-605000000,-864000000,2868000000
74,Depreciation and Amortization,- -,50200000,54700000,79900000,89400000,93800000,96300000,96200000,126000000,226000000,199000000,218000000,275000000,274000000,264445480,332704340,513598834,928000000,940000000,911000000,951000000,1233000000,1344000000,1366000000,1385000000,1467000000,1483000000,1619000000,1510000000,1583000000
75,Deferred Income Tax,- -,4100000,8500000,4700000,99500000,- -,-5500000,-14600000,-2000000,48000000,-22000000,17000000,199000000,128000000,59412861,-97328434,1488586693,185000000,- -,- -,98000000,106000000,-55000000,-836000000,587000000,1438000000,1365000000,120000000,-192000000,1617000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,16000000,-14600000,-8900000,-400000,-6600000,23400000,15000000,-119000000,51000000,62000000,-27000000,-23000000,299394222,-282053829,-1563865954,709000000,-62000000,-674000000,-388000000,235000000,274000000,203000000,-360000000,94000000,-29000000,-160000000,-241000000,-874000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-243000000,-119000000,199000000,239000000,18000000,-480000000,-250000000,282000000,97000000,- -,- -
79,Inventory,- -,- -,4000000,800000,-16100000,8800000,-11800000,5500000,4000000,-85000000,47000000,101000000,-29000000,-122000000,-117660764,-94348992,112918893,-112000000,-31000000,-304000000,-220000000,93000000,133000000,242000000,-86000000,-1000000,-338000000,16000000,100000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-127000000,-49000000,-57000000,-98000000,-57000000,206000000,345000000,53000000,-204000000,55000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,54000000,-10800000,-19100000,-285500000,222000000,86300000,-16800000,30000000,165000000,-6000000,-46000000,55000000,-77000000,-149114632,150958388,1072122389,-686000000,5000000,1052000000,1323000000,343000000,353000000,3692000000,404000000,-442000000,-1488000000,2510000000,1350000000,-456000000
83,Cash Provided by Operating Activities,- -,137500000,137500000,140500000,149300000,139800000,121400000,133400000,254000000,299000000,252000000,400000000,1119000000,1647000000,2905405405,1719137948,2169742593,2967000000,2743000000,3957000000,2795000000,2878000000,2278000000,1951000000,3056000000,5066000000,4438000000,3484000000,1563000000,4738000000
84,CAPEX,- -,-184900000,-154100000,-90300000,-153900000,-202100000,-82400000,-237400000,-211000000,-346000000,-187000000,-162000000,-216000000,-326000000,-488117428,-571059688,-938562409,-590000000,-810000000,-1236000000,-1809000000,-2602000000,-2213000000,-2244000000,-1893000000,-2299000000,-2613000000,-3468000000,-3628000000,-4713000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80000000,- -,- -,-2588141821,-11639145216,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-5600000,-271700000,-135100000,-59700000,-70200000,-20500000,- -,- -,-36000000,-18000000,-22000000,-52000000,-220000000,-174743709,-1322872182,-670228266,-372000000,-46000000,-463000000,-758000000,-325000000,-44000000,-82000000,-114000000,-309000000,-284000000,-178000000,-190000000,-160000000
87,Sales/Maturities of Investments,- -,9800000,1400000,9900000,47900000,16500000,19700000,38300000,- -,- -,- -,- -,21000000,118000000,1644920783,388320588,29140359,392000000,1239000000,289000000,51000000,502000000,34000000,1222000000,170000000,109000000,1292000000,80000000,146000000,54000000
88,Other Investing Activites,- -,-27800000,100000,100000,73000000,- -,-63800000,-191600000,159000000,-284000000,28000000,-113000000,122000000,- -,-106011184,104280464,186983973,231000000,91000000,- -,- -,-744000000,-715000000,-663000000,-477000000,-678000000,-707000000,-680000000,-499000000,-4713000000
89,Cash Used for Investing Activites,- -,-208500000,-424300000,-215400000,-92700000,-255800000,-147000000,-390700000,-52000000,-666000000,-177000000,-297000000,-205000000,-428000000,876048462,-3989472639,-13031811559,-339000000,474000000,-1410000000,-2516000000,-2425000000,-2223000000,-1104000000,-1837000000,-2499000000,-1605000000,-3566000000,-3672000000,-4819000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8141000000,-5054000000,-104000000,-3027000000,-39000000,-70000000,-476000000,-2560000000,-1929000000,-1410000000,-985000000,-620000000,-294000000
91,Common Stock Issued,- -,123100000,5200000,160700000,5800000,9300000,- -,155900000,- -,19000000,1000000,24000000,126000000,28000000,16309413,12910915,6070908,1670000000,33000000,- -,2000000,1000000,- -,- -,8000000,26000000,54000000,10000000,1000000,50000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-500000,- -,-30000000,-20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-171000000,-129000000,-176000000,-5000000,- -,- -,-175000000,-189000000,-661000000,-207000000,- -
93,Dividends Paid,- -,-16800000,-17900000,-18700000,-19300000,-19400000,-19400000,-21400000,-27000000,-35000000,-37000000,-37000000,-60000000,-81000000,-295899348,-426060185,-441962118,-69000000,-207000000,-354000000,-469000000,-521000000,-518000000,-374000000,-58000000,-344000000,-172000000,-111000000,-106000000,-106000000
94,Other Financing Activites,- -,3100000,178100000,-66400000,206300000,9700000,-24100000,134100000,-76000000,236000000,-49000000,-78000000,-129000000,1045000000,-555684995,-627669083,10499028655,4462000000,1560000000,1480000000,2289000000,-393000000,-392000000,-443000000,975000000,-551000000,-447000000,1210000000,2460000000,1406000000
95,Cash Used/Provided by Financing Activities,- -,109400000,165400000,75600000,192800000,-400000,-44000000,268600000,-133000000,200000000,-85000000,-91000000,-63000000,992000000,-835274930,-1040818353,10063137445,-2078000000,-3668000000,851000000,-1334000000,-1128000000,-985000000,-1293000000,-1635000000,-2973000000,-2164000000,-537000000,1528000000,1056000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-8100000,-2000000,2000000,- -,-7000000,-40000000,-34000000,10484623,-334690635,240407965,-71000000,-46000000,175000000,-83000000,180000000,187000000,304000000,-64000000,-49000000,113000000,-89000000,5000000,2000000
97,Net Change In Cash,- -,38300000,-121400000,600000,249400000,-116400000,-69700000,3200000,67000000,-165000000,-10000000,5000000,811000000,2177000000,2955498602,-3645843679,-558523555,479000000,-497000000,3573000000,-1138000000,-495000000,-743000000,-142000000,-480000000,-455000000,782000000,-708000000,-576000000,977000000
