,https://roic.ai/company/CNGT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-Infinity,- -,- -,- -,Infinity,-Infinity,-Infinity,-Infinity,-8656.8853,-15.9581,-0.8157,-1.5777,-Infinity,-Infinity
25,EPS,-20.00,- -,- -,- -,16.00,-0.15,-0.21,-0.80,-49.12,-1.05,-0.13,-0.14,-0.02,-0.02
26,EPS Diluted,-20.00,- -,- -,- -,16.00,-0.15,-0.21,-0.80,-49.12,-1.05,-0.13,-0.14,-0.02,-0.02
27,Weighted Average Shares Outstanding,17136,- -,- -,- -,20000,38231,417163,841823,1341533,12565645,14355645,26008484,98213338,151200965
28,Weighted Average Shares Outstanding Diluted,17136,- -,- -,- -,20000,38231,417163,841823,1341533,12565645,14355645,26008484,98213338,151200965
29,SEC Link,- -,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1304741/000121390014007551/0001213900-14-007551-index.html,https://www.sec.gov/Archives/edgar/data/1304741/000121390015008582/f10k2015_preciousinvest.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357717000057/mainbody.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357718000156/mainbody.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357719000112/mainbody.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357720000015/cngt10k.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357720000425/0001663577-20-000425-index.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357721000582/0001663577-21-000582-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10506,- -,- -,- -,- -,- -,- -,- -,- -,10997,14238,630,685,30007
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10506,- -,- -,- -,- -,- -,- -,- -,- -,10997,14238,630,685,30007
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,24407,1770546,500666,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,1314976,203000,- -,- -,- -,- -
36,Other Current Assets,24681,- -,- -,- -,- -,- -,- -,- -,- -,- -,11154,16515,23033,15000
37,Total Current Assets,35187,- -,- -,- -,- -,- -,- -,- -,1314976,238404,1795938,517811,23718,45007
38,PP&E,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,45130,54296,31442,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36711,155815,3634,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,81841,210111,35076,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,35187,- -,- -,- -,- -,- -,50000,- -,1314976,238404,1877779,727922,58794,45007
48,Accounts Payable,43113,- -,- -,- -,- -,- -,- -,151336,102037,248408,830079,893957,607961,1058606
49,Short-Term Debt,244921,- -,- -,- -,- -,289140,305590,328735,39151,25898,1339285,2568749,2614759,2849996
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,6476,- -,- -,- -,- -,29346,86051,45949,159717,691202,406274,365945,1483532,1783108
53,Total Current Liabilities,294510,- -,- -,- -,- -,318486,391641,526020,300905,965508,2575638,3828651,4706252,5691710
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,16200,- -,- -,442498,175000,- -,2426254,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,-2412693,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,16200,- -,- -,442498,175000,1,13561,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57064,- -
61,Total Liabilities,294510,- -,- -,- -,- -,318486,407841,526020,300905,1408006,2750638,3828652,4719813,5691710
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,250,250,- -,1000,8000,10000,10000
63,Common Stock,34272,- -,- -,- -,- -,3571,53571,3377,26751,12566,14267,93029,105099,189561
64,Retained Earnings,-628130,- -,- -,- -,-370000,-693293,-782648,-1443845,-67359015,-79507419,-2113694,-5770449,-13221838,-15612191
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-237945,-244132,- -,- -
66,Other Total Stockholders Equity,334535,- -,- -,- -,- -,371236,371236,914198,68346085,78346183,1463513,2812822,8445720,9765927
67,Total Stockholders Equity,-259323,- -,- -,- -,- -,-318486,-357841,-526020,1014071,-1148670,-872859,-3100730,-4661019,-5646703
68,Total Liabilities And Stockholders Equity,35187,- -,- -,- -,- -,- -,50000,- -,1314976,259336,1877779,727922,58794,45007
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20932,- -,- -,- -,- -
70,Total Liabilities & Equity,35187,- -,- -,- -,- -,- -,50000,- -,1314976,238404,1877779,727922,58794,45007
71,SEC Link,- -,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1304741/000121390014007551/0001213900-14-007551-index.html,https://www.sec.gov/Archives/edgar/data/1304741/000121390015008582/f10k2015_preciousinvest.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357717000057/mainbody.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357718000156/mainbody.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357719000112/mainbody.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357720000015/cngt10k.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357720000425/0001663577-20-000425-index.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357721000582/0001663577-21-000582-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-370000,- -,- -,- -,320000,-10000,-90000,-661200,-64926640,-13187280,-1811500,-3675860,-2682500,-2390353
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15802,8806,52413,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,960135,- -
77,Change in Working Capital,-327415,- -,- -,- -,259323,-318486,-73155,-134379,1540091,-1741175,-52596,-2531140,-1371694,-964169
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24407,-537139,62780,498766,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,10782677,3249943,203000,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,208204,192549,581671,63878,-233162,515620
81,Other Working Capital,-259323,- -,- -,- -,- -,-318486,-391641,-526020,1014071,-727104,-779700,-3310840,-4682534,-5646703
82,Other Non-Cash Items,493496,- -,- -,- -,-579323,322486,146705,752669,63237194,15439307,1687982,5133920,2427963,2806484
83,Cash Provided by Operating Activities,-203919,- -,- -,- -,- -,-6000,-16450,-42910,-149355,510852,-160312,-1064274,-613683,-548038
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36711,-17972,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124858,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36711,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33077,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8462,-152181,54296,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48741,-137076,179154,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-942352,-319544,-46227,-248287,-10000
91,Common Stock Issued,- -,- -,- -,- -,- -,6000,- -,- -,35586,- -,1701,- -,75000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-45000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,100000,- -,- -,- -,- -,- -,61450,42910,113769,442497,530137,1233969,607871,587360
95,Cash Used/Provided by Financing Activities,100000,- -,- -,- -,- -,6000,16450,42910,149355,-499855,212294,1187742,434584,577360
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-103919,- -,- -,- -,- -,- -,- -,- -,- -,- -,3241,-13608,55,29322
98,Cash at the End of Period,10506,- -,- -,- -,10000,- -,- -,- -,- -,10997,14238,630,685,30007
99,Cash at the Beginning of Period,114425,- -,- -,- -,10000,- -,- -,- -,- -,- -,10997,14238,630,685
100,Free Cash Flow,-203919,- -,- -,- -,- -,-6000,-16450,-42910,-149355,510852,-180804,-1082246,-613683,-548038
101,SEC Link,- -,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1304741/000121390014007551/0001213900-14-007551-index.html,https://www.sec.gov/Archives/edgar/data/1304741/000121390015008582/f10k2015_preciousinvest.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357717000057/mainbody.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357718000156/mainbody.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357719000112/mainbody.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357720000015/cngt10k.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357720000425/0001663577-20-000425-index.htm,https://www.sec.gov/Archives/edgar/data/1304741/000166357721000582/0001663577-21-000582-index.htm
102,false,,,,,,,,,,,,,,
