,https://roic.ai/company/IRIX,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,- -,5400000,6100000,- -,7610000,8010000,8070000,8040000,- -,6550000,6589000,6050000,8880000,- -,8200000,7480000,5551000,5480000,7350000,- -,8337000,10025000,7863000,9083000,9323000,- -,7289000
35,Inventory,- -,1900000,4000000,- -,6500000,9720000,12560000,10730000,- -,8720000,8594000,9500000,15970000,- -,11640000,9000000,6659000,8040000,10610000,- -,9119000,11643000,9381000,8794000,8174000,- -,5714000
36,Other Current Assets,- -,5500000,4500000,- -,950000,800000,600000,1830000,- -,1910000,2300000,1270000,4840000,- -,540000,470000,6507000,1640000,570000,- -,2135000,450000,500000,547000,401000,- -,730000
37,Total Current Assets,- -,17800000,24500000,- -,25940000,31530000,30330000,32150000,- -,33470000,38917000,37870000,35500000,- -,25690000,26330000,29506000,27060000,31970000,- -,32894000,45865000,39451000,39618000,30551000,- -,25359000
38,PP&E,- -,700000,2100000,- -,2270000,1900000,1540000,950000,- -,850000,1114000,1090000,1620000,- -,830000,490000,325000,480000,540000,- -,735000,1534000,1403000,1220000,3494000,- -,449000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3240000,- -,- -,- -,533000,530000,530000,- -,533000,533000,533000,533000,533000,- -,533000
40,Intangible Assets,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,5940000,- -,1470000,1150000,745000,550000,330000,- -,284000,132000,116000,100000,84000,- -,68000
41,Intangible Assets,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,9180000,- -,1470000,1150000,1278000,1080000,860000,- -,817000,665000,649000,633000,617000,- -,601000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1073000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,5200000,100000,- -,70000,1600000,1920000,1170000,- -,1520000,- -,1220000,350000,- -,240000,320000,1040000,290000,310000,- -,7372000,80000,143000,201000,151000,- -,- -
45,Total Non-Current Assets,- -,5900000,2200000,- -,2440000,3500000,3460000,2120000,- -,2370000,2187000,2310000,11150000,- -,2540000,1960000,2643000,1850000,1710000,- -,8924000,2279000,2195000,2054000,4262000,- -,1050000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,23700000,26700000,- -,28380000,35030000,33790000,34270000,- -,35840000,41104000,40180000,46650000,- -,28230000,28290000,32149000,28910000,33680000,- -,41818000,48144000,41646000,41672000,34813000,- -,26409000
48,Accounts Payable,- -,500000,800000,- -,880000,1410000,1180000,660000,- -,1030000,1094000,1830000,2890000,- -,2420000,1870000,1580000,2110000,2280000,- -,1758000,1994000,1724000,2516000,2592000,- -,1148000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9879000,- -,6000000,3520000,- -,- -,- -,- -,- -,- -,- -,- -,1414000,- -,2658000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,304000,49000,111000,- -,107000,94000,57000,26000,24000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,972000,1072000,1415000,3350000,- -,2741000,2405000,1131000,1004000,1133000,- -,1179000,1879000,2520000,2225000,1450000,- -,938000
52,Other Current Liabilities,- -,1700000,2000000,- -,1610000,3120000,2780000,3410000,- -,3008000,4421000,4775000,11721000,- -,5319000,5325000,6202000,3256000,3947000,- -,4102000,4588000,6148000,5761000,4322000,- -,3937000
53,Total Current Liabilities,- -,2200000,2800000,- -,2490000,4530000,3960000,4070000,- -,5010000,6587000,8020000,27840000,- -,16480000,13120000,8913000,6370000,7360000,- -,7039000,8461000,10392000,10502000,9778000,- -,8681000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7151000,- -,14000,17000,360000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,810000,640000,460000,- -,-6108000,523000,718000,1192000,1610000,- -,22000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,810000,640000,460000,- -,1043000,523000,732000,1209000,2330000,- -,22000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1944000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3209000,- -,1691000
61,Total Liabilities,- -,2200000,2800000,- -,2490000,4530000,3960000,4070000,- -,5010000,6587000,8020000,27840000,- -,16480000,13270000,9723000,7010000,7820000,- -,8082000,8984000,11124000,11711000,12108000,- -,10603000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,- -,5000,5000,5000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,70000,70000,70000,70000,- -,70000,76000,80000,90000,- -,90000,90000,92000,90000,100000,- -,108000,124000,126000,145000,147000,- -,- -
64,Retained Earnings,- -,200000,2300000,- -,4010000,8050000,6770000,6920000,- -,7300000,8564000,2810000,-19460000,- -,-26830000,-24250000,-18590000,-17150000,-14920000,- -,-4883000,-16122000,-28989000,-41802000,-50615000,- -,- -
65,Other Comprehensive Income/Loss,- -,-700000,-900000,- -,20000,20000,-3540000,3000,- -,-1000,-27000,-6290000,-88000,- -,-192000,-212000,-35000,- -,- -,- -,- -,-10335000,-11049000,70000,80000,- -,-19000
66,Other Total Stockholders Equity,- -,22000000,22500000,- -,21790000,22360000,26530000,23205000,- -,23465000,25904000,35557000,38263000,- -,38673000,39393000,40954000,38960000,40674000,- -,38511000,65493000,70434000,71548000,73093000,- -,17385000
67,Total Stockholders Equity,- -,21500000,23900000,- -,25890000,30500000,29830000,30198000,- -,30834000,34517000,32157000,18810000,- -,11746000,15026000,22426000,21905000,25854000,- -,33736000,39160000,30522000,29961000,22705000,- -,17366000
68,Total Liabilities And Stockholders Equity,- -,23700000,26700000,- -,28380000,35030000,33790000,34268000,- -,35844000,41104000,40177000,46650000,- -,28226000,28296000,32149000,28915000,33674000,- -,41818000,48144000,41646000,41672000,34813000,- -,27969000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,2000,- -,-4000,- -,3000,- -,- -,4000,-6000,- -,-5000,6000,- -,- -,- -,- -,- -,- -,- -,-1560000
70,Total Liabilities & Equity,- -,23700000,26700000,- -,28380000,35030000,33790000,34270000,- -,35840000,41104000,40180000,46650000,- -,28230000,28290000,32149000,28910000,33680000,- -,41818000,48144000,41646000,41672000,34813000,- -,26409000
71,SEC Link,undefined,- -,- -,undefined,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1006045/000095013406006565/0000950134-06-006565-index.htm,https://www.sec.gov/Archives/edgar/data/1006045/000089161807000207/0000891618-07-000207-index.htm,https://www.sec.gov/Archives/edgar/data/1006045/000089161808000211/0000891618-08-000211-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1006045/000119312509070788/0001193125-09-070788-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000119312510073378/0001193125-10-073378-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000119312512143973/0001193125-12-143973-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000119312513132256/0001193125-13-132256-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000156459014001025/0001564590-14-001025-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1006045/000156459015002365/0001564590-15-002365-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000156459017004462/0001564590-17-004462-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000156459018005593/0001564590-18-005593-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000156459019010196/0001564590-19-010196-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000156459020010869/0001564590-20-010869-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1006045/000156459021014859/0001564590-21-014859-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1000000,1000000,2100000,- -,1700000,2416000,-1273000,150000,- -,371000,1671000,-2311000,-22272000,- -,-7370000,2585000,2610000,1438000,2231000,- -,10038000,-11713000,-12867000,-12813000,-8813000,- -,-6329000
74,Depreciation and Amortization,100000,200000,400000,- -,700000,893000,859000,869000,- -,703000,435000,542000,3818000,- -,3221000,899000,410000,427000,490000,- -,420000,648000,858000,809000,688000,- -,504000
75,Deferred Income Tax,- -,- -,- -,- -,-100000,-74000,-332000,-343000,- -,-220000,585000,2488000,- -,- -,- -,- -,- -,- -,- -,- -,-8776000,8985000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322000,360000,478000,388000,689000,- -,972000,1821000,1922000,1803000,1703000,- -,1119000
77,Change in Working Capital,-200000,15600000,6100000,- -,1750000,3160000,-630000,1710000,- -,380000,6990000,-2480000,-22190000,- -,1550000,4000000,3423000,97000,3920000,- -,1245000,14066000,-8345000,57000,-8343000,- -,-4095000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,469000,591000,-82000,38000,-1926000,- -,-1078000,-865000,2162000,-1159000,-271000,- -,1861000
79,Inventory,-400000,-600000,-2100000,- -,-2500000,-2750000,-3184000,1712000,- -,2067000,-436000,-609000,-6676000,- -,2881000,2783000,-981000,-1376000,-2514000,- -,1486000,-537000,2091000,463000,545000,- -,2382000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-472000,-543000,66000,525000,173000,- -,-520000,-229000,-270000,788000,76000,- -,-1445000
81,Other Working Capital,- -,15600000,21700000,- -,23450000,27000000,26370000,28080000,- -,28460000,32330000,29850000,7660000,- -,9210000,13210000,20593000,20690000,24610000,- -,25855000,37404000,29059000,29116000,20773000,- -,16678000
82,Other Non-Cash Items,- -,-18100000,-8700000,- -,-6050000,-6469000,-2259000,133000,- -,3869000,-6911000,376000,40122000,- -,2181000,-1046000,-3873000,-2793000,-6563000,- -,115000,-13951000,14867000,119000,6852000,- -,5564000
83,Cash Provided by Operating Activities,900000,-1300000,-100000,- -,-2000000,-74000,-3635000,2519000,- -,5103000,2770000,-1385000,-522000,- -,-96000,6798000,3048000,-443000,767000,- -,4014000,-144000,-3565000,-10025000,-7913000,- -,-3237000
84,CAPEX,-200000,-600000,-1800000,- -,-800000,-652000,-491000,-284000,- -,-603000,-340000,-515000,-947000,- -,- -,-232000,-203000,-394000,-380000,- -,-568000,-1062000,-575000,-440000,-128000,- -,-97000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60000,-25530000,- -,- -,- -,-75000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-61300000,-61700000,- -,-7700000,-3856000,-4489000,-2356000,- -,-5755000,-8770000,-18250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,51200000,59100000,- -,6200000,4375000,2989000,4489000,- -,2356000,7646000,27056000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-100000,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-223000,- -,- -,4304000,127000,- -,-459000,-406000,-207000,-387000,-381000,- -,4000
89,Cash Used for Investing Activites,-200000,-10800000,-4400000,- -,-2400000,-133000,-1991000,1849000,- -,-4002000,-1464000,8231000,-26477000,- -,-223000,-232000,-278000,3910000,-253000,- -,-1027000,-1468000,-782000,-827000,-509000,- -,-93000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48656000,-44788000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,100000,15800000,300000,- -,200000,560000,356000,205000,- -,254000,968000,1550000,5769000,- -,- -,5000,- -,- -,- -,- -,- -,14813000,2263000,10475000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-115000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-648000,-2835000,-426000,- -,-4665000,-59000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6079000,- -,48577000,42308000,321000,445000,1455000,- -,1537000,610000,44000,-96000,-156000,- -,2467000
95,Cash Used/Provided by Financing Activities,-100000,15800000,300000,- -,200000,560000,241000,205000,- -,254000,968000,1550000,11848000,- -,-79000,-2475000,-327000,-2390000,1029000,- -,-3128000,15364000,2307000,10379000,-156000,- -,2467000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-91000,- -,-104000,-20000,-1000,35000,- -,- -,- -,- -,- -,-40000,37000,- -,-164000
97,Net Change In Cash,-100000,15800000,300000,- -,200000,353000,-5385000,4573000,- -,1355000,2274000,8396000,-15242000,- -,-502000,4071000,2442000,1112000,1543000,- -,-141000,13752000,-2040000,-513000,-8541000,- -,-1027000
98,Cash at the End of Period,- -,- -,- -,- -,- -,9998000,4613000,9186000,- -,10541000,12655000,21051000,5809000,- -,5307000,9378000,10789000,11901000,13444000,- -,13303000,23747000,21707000,21194000,12653000,- -,11626000
99,Cash at the Beginning of Period,700000,1200000,14100000,- -,9900000,9645000,9998000,4613000,- -,9186000,10381000,12655000,21051000,- -,5809000,5307000,8347000,10789000,11901000,- -,13444000,9995000,23747000,21707000,21194000,- -,12653000
100,Free Cash Flow,700000,-1900000,-1900000,- -,-2800000,-726000,-4126000,2235000,- -,4500000,2430000,-1900000,-1469000,- -,-96000,6566000,2845000,-837000,387000,- -,3446000,-1206000,-4140000,-10465000,-8041000,- -,-3334000
101,SEC Link,- -,- -,- -,undefined,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1006045/000095013406006565/0000950134-06-006565-index.htm,https://www.sec.gov/Archives/edgar/data/1006045/000089161807000207/0000891618-07-000207-index.htm,https://www.sec.gov/Archives/edgar/data/1006045/000089161808000211/0000891618-08-000211-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1006045/000119312509070788/0001193125-09-070788-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000119312510073378/0001193125-10-073378-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000119312512143973/0001193125-12-143973-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000119312513132256/0001193125-13-132256-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000156459014001025/0001564590-14-001025-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1006045/000156459015002365/0001564590-15-002365-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000156459017004462/0001564590-17-004462-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000156459018005593/0001564590-18-005593-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000156459019010196/0001564590-19-010196-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000156459020010869/0001564590-20-010869-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1006045/000156459021014859/0001564590-21-014859-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
