,https://roic.ai/company/SGLB,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-4.7222,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.7844,-1.1147,-0.5831,-0.5917,-5.6375,-1.2368,-2.0881,-6.5810,-13.8399,-15.2060,-6.2924,-4.4206
17,Operating Income,-5983,-5366,-5955,-6504,-6192,-5753,-6073,-6457,-8984,-409946,-911242,-685997,-734770,-3119544,-1696844,-2513966,-4051990,-5568804,-6383685,-5698768,-8479385
18,Operating Income ratio,-4.7222,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.8224,-1.1428,-0.6954,-0.6858,-5.6851,-1.3742,-2.6013,-6.3209,-14.3314,-15.8622,-7.0574,-5.1335
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,1113,431,653,3464,562,317132,-525526,-5359,62836,498629,1094780
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-910129,-685566,-734117,-3116080,-1696282,-2196834,-4577516,-5574163,-6320849,-5200139,-7384605
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.1414,-0.6949,-0.6852,-5.6788,-1.3737,-2.2732,-7.1407,-14.3452,-15.7061,-6.4399,-4.4707
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-5983,-5366,-5955,-6504,-6192,-6317,-6916,-7642,-10184,-421946,-910129,-685566,-734117,-3116080,-1696282,-2196834,-4577516,-5574163,-6320849,-5200139,-7384605
24,Net Income ratio,-4.7222,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.8464,-1.1414,-0.6949,-0.6852,-5.6788,-1.3737,-2.2732,-7.1407,-14.3452,-15.7061,-6.4399,-4.4707
25,EPS,-0.13,-0.06,-0.07,-0.13,-0.07,-0.13,-0.13,-0.13,-0.13,-3.66,-4.91,-3.20,-3.00,-10.17,-5.45,-7.00,-10.40,-8.10,-5.37,-1.83,-0.76
26,EPS Diluted,-0.13,-0.06,-0.07,-0.13,-0.07,-0.13,-0.13,-0.13,-0.13,-3.66,-4.91,-3.20,-3.00,-200.00,-5.45,-7.00,-10.40,-8.10,-5.37,-1.83,-0.76
27,Weighted Average Shares Outstanding,90674,90674,90674,94424,94424,94424,94424,94424,94424,115179,185284,213970,244960,306370,311405,312480,440347,689804,1176278,3829716,9828541
28,Weighted Average Shares Outstanding Diluted,90674,90674,90674,94424,94424,94424,94424,94424,94424,115179,185284,213970,244960,306370,311405,312480,440347,689804,1176278,3829716,9828541
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/788611/000107878208000378/framewaves10ksb123107.htm,https://www.sec.gov/Archives/edgar/data/788611/000107878209000412/0001078782-09-000412-index.html,https://www.sec.gov/Archives/edgar/data/788611/000107878210000453/0001078782-10-000453-index.html,- -,https://www.sec.gov/Archives/edgar/data/788611/000114420412021980/0001144204-12-021980-index.htm,- -,https://www.sec.gov/Archives/edgar/data/788611/000114420414019408/0001144204-14-019408-index.htm,https://www.sec.gov/Archives/edgar/data/788611/000114420415020248/0001144204-15-020248-index.htm,https://www.sec.gov/Archives/edgar/data/788611/000114420416088535/0001144204-16-088535-index.html,https://www.sec.gov/Archives/edgar/data/788611/000107878217000395/0001078782-17-000395-index.html,https://www.sec.gov/Archives/edgar/data/788611/000149315218005335/0001493152-18-005335-index.htm,https://www.sec.gov/Archives/edgar/data/788611/000149315219004380/0001493152-19-004380-index.html,https://www.sec.gov/Archives/edgar/data/788611/000149315220004617/0001493152-20-004617-index.htm,https://www.sec.gov/Archives/edgar/data/788611/000149315221006709/0001493152-21-006709-index.htm,https://www.sec.gov/Archives/edgar/data/788611/000149315222007671/0001493152-22-007671-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2090,2040,4010,4745,2889,2422,298,48,226268,653113,150071,992448,2962069,1539809,398391,1515674,1279782,86919,3700814,11447047
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500,- -,- -
33,Cash and Short-Term Investments,- -,2090,2040,4010,4745,2889,2422,298,48,226268,653113,150071,992448,2962069,1539809,398391,1515674,1279782,87419,3700814,11447047
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,180855,263973,273282,303445,117726,280222,288236,893038,160713,55540,331562,412192
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1167,56175,20129,187241,192705,240086,598718,659651,710080
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,370,28195,26163,25074,29986,55484,36056,55278,67255,199227,90735,114278
37,Total Current Assets,- -,2090,2040,4010,4745,2889,2422,298,48,407493,945281,449516,1322134,3165956,1895644,909924,2656695,1747836,940904,4782762,12683597
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,42778,31674,10393,11419,803027,714754,564933,411643,277944,128723,138626,232282
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,25083,299241,231803,70494,95847,167644,226450,294396,404978,569341,753122,925111
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,25083,299241,231803,70494,95847,167644,226450,294396,404978,569341,753122,925111
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9222,500,500,500,500,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17426,95511,- -,167562,31576,- -,52000,26000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,67861,330915,242196,99339,994385,891620,959445,738115,683422,750564,917748,1157393
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2090,2040,4010,4745,2889,2422,298,48,475354,1276196,691712,1421473,4160341,2787264,1869369,3394810,2431258,1691468,5700510,13840990
48,Accounts Payable,- -,1626,2617,4091,1018,4915,4230,6335,8270,44996,153852,106595,102625,309698,38393,112175,100884,217488,727114,128937,206442
49,Short-Term Debt,- -,- -,- -,- -,10000,10000,12772,15000,15000,- -,- -,- -,- -,- -,- -,561834,100000,50000,50000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35680,51498,139447,77957,148855
52,Other Current Liabilities,- -,- -,- -,- -,- -,564,1406,2591,3790,- -,20850,27347,38536,44652,71523,125116,146330,376833,122658,243815,625942
53,Total Current Liabilities,- -,1626,2617,4091,11018,15479,18408,23926,27060,44996,174702,133942,141161,354350,109916,799125,382894,695819,1039219,450709,981239
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37728,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93206,- -,- -,- -,48341,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93206,- -,- -,- -,86069,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,1626,2617,4091,11018,15479,18408,23926,27060,44996,174702,133942,141161,354350,109916,892331,382894,695819,1039219,536778,981239
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -
63,Common Stock,- -,1209,1209,1259,1259,1259,1259,1259,1259,313067,429667,429167,559766,619741,623907,3135,4979,8777,1404,5995,10499
64,Retained Earnings,- -,-27728,-33683,-40187,-46379,-52696,-59612,-67254,-77438,-421946,-1332075,-2017641,-2751758,-5867838,-7564120,-9760954,-14338470,-19774745,-26095594,-33105008,-40593180
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13222,-69533,-91365,-100952,-121292,-252182,-428910,-616322,-796944,-979652,-1057824,- -
66,Other Total Stockholders Equity,- -,26983,31897,38847,38847,38847,42367,42367,49167,552459,2073435,2237609,3573256,9175380,9869743,11163767,17961729,22298351,27726091,39320568,53442432
67,Total Stockholders Equity,- -,464,-577,-81,-6273,-12590,-15986,-23628,-27012,430358,1101494,557770,1280312,3805991,2677348,977038,3011916,1735439,652249,5163732,12859751
68,Total Liabilities And Stockholders Equity,- -,2090,2040,4010,4745,2889,2422,298,48,475354,1276196,691712,1421473,4160341,2787264,1869369,3394810,2431258,1691468,5700510,13840990
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2090,2040,4010,4745,2889,2422,298,48,475354,1276196,691712,1421473,4160341,2787264,1869369,3394810,2431258,1691468,5700510,13840990
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/788611/000107878208000378/framewaves10ksb123107.htm,https://www.sec.gov/Archives/edgar/data/788611/000107878209000412/0001078782-09-000412-index.html,https://www.sec.gov/Archives/edgar/data/788611/000107878210000453/0001078782-10-000453-index.html,- -,https://www.sec.gov/Archives/edgar/data/788611/000114420412021980/0001144204-12-021980-index.htm,- -,https://www.sec.gov/Archives/edgar/data/788611/000114420414019408/0001144204-14-019408-index.htm,https://www.sec.gov/Archives/edgar/data/788611/000114420415020248/0001144204-15-020248-index.htm,https://www.sec.gov/Archives/edgar/data/788611/000114420416088535/0001144204-16-088535-index.html,https://www.sec.gov/Archives/edgar/data/788611/000107878217000395/0001078782-17-000395-index.html,https://www.sec.gov/Archives/edgar/data/788611/000149315218005335/0001493152-18-005335-index.htm,https://www.sec.gov/Archives/edgar/data/788611/000149315219004380/0001493152-19-004380-index.html,https://www.sec.gov/Archives/edgar/data/788611/000149315220004617/0001493152-20-004617-index.htm,https://www.sec.gov/Archives/edgar/data/788611/000149315221006709/0001493152-21-006709-index.htm,https://www.sec.gov/Archives/edgar/data/788611/000149315222007671/0001493152-22-007671-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5983,-5366,-5955,-6504,-6192,-6317,-6916,-7642,-10184,-421946,-910129,-685566,-734117,-3116080,-1696282,-2196834,-4577516,-5574163,-6320849,-5200139,-7384605
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,13939,21162,110179,100100,22649,169052,178841,196943,192374,192569,105175,94105
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37728
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219500,141500,258400,582550,518438,-345759,719796,1145530,797240,939500,1066455
77,Change in Working Capital,79,464,-1041,496,-6192,-6317,-3396,-7642,-3384,389509,408082,-455005,865399,1630633,-1025878,-1674929,2163002,-1221784,-1150332,4430368,7370305
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-180855,70220,-9309,-30163,185719,-157612,-8014,183698,65738,-16740,-276022,-80630
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1167,-55008,36046,-167112,-5464,-24844,-358632,-60932,-50429
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,44996,32224,-47257,-3970,207073,-271305,73782,-11291,116604,509626,-598177,77505
81,Other Working Capital,- -,464,-577,-81,-6273,-12590,-15986,-23628,-27012,362497,770579,315574,1180973,2811606,1785728,110799,2273801,1052017,-98315,4332053,11702358
82,Other Non-Cash Items,2121,4865,6946,978,3119,10778,7073,10932,13318,-509738,-314084,406968,-801081,-8312,774985,2076367,-1293631,1695072,966567,-5084772,-7407491
83,Cash Provided by Operating Activities,-3783,-37,-50,-5030,-9265,-1856,-3239,-4352,-250,-528236,-575469,-481924,-311299,-888560,-1259685,-1962314,-2791406,-3762971,-5514805,-4809868,-6298959
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22064,-21460,-27157,-839610,-152575,-87826,-140460,-228525,-207711,-298859,-182522
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13160,-20909,-15544,-27662,-74104,-56610,-859497,482788,-52311,-210785,-177228
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22064,-21460,-27157,-839610,-162575,-79104,-928960,403672,-85798,-298359,-359750
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,-50000,- -
91,Common Stock Issued,- -,- -,- -,7000,- -,- -,- -,- -,- -,649504,1011765,- -,- -,- -,- -,- -,5823300,2040100,4981221,3600000,103567
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12613,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-195000,- -,- -,- -,- -,- -,- -,- -,-15125,- -,- -,-103567
94,Other Financing Activites,- -,- -,- -,- -,10000,- -,2772,2228,- -,300000,- -,342,1180833,3697791,- -,900000,-485651,1098432,-573481,5172122,14404942
95,Cash Used/Provided by Financing Activities,- -,- -,- -,7000,10000,- -,2772,2228,- -,754504,1024378,342,1180833,3697791,- -,900000,4837649,3123407,4407740,8722122,14404942
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3783,-37,-50,1970,735,-1856,-467,-2124,-250,- -,426845,-503042,842377,1969621,-1422260,-1141418,1117283,-235892,-1192863,3613895,7746233
98,Cash at the End of Period,2127,2090,2040,4010,4745,2889,2422,298,48,226268,653113,150071,992448,2962069,1539809,398391,1515674,1279782,86919,3700814,11447047
99,Cash at the Beginning of Period,5910,2127,2090,2040,4010,4745,2889,2422,298,- -,226268,653113,150071,992448,2962069,1539809,398391,1515674,1279782,86919,3700814
100,Free Cash Flow,-3783,-37,-50,-5030,-9265,-1856,-3239,-4352,-250,-528236,-597533,-503384,-338456,-1728170,-1412260,-2050140,-2931866,-3991496,-5722516,-5108727,-6481481
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/788611/000107878208000378/framewaves10ksb123107.htm,https://www.sec.gov/Archives/edgar/data/788611/000107878209000412/0001078782-09-000412-index.html,https://www.sec.gov/Archives/edgar/data/788611/000107878210000453/0001078782-10-000453-index.html,- -,https://www.sec.gov/Archives/edgar/data/788611/000114420412021980/0001144204-12-021980-index.htm,- -,https://www.sec.gov/Archives/edgar/data/788611/000114420414019408/0001144204-14-019408-index.htm,https://www.sec.gov/Archives/edgar/data/788611/000114420415020248/0001144204-15-020248-index.htm,https://www.sec.gov/Archives/edgar/data/788611/000114420416088535/0001144204-16-088535-index.html,https://www.sec.gov/Archives/edgar/data/788611/000107878217000395/0001078782-17-000395-index.html,https://www.sec.gov/Archives/edgar/data/788611/000149315218005335/0001493152-18-005335-index.htm,https://www.sec.gov/Archives/edgar/data/788611/000149315219004380/0001493152-19-004380-index.html,https://www.sec.gov/Archives/edgar/data/788611/000149315220004617/0001493152-20-004617-index.htm,https://www.sec.gov/Archives/edgar/data/788611/000149315221006709/0001493152-21-006709-index.htm,https://www.sec.gov/Archives/edgar/data/788611/000149315222007671/0001493152-22-007671-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
