,https://roic.ai/company/CANB,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9072,59296,19084,5523,100475,14984,30193,1652,807747,46540,457798
34,Net Receivables,- -,- -,2610,120,- -,38364,13742,81075,39172,1275877,2005962
35,Inventory,- -,- -,- -,- -,- -,- -,- -,9834,87104,784497,344954
36,Other Current Assets,- -,- -,- -,- -,- -,20937,2500,64911,210351,1279901,1209126
37,Total Current Assets,9072,59296,21694,5643,100475,74285,46435,157472,1144374,3386815,4017840
38,PP&E,15266,- -,- -,- -,3078,40,14375,11148,59619,1172222,1053153
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,55849,55849,55849
40,Intangible Assets,5101,4697,4293,3888,3549,29455,25481,- -,- -,1056562,523009
41,Intangible Assets,5101,4697,4293,3888,3549,29455,25481,- -,55849,1112411,578858
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1330838,245065,170665,163737,39000,50687,50687,2433834,1259422,41602
45,Total Non-Current Assets,20367,1335535,249358,174553,170364,68495,90543,61835,2549302,3544055,1673613
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,29439,1394831,271052,180196,270839,142780,136978,219307,3693675,6930870,5691453
48,Accounts Payable,- -,- -,- -,82376,82411,29384,54714,143274,73059,226467,153640
49,Short-Term Debt,- -,- -,236329,36396,67000,5000,55315,193504,19205,73281,1871037
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2370,- -,- -,22612,8410,541537,1612426,112528,205920,200495
53,Total Current Liabilities,- -,2370,236329,118772,172023,42794,651566,1949204,204792,505668,2225172
54,Long-Term Debt,204139,213224,- -,- -,- -,- -,- -,- -,- -,58998,210432
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,204139,213224,- -,- -,- -,- -,- -,- -,- -,58998,210432
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,97279,58998
61,Total Liabilities,204139,215594,236329,118772,172023,42794,651566,1949204,204792,564666,2435604
62,Preferred Stock,- -,- -,- -,- -,- -,- -,103664,243687,4557903,5539174,5539174
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,16624557,23113077,26111978
64,Retained Earnings,-4688182,-5837697,-7496211,-7519480,-7582088,-12096391,-12507757,-14647476,-18768753,-23361223,-30386024
65,Other Comprehensive Income/Loss,-94055,-109321,- -,- -,- -,-13754,-17021,-20248,-26775,-122835,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1101951,1198011,1990721
67,Total Stockholders Equity,-174700,1179237,34723,61424,98816,99986,-514588,-1729897,3488883,6366204,3255849
68,Total Liabilities And Stockholders Equity,29439,1394831,271052,180196,270839,142780,136978,219307,3693675,6930870,5691453
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,29439,1394831,271052,180196,270839,142780,136978,219307,3693675,6930870,5691453
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1509957/000151116417000176/0001511164-17-000176-index.htm,https://www.sec.gov/Archives/edgar/data/1509957/000151116418000217/0001511164-18-000217-index.htm,https://www.sec.gov/Archives/edgar/data/1509957/000149315219005487/0001493152-19-005487-index.htm,https://www.sec.gov/Archives/edgar/data/1509957/000149315220005643/0001493152-20-005643-index.htm,https://www.sec.gov/Archives/edgar/data/1509957/000149315221008687/0001493152-21-008687-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-1116816,-1149515,-1658590,-320498,-26591,-3848407,-665050,-2139719,-4112277,-4592470,-5716511
74,Depreciation and Amortization,18951,15671,- -,2991,3395,4960,7241,7199,5473,231872,783298
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,938155,- -,- -,- -,- -,1483672,30000,231590,2779300,3089188,2259180
77,Change in Working Capital,- -,5595,8125,-79111,-6128,-14859,204960,186468,-59880,-1395493,-121401
78,Accounts Receivable,- -,- -,-2610,-120,- -,-22928,-20935,-9173,-33097,-1465920,-1022374
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-9834,2382,-209893,931523
80,Accounts Payable,- -,- -,- -,82376,82411,24516,64469,88566,-115235,153408,-72827
81,Other Working Capital,- -,- -,- -,-163737,-90909,- -,- -,- -,85900,144662,3295
82,Other Non-Cash Items,9721,731473,1095775,20646,20242,2015013,280419,1428171,633815,253483,848343
83,Cash Provided by Operating Activities,-149989,-396776,-554690,-375972,-9082,-359621,-142430,-286291,-753569,-2413420,-1947091
84,CAPEX,-1940,- -,- -,-10023,-6541,- -,- -,- -,-46384,-1655403,-50219
85,Acquisitions Net,- -,- -,- -,- -,- -,-10937,- -,- -,404,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4879,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-6945,-3463,67,- -,-75000,- -,-550000,24970
89,Cash Used for Investing Activites,-1940,- -,- -,-10023,-3463,-10870,- -,-75000,-45980,-1660282,-25249
90,Debt Repayment,- -,- -,- -,- -,- -,-65000,- -,- -,-123231,-19205,-1359900
91,Common Stock Issued,150130,237000,514000,7580904,7680904,300000,- -,- -,850000,3296700,300000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-560000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,210000,- -,-7199386,-7582088,50000,154250,332750,878875,35000,4003498
95,Cash Used/Provided by Financing Activities,150130,447000,514000,381518,98816,285000,154250,332750,1605644,3312495,2383598
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1799,50224,-40286,-4477,86271,-85491,11820,-28541,806095,-761207,411258
98,Cash at the End of Period,9072,59296,19085,14204,100475,14984,30193,1652,807747,46540,457798
99,Cash at the Beginning of Period,10871,9072,59371,18681,14204,100475,18373,30193,1652,807747,46540
100,Free Cash Flow,-151929,-396776,-554690,-385995,-15623,-359621,-142430,-286291,-799953,-4068823,-1997310
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1509957/000151116417000176/0001511164-17-000176-index.htm,https://www.sec.gov/Archives/edgar/data/1509957/000151116418000217/0001511164-18-000217-index.htm,https://www.sec.gov/Archives/edgar/data/1509957/000149315219005487/0001493152-19-005487-index.htm,https://www.sec.gov/Archives/edgar/data/1509957/000149315220005643/0001493152-20-005643-index.htm,https://www.sec.gov/Archives/edgar/data/1509957/000149315221008687/0001493152-21-008687-index.htm
102,false,,,,,,,,,,,
