,https://roic.ai/company/ERF,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56257000,46736000,47049000,53074000,56716000,62240000,66456000,45443000,38714000,36799000,33919000,28362000,- -
14,Depreciation and Amortization,16600000,15100000,17700000,14300000,24566587,194079911,213907775,244889862,326269498,386544947,481598322,463718343,640439534,650381000,645294000,433366000,510758000,593203000,566674000,507257000,328964000,250774000,304274000,356830000,293156000,271336000
15,EBITDA,24800000,27100000,15200000,24400000,101189263,342873289,294400378,421534201,507763379,836677521,932582712,825430529,1552526712,702762000,733963000,622417000,346865000,736537000,1065818000,-1117165000,534625000,608474000,822563000,178890000,-862604000,607221000
16,EBITDA ratio,0.4460,0.5366,0.3663,0.4494,0.5582,0.5363,0.4737,0.4504,0.4416,0.5396,0.5846,0.5363,0.6658,0.5437,0.5429,0.4564,0.2380,0.5620,0.6054,-1.0877,0.7711,0.6508,0.4841,0.1187,-0.8180,0.4602
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-8200000,-3800000,-6200000,-11600000,-42254049,-149407832,-149562481,-247850058,-373345332,-416820561,-322167987,-349553084,-405122633,-56257000,-46736000,-146821000,-441336000,-66782000,-120647000,-1600794000,274647000,71742000,-70411000,-452133000,-1255697000,-132826000
20,Income Before Tax,- -,- -,-2500000,10100000,76622676,148793378,80492603,182867448,188105352,456619374,454376747,361712186,860383681,-3876000,41933000,142002000,-216967000,86618000,436904000,-1690878000,160218000,318986000,481490000,-211859000,-1184122000,335885000
21,Income Before Tax Ratio,- -,- -,-0.0602,0.1860,0.4227,0.2327,0.1295,0.1954,0.1636,0.2945,0.2848,0.2350,0.3690,-0.0030,0.0310,0.1041,-0.1489,0.0661,0.2482,-1.6462,0.2311,0.3412,0.2834,-0.1406,-1.1229,0.2545
22,Income Tax expense (Gain),- -,- -,200000,800000,1150270,-31475645,-35384010,-72955043,-76822654,18091639,-93797763,22021055,28507771,-92993000,-85179000,32565000,-61233000,38642000,137828000,-167475000,-237198000,81988000,103211000,47861000,-260755000,101444000
23,Net Income,8200000,12000000,-2700000,9300000,75472406,180269023,115876613,249599382,258316535,432040935,544782153,339691131,883579407,89117000,127112000,109437000,-155734000,47976000,299076000,-1523403000,397416000,236998000,378279000,-259720000,-923367000,234441000
24,Net Income ratio,0.1475,0.2376,-0.0651,0.1713,0.4164,0.2819,0.1865,0.2667,0.2247,0.2786,0.3415,0.2207,0.3789,0.0689,0.0940,0.0802,-0.1068,0.0366,0.1699,-1.4832,0.5732,0.2535,0.2226,-0.1724,-0.8756,0.1777
25,EPS,1.01,1.43,-0.27,0.99,3.17,2.06,1.02,2.24,2.16,3.41,3.84,2.69,4.55,0.51,0.72,0.60,-0.80,0.23,1.26,-5.33,1.30,0.78,1.14,-0.86,-3.25,0.93
26,EPS Diluted,1.01,1.43,-0.27,0.99,3.17,2.06,1.02,2.23,2.16,3.40,3.83,2.69,4.54,0.51,0.71,0.60,-0.80,0.23,1.24,-5.33,1.28,0.76,1.12,-0.86,-3.25,0.90
27,Weighted Average Shares Outstanding,5942029,5882353,6428571,6458333,15890000,54907000,71946000,86202000,99273000,109083000,121588000,127691000,160589000,169280000,177737000,179889000,195633000,200567000,204510000,206205000,226530000,241929000,244076000,231334000,222503000,251909000
28,Weighted Average Shares Outstanding Diluted,5942029,5882353,6428571,6458333,15927000,54956000,72084000,86501000,99416000,109371000,121858000,127752000,160640000,169549000,178090000,180345000,195633000,201404000,207424000,206205000,231055814,246872917,247261000,231334000,222503000,259851000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1126874/000104746909002604/0001047469-09-002604-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000104746910002119/0001047469-10-002119-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000104746911002029/0001047469-11-002029-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000104746912002363/0001047469-12-002363-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000104746913001431/0001047469-13-001431-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1126874/000104746916010227/0001047469-16-010227-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000155837017000938/0001558370-17-000938-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000155837018000980/0001558370-18-000980-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000155837019000881/0001558370-19-000881-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000155837020001124/0001558370-20-001124-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1600000,- -,- -,- -,- -,978988,717658,80416076,- -,10093034,123486,1702254,6922050,73558000,8374000,5629000,5200000,2990000,2036000,7498000,1257000,346548000,363327000,151649000,114455000,61348000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1600000,- -,- -,- -,- -,978988,717658,80416076,- -,10093034,123486,1702254,6922050,73558000,8374000,5629000,5200000,2990000,2036000,7498000,1257000,346548000,363327000,151649000,114455000,61348000
34,Net Receivables,12400000,8900000,8500000,8700000,30320936,100089144,92985521,71303620,107996160,170623328,175454334,145602344,163152016,142009000,125928000,124806000,150372000,165091000,199745000,132156000,115368000,130576000,200378000,203889000,106376000,227988000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,4869467,1975134,13412341,9601632,76625189,30327352,27336379,125064351,30400000,73029000,16967000,69233000,65315000,223947000,81391000,398769000,9754000,68186000,13560000,10687000,16624000
37,Total Current Assets,14000000,8900000,8500000,8700000,30320936,105937599,95678313,165132037,117597792,257341551,205905172,174640977,295138417,245967000,207331000,147402000,224805000,233396000,425728000,221045000,515394000,486878000,631891000,369098000,231518000,305960000
38,PP&E,105600000,113100000,114900000,112600000,372931914,2178315823,2374145420,2448365323,3029006479,3650326782,3726097390,3872817559,5246998543,5000523000,4976885000,5206810000,5016267000,2441354000,2653065000,1186273000,738430000,900031000,1307071000,1616335000,627936000,1293510000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,221233864,221578518,195111729,634022584,607438000,599672000,154691000,151390000,609975000,624390000,657831000,651663000,638878000,654799000,194015000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,29082073,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,29082073,221233864,221578518,195111729,634022584,607438000,599672000,154691000,151390000,609975000,624390000,657831000,651663000,638878000,654799000,194015000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13389000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364411000,348117000,516085000,733363000,569937000,465124000,372502000,607001000,380858000
44,Other Non-Current Assets,2700000,3400000,3200000,3200000,4059687,- -,1806736,2115161,5061196,1721131,50222508,60560135,53972802,51588000,51284000,214409000,19700000,19274000,30997000,- -,- -,50108000,59415000,13852000,- -,9756000
45,Total Non-Current Assets,108300000,116500000,118100000,115800000,376991601,2178315823,2375952156,2450480484,3063149748,3873281777,3997898416,4128489423,5934993929,5659549000,5627841000,5575910000,5187357000,3448403000,3656569000,2360189000,2123456000,2158954000,2486409000,2196704000,1234937000,1684124000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,122300000,125400000,126600000,124500000,407312537,2284253422,2471630469,2615612521,3180747540,4130623328,4203803588,4303130400,6230132346,5905516000,5835172000,5723312000,5412162000,3681799000,4082297000,2581234000,2638850000,2645832000,3118300000,2565802000,1466455000,1990084000
48,Accounts Payable,10900000,16000000,10000000,11600000,18732753,72341611,79189487,100449568,179568035,316875218,284285881,269375310,272818116,257519000,350623000,422666000,274387000,115040000,111233000,72697000,79718000,117235000,174657000,185612000,144568000,260786000
49,Short-Term Debt,- -,600000,1600000,3900000,5310438,- -,- -,- -,- -,- -,- -,- -,- -,36631000,- -,46808000,45566000,48713000,98933000,- -,29539000,27656000,60001000,123539000,117227000,111218000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1600000,1400000,700000,1000000,7969406,28774276,43907775,33022028,78746100,106734504,51722973,107009634,71595434,69308000,88794000,68320000,36404000,317398000,319920000,177549000,135836000,127806000,119692000,110879000,128740000,249422000
53,Total Current Liabilities,12500000,18000000,12300000,16500000,32012597,101115887,123097262,133471596,258314135,423609722,336008854,376384944,344413550,363458000,439417000,537794000,356357000,481151000,530086000,250246000,245093000,272697000,354350000,420030000,390535000,621426000
54,Long-Term Debt,14300000,20100000,42800000,37000000,132399520,412588348,361729619,338116707,584990401,659917432,679773998,726676929,664343128,522276000,732405000,860286000,1023999000,976585000,1037997000,1223682000,739286000,644723000,636849000,536165000,410032000,619436000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,250450,333559376,340269122,268514749,235550756,442970113,331339702,304258616,648821030,561585000,502584000,452670000,365473000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,6700000,7200000,7800000,8500000,14026695,63904807,64702550,62277471,105977921,110607047,123619525,255809911,233811316,285253000,255647000,595583000,616779000,291761000,291088000,209552000,193966000,127643000,126112000,138049000,130208000,139912000
58,Total Non-Current Liabilities,21000000,27300000,50600000,45500000,146676665,810052531,766701291,668908927,926519078,1213494592,1134733225,1286745456,1546975474,1369114000,1490636000,1908539000,2006251000,1268346000,1329085000,1433234000,933252000,772366000,762961000,674214000,540240000,759348000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53071000,36837000,28883000
61,Total Liabilities,33500000,45300000,62900000,62000000,178689262,911168418,889798552,802380523,1184833213,1637104314,1470742078,1663130400,1891389024,1732572000,1930053000,2446333000,2362608000,1749497000,1859171000,1683480000,1178345000,1045063000,1117311000,1094244000,930775000,1380774000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3818043000,3061839000,3120002000,3133524000,3365962000,3386946000,3337608000,3088094000,3096969000,3094061000
64,Retained Earnings,-127800000,-138300000,-171300000,-187000000,-226487702,-453422477,-575166824,-1388188845,-1811499880,1408177695,-971084576,-1283952726,-1181198397,-1460283000,-1717299000,-279467000,-736761000,-1117238000,-1039260000,-2694618000,-2332641000,-2124676000,-1772084000,-1984365000,-2932017000,-2238325000
65,Other Comprehensive Income/Loss,-94100000,-99700000,-112500000,-119200000,-298471806,-489188157,-697152975,-936206364,976137509,-2325272706,-8979497,-108726785,48606119,-82387000,-134558000,87172000,-67816000,-50697000,95478000,402672000,353401000,263124000,388941000,308339000,320124000,-297307000
66,Other Total Stockholders Equity,310700000,318100000,347500000,368700000,753582783,2315695639,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36088000,38398000,46906000,56176000,73783000,75375000,46524000,59490000,50604000,50881000
67,Total Stockholders Equity,88800000,80100000,63700000,62500000,228623275,1373085005,1581831917,1813231998,1995914327,2493519014,2733061510,2640000000,4338743322,4172944000,3905119000,3276979000,3049554000,1932302000,2223126000,897754000,1460505000,1600769000,2000989000,1471558000,535680000,609310000
68,Total Liabilities And Stockholders Equity,122300000,125400000,126600000,124500000,407312537,2284253423,2471630469,2615612521,3180747540,4130623328,4203803588,4303130400,6230132346,5905516000,5835172000,5723312000,5412162000,3681799000,4082297000,2581234000,2638850000,2645832000,3118300000,2565802000,1466455000,1990084000
69,Minority Interest,- -,- -,- -,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,122300000,125400000,126600000,124500000,407312537,2284253422,2471630469,2615612521,3180747540,4130623328,4203803588,4303130400,6230132346,5905516000,5835172000,5723312000,5412162000,3681799000,4082297000,2581234000,2638850000,2645832000,3118300000,2565802000,1466455000,1990084000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1126874/000104746909002604/0001047469-09-002604-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000104746910002119/0001047469-10-002119-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000104746911002029/0001047469-11-002029-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000104746912002363/0001047469-12-002363-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000104746913001431/0001047469-13-001431-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1126874/000104746916010227/0001047469-16-010227-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000155837017000938/0001558370-17-000938-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000155837018000980/0001558370-18-000980-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000155837019000881/0001558370-19-000881-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000155837020001124/0001558370-20-001124-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8200000,12000000,-2700000,9300000,75472406,180269023,115876613,249599382,258316535,432040935,544782153,339691131,883579407,89117000,127112000,109437000,-155734000,47976000,299076000,-1523403000,397416000,236998000,378279000,-259720000,-923367000,234441000
74,Depreciation and Amortization,16600000,15100000,17700000,14300000,24566587,194079911,213907775,244889862,326269498,386544947,481598322,463718343,640439534,650381000,645294000,433366000,510758000,593203000,566674000,507257000,328964000,250774000,304274000,356830000,293156000,- -
75,Deferred Income Tax,- -,- -,- -,- -,250450,-31475645,-35384010,-72955043,-76822654,15328527,-112034017,-990168,-51229966,-93191000,-54804000,-48630000,-62880000,30753000,132830000,-150588000,-234847000,129945000,130304000,81275000,-246230000,98755000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6542000,5944000,12330000,10297000,9213000,13486000,19587000,27014000,22576000,25917000,23044000,12726000,13424000
77,Change in Working Capital,- -,- -,- -,1000000,-403419,-52927412,15162103,14234188,15091193,-19776718,-14320829,38854901,-19876153,26220000,-15623000,71487000,-88929000,28851000,-52414000,-12830000,15075000,-35032000,-3459000,1963000,105915000,-94643000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6935000,-8392000,37064000,16982000,-66860000,-45385000,8493000,112041000,-144413000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36942000,-37245000,-47260000,-4061000,31982000,44952000,-11005000,-515000,57353000
81,Other Working Capital,- -,- -,- -,1000000,-403419,-52927412,15162103,14234188,15091193,-19776718,-14320829,38854901,-19876153,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,700000,-1200000,-100000,-600000,-1,-2628144,-4548317,-8334407,32205423,-39504594,-36329217,27273812,-190131132,96717000,-4775000,45450000,321565000,56482000,-172455000,1625313000,-221332000,-129136000,-96531000,490848000,1204165000,352862000
83,Cash Provided by Operating Activities,25500000,25900000,14900000,24000000,99886023,287317733,305014164,427433982,555059995,774633097,863696412,868548019,1262781690,775786000,703148000,623440000,535077000,766478000,787197000,465336000,312290000,476125000,738784000,694240000,446365000,604839000
84,CAPEX,-13000000,-31100000,-22100000,-13400000,-74920516,-228344476,-146115833,-196948345,-209052076,-496927550,-547513979,-620135068,-603642545,-577842000,-1564751000,-1132184000,-1050021000,-932742000,-836459000,-507427000,-336737000,-472428000,-623038000,-631328000,-343400000,-280977000
85,Acquisitions Net,- -,- -,- -,- -,-64068686,-14649793,-221984577,-165814762,-626028318,-483014304,- -,- -,- -,- -,- -,- -,146898000,- -,- -,- -,- -,- -,- -,- -,- -,-725325000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29171715,-2926805,-7150316,-9100000,-1016000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16467375,18319573,4434000,- -,- -,- -,2482000,13300000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-7800000,17800000,-2700000,3400000,9727054,75276982,19944917,70340075,53516919,117555530,-1936161,-18099116,503241865,-247022000,417646000,-195649000,-709165000,-262166000,-631841000,-258847000,18233000,-402956000,-604110000,-597427000,-327134000,-158345000
89,Cash Used for Investing Activites,-20800000,-13300000,-24800000,-10000000,-129262148,-167717287,-348155493,-292423032,-781563475,-862386324,-578621855,-624693614,-89231423,-523665000,-601439000,-450858000,-747604000,-504521000,-637032000,-268399000,-107893000,-416232000,-623038000,-621789000,-337255000,-893516000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-380888000,-35697000,-45523000,-235487000,-92370000,-136918000,-103198000,-391399000,-52356000,-29044000,- -,-114010000,-81600000
91,Common Stock Issued,1000000,1900000,1700000,5200000,43909718,151410379,329751338,331594744,314308855,507208978,296189422,256369054,70516027,237736000,35418000,64001000,350948000,14838000,31350000,3205000,220410000,- -,9138000,- -,- -,98339000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79027000,-178793000,-2536000,-123182000
93,Dividends Paid,-20400000,-22600000,-15400000,-15700000,-70371926,-328898440,-233610324,-372576324,-423310535,-498204442,-614339469,-646834840,-786137688,-368201000,-384128000,-388904000,-277948000,-170653000,-199263000,-131955000,-35439000,-29017000,-29282000,-27866000,-26690000,-32284000
94,Other Financing Activites,5100000,5800000,22700000,-3500000,55401920,58021331,-53260938,-14330799,255089993,89886033,22242545,151625782,-460496600,329209000,217706000,194064000,372955000,-17459000,150736000,37535000,-3791000,- -,- -,-64381000,-7232000,391828000
95,Cash Used/Provided by Financing Activities,-14300000,-14900000,9000000,-14000000,28939712,-119466730,42880076,-55312379,146088313,98890569,-295907502,-238840004,-1176118261,-182144000,-166701000,-176362000,210468000,-265644000,-154095000,-194413000,-210219000,-81373000,-128215000,-271040000,-150468000,253101000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1045470,864399,-3436290,7787761,-3341000,-192000,1035000,1630000,1477000,2976000,2938000,-419000,-25277000,29248000,-13089000,4164000,6979000
97,Net Change In Cash,-9600000,-2200000,-1000000,- -,- -,133716,-261253,79698570,- -,- -,-9969711,1578111,5219767,66636000,-65184000,-2745000,-429000,-2210000,-954000,5462000,-6241000,-46757000,16779000,-211678000,-37194000,-28597000
98,Cash at the End of Period,1600000,-600000,-1600000,- -,- -,978988,717658,80416076,- -,10093034,123486,1702254,6922050,73558000,8374000,5629000,5200000,2990000,2036000,7498000,1257000,346548000,363327000,151649000,114455000,61348000
99,Cash at the Beginning of Period,11200000,1600000,-600000,- -,436413,845272,978911,717506,80416367,- -,10093197,124143,1702283,6922000,73558000,8374000,5629000,5200000,2990000,2036000,7498000,393305000,346548000,363327000,151649000,89945000
100,Free Cash Flow,12500000,-5200000,-7200000,10600000,24965507,58973257,158898331,230485637,346007919,277705547,316182433,248412951,659139145,197944000,-861603000,-508744000,-514944000,-166264000,-49262000,-42091000,-24447000,3697000,115746000,62912000,102965000,323862000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1126874/000104746909002604/0001047469-09-002604-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000104746910002119/0001047469-10-002119-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000104746911002029/0001047469-11-002029-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000104746912002363/0001047469-12-002363-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000104746913001431/0001047469-13-001431-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1126874/000104746916010227/0001047469-16-010227-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000155837017000938/0001558370-17-000938-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000155837018000980/0001558370-18-000980-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000155837019000881/0001558370-19-000881-index.html,https://www.sec.gov/Archives/edgar/data/1126874/000155837020001124/0001558370-20-001124-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
