,https://roic.ai/company/EMMA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,1823,1970,310,27,- -,- -,112390,5790100,1997000,988100,62000,93400,7700,1273600,1240600,432100,318200,5449000,3254700,1769000,2487000,2279000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27929000,- -,- -
33,Cash and Short-Term Investments,- -,1823,1970,310,27,- -,- -,112390,5790100,1997000,988100,62000,93400,7700,1273600,1240600,432100,318200,5449000,3254700,29698000,2487000,2279000
34,Net Receivables,- -,1813,929,752,1070,- -,- -,- -,59200,98200,61700,48900,54400,12400,26600,9300,11800,5100,166000,63300,2150000,198000,1040000
35,Inventory,10000,1176,253,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7971000,7087000,4392000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,159000,189400,89500,84900,175100,61600,63700,58200,104300,886600,79200,192600,1402000,1485000,1380000
37,Total Current Assets,10000,4812,3152,1062,1097,- -,- -,112390,6008300,2284600,1139300,195800,322900,81700,1363900,1308100,548200,1209900,5694200,3510600,41221000,11257000,9091000
38,PP&E,- -,65,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000,32700,20000,16800,8700,1700,9500,120700,110800,4625000,4192000,3632000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,320200,- -,- -,- -,- -,- -,- -,- -,- -,- -,1386800,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87100,60200,116500,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,320200,- -,- -,- -,- -,- -,- -,- -,87100,60200,1503300,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195900,- -,13325000,15664000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,4100,28700,21600,18700,14400,23600,21500,19300,17200,13600,25100,27100,285000,28162000,44011000
45,Total Non-Current Assets,- -,65,- -,- -,- -,- -,- -,- -,4100,348900,21600,41700,47100,43600,38300,28000,18900,110200,401900,1641200,18235000,48018000,47643000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10000,4877,3152,1062,1097,- -,- -,112390,6012400,2633500,1160900,237500,370000,125300,1402200,1336100,567100,1320100,6096100,5151800,59456000,59275000,56734000
48,Accounts Payable,- -,5944,8685,8429,12221,202186,- -,- -,219400,335700,1285600,1383700,1778900,3086700,2493200,868900,852000,426600,736900,346900,7277000,2023000,- -
49,Short-Term Debt,- -,- -,6200,8500,14800,90136,106980,- -,50000,138500,95900,26900,4269100,285600,7200,3500,2400,57500,32800,1300,15543000,12145000,8247000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45900,45900,45900,45900,159700,- -,- -,- -
52,Other Current Liabilities,10000,400,- -,- -,- -,- -,205961,329509,389900,980100,859100,3027800,5733300,9822700,1055800,698500,1633900,1010500,729700,657500,10007000,9214000,28853000
53,Total Current Liabilities,10000,6344,14885,16929,27021,292322,312941,329509,659300,1454300,2240600,4438400,11781300,13195000,3556200,1616800,2534200,1540500,1545300,1165400,32827000,23382000,37100000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,118600,24800,- -,- -,- -,- -,1475800,2765800,31400,- -,587700,3932000,6842000,3661000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-1,- -,- -,- -,- -,- -,7700,5600,3400,10200,5000,6000,5100,103600,4700,3400,112200,33750000,34470000,37423000
58,Total Non-Current Liabilities,- -,- -,- -,-1,- -,- -,- -,- -,- -,126300,30400,3400,10200,5000,6000,1480900,2869400,36100,3400,699900,37682000,41312000,41084000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,7700,5600,3400,10200,5000,6000,2500,2400,5900,4700,3400,4923000,4613000,- -
61,Total Liabilities,10000,6344,14885,16928,27021,292322,312941,329509,659300,1580600,2271000,4441800,11791500,13200000,3562200,3097700,5403600,1576600,1548700,1865300,70509000,64694000,78184000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100,- -,- -,- -
63,Common Stock,60000,67259,67259,68759,81759,6836,6836,10636,25300,25300,41800,56000,56100,1900,92700,101700,102400,1900,4300,7400,48000,49000,49000
64,Retained Earnings,-790000,-798990,-809256,-820890,-960947,-1227345,-1247964,-1683503,-11302200,-16673700,-25195900,-33369900,-42236500,-45643300,-56550700,-59213500,-62592900,-68533800,-75646600,-85245300,-226229000,-225333000,-241266000
65,Other Comprehensive Income/Loss,-10000,-7289,-7354,-7354,-7354,-3600000,-225000,- -,- -,- -,- -,- -,- -,- -,-64800,- -,- -,- -,- -,- -,-79000,1137000,-255000
66,Other Total Stockholders Equity,750000,737553,737618,743619,860618,4528187,1153187,1455748,16630000,17701300,24044000,29109600,30758900,32566700,54362800,57350200,57654000,68275400,80189700,89257700,215207000,218728000,220022000
67,Total Stockholders Equity,10000,-1467,-11733,-15866,-25924,-292322,-312941,-217119,5353100,1052900,-1110100,-4204300,-11421500,-13074700,-2160000,-1761600,-4836500,-256500,4547400,4020900,-11053000,-5419000,-21450000
68,Total Liabilities And Stockholders Equity,20000,4877,3152,1062,1097,- -,- -,112390,6012400,2633500,1160900,237500,370000,125300,1402200,1336100,567100,1320100,6096100,5886200,59456000,59275000,56734000
69,Minority Interest,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-734400,- -,- -,- -
70,Total Liabilities & Equity,10000,4877,3152,1062,1097,- -,- -,112390,6012400,2633500,1160900,237500,370000,125300,1402200,1336100,567100,1320100,6096100,5151800,59456000,59275000,56734000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822370/000107704804000110/ageresearch-10ksb_123103.htm,https://www.sec.gov/Archives/edgar/data/822370/000107704805000238/salestactix-10ksb_123104.htm,https://www.sec.gov/Archives/edgar/data/822370/000107704806000243/strativation-10ksb_123105.htm,https://www.sec.gov/Archives/edgar/data/822370/000114420407008228/v065077_10ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/822370/000117091809000004/0001170918-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/822370/000114420409066813/0001144204-09-066813-index.html,https://www.sec.gov/Archives/edgar/data/822370/000114420410067655/0001144204-10-067655-index.html,https://www.sec.gov/Archives/edgar/data/822370/000114420411071226/0001144204-11-071226-index.html,https://www.sec.gov/Archives/edgar/data/822370/000114420413002514/v331712_10k.htm,https://www.sec.gov/Archives/edgar/data/822370/000114420413068769/0001144204-13-068769-index.html,https://www.sec.gov/Archives/edgar/data/822370/000114420414076185/0001144204-14-076185-index.html,https://www.sec.gov/Archives/edgar/data/822370/000161577416003804/s102374_10k.htm,https://www.sec.gov/Archives/edgar/data/822370/000161577416009049/0001615774-16-009049-index.html,https://www.sec.gov/Archives/edgar/data/822370/000161577417007691/0001615774-17-007691-index.html,https://www.sec.gov/Archives/edgar/data/822370/000161577418014245/0001615774-18-014245-index.html,- -,https://www.sec.gov/Archives/edgar/data/822370/000156459021022930/0001564590-21-022930-index.htm,https://www.sec.gov/Archives/edgar/data/822370/000156459022013054/0001564590-22-013054-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-20000,-7861,-10266,-11633,-140058,-266398,-20619,-435539,-3279100,-5371500,-8522200,-8174000,-8866600,-3406800,-10907400,-2662800,-3379400,-5940900,-7112800,-9598700,-54842000,1100000,-15946000
74,Depreciation and Amortization,- -,231,65,- -,- -,- -,- -,225000,19900,6300,9100,9400,11900,18800,13000,10300,7600,7200,48700,117900,73000,60000,59000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,850500,1302100,1605400,1350800,1257300,1008700,241700,758400,2086000,1588300,3805000,739000,553000
77,Change in Working Capital,10000,-1532,-10201,-4134,-10057,-266398,-20619,95822,5566119,-4518700,-1931600,-3141300,-7215800,-1654900,10921000,1883600,-1677300,1655400,4479500,-1803700,6048800,-20519000,-15884000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13800,-150,-5500,6800,-14200,17300,-2500,6700,-1400,-500,-361000,1953000,-845000
79,Inventory,- -,5776,923,253,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3267000,-245000,2221000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-1532,-11733,-15867,-25924,-292322,-312941,-217119,5349000,830300,-1101300,-4242600,-11458400,-13113300,-2192300,-308700,-1986000,-330600,4148900,2345200,8394000,-12125000,-28009000
82,Other Non-Cash Items,- -,9970,14349,4308,143532,457433,24394,27726,-5265819,6227000,4980600,5093200,10299500,1061600,-4320100,-3510900,2692600,541500,-4293500,657520,40392200,16169000,29964000
83,Cash Provided by Operating Activities,-10000,808,-6053,-11459,-6583,-75363,-16844,-86991,-2958900,-3656900,-4613600,-4910600,-4165600,-2630500,-3036200,-3271100,-2114800,-2978400,-4792100,-9038680,-4523000,-2451000,-1254000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30900,-2000,-14900,-21600,-25500,- -,- -,- -,-82300,-130000,-55200,-60000,-26175000,-1000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-190000,-306600,-1645000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-190000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,221000,35601000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-7200,-43700,- -,- -,- -,-21200,1400,- -,1500,-78300,28400,- -,- -,-30116000,-6376000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-7200,-74600,-2000,-14900,-21600,-25500,1400,- -,1500,-82300,-479500,-361800,-1484000,5470000,-6377000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-181100,-96000,-16400,-6100,-4700,-7200,-3600,-3200,-57400,-75800,-5491000,-5217000,21000
91,Common Stock Issued,- -,- -,- -,7500,- -,- -,- -,237669,8556300,- -,1792300,2995400,- -,900,2958800,1691000,- -,- -,10463400,930435,8589000,142000,- -
92,Common Stock Repurchased,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,6200,2300,6300,75336,16844,-38288,-5000,-61600,1995500,1100000,4235000,2595300,1368300,1648300,1350000,2950000,-3600,6351545,786000,2765000,7390000
95,Cash Used/Provided by Financing Activities,10000,- -,6200,9800,6300,75336,16844,199381,8551300,-61600,3606700,3999400,4218600,2590100,4322400,3332100,1346400,2946800,10402400,7206180,3884000,-2310000,7411000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13000,9000,12000
97,Net Change In Cash,- -,808,147,-1660,-283,75336,16844,199381,5585200,-3793100,-1008900,-926100,31400,-65900,1265900,-33000,-808500,-113900,5130800,-2194300,-2136000,718000,-208000
98,Cash at the End of Period,- -,1823,1970,310,27,- -,- -,112390,5790100,1997000,988100,62000,93400,7700,1273600,1240600,432100,318200,5449000,3254700,1769000,2487000,2279000
99,Cash at the Beginning of Period,- -,1015,1823,1970,310,27,- -,- -,204900,5790100,1997000,988100,62000,73600,7700,1273600,1240600,432100,318200,5449000,3905000,1769000,2487000
100,Free Cash Flow,-10000,808,-6053,-11459,-6583,-75363,-16844,-86991,-2958900,-3687800,-4615600,-4925500,-4187200,-2656000,-3036200,-3271100,-2114800,-3060700,-4922100,-9093880,-4583000,-28626000,-1255000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822370/000107704804000110/ageresearch-10ksb_123103.htm,https://www.sec.gov/Archives/edgar/data/822370/000107704805000238/salestactix-10ksb_123104.htm,https://www.sec.gov/Archives/edgar/data/822370/000107704806000243/strativation-10ksb_123105.htm,https://www.sec.gov/Archives/edgar/data/822370/000114420407008228/v065077_10ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/822370/000117091809000004/0001170918-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/822370/000114420409066813/0001144204-09-066813-index.html,https://www.sec.gov/Archives/edgar/data/822370/000114420410067655/0001144204-10-067655-index.html,https://www.sec.gov/Archives/edgar/data/822370/000114420411071226/0001144204-11-071226-index.html,https://www.sec.gov/Archives/edgar/data/822370/000114420413002514/v331712_10k.htm,https://www.sec.gov/Archives/edgar/data/822370/000114420413068769/0001144204-13-068769-index.html,https://www.sec.gov/Archives/edgar/data/822370/000114420414076185/0001144204-14-076185-index.html,https://www.sec.gov/Archives/edgar/data/822370/000161577416003804/s102374_10k.htm,https://www.sec.gov/Archives/edgar/data/822370/000161577416009049/0001615774-16-009049-index.html,https://www.sec.gov/Archives/edgar/data/822370/000161577417007691/0001615774-17-007691-index.html,https://www.sec.gov/Archives/edgar/data/822370/000161577418014245/0001615774-18-014245-index.html,- -,https://www.sec.gov/Archives/edgar/data/822370/000156459021022930/0001564590-21-022930-index.htm,https://www.sec.gov/Archives/edgar/data/822370/000156459022013054/0001564590-22-013054-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
