,https://roic.ai/company/NMGX,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,-100000,-1600000,-7200000,-7500000,-14500000,-12654577,-5695924,-4187075,1200000,-5725976,-4848529,-4422801,-4171813,-4632424,-4692290,-6602492,-4395083,-3225180,-2144393,1445020,-2202870,-4678136,-1922069,-2289818,-1740203,-747020,-719877,-318498,-1031083,-792196,632069
18,Operating Income ratio,- -,-0.1111,-1.7778,-5.5385,-3.7500,-4.8333,-2.1922,-1.5963,-5.8006,0.1765,-2.1014,-1.5721,-3.1260,-5.6221,-12.1102,-8.2952,-5.9127,-1.1016,-0.8149,-0.5291,0.1796,-0.3396,-1.3019,-0.4905,-0.2301,-0.1797,-0.0920,-0.0914,-0.0735,-0.4233,-0.1665,0.1254
19,Total Other Income Expenses (Gains),- -,100000,- -,-400000,300000,- -,-1054429,-624977,629527,500000,-1967585,-233030,-260618,36616,20398,30756,8600,138192,539313,-8212,-414966,-367378,-451014,-1218819,57165,-105324,191019,32809,265363,66096,11141,-2206633
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,- -,-5081559,-4683419,- -,-4612026,-4661534,-6593892,-4256891,-2685867,-2152605,1030054,-2570248,-5129150,-3140888,-2232653,-1845527,-556001,-687068,-53135,-964987,-781055,-1574564
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2500,- -,-1.6476,-3.3102,- -,-12.0569,-8.2409,-5.9050,-1.0669,-0.6786,-0.5311,0.1281,-0.3962,-1.4274,-0.8016,-0.2244,-0.1906,-0.0685,-0.0872,-0.0123,-0.3961,-0.1641,-0.3124
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,618750,- -,- -,- -,84183,23720,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-100000,-1600000,-7500000,-7300000,-14400000,-13709006,-6320901,-3557548,1100000,-7671014,-5081559,-4908856,-4214202,-4612026,-4661534,-6593892,-4256891,-2685867,-2152605,411304,-2570248,-5129150,-3140888,-2370254,-1869247,-556001,-687068,-53135,-964987,-781055,-1574564
24,Net Income ratio,- -,-0.1111,-1.7778,-5.7692,-3.6500,-4.8000,-2.3748,-1.7715,-4.9284,0.1618,-2.8152,-1.6476,-3.4695,-5.6792,-12.0569,-8.2409,-5.9050,-1.0669,-0.6786,-0.5311,0.0511,-0.3962,-1.4274,-0.8016,-0.2382,-0.1930,-0.0685,-0.0872,-0.0123,-0.3961,-0.1641,-0.3124
25,EPS,- -,-1.29,-20.65,-96.81,-94.23,-185.88,-233.98,-73.79,-18.00,3.60,-25.20,-14.40,-12.60,-9.00,-9.00,-9.00,-12.60,-7.20,-5.40,-3.60,0.68,-3.60,-7.20,-3.60,-1.80,-0.63,-0.18,-0.22,-0.02,-0.21,-0.10,-0.21
26,EPS Diluted,- -,-1.29,-20.65,-96.81,-94.23,-185.88,-233.98,-73.79,-18.00,3.60,-25.20,-14.40,-12.60,-9.00,-9.00,-9.00,-12.60,-7.20,-5.40,-3.60,0.68,-3.60,-7.20,-3.60,-1.80,-0.63,-0.18,-0.22,-0.02,-0.21,-0.10,-0.21
27,Weighted Average Shares Outstanding,77469,77469,77469,77469,77469,77469,65920,94556,206722,284402,318799,359562,399085,485408,536760,549809,560577,590721,596118,596869,604691,649227,662894,731971,2203739,2951473,3012460,3057052,3224529,4673244,7558078,7558078
28,Weighted Average Shares Outstanding Diluted,77469,77469,77469,77469,77469,77469,65920,94556,206722,318923,318799,359562,399085,485408,536760,549809,560577,590721,596118,596869,605990,649227,662894,731971,2203739,2951473,3012460,3057052,3224529,4673244,7558078,7558078
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891417/000101968712000725/0001019687-12-000725-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000101968713000648/0001019687-13-000648-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000101968714000617/0001019687-14-000617-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315215001364/0001493152-15-001364-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315216008465/0001493152-16-008465-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315217002970/0001493152-17-002970-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315218008774/0001493152-18-008774-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315219017070/0001493152-19-017070-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315220008496/0001493152-20-008496-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315221013246/0001493152-21-013246-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315222008144/0001493152-22-008144-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15868,3564570,901585,897247,2085338,3020096,710111,286971,2732570,3071783,1024120,119551,464735,262519,189128,138296,221502,216801,288134,242474
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10236,10473,10716
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15868,3564570,901585,897247,2085338,3020096,710111,286971,2732570,3071783,1024120,119551,464735,262519,189128,138296,221502,227037,298607,253190
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32316,41132,6735,94103,364718,253963,661704,249164,757507,839863,369409,462964,1071241,1112336,733319,621858,307554,151000,1235069,312344
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1557100,1083385,1035499,733979,827527,422622,841694,1379005
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95232,100201,85135,85306,79301,77038,121920,67340,116784,153021,- -,85499,200079,194950,75080,257249,166864,34450,278461,212127
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143416,3705903,993455,1076656,2529357,3351097,1493735,603475,3606861,4064667,1393529,668014,3293155,2653190,2033026,1751382,1523447,835109,2653831,2156666
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115239,- -,141373,101785,154545,278456,278853,267008,215289,- -,- -,- -,- -,- -,- -,- -,- -,- -,2131779,1944045
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239338,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239338,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63300,78114,9540,9540,9540,115305,19901,22884,22233,331800,299284,184886,892688,929461,760705,429893,360224,484978,5890,5890
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178539,78114,150913,111325,164085,393761,298754,289892,237522,331800,299284,184886,1132026,929461,760705,429893,360224,484978,2137669,1949935
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321955,3784017,1144368,1187981,2693442,3744858,1792489,893367,3844383,4396467,1692813,852900,4425181,3582651,2793731,2181275,1883671,1320087,4791500,4106601
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,584878,126809,140597,231131,1562488,447106,438878,952679,545973,324333,813505,642486,1426465,1259865,1078527,1403401,1394929,821675,1148756,670505
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1486510,755800,1859912,786677,1363128,1070137,659751,404454,52641,284479,253846
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54985,- -,401455,306427,224595,310000,320000,200000,103370,143323,28790,21692,- -,268351,89730,162123,90562,3663
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2151389,77026,96386,97511,87237,132419,242821,504568,583940,420376,911944,1590621,964587,898162,957053,764974,618155,471710,496462,225525
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2736267,203835,291968,328642,2051180,885952,906294,1767247,1449913,2431219,2584619,4236342,3206519,3542847,3105717,3096477,2507268,1508149,2020259,1153539
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165834,1570571,- -,1631072,- -,- -,312139,266110,180803,129798,122170,1373821,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46283,27353,5944,- -,- -,30004,27909,31124,13819,48559,10480,- -,- -,- -,- -,- -,1,136624,- -,1037245
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46283,27353,5944,- -,- -,30004,27909,196958,1584390,48559,1641552,- -,- -,312139,266110,180803,129799,258794,1373821,1037245
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46283,27353,5944,- -,- -,30004,62921,53063,31136,89260,67160,10427,- -,- -,- -,- -,- -,268459,1382419,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2782550,231188,297912,328642,2051180,915956,934203,1964205,3034303,2479778,4226171,4236342,3206519,3854986,3371827,3277280,2637067,1766943,3394080,2190784
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76971,95613,97246,99746,104258,107174,107395,107473,109968,118916,119699,147825,53303,299,302,307,374,622,846,970
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71247187,-75461389,-80073415,-84734949,-101601946,-105858837,-108544704,-110697309,-110286005,-112856253,-117985403,-121126291,-3474919,-5344166,-5900167,-6587235,-6640370,-7689545,-8470600,-10045164
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-711610,-756030,-810957,-867217,-803419,-849798,-920334,-984687,-1048042,-1123783,-703741,-646748,-4142424,-4319057,-4502044,-2926188,-2990854,-3108446,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69421231,79674635,81633582,86361759,102943369,109430363,110215929,110503685,112034159,115777809,116036087,118241772,8782702,9390589,9823813,8417111,8877454,10350513,9867174,11960011
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2460595,3552829,846456,859339,642262,2828902,858286,-1070838,810080,1916689,-2533358,-3383442,1218662,-272335,-578096,-1096005,-753396,-446856,1397420,1915817
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321955,3784017,1144368,1187981,2693442,3744858,1792489,893367,3844383,4396467,1692813,852900,4425181,3582651,2793731,2181275,1883671,1320087,4791500,4106601
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321955,3784017,1144368,1187981,2693442,3744858,1792489,893367,3844383,4396467,1692813,852900,4425181,3582651,2793731,2181275,1883671,1320087,4791500,4106601
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891417/000101968712000725/0001019687-12-000725-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000101968713000648/0001019687-13-000648-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000101968714000617/0001019687-14-000617-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315215001364/0001493152-15-001364-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315216008465/0001493152-16-008465-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315217002970/0001493152-17-002970-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315218008774/0001493152-18-008774-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315219017070/0001493152-19-017070-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315220008496/0001493152-20-008496-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315221013246/0001493152-21-013246-index.htm,https://www.sec.gov/Archives/edgar/data/891417/000149315222008144/0001493152-22-008144-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-100000,-1600000,-7500000,-7300000,-14400000,-13709006,-6320901,-3557548,1100000,-7671014,-5081559,-4908856,-4214202,-4612026,-4661534,-6593892,-4256891,-2685867,-2152605,411304,-2570248,-5129150,-3140888,-2370254,-1869247,-556001,-687068,-53135,-964987,-781055,-1574564
74,Depreciation and Amortization,- -,- -,- -,-200000,-400000,-1000000,1062192,759939,449445,200000,544794,821591,740647,44419,54928,56260,49172,50498,70536,64353,63356,317680,111327,95721,324433,252899,182986,121267,64665,84547,38609,106351
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,647712,- -,65898,151400,241240,202240,150159,50800,185943,198612,592161
77,Change in Working Capital,100000,- -,- -,- -,- -,- -,-284285,865180,-582125,1230,- -,- -,-2592851,6094919,-2800581,46527,-269837,1986968,-1877704,-1751213,3320720,-523500,-2824538,-2377238,3654964,-976293,-183034,-272404,361274,310781,1306612,369555
78,Accounts Receivable,-100000,-100000,-100000,-400000,-400000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-407741,412540,-508343,-82356,470454,-93555,770306,-67357,365486,106394,314304,156264,-1137569,936057
79,Inventory,- -,- -,- -,- -,- -,- -,-273681,73394,-65529,100000,14531,-79145,-46739,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14789,509367,-8975,282718,-229191,213304,43334,-48924
80,Accounts Payable,100000,- -,200000,-200000,400000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8228,513801,23294,- -,609172,-61019,-77325,-166600,-130459,342565,-8472,-367279,332468,-747853
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-284285,580895,-1230,- -,- -,- -,-2592851,3502068,701487,748014,478177,2465145,587441,-1163772,2156948,1633448,-1191090,-3568328,86636,-889657,-1072691,-1345095,-983821,-673040,633572,1003127
82,Other Non-Cash Items,-100000,- -,900000,2200000,1200000,5000000,1047731,446226,153444,-401230,1920497,-20787,3845448,-5642100,2776166,51168,3078091,-3035251,2189232,3278691,-2910585,21201,4277522,4740637,-1212896,1547193,798262,1126604,-267718,-494952,-2763822,-870559
83,Cash Provided by Operating Activities,- -,-100000,-700000,-5500000,-6500000,-10400000,-11883368,-4249556,-3536784,900000,-5205723,-4280755,-2915612,-3716964,-4581513,-4507579,-3736466,-5254676,-2303803,-560774,884795,-2107155,-3564839,-615870,547647,-804208,444453,438558,155886,-878668,-2001044,-1377056
84,CAPEX,-100000,- -,-200000,-1100000,-100000,-2800000,-579873,-44664,-62727,-1300000,-339929,-282591,-231880,-6494,-118987,-16672,-101932,-112682,-35943,-20901,-11637,-78138,-50398,- -,-229825,-248123,-4000,-6094,-3916,-11129,-143456,-127013
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48121,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1900000,-1966453,-37487,-25860,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,2166012,62308,46313,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-300000,-300000,-300000,-300000,60980,220845,2028948,- -,373562,-47500,294383,4695,125,- -,- -,- -,-35943,-20901,-11637,-78138,-50398,18000,- -,- -,23586,172000,- -,-232,-237,-244
89,Cash Used for Investing Activites,-100000,- -,-500000,-1400000,-400000,-3100000,60980,220845,2028948,-1700000,233192,-305270,82956,-1799,-118862,-16672,-101932,-112682,-35943,-20901,-11637,-78138,-50398,18000,-181704,-248123,19586,165906,-3916,-11361,-143693,-127257
90,Debt Repayment,-100000,- -,- -,-800000,- -,-500000,-564072,-1040961,-1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31489,- -,-361927,-27245,-60667,-127533,-7154704,-7677786,-7400430,-7178460,-2847311,-537408,-31524,-83050
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,4294422,3798591,2120152,7324840,2056749,4542939,5030837,6304423,61250,- -,204368,2551751,- -,- -,- -,- -,50000,- -,344944,1169773,2115001,1500800
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-24867,-551990,-332011,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,200000,100000,1300000,13000000,3100000,12600000,12134024,5606372,3041483,-200000,338095,1040477,466511,-57375,-19359,-23026,-4348,-2307,- -,158535,1730000,- -,935700,513375,7153129,8527901,6813000,6618167,2423600,177967,132593,40903
95,Cash Used/Provided by Financing Activities,100000,100000,1300000,12200000,3100000,12100000,11545085,4013421,1509472,1200000,4632517,4839068,2586663,7267465,2037390,4519913,5026489,6302116,29761,158535,1572441,2524506,875033,385842,-1575,850115,-537430,-560293,-78767,810332,2216070,1458653
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,100000,100000,1300000,12200000,3100000,12100000,-277303,-15290,1636,1200000,-340014,253043,-245993,3548702,-2662985,-4338,1188091,934758,-2309985,-423140,2445599,339213,-2740204,-212028,364368,-202216,-73391,44171,73203,-79697,71333,-45660
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,16290,1000,2636,300000,8818,261861,15868,3564570,901585,897247,2085338,3020096,710111,286971,2732570,3071783,331579,119551,464735,262519,189128,233299,306502,216801,288134,242474
99,Cash at the Beginning of Period,- -,- -,- -,200000,5500000,1700000,293593,16290,1000,- -,348832,8818,261861,15868,3564570,901585,897247,2085338,3020096,710111,286971,2732570,3071783,331579,100367,464735,262519,189128,233299,296498,216801,288134
100,Free Cash Flow,- -,-100000,-900000,-6600000,-6600000,-13200000,-12463241,-4294220,-3599511,-400000,-5545652,-4563346,-3147492,-3723458,-4700500,-4524251,-3838398,-5367358,-2339746,-581675,873158,-2185293,-3615237,-615870,317822,-1052331,440453,432464,151970,-889797,-2144500,-1504069
