,https://roic.ai/company/DYSL,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
53,Total Current Liabilities,- -,- -,415481,679756,443840,346067,419173,988973,1021569,1683187,4823061,4351423,5398751,6454295,17905141,15362333,8104000,8421000,10487000,7274000,6697000,7836000
54,Long-Term Debt,- -,- -,1620885,1116187,913710,772781,488889,592712,593889,1626980,10178420,8386796,10833334,8985442,- -,- -,3282000,1290000,736000,1045000,2075000,3862000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1619637,371256,186866,264000,284000,263000,234000,205000,186000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2750000,2000000,345443,482139,413000,93000,216000,119000,227000,155000
58,Total Non-Current Liabilities,- -,- -,1620885,1116187,913710,772781,488889,592712,593889,1626980,10178420,8386796,13583334,12605079,716699,669005,3959000,1667000,1215000,1398000,2507000,4203000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,356556,229000,119000,278000,172000,92000,52000
61,Total Liabilities,- -,- -,2036366,1795943,1357550,1118848,908062,1581685,1615458,3310167,15001481,12738219,18982085,19059374,18621840,16031338,12063000,10088000,11702000,8672000,9204000,12039000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,700,700,710,5966,5966,5256,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1499,1509,1522,1524,2025,2283,2350,3464,6072,6125,6241,7696,7805,8112,9000,9000,9000,9000,9000,9000
64,Retained Earnings,- -,- -,1518264,1737611,754773,386092,210211,343820,733976,1174396,2132862,3094420,5791368,7026367,2722601,-6004570,-3933000,-4167000,-3479000,-919000,841000,511000
65,Other Comprehensive Income/Loss,- -,- -,-3813003,-4125562,-3065131,-3211407,-3355714,-3539224,-3576798,-3870520,-4224652,-4610602,150162,297566,61906,152685,98000,110000,-699000,-539000,-700000,-997000
66,Other Total Stockholders Equity,- -,- -,3916009,4248801,3195028,3314783,3609108,4595517,4690554,5868158,19360495,19988648,14039599,14910413,16051276,16489661,18209000,18664000,19142000,20420000,20879000,17998000
67,Total Stockholders Equity,- -,- -,1622769,1862359,886192,490992,465630,1403096,1850782,3176208,17280743,18484557,19992626,22242042,18843588,10645888,14383000,14616000,14973000,18971000,21029000,17521000
68,Total Liabilities And Stockholders Equity,- -,- -,3659135,3658302,2243742,1609840,1373692,2984781,3466240,6486375,32282224,31222776,38974711,41301416,37465428,26677226,26446000,24704000,26675000,27643000,30233000,29560000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69000,-188000,-306000,1454000,1299000,1267000
70,Total Liabilities & Equity,- -,- -,3659135,3658302,2243742,1609840,1373692,2984781,3466240,6486375,32282224,31222776,38974711,41301416,37465428,26677226,26377000,24516000,26369000,29097000,31532000,30827000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/30831/000126041509000060/0001260415-09-000060-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420410067029/0001144204-10-067029-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420411072216/0001144204-11-072216-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420413002465/v329471_10k.htm,https://www.sec.gov/Archives/edgar/data/30831/000114420413068455/0001144204-13-068455-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420414074131/0001144204-14-074131-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420415071496/0001144204-15-071496-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420416140662/0001144204-16-140662-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420417064430/0001144204-17-064430-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420418065969/0001144204-18-065969-index.html,https://www.sec.gov/Archives/edgar/data/30831/000110465919075906/0001104659-19-075906-index.html
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,230782,-315555,144206,219347,-982838,-368681,-175881,173019,460156,542010,1161967,1551298,3234381,1351645,-4303766,-8727171,2072000,-234000,688000,2193000,1760000,-370000
74,Depreciation and Amortization,349469,335313,337522,315967,296940,191351,147715,194782,222185,368771,504836,946932,1040132,1272985,1669719,1596451,1123000,1196000,1267000,1238000,1257000,1420000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-24250,-37250,-128700,-31900,-56600,303800,128471,166920,-120634,- -,- -,- -,-2677000,-1715000,282000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184163,329686,563443,935396,417683,467000,459000,698000,456000,457000,362000
77,Change in Working Capital,-555098,186532,-152222,103634,275516,211003,115960,-242777,-263967,-406503,-782615,-309762,-1800788,918962,-191720,1740396,-649000,-1022000,-712000,35000,123000,-2299000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-727443,-1689793,497337,-2107477,1822982,518000,-196000,-271000,91000,-788000,-152000
79,Inventory,-404445,320311,48800,-34484,187603,145284,66007,-43466,-289499,-625861,-368969,538214,198241,-153320,-134449,132185,-395000,-365000,-1080000,-610000,216000,-705000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,845151,- -,338205,-364330,-455000,304000,-176000,748000,-10000,161000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1816016,-178882,-410000,9000,129000,-110000,112000,-89000
82,Other Non-Cash Items,45911,2762,- -,232911,682676,158333,- -,1670,22241,-51535,108662,64404,1886,-342860,2416505,6794461,-1115000,437000,168000,243000,247000,97000
83,Cash Provided by Operating Activities,71064,209052,329506,871859,272294,192006,87794,102444,403365,324043,960950,2380435,3109097,3892646,693054,1701186,1898000,836000,2109000,1488000,2129000,-508000
84,CAPEX,-317857,-7633,-66384,-111301,-160739,-13206,-5834,-97979,-93140,-374491,-522605,-445646,-363406,-1543262,-1018213,-544902,-1448000,-1310000,-1616000,-982000,-2317000,-893000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-700000,- -,-580000,-12801151,- -,-4002946,-300000,- -,- -,-500000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,216261,3300,-1403,-201747,- -,1403,203925,-67976,-61093,-102121,- -,- -,-71,- -,- -,80252,4345000,244000,4000,3000,- -,- -
89,Cash Used for Investing Activites,-101596,-4333,-67787,-313048,-160739,-11803,198091,-865955,-154233,-1056612,-13323756,-445646,-4366423,-1843262,-1018213,-464650,2397000,-1066000,-1612000,-979000,-2317000,-893000
90,Debt Repayment,-214583,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2181319,-2058892,-1858943,-1860678,-2241841,-7263000,-5391000,-467000,-727000,-626000,-803000
91,Common Stock Issued,189304,26972,3790,20243,6671,520,150519,741930,42387,164464,5433928,58093,271255,135302,63122,21009,14000,12000,16000,17000,17000,14000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-27039,- -,- -,- -,- -,- -,- -,- -,- -,-1857546,- -,- -,- -,- -,- -,- -,-3249000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-39410,-70000,-101590,-203501,-589740,-445183,-79770,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,85716,-137418,-156067,-355364,-419493,-202481,-304817,114293,-177590,814504,10518386,- -,4480630,- -,2943400,- -,4353000,3114000,1385000,- -,742000,3413000
95,Cash Used/Provided by Financing Activities,60437,-110446,-152277,-335121,-412822,-229000,-154298,816813,-205203,877378,15748813,-2712966,2247810,-1803411,-711702,-2220832,-2896000,-2265000,934000,-710000,133000,-625000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16704,121901,-28099,6244,6000,-52000,-119000,9000,-33000,-33000
97,Net Change In Cash,29905,94273,109442,223690,-301267,-48797,131587,53302,43929,144809,3386007,-778177,1007188,367874,-1064960,-978052,1405000,-2547000,1312000,-192000,-88000,-2059000
98,Cash at the End of Period,45980,140253,249695,473385,172118,123321,254908,308210,352139,496948,3882955,3104778,4111966,4479840,3414880,2436828,3842000,1295000,2607000,2415000,2327000,268000
99,Cash at the Beginning of Period,16075,45980,140253,249695,473385,172118,123321,254908,308210,352139,496948,3882955,3104778,4111966,4479840,3414880,2437000,3842000,1295000,2607000,2415000,2327000
100,Free Cash Flow,-246793,201419,263122,760558,111555,178800,81960,4465,310225,-50448,438345,1934789,2745691,2349384,-325159,1156284,450000,-474000,493000,506000,-188000,-1401000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/30831/000126041509000060/0001260415-09-000060-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420410067029/0001144204-10-067029-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420411072216/0001144204-11-072216-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420413002465/v329471_10k.htm,https://www.sec.gov/Archives/edgar/data/30831/000114420413068455/0001144204-13-068455-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420414074131/0001144204-14-074131-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420415071496/0001144204-15-071496-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420416140662/0001144204-16-140662-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420417064430/0001144204-17-064430-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420418065969/0001144204-18-065969-index.html,https://www.sec.gov/Archives/edgar/data/30831/000110465919075906/0001104659-19-075906-index.html
102,false,,,,,,,,,,,,,,,,,,,,,,
