,https://roic.ai/company/GRPN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,182000,57543000,40918000,731170000,780516000,932422000,800801000,829970000,802303000,690140000,561355000,33026000,22165000
49,Short-Term Debt,- -,- -,- -,- -,- -,14872000,26776000,28889000,25958000,17207000,40768000,237755000,100000000
50,Tax Payable,- -,- -,- -,89615000,70033000,56939000,13885000,11124000,9645000,8987000,5044000,7862000,- -
51,Deferred Revenue,- -,- -,- -,84757000,91987000,88366000,72689000,80583000,58026000,40570000,31715000,- -,- -
52,Other Current Liabilities,10037000,312876000,954244000,352514000,315275000,289936000,303259000,273609000,247212000,209257000,187709000,668207000,508822000
53,Total Current Liabilities,10219000,370419000,995162000,1168441000,1187778000,1325596000,1203525000,1213051000,1133499000,957174000,821547000,938988000,630987000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,178995000,189753000,201669000,214869000,- -,223403000
55,Deferred Revenue,- -,- -,- -,9162000,9148000,13200000,- -,- -,- -,32186000,- -,- -,- -
56,Deferred Tax Liabilities,- -,604000,7428000,20860000,10853000,773000,8612000,4215000,811000,6619000,3903000,- -,- -
57,Other Non-Current Liabilities,34712000,1017000,70766000,90910000,122549000,123084000,113540000,100054000,101597000,61883000,151378000,44428000,93195000
58,Total Non-Current Liabilities,34712000,1621000,78194000,120932000,142550000,137057000,122152000,283264000,292161000,302357000,370150000,44428000,316598000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,409273000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,38259000,57719000,48608000,44458000,29688000,156893000,129412000,- -
61,Total Liabilities,44931000,372040000,1073356000,1289373000,1330328000,1462653000,1325677000,1496315000,1425660000,1259531000,1191697000,1303833000,947585000
62,Preferred Stock,- -,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3000,4000,64000,65000,67000,70000,72000,74000,75000,76000,77000,4000,4000
64,Retained Earnings,-29828000,-419468000,-698704000,-753477000,-848870000,-921960000,-901292000,-1099010000,-1088204000,-1010499000,-1032876000,- -,-1156868000
65,Other Comprehensive Income/Loss,- -,9875000,12928000,12446000,24830000,35763000,51206000,58052000,31844000,34602000,39081000,3109000,-4813000
66,Other Total Stockholders Equity,-144000,417663000,1388253000,1485006000,1537624000,1648953000,1319412000,1305304000,1307258000,1357069000,1387654000,104562000,1371973000
67,Total Stockholders Equity,-29969000,8077000,702541000,744040000,713651000,762826000,469398000,264420000,250973000,381248000,393936000,107675000,210296000
68,Total Liabilities And Stockholders Equity,14962000,380117000,1775897000,2033413000,2043979000,2225479000,1795075000,1760735000,1676633000,1640779000,1585633000,1411508000,1157881000
69,Minority Interest,- -,1453000,-1421000,-1939000,-1969000,2118000,1189000,642000,872000,1363000,1110000,-147348000,- -
70,Total Liabilities & Equity,14962000,381570000,1774476000,2031474000,2042010000,2227597000,1796264000,1761377000,1677505000,1642142000,1586743000,1264160000,1157881000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1490281/000149028113000008/0001490281-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028114000024/0001490281-14-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028115000014/0001490281-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028116000087/0001490281-16-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028117000024/0001490281-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028118000018/0001490281-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028119000014/0001490281-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028120000021/0001490281-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028121000023/0001490281-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028122000027/0001490281-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-1341000,-389640000,-279427000,-54773000,-95393000,-73090000,20668000,-194587000,14040000,-11079000,-22377000,-286180000,120348000
74,Depreciation and Amortization,80000,12952000,32055000,55801000,89449000,144921000,132970000,137668000,137827000,115828000,105765000,77792,72819000
75,Deferred Income Tax,- -,-7349000,32203000,-7651000,-18055000,-11106000,-8985000,-10621000,603000,-5000000,-1485000,-7101,-33985000
76,Stock Based Compensation,115000,36168000,93590000,104117000,121462000,122019000,142069000,118152000,82044000,64821000,81615000,39010,33169000
77,Change in Working Capital,8799000,-200552000,524729000,-8820000,55375000,-298987000,-204016000,7168000,60064000,102506000,24911000,-71328000,-37974000
78,Accounts Receivable,-601000,-34905000,-70376000,10534000,10989000,-13660000,13313000,-14563000,-18793000,32057000,13577000,13524,5432000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,182000,50835000,-20997000,168629000,57180000,103195000,48818000,21659000,-30022000,-39463000,-126577000,-131210000,-10302000
81,Other Working Capital,3988000,-196564000,328165000,319345000,374720000,75733000,-128283000,-121115000,-61051000,41455000,66366000,-4962000,-42936000
82,Other Non-Cash Items,-143000,635306000,-112703000,178160000,65594000,405067000,172164000,59325000,-159499000,-76221000,-117146000,357334701,-278335000
83,Cash Provided by Operating Activities,7510000,86885000,290447000,266834000,218432000,288824000,254870000,117105000,135079000,190855000,71283000,-63598,-123958000
84,CAPEX,-561000,-15603000,-58328000,-96436000,-65025000,-88792000,-85607000,-71288000,-60217000,-87957000,-71066000,-48711,-99260000
85,Acquisitions Net,- -,3816000,-57063000,-61020000,-9308000,-133760000,-72364000,12117000,- -,-58119000,- -,- -,- -
86,Purchases of Investments,- -,- -,-32042000,-37523000,-21982000,-6904000,-25289000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,6010000,1685000,16561000,8594000,3475000,31605,6950000
88,Other Investing Activites,-1671000,-1014000,-14517000,- -,- -,- -,- -,- -,18333000,1500000,- -,-21328894,-3131000
89,Cash Used for Investing Activites,-1961000,-11879000,-147433000,-194979000,-96315000,-229456000,-177250000,-57486000,-25323000,-135982000,-67591000,-21346000,-45811000
90,Debt Repayment,- -,- -,-14358000,- -,-1620000,-7422000,-219403000,-30598000,-34025000,-41414000,-19687000,-10607,-100000000
91,Common Stock Issued,29946000,584658000,1266392000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-558176000,-388771000,- -,-44840000,-153253000,-442767000,-165357000,-61233000,-9585000,-45631000,- -,- -
93,Dividends Paid,-26363000,-1299000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,215000,5262000,3942000,12095000,-35237000,-33481000,154014000,181290000,-42788000,-33418000,-27301000,176808607,-83850000
95,Cash Used/Provided by Financing Activities,3798000,30445000,867205000,12095000,-81697000,-194156000,-508156000,-14665000,-138046000,-84417000,-92619000,176798000,-183850000
96,Effect of Forex Changes on Cash,- -,1069000,-6117000,2404000,-9237000,-33771000,-32485000,-6470000,26124000,-11209000,-3144000,6574000,- -
97,Net Change In Cash,9347000,106520000,1004102000,86354000,31183000,-168559000,-163272000,38484000,17152000,-40753000,-92071000,98428,-351602000
98,Cash at the End of Period,12313000,118833000,1122935000,1209289000,1240472000,1071913000,853362000,891846000,880129000,844728000,752657000,851085,499483000
99,Cash at the Beginning of Period,2966000,12313000,118833000,1122935000,1209289000,1240472000,1016634000,853362000,862977000,885481000,844728000,752657,851085000
100,Free Cash Flow,6949000,71282000,232119000,170398000,153407000,200032000,169263000,45817000,74862000,102898000,217000,-112309,-223218000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1490281/000149028113000008/0001490281-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028114000024/0001490281-14-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028115000014/0001490281-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028116000087/0001490281-16-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028117000024/0001490281-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028118000018/0001490281-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028119000014/0001490281-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028120000021/0001490281-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028121000023/0001490281-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028122000027/0001490281-22-000027-index.htm
102,false,,,,,,,,,,,,,
