,https://roic.ai/company/OXBR,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1584831/000165495416000181/0001654954-16-000181-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495417001925/0001654954-17-001925-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495418002491/0001654954-18-002491-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495419002948/0001654954-19-002948-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495420002991/0001654954-20-002991-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495421003408/0001654954-21-003408-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495422004186/0001654954-22-004186-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,4000000,4601000,2581000,-20592000,-7749000,-150000,-50000,8565
74,Depreciation and Amortization,- -,13000,18000,21000,24000,18000,10000,10000,7
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,117000,119000,127000,126000,36000,32000,61
77,Change in Working Capital,- -,5307000,8408000,3630000,-4381000,278000,-2825000,27000,9631000
78,Accounts Receivable,- -,-4081000,-36000,79000,240000,3798000,-506000,4000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,28000,-98000,33000,140000,9000,77
81,Other Working Capital,- -,- -,8408000,12038000,7657000,7935000,5110000,5137000,14768000
82,Other Non-Cash Items,- -,-641000,-5018000,-5935000,-1488000,694000,-1442000,711000,-9639146
83,Cash Provided by Operating Activities,- -,8679000,8126000,416000,-26310000,-6633000,-4371000,730000,487
84,CAPEX,- -,-59000,-36000,-11000,-6000,- -,-1000,-14000,-3
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-19193000,-13130000,-13135000,-22647000,-10912000,-505000,-2592000,-1148
87,Sales/Maturities of Investments,- -,8013000,13405000,13087000,27320000,15957000,994000,- -,- -
88,Other Investing Activites,- -,-18060000,-2190000,6928000,20316000,- -,- -,2716000,-404
89,Cash Used for Investing Activites,- -,-29299000,-1951000,6869000,24983000,5045000,488000,110000,-1555
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,21870000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-742000,-1061000,- -,- -,- -,- -
93,Dividends Paid,- -,-1708000,-2908000,-2885000,-2091000,- -,- -,4000,- -
94,Other Financing Activites,- -,5080000,- -,- -,- -,2000000,600000,- -,- -
95,Cash Used/Provided by Financing Activities,- -,25242000,-2908000,-3627000,-3152000,2000000,600000,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,4622000,3267000,3658000,-4479000,412000,-3283000,840000,-4291773
98,Cash at the End of Period,- -,5317000,8584000,12242000,7763000,11299000,8016000,4295000,3227
99,Cash at the Beginning of Period,- -,695000,5317000,8584000,12242000,10887000,11299000,3455000,4295000
100,Free Cash Flow,- -,8620000,8090000,405000,-26316000,-6633000,-4372000,716000,484
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1584831/000165495416000181/0001654954-16-000181-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495417001925/0001654954-17-001925-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495418002491/0001654954-18-002491-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495419002948/0001654954-19-002948-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495420002991/0001654954-20-002991-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495421003408/0001654954-21-003408-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495422004186/0001654954-22-004186-index.htm
102,false,,,,,,,,,
