,https://roic.ai/company/GTHX,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,152000,- -
89,Cash Used for Investing Activites,-87000,-249742,-294000,-709000,-2716000,152000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,108503000,339589000,- -,- -,86429000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,33176000,49757601,-1183000,905000,2705000,21688000,59434000
95,Cash Used/Provided by Financing Activities,33176000,49757601,107320000,340494000,2705000,21688000,145863000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,19244000,24367100,56507000,265478000,-99582000,-61902000,13755000
98,Cash at the End of Period,22938000,47304820,103812000,369290000,269708000,207806000,221561000
99,Cash at the Beginning of Period,3694000,22937720,47305000,103812000,369290000,269708000,207806000
100,Free Cash Flow,-13932000,-25390501,-50813000,-75016000,-102287000,-83742000,-132108000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1560241/000156459018002706/0001564590-18-002706-index.html,https://www.sec.gov/Archives/edgar/data/1560241/000156459019005520/0001564590-19-005520-index.html,https://www.sec.gov/Archives/edgar/data/1560241/000156459020006846/0001564590-20-006846-index.html,https://www.sec.gov/Archives/edgar/data/1560241/000156459021008171/0001564590-21-008171-index.htm,https://www.sec.gov/Archives/edgar/data/1560241/000156459022006299/0001564590-22-006299-index.htm
102,false,,,,,,,
