,https://roic.ai/company/UNIT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,142498000,171754000,59765000,38026000,142813000,77534000,58903000
34,Net Receivables,- -,2700000,1912000,13878000,44369000,90693000,165848000,80031000,76059000,79778000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,93343000,- -
37,Total Current Assets,- -,2700000,1912000,156376000,216123000,150458000,203874000,222844000,246936000,138681000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,3273353000,- -
39,Goodwill,- -,- -,- -,- -,262334000,673729000,692385000,690672000,601878000,601878000
40,Intangible Assets,- -,19038000,14452000,10530000,160584000,429357000,432821000,531979000,390726000,364630000
41,Intangible Assets,- -,19038000,14452000,10530000,422918000,1103086000,1125206000,1222651000,992604000,966508000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,66043000,64223000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11721000
44,Other Non-Current Assets,- -,143000,301000,2375730000,2679711000,3076538000,3263857000,3571505000,152882000,3628110000
45,Total Non-Current Assets,- -,19181000,14753000,2386260000,3102629000,4179624000,4389063000,4794156000,4484882000,4670562000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,21881000,16665000,2542636000,3318752000,4330082000,4592937000,5017000000,4731818000,4809243000
48,Accounts Payable,- -,- -,- -,10409000,40977000,77634000,94179000,227121000,146144000,144223000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,995123000,1134236000
52,Other Current Liabilities,- -,1083000,1248000,114947000,122419000,138241000,141841000,72082000,-388468000,350474000
53,Total Current Liabilities,- -,1083000,1248000,125356000,163396000,215875000,236020000,299203000,752799000,1628933000
54,Long-Term Debt,- -,- -,- -,3505228000,4028214000,4482697000,4846233000,5017679000,4816524000,5105885000
55,Deferred Revenue,- -,1336000,1154000,67817000,261404000,537553000,726262000,1070671000,995123000,- -
56,Deferred Tax Liabilities,- -,7240000,5483000,5714000,28394000,55478000,52434000,24431000,10540000,- -
57,Other Non-Current Liabilities,- -,- -,- -,5427000,159237000,162091000,138683000,88180000,229208000,188199000
58,Total Non-Current Liabilities,- -,8576000,6637000,3584186000,4477249000,5237819000,5763612000,6200961000,6051395000,5294084000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,54535000,56329000,55282000,52994000,15468000,15348000
61,Total Liabilities,- -,9659000,7885000,3709542000,4640645000,5453694000,5999632000,6500164000,6804194000,6923017000
62,Preferred Stock,- -,- -,- -,- -,80552000,83530000,86508000,- -,- -,- -
63,Common Stock,- -,- -,- -,15000,15000,17000,18000,19000,23000,23000
64,Retained Earnings,- -,- -,- -,-1162886000,-1537183000,-1960715000,-2373218000,-2494740000,-3330455000,-3333481000
65,Other Comprehensive Income/Loss,- -,- -,- -,-5427000,-6369000,7821000,30105000,-23442000,-20367000,-9164000
66,Other Total Stockholders Equity,- -,12222000,8780000,1392000,141092000,644328000,757517000,951295000,1209141000,1214830000
67,Total Stockholders Equity,- -,12222000,8780000,-1166906000,-1321893000,-1225019000,-1499070000,-1566868000,-2141658000,-2127792000
68,Total Liabilities And Stockholders Equity,- -,21881000,16665000,2542636000,3318752000,4228675000,4500562000,4933296000,4662536000,4795225000
69,Minority Interest,- -,- -,- -,- -,- -,101407000,92375000,83704000,69282000,14018000
70,Total Liabilities & Equity,- -,21881000,16665000,2542636000,3318752000,4330082000,4592937000,5017000000,4731818000,4809243000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1620280/000156459016014126/0001564590-16-014126-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459017002252/0001564590-17-002252-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459018004145/0001564590-18-004145-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459019008290/0001564590-19-008290-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459020010520/0001564590-20-010520-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459021011266/0001564590-21-011266-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459022007221/0001564590-22-007221-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-212000,-9439000,16187000,10582000,-706301000,123660000
74,Depreciation and Amortization,- -,- -,- -,238748000,375970000,434205000,451750000,405754000,329403000,290942000
75,Deferred Income Tax,- -,- -,- -,-1211000,-2186000,-41171000,-7385000,-11428000,-13891000,-6467000
76,Stock Based Compensation,- -,- -,- -,1934000,4846000,7713000,8064000,10808000,13721000,13847000
77,Change in Working Capital,- -,- -,- -,30661000,21707000,-118144000,33271000,-44213000,-429504000,66457000
78,Accounts Receivable,- -,- -,- -,-215000,-3516000,-10524000,-52792000,25592000,12634000,24497000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,32024000,- -,- -,- -,- -,37850000,27799000
81,Other Working Capital,- -,- -,- -,31020000,52727000,-65417000,-32146000,-76359000,-505863000,- -
82,Other Non-Cash Items,- -,- -,- -,23076000,-24137000,132096000,-29069000,245479000,963805000,10718000
83,Cash Provided by Operating Activities,- -,- -,- -,293208000,375988000,405260000,472818000,616982000,157233000,499157000
84,CAPEX,- -,- -,- -,-44413000,-11543000,-21764000,-423575000,130429000,-317084000,-385855000
85,Acquisitions Net,- -,- -,- -,-1035000000,-500331000,-853380000,-56968000,-324730000,-73407000,62113000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-29000,-23357000,-144264000,- -,-350480000,-317084000,-383334000
89,Cash Used for Investing Activites,- -,- -,- -,-1079442000,-535231000,-1019408000,-480543000,-544781000,1394000,-321221000
90,Debt Repayment,- -,- -,- -,-10700000,-664576000,-589317000,-167026000,-229318000,-2683449000,-2482019000
91,Common Stock Issued,- -,- -,- -,- -,54213000,498926000,- -,21641000,244550000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1834000,-1097000,- -
93,Dividends Paid,- -,- -,- -,-156854000,-367830000,-400210000,-426094000,-138731000,-135676000,-141371000
94,Other Financing Activites,- -,- -,- -,1096268000,1166959000,992568000,579279000,380871000,2351766000,2426823000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,928714000,188766000,501967000,-13841000,32629000,-223906000,-196567000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-267000,192000,-173000,-43000,- -,- -
97,Net Change In Cash,- -,- -,- -,142462000,29256000,-111989000,-21739000,104787000,-65279000,-18631000
98,Cash at the End of Period,- -,- -,- -,142480000,171754000,59765000,38026000,142813000,77534000,58903000
99,Cash at the Beginning of Period,- -,- -,- -,18000,142498000,171754000,59765000,38026000,142813000,77534000
100,Free Cash Flow,- -,- -,- -,248795000,341088000,239232000,49243000,266502000,-159851000,113302000
101,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1620280/000156459016014126/0001564590-16-014126-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459017002252/0001564590-17-002252-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459018004145/0001564590-18-004145-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459019008290/0001564590-19-008290-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459020010520/0001564590-20-010520-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459021011266/0001564590-21-011266-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459022007221/0001564590-22-007221-index.htm
102,false,,,,,,,,,,
