,https://roic.ai/company/PCSA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,20000,2501201,2727072,2423347,2162843,159,- -,31356,10460692,9875993,9011703,8136354
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20000,5305638,3884115,2938053,2542052,104321,3237,2982940,12481068,10883134,25214389,26463505
48,Accounts Payable,- -,- -,73172,77028,190168,159249,166165,50686,292102,75612,320694,218905
49,Short-Term Debt,- -,300000,527218,631186,466466,1366394,1612341,2448570,230000,802503,117574,71078
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,155497,58165,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,30621,115262,258006,125254,557485,575887,100557,123602,313449,782684,681037
53,Total Current Liabilities,- -,330621,715652,1121717,840053,2083128,2354393,2599813,645704,1191564,1220952,971020
54,Long-Term Debt,- -,2200000,606158,145458,494066,- -,- -,- -,- -,- -,44885,7385
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2134346,1531630,530611,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,9963,733561,147390,478463,- -
58,Total Non-Current Liabilities,- -,2200000,606158,145458,494066,- -,- -,9963,2867907,1679020,1053959,7385
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,225382,165663,- -
61,Total Liabilities,- -,2530621,1321810,1267175,1334119,2083128,2354393,2609776,3513611,2870584,2274911,978405
62,Preferred Stock,- -,210,286,101,18,18,18,- -,- -,- -,- -,- -
63,Common Stock,- -,280,190,808,1095,1102,1102,3527,3867,549,1419,1571
64,Retained Earnings,- -,-941097,-3430807,-6813758,-12905124,-14874680,-15254917,-3859086,-7624134,-10982010,-25395798,-36823332
65,Other Comprehensive Income/Loss,- -,-178,-19360,-77123,-185751,-18991,-19150,-3246,- -,-20137,- -,- -
66,Other Total Stockholders Equity,20000,3715802,6011996,8560850,14297695,12913744,12921791,4231969,17321285,19014148,48333857,62306861
67,Total Stockholders Equity,20000,2775017,2562305,1670878,1207933,-1978807,-2351156,373164,9701018,8012550,22939478,25485100
68,Total Liabilities And Stockholders Equity,20000,5305638,3884115,2938053,2542052,104321,3237,2982940,13214629,10883134,25214389,26463505
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-733561,- -,- -,- -
70,Total Liabilities & Equity,20000,5305638,3884115,2938053,2542052,104321,3237,2982940,12481068,10883134,25214389,26463505
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1533743/000139390514000131/0001393905-14-000131-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000139390515000193/0001393905-15-000193-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000139390517000190/0001393905-17-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000139390517000290/0001393905-17-000290-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000149315218005248/0001493152-18-005248-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000149315219004137/0001493152-19-004137-index.html,https://www.sec.gov/Archives/edgar/data/1533743/000149315220003534/0001493152-20-003534-index.html,https://www.sec.gov/Archives/edgar/data/1533743/000149315221006807/0001493152-21-006807-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000149315222008156/0001493152-22-008156-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-160000,-940000,-2440538,-3068701,-4526250,-3354227,-335982,-1856315,-3765047,-3357876,-14413788,-11427534
74,Depreciation and Amortization,- -,- -,108467,414906,461260,238822,159,1865,630092,803773,803774,484
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-902801,-602716,-1001019,-530611
76,Stock Based Compensation,- -,- -,456998,216083,231524,96929,6691,- -,74063,510478,2730042,3408015
77,Change in Working Capital,- -,2473816,-2032425,-1048402,146167,-1518122,-372190,2702927,1022901,-1559095,15166157,2374397
78,Accounts Receivable,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-48749,-97369,-77474,-7065,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,73172,3856,84399,5318,-10343,9995,241416,-216490,245082,-101789
81,Other Working Capital,- -,2473816,441391,-607011,-460844,-1978966,-2351156,351771,1374672,-184423,14981734,17356131
82,Other Non-Cash Items,- -,-2243816,2020998,947345,991851,3664692,658119,-2503094,-767122,1455291,-6428362,-2542042
83,Cash Provided by Operating Activities,-160000,-710000,-1886500,-2538769,-2695448,-871906,-43203,-1654617,-3707914,-2750145,-3143196,-8717291
84,CAPEX,- -,- -,-334338,-27674,-48299,-1399,- -,-20622,-20500,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,3355,- -,- -,6280,-1782,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-2500000,- -,- -,- -,41603,17000,1019294,-20500,- -,- -,- -
89,Cash Used for Investing Activites,- -,-2500000,-334338,-27674,-44944,40204,17000,1004952,-22282,- -,- -,- -
90,Debt Repayment,- -,- -,-1500000,-780257,-545528,-19902,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,366324,88000,- -,- -,2874687,- -,17100637,10049537
92,Common Stock Repurchased,- -,3500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,160000,2500000,1953376,2512089,2753966,753000,15000,2425200,-250959,1700720,767247,-250889
95,Cash Used/Provided by Financing Activities,160000,6000000,453376,1731832,2574762,821098,15000,2425200,2623728,1700720,17867884,9798648
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,2790000,-1767462,-834611,-165630,-10604,-11203,1775535,-1106468,-1049425,14724688,1081357
98,Cash at the End of Period,- -,2790000,1027475,186864,21234,14440,3237,2847429,1740961,691536,15416224,16497581
99,Cash at the Beginning of Period,- -,- -,2794937,1021475,186864,25044,14440,1071894,2847429,1740961,691536,15416224
100,Free Cash Flow,-160000,-710000,-2220838,-2566443,-2743747,-873305,-43203,-1675239,-3728414,-2750145,-3143196,-8717291
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1533743/000139390514000131/0001393905-14-000131-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000139390515000193/0001393905-15-000193-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000139390517000190/0001393905-17-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000139390517000290/0001393905-17-000290-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000149315218005248/0001493152-18-005248-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000149315219004137/0001493152-19-004137-index.html,https://www.sec.gov/Archives/edgar/data/1533743/000149315220003534/0001493152-20-003534-index.html,https://www.sec.gov/Archives/edgar/data/1533743/000149315221006807/0001493152-21-006807-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000149315222008156/0001493152-22-008156-index.htm
102,false,,,,,,,,,,,,
