,https://roic.ai/company/OKTA,2015,2016,2017,2018,2019,2020,2021,2022
44,Other Non-Current Assets,8299000,12163000,15034000,21398000,70098000,96379000,132811000,233323000
45,Total Non-Current Assets,14514000,24095000,37845000,51981000,155004000,355670000,420230000,6165062000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,97050000,149763000,130635000,367397000,864334000,1955395000,3298797000,9205695000
48,Accounts Payable,4228000,5874000,11897000,9566000,17212000,3837000,8557000,20203000
49,Short-Term Debt,- -,- -,- -,- -,271628000,100703000,932087000,42714000
50,Tax Payable,- -,- -,- -,- -,- -,- -,2462000,7423000
51,Deferred Revenue,38497000,67818000,108012000,162633000,245622000,365236000,502738000,973289000
52,Other Current Liabilities,7761000,13448000,15415000,18561000,29729000,77187000,102232000,206600000
53,Total Current Liabilities,50486000,87140000,135324000,190760000,564191000,546963000,1545614000,1242806000
54,Long-Term Debt,- -,- -,- -,- -,- -,837002000,1036905000,1986325000
55,Deferred Revenue,8912000,11707000,5711000,6034000,8768000,6214000,10860000,22933000
56,Deferred Tax Liabilities,65000,131000,200000,175000,727000,1558000,3877000,9416000
57,Other Non-Current Liabilities,154785000,231847000,4747000,6842000,38272000,158314000,7498000,22359000
58,Total Non-Current Liabilities,163762000,243685000,10658000,13051000,47767000,1003088000,1059140000,2041033000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,166575000,202921000,197131000
61,Total Liabilities,214248000,330825000,145982000,203811000,611958000,1550051000,2604754000,3283839000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000,2000,8000,10000,11000,12000,13000,16000
64,Retained Earnings,-128098000,-204400000,-287909000,-402468000,-492211000,-701124000,-967456000,-1815867000
65,Other Comprehensive Income/Loss,-1061000,-2141000,-4106000,-8115000,-9642000,1000000,5390000,-12009000
66,Other Total Stockholders Equity,11959000,25477000,276660000,574159000,754219000,1105456000,1656096000,7749716000
67,Total Stockholders Equity,-117198000,-181062000,-15347000,163586000,252377000,405344000,694043000,5921856000
68,Total Liabilities And Stockholders Equity,97050000,149763000,130635000,367397000,864335000,1955395000,3298797000,9205695000
69,Minority Interest,- -,- -,- -,- -,-1000,- -,- -,- -
70,Total Liabilities & Equity,97050000,149763000,130635000,367397000,864334000,1955395000,3298797000,9205695000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1660134/000166013418000007/0001660134-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1660134/000166013419000006/0001660134-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1660134/000166013420000006/0001660134-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1660134/000166013421000007/0001660134-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1660134/000166013422000010/0001660134-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-59111000,-76302000,-83509000,-114359000,-125497000,-208913000,-266332000,-848411000
74,Depreciation and Amortization,1923000,2889000,4568000,7001000,8001000,17815000,36865000,107612000
75,Deferred Income Tax,- -,- -,- -,-534000,-765000,-2253000,-1182000,-6157000
76,Stock Based Compensation,6580000,9832000,17127000,49860000,76320000,126624000,196181000,565480000
77,Change in Working Capital,14747000,6478000,-81062000,167190000,20483000,907623000,280191000,141098000
78,Accounts Receivable,-7228000,-10668000,-11993000,-18321000,-39682000,-37515000,-66373000,-174817000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,2781000,962000,3322000,3505000,675000,1689000,4081000,6764000
81,Other Working Capital,32050000,38528000,-42534000,124656000,145139000,1052762000,1332953000,296117000
82,Other Non-Cash Items,3112000,15567000,100775000,-134398000,36630000,-785293000,-117761000,144497000
83,Cash Provided by Operating Activities,-32749000,-41536000,-42101000,-25240000,15172000,55603000,127962000,104119000
84,CAPEX,-2945000,-6701000,-11742000,-11981000,-22662000,-27919000,-17368000,-16759000
85,Acquisitions Net,-3200000,- -,- -,- -,-15632000,-44283000,- -,-215175000
86,Purchases of Investments,-44526000,-46360000,- -,-129086000,-631488000,-999387000,-2029030000,-1846709000
87,Sales/Maturities of Investments,2100000,54221000,18707000,41363000,471722000,383548000,741252000,1711831000
88,Other Investing Activites,-1763000,-2608000,-5489000,-5431000,-2111000,-12477000,-4285000,-4449000
89,Cash Used for Investing Activites,-48571000,1160000,6965000,-99704000,-197320000,-688041000,-1305146000,-366812000
90,Debt Repayment,- -,-213000,-396000,- -,- -,-224414000,-446000,-26000
91,Common Stock Issued,- -,- -,- -,199948000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,77313000,77054000,853000,37460000,357762000,1077799000,1092044000,89092000
95,Cash Used/Provided by Financing Activities,77313000,76841000,457000,237408000,357762000,853385000,1091598000,89066000
96,Effect of Forex Changes on Cash,-7000,-42000,-120000,487000,-632000,-209000,2263000,-2347000
97,Net Change In Cash,-4014000,36423000,-34799000,112951000,174982000,220738000,-83323000,-175974000
98,Cash at the End of Period,21658000,58081000,23282000,136233000,311215000,531953000,448630000,272656000
99,Cash at the Beginning of Period,25672000,21658000,58081000,23282000,136233000,311215000,531953000,448630000
100,Free Cash Flow,-35694000,-48237000,-53843000,-37221000,-7490000,27684000,110594000,87360000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1660134/000166013418000007/0001660134-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1660134/000166013419000006/0001660134-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1660134/000166013420000006/0001660134-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1660134/000166013421000007/0001660134-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1660134/000166013422000010/0001660134-22-000010-index.htm
102,false,,,,,,,,
