,https://roic.ai/company/SNOA,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-0.0835,-0.6457,-7.9135,-11.8702,-8.6873,-4.2067,-5.1106,-3.0533,-1.0578,-0.7327,-0.4765,-0.2625,0.3715,-0.5736,-0.6573,0.4099,-0.8283,-0.5722,-0.1319,-0.1609
17,Operating Income,-147000,-1468000,902000,-16312000,-20851000,-19484000,-22425000,-17307000,-8016000,-7505000,-6467000,-3374000,-6051000,-6659000,-10152000,-12974000,-14189000,-11258000,-6671000,-3449000
18,Operating Income ratio,-0.0735,-0.5943,1.0000,-12.0295,-8.0693,-4.2888,-5.8475,-3.2121,-1.0885,-0.7694,-0.5075,-0.2184,-0.4427,-0.4807,-0.6730,-1.0116,-0.8518,-0.5935,-0.3523,-0.1851
19,Total Other Income Expenses (Gains),4000,-4000,- -,146000,-377000,345000,2472000,-64000,-209000,-40000,65000,-2057000,9786000,-1544000,-10000,37000,-139000,-82000,3846000,-453000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5431000,3735000,-8203000,-10162000,-12937000,-14328000,-11340000,-2825000,-3902000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.3515,0.2733,-0.5921,-0.6737,-1.0087,-0.8601,-0.5978,-0.1492,-0.2095
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4268000,- -,458000,121000,713000
23,Net Income,-167000,-1595000,-7298000,-16530000,-23099000,-19783000,-20339000,-17656000,-8232000,-7948000,-7329000,-5431000,3735000,-8203000,-10162000,9274000,-14328000,-11798000,-2946000,-3950000
24,Net Income ratio,-0.0835,-0.6457,-8.0909,-12.1903,-8.9392,-4.3546,-5.3035,-3.2769,-1.1179,-0.8148,-0.5751,-0.3515,0.2733,-0.5921,-0.6737,0.7231,-0.8601,-0.6219,-0.1556,-0.2120
25,EPS,-12.60,-132.30,-589.05,-1329.30,-1764.00,-1168.65,-504.00,-343.35,-113.40,-94.50,-85.05,-58.46,24.30,-38.25,-27.90,19.53,-28.44,-12.77,-1.99,-1.97
26,EPS Diluted,-12.60,-132.30,-589.05,-1329.30,-1764.00,-1168.65,-504.00,-343.35,-113.40,-94.50,-85.05,-58.46,24.30,-38.25,-27.90,19.53,-28.44,-12.77,-1.99,-1.97
27,Weighted Average Shares Outstanding,12047,12149,12415,12425,13174,17295,40434,51495,72993,83726,86942,110644,152933,214599,365421,474443,503332,923999,1477000,1996000
28,Weighted Average Shares Outstanding Diluted,12047,12149,12415,12425,13174,17295,40434,51495,72993,83726,86942,110644,153288,214599,365421,474443,503332,923999,1477000,1996000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1367083/000095013407013693/0000950134-07-013693-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000095013408011240/0000950134-08-011240-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000095012309013338/0000950123-09-013338-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000114420410032433/0001144204-10-032433-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000114420411033977/0001144204-11-033977-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000101968712002202/oculus_10k-033112.htm,https://www.sec.gov/Archives/edgar/data/1367083/000101968713002453/0001019687-13-002453-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000101968714002591/0001019687-14-002591-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000101968715002432/0001019687-15-002432-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000101968716006749/0001019687-16-006749-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000168316817001670/0001683168-17-001670-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000168316818001786/0001683168-18-001786-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000168316819002069/0001683168-19-002069-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000168316820002234/0001683168-20-002234-index.htm,https://www.sec.gov/Archives/edgar/data/1367083/000168316821002977/0001683168-21-002977-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,177000,- -,3287000,7448000,19050000,18823000,1921000,6258000,4371000,3351000,7900000,5480000,6136000,7469000,17461000,10066000,3689000,3691000,4220000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,177000,- -,3287000,7448000,19050000,18823000,1921000,6258000,4371000,3351000,7900000,5480000,6136000,7469000,17461000,10066000,3689000,3691000,4220000
34,Net Receivables,- -,- -,- -,227000,1798000,1364000,770000,923000,1416000,2094000,2159000,1708000,2327000,1517000,2274000,2108000,1537000,4444000,5367000,4656000
35,Inventory,- -,- -,- -,868000,317000,282000,259000,340000,565000,733000,953000,992000,1088000,1402000,1640000,2221000,2865000,3409000,2192000,2530000
36,Other Current Assets,- -,- -,- -,499000,664000,3172000,1098000,758000,811000,611000,497000,934000,647000,592000,1505000,853000,1786000,954000,1133000,1577000
37,Total Current Assets,- -,- -,- -,4881000,10227000,23868000,20950000,3942000,9050000,7809000,6960000,11534000,9542000,9647000,12888000,22643000,16254000,12496000,12383000,12983000
38,PP&E,- -,- -,- -,1959000,1940000,2207000,2303000,1432000,1108000,802000,806000,800000,971000,795000,850000,1239000,1136000,727000,1328000,1129000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10150000,4538000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,100000,522000,875000,359000,73000,60000,53000,72000,231000,128000,68000,65000,1577000,1816000,1225000,850000,875000
45,Total Non-Current Assets,- -,- -,- -,2059000,2462000,3082000,2662000,1505000,1168000,855000,878000,1031000,11249000,5401000,915000,2816000,2952000,1952000,2178000,2004000
46,Other Assets,- -,961000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,961000,- -,6940000,12689000,26950000,23612000,5447000,10218000,8664000,7838000,12565000,20791000,15048000,13803000,25459000,19206000,14448000,14561000,14987000
48,Accounts Payable,- -,- -,- -,906000,2774000,2551000,2977000,1565000,981000,669000,816000,808000,736000,932000,1337000,1255000,1272000,1255000,2086000,1769000
49,Short-Term Debt,- -,- -,- -,977000,519000,6062000,2013000,255000,204000,907000,1415000,1259000,143000,87000,114000,123000,230000,322000,481000,836000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,156000,- -,- -,- -,- -,1808000,1619000,2320000,2629000,769000,574000,521000,206000,102000,273000,319000
52,Other Current Liabilities,- -,- -,- -,2335000,1651000,1421000,2460000,859000,1550000,1031000,899000,740000,4064000,793000,1526000,1389000,1553000,1912000,2025000,1154000
53,Total Current Liabilities,- -,- -,- -,4218000,5100000,10034000,7450000,2679000,2735000,4415000,4749000,5127000,7572000,2581000,3551000,3288000,3261000,3591000,4865000,4078000
54,Long-Term Debt,- -,- -,- -,460000,210000,1990000,205000,74000,110000,1638000,1824000,676000,4000,- -,- -,45000,32000,12000,- -,1839000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,425000,328000,160000,133000,2619000,1152000,413000,112000,527000,443000,356000,245000,229000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,523000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,60000,41000,25000,6000,- -,- -,750000,2000000,62000,- -,- -,- -,168000,144000,- -,746000,3478000
58,Total Non-Current Liabilities,- -,- -,- -,520000,251000,2015000,734000,499000,438000,2548000,3957000,3357000,1156000,413000,112000,740000,619000,368000,991000,5546000
59,Other Liabilities,- -,1040000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,60000,41000,25000,6000,6000,- -,- -,- -,- -,- -,- -,- -,242000,291000,141000,997000,769000
61,Total Liabilities,- -,1040000,- -,4738000,5351000,12049000,8184000,3178000,3173000,6963000,8706000,8484000,8728000,2994000,3663000,4028000,3880000,3959000,5856000,9624000
62,Preferred Stock,- -,- -,- -,23324000,50390000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,3101000,3399000,1000,2000,2000,3000,3000,3000,1000,1000,2000,2000,1000,1000,2000,2000,2000
64,Retained Earnings,- -,- -,- -,-27080000,-50300000,-70487000,-90826000,-108482000,-117037000,-124985000,-132314000,-137745000,-134010000,-142213000,-152375000,-143101000,-157440000,-169238000,-172246000,-179277000
65,Other Comprehensive Income/Loss,- -,- -,- -,-792000,-1286000,-1955000,-3000000,-3000000,-3000000,-3000000,-3000000,-3000000,-3000000,-4000000,-4000000,-4000000,-4000000,-4000000,-6000000,-4579000
66,Other Total Stockholders Equity,- -,- -,- -,3649000,5135000,87342000,109252000,113749000,127079000,129683000,134443000,144825000,149072000,158265000,166513000,168531000,176765000,183725000,186949000,189217000
67,Total Stockholders Equity,- -,-79000,- -,2202000,7338000,14901000,15428000,2269000,7045000,1701000,-868000,4081000,12063000,12054000,10140000,21431000,15326000,10489000,8705000,5363000
68,Total Liabilities And Stockholders Equity,- -,961000,- -,6940000,12689000,26950000,23612000,5447000,10218000,8664000,7838000,12565000,20791000,15048000,13803000,25459000,19206000,14448000,14561000,14987000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,961000,- -,6940000,12689000,26950000,23612000,5447000,10218000,8664000,7838000,12565000,20791000,15048000,13803000,25459000,19206000,14448000,14561000,14987000
71,SEC Link,undefined,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1367083/000095013407013693/0000950134-07-013693-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000095013408011240/0000950134-08-011240-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000095012309013338/0000950123-09-013338-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000114420410032433/0001144204-10-032433-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000114420411033977/0001144204-11-033977-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000101968712002202/oculus_10k-033112.htm,https://www.sec.gov/Archives/edgar/data/1367083/000101968713002453/0001019687-13-002453-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000101968714002591/0001019687-14-002591-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000101968715002432/0001019687-15-002432-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000101968716006749/0001019687-16-006749-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000168316817001670/0001683168-17-001670-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000168316818001786/0001683168-18-001786-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000168316819002069/0001683168-19-002069-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000168316820002234/0001683168-20-002234-index.htm,https://www.sec.gov/Archives/edgar/data/1367083/000168316821002977/0001683168-21-002977-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-7298000,-16530000,-23099000,-19783000,-20339000,-17656000,-8232000,-7948000,-7329000,-5431000,3735000,-8203000,-10162000,9274000,-14328000,-11798000,-2946000,-3950000
74,Depreciation and Amortization,- -,- -,160000,434000,651000,672000,740000,768000,433000,395000,326000,268000,284000,253000,244000,248000,490000,453000,312000,227000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2263000,1432000,2366000,2799000,1601000,1451000,1771000,2341000,2145000,2410000,1635000,839000,371000
77,Change in Working Capital,- -,- -,1140000,663000,4464000,8707000,-334000,-12237000,5052000,-2921000,-1183000,4196000,-4437000,5096000,2271000,10018000,-6362000,-4088000,-1387000,1387000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-379000,-453000,-626000,-164000,411000,-88000,40000,-1282000,34000,11000,-1164000,-2190000,2608000
79,Inventory,- -,- -,- -,-748000,551000,53000,-180000,-177000,-388000,-245000,-309000,-103000,-126000,-627000,-382000,-675000,-583000,-779000,323000,-65000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-1332000,-163000,-266000,158000,-10000,848000,222000,429000,-58000,9000,5000,336000,-796000
81,Other Working Capital,- -,- -,- -,663000,5127000,13834000,13500000,1263000,6315000,3394000,2211000,6407000,1970000,7066000,9337000,19355000,12993000,8905000,7518000,8905000
82,Other Non-Cash Items,- -,- -,438000,1900000,-2536000,-7678000,2487000,10030000,-5324000,3679000,1355000,516000,-5923000,-5611000,-3440000,-29852000,5351000,2081000,-1409000,-1413000
83,Cash Provided by Operating Activities,- -,- -,-5560000,-13533000,-20520000,-18082000,-17446000,-16832000,-6639000,-4429000,-4032000,1150000,-4890000,-6694000,-8746000,-8167000,-12439000,-11717000,-4591000,-3378000
84,CAPEX,- -,- -,-980000,-1042000,-475000,-873000,-617000,-393000,-141000,-174000,-336000,-257000,-504000,-139000,-345000,-394000,-187000,-100000,-206000,-179000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18639000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-113000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,963000,4538000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-30000,-76000,-1107000,-4000,- -,-31000,-43000,10000,-24000,- -,59000,51000,-2000,-21000,-14000,-31000,3850000,567000
89,Cash Used for Investing Activites,- -,- -,-1010000,-1118000,-1582000,-877000,-617000,-424000,-184000,-164000,-360000,-370000,-445000,875000,4191000,18224000,-201000,-131000,3644000,388000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-2138000,-294000,-410000,-1164000,-2083000,-1615000,-176000,-119000,-130000,-280000,-478000,-347000,-481000
91,Common Stock Issued,- -,- -,- -,16696000,27324000,24860000,21939000,2514000,11378000,94000,1894000,4942000,- -,6785000,6144000,- -,5468000,5970000,1376000,- -
92,Common Stock Repurchased,- -,- -,6840000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,430000,500000,-1205000,5708000,-4107000,- -,- -,3000000,2719000,891000,4560000,- -,14000,98000,52000,- -,- -,3789000
95,Cash Used/Provided by Financing Activities,- -,- -,7270000,17196000,26119000,30568000,17832000,376000,11084000,2684000,3449000,3750000,2945000,6609000,6039000,-32000,5240000,5492000,1029000,3308000
96,Effect of Forex Changes on Cash,- -,- -,-10000,-127000,144000,-7000,4000,-22000,76000,22000,-77000,19000,-30000,-134000,-151000,-33000,5000,-21000,-80000,211000
97,Net Change In Cash,- -,- -,690000,2418000,4161000,11602000,-227000,-16902000,4337000,-1887000,-1020000,4549000,-2420000,656000,1333000,9992000,-7395000,-6377000,2000,529000
98,Cash at the End of Period,- -,- -,4379000,3287000,7448000,19050000,18823000,1921000,6258000,4371000,3351000,7900000,5480000,6136000,7469000,17461000,10066000,3689000,3691000,4220000
99,Cash at the Beginning of Period,- -,- -,3689000,869000,3287000,7448000,19050000,18823000,1921000,6258000,4371000,3351000,7900000,5480000,6136000,7469000,17461000,10066000,3689000,3691000
100,Free Cash Flow,- -,- -,-6540000,-14575000,-20995000,-18955000,-18063000,-17225000,-6780000,-4603000,-4368000,893000,-5394000,-6833000,-9091000,-8561000,-12626000,-11817000,-4797000,-3557000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1367083/000095013407013693/0000950134-07-013693-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000095013408011240/0000950134-08-011240-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000095012309013338/0000950123-09-013338-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000114420410032433/0001144204-10-032433-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000114420411033977/0001144204-11-033977-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000101968712002202/oculus_10k-033112.htm,https://www.sec.gov/Archives/edgar/data/1367083/000101968713002453/0001019687-13-002453-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000101968714002591/0001019687-14-002591-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000101968715002432/0001019687-15-002432-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000101968716006749/0001019687-16-006749-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000168316817001670/0001683168-17-001670-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000168316818001786/0001683168-18-001786-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000168316819002069/0001683168-19-002069-index.html,https://www.sec.gov/Archives/edgar/data/1367083/000168316820002234/0001683168-20-002234-index.htm,https://www.sec.gov/Archives/edgar/data/1367083/000168316821002977/0001683168-21-002977-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
