,https://roic.ai/company/CRC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),670000000,482000000,578000000,-987000000,-1922000000,-78000000,- -,- -,1000000,- -,-396000000
23,Net Income,971000000,699000000,869000000,-1434000000,-3554000000,279000000,-266000000,328000000,-28000000,-125000000,612000000
24,Net Income ratio,0.2466,0.1716,0.2028,-0.3436,-1.4790,0.1592,-0.1269,0.1071,-0.0104,-3.2895,0.2386
25,EPS,2.51,13.93,1.74,-3.75,-9.27,6.76,-6.26,6.77,-0.57,21.20,7.46
26,EPS Diluted,2.51,13.93,1.74,-3.75,-9.27,6.76,-6.26,6.77,-0.57,21.20,7.37
27,Weighted Average Shares Outstanding,387000000,49400000,387000000,381900000,383200000,40400000,42500000,47400000,49000000,83319660,82000000
28,Weighted Average Shares Outstanding Diluted,387000000,49400000,387000000,381900000,383200000,40400000,42500000,47400000,49200000,83319660,83000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1609253/000162828015001108/a10kworddocument.htm,https://www.sec.gov/Archives/edgar/data/1609253/000160925316000194/0001609253-16-000194-index.html,https://www.sec.gov/Archives/edgar/data/1609253/000160925317000047/0001609253-17-000047-index.html,https://www.sec.gov/Archives/edgar/data/1609253/000160925318000041/0001609253-18-000041-index.html,https://www.sec.gov/Archives/edgar/data/1609253/000160925319000058/0001609253-19-000058-index.html,https://www.sec.gov/Archives/edgar/data/1609253/000160925320000066/0001609253-20-000066-index.html,https://www.sec.gov/Archives/edgar/data/1609253/000160925321000047/0001609253-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1609253/000160925322000010/0001609253-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,14000000,12000000,12000000,20000000,17000000,17000000,28000000,305000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,14000000,12000000,12000000,20000000,17000000,17000000,28000000,305000000
34,Net Receivables,- -,93000000,127000000,428000000,240000000,276000000,353000000,367000000,347000000,- -,- -
35,Inventory,- -,81000000,75000000,71000000,58000000,58000000,56000000,69000000,67000000,61000000,- -
36,Other Current Assets,- -,71000000,52000000,188000000,187000000,79000000,54000000,187000000,60000000,240000000,448000000
37,Total Current Assets,- -,245000000,254000000,701000000,497000000,425000000,483000000,640000000,491000000,329000000,753000000
38,PP&E,- -,13499000000,14008000000,11685000000,6312000000,5885000000,5696000000,6455000000,6352000000,2689000000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,199000000,- -,- -,- -,- -,- -,396000000
44,Other Non-Current Assets,- -,20000000,35000000,111000000,45000000,44000000,28000000,63000000,115000000,- -,- -
45,Total Non-Current Assets,- -,13519000000,14043000000,11796000000,6556000000,5929000000,5724000000,6518000000,6467000000,2689000000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3093000000
47,Total Assets,- -,13764000000,14297000000,12497000000,7053000000,6354000000,6207000000,7158000000,6958000000,3018000000,3846000000
48,Accounts Payable,- -,371000000,448000000,588000000,257000000,219000000,257000000,390000000,296000000,212000000,- -
49,Short-Term Debt,- -,- -,- -,- -,100000000,100000000,- -,- -,128000000,7000000,- -
50,Tax Payable,- -,- -,- -,- -,26000000,- -,- -,38000000,57000000,36000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,180000000,241000000,318000000,248000000,407000000,475000000,217000000,285000000,254000000,854000000
53,Total Current Liabilities,- -,551000000,689000000,906000000,605000000,726000000,732000000,607000000,709000000,473000000,854000000
54,Long-Term Debt,- -,- -,- -,6360000000,6043000000,5168000000,5306000000,5251000000,4877000000,597000000,- -
55,Deferred Revenue,- -,- -,- -,- -,491000000,397000000,287000000,216000000,146000000,- -,- -
56,Deferred Tax Liabilities,- -,2842000000,3122000000,2055000000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,511000000,497000000,565000000,830000000,620000000,602000000,1331000000,1522000000,822000000,- -
58,Total Non-Current Liabilities,- -,3353000000,3619000000,8980000000,7364000000,6185000000,6195000000,6798000000,6545000000,1419000000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1304000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,66000000,42000000,- -
61,Total Liabilities,- -,3904000000,4308000000,9886000000,7969000000,6911000000,6927000000,7405000000,7254000000,1892000000,2158000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,4000000,4000000,- -,- -,- -,- -,1000000,- -
64,Retained Earnings,- -,- -,- -,-2117000000,-5683000000,-5404000000,-5670000000,-5342000000,-5370000000,- -,- -
65,Other Comprehensive Income/Loss,- -,-5825000000,-6964000000,-24000000,-15000000,-14000000,-23000000,-6000000,-23000000,-8000000,72000000
66,Other Total Stockholders Equity,- -,15685000000,16953000000,4748000000,4778000000,19877000000,20514000000,21163000000,21611000000,1145000000,- -
67,Total Stockholders Equity,- -,9860000000,9989000000,2611000000,-916000000,-557000000,-814000000,-361000000,-389000000,1138000000,1688000000
68,Total Liabilities And Stockholders Equity,- -,13764000000,14297000000,12497000000,7053000000,6354000000,6113000000,7044000000,6865000000,3030000000,3846000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,94000000,114000000,93000000,-12000000,- -
70,Total Liabilities & Equity,- -,13764000000,14297000000,12497000000,7053000000,6354000000,6207000000,7158000000,6958000000,3018000000,3846000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1609253/000162828015001108/a10kworddocument.htm,https://www.sec.gov/Archives/edgar/data/1609253/000160925316000194/0001609253-16-000194-index.html,https://www.sec.gov/Archives/edgar/data/1609253/000160925317000047/0001609253-17-000047-index.html,https://www.sec.gov/Archives/edgar/data/1609253/000160925318000041/0001609253-18-000041-index.html,https://www.sec.gov/Archives/edgar/data/1609253/000160925319000058/0001609253-19-000058-index.html,https://www.sec.gov/Archives/edgar/data/1609253/000160925320000066/0001609253-20-000066-index.html,https://www.sec.gov/Archives/edgar/data/1609253/000160925321000047/0001609253-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1609253/000160925322000010/0001609253-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,971000000,699000000,869000000,-1434000000,-3554000000,279000000,-266000000,328000000,-28000000,-125000000,612000000
74,Depreciation and Amortization,- -,- -,- -,- -,1004000000,- -,- -,- -,- -,-34000000,- -
75,Deferred Income Tax,586000000,603000000,260000000,-1152000000,-1948000000,-78000000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,123000000,-306000000,-129000000,230000000,97000000,-193000000,52000000,282000000,-251000000,74000000,- -
78,Accounts Receivable,-31000000,20000000,-8000000,146000000,47000000,-33000000,-45000000,-23000000,22000000,- -,- -
79,Inventory,-2000000,-23000000,8000000,2000000,- -,- -,2000000,-6000000,- -,- -,- -
80,Accounts Payable,- -,-150000000,- -,128000000,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-306000000,-435000000,-205000000,-108000000,-301000000,-249000000,33000000,-218000000,-144000000,- -
82,Other Non-Cash Items,776000000,1227000000,1476000000,4727000000,4804000000,122000000,462000000,-149000000,955000000,191000000,48000000
83,Cash Provided by Operating Activities,2456000000,2223000000,2476000000,2371000000,403000000,130000000,248000000,461000000,676000000,106000000,660000000
84,CAPEX,-2164000000,-2331000000,-1669000000,-2020000000,-606000000,-81000000,-344000000,-621000000,- -,- -,- -
85,Acquisitions Net,- -,-424000000,-48000000,-292000000,-151000000,- -,-2000000,-547000000,-6000000,- -,- -
86,Purchases of Investments,- -,-2331000000,- -,-2020000000,-606000000,-81000000,-344000000,-621000000,-540000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-3565000000,- -,-1665000000,- -,- -,20000000,33000000,12000000,152000000,-37000000,-161000000
89,Cash Used for Investing Activites,-3565000000,-2755000000,-1713000000,-2312000000,-757000000,-61000000,-313000000,-1156000000,-394000000,-37000000,-161000000
90,Debt Repayment,- -,- -,- -,-155000000,-1679000000,-3230000000,-2946000000,-2845000000,-2509000000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,8000000,4000000,- -,54000000,4000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-2000000,-11000000,-3000000,- -,- -
93,Dividends Paid,- -,- -,- -,-6000000000,-12000000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1106000000,532000000,-763000000,6110000000,2035000000,3157000000,3021000000,3494000000,2226000000,-58000000,-222000000
95,Cash Used/Provided by Financing Activities,1106000000,532000000,-763000000,-45000000,352000000,-69000000,73000000,692000000,-282000000,-58000000,-222000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1106000000,532000000,-763000000,-45000000,-2000000,- -,8000000,-3000000,- -,-58000000,-222000000
98,Cash at the End of Period,- -,- -,- -,14000000,12000000,12000000,20000000,17000000,17000000,- -,- -
99,Cash at the Beginning of Period,3000000,- -,- -,- -,14000000,12000000,12000000,20000000,17000000,- -,- -
100,Free Cash Flow,292000000,2223000000,807000000,2371000000,403000000,130000000,248000000,461000000,676000000,106000000,660000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1609253/000162828015001108/a10kworddocument.htm,https://www.sec.gov/Archives/edgar/data/1609253/000160925316000194/0001609253-16-000194-index.html,https://www.sec.gov/Archives/edgar/data/1609253/000160925317000047/0001609253-17-000047-index.html,https://www.sec.gov/Archives/edgar/data/1609253/000160925318000041/0001609253-18-000041-index.html,https://www.sec.gov/Archives/edgar/data/1609253/000160925319000058/0001609253-19-000058-index.html,https://www.sec.gov/Archives/edgar/data/1609253/000160925320000066/0001609253-20-000066-index.html,https://www.sec.gov/Archives/edgar/data/1609253/000160925321000047/0001609253-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1609253/000160925322000010/0001609253-22-000010-index.htm
102,false,,,,,,,,,,,
