,https://roic.ai/company/RDGL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,875044,2272784,1970113,1211664,670000,210000,10000,- -,4420,1470,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,2173576,51677,106476,236193,330000,380000,40000,- -,35480,- -,- -,- -,- -,- -,- -
41,Intangible Assets,2173576,51677,106476,236193,330000,380000,40000,- -,35480,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,167491,252281,263379,27281,10000,550000,30000,60130,640,650,670,- -,- -,- -,- -
45,Total Non-Current Assets,3216111,2576742,2339968,1475138,1010000,1140000,80000,60130,40540,2120,670,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3550269,2849799,2549542,2643726,1120000,1170000,200000,90520,254260,42000,15700,16490,43870,937539,1634298
48,Accounts Payable,180488,580258,622713,604645,- -,- -,- -,- -,- -,- -,- -,- -,511817,361880,- -
49,Short-Term Debt,- -,- -,- -,- -,2560699,4004840,725172,5030773,3068834,876703,2947043,53824,786386,344418,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,1191492,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3527087,4184658,3735508,2783079,2789301,6735160,8444828,15221917,6900016,2185597,1331127,904836,225357,199207,166915
53,Total Current Liabilities,3707575,4764916,4358221,4579216,5350000,10740000,9170000,20252690,9968850,3062300,4278170,958660,1523560,905505,166915
54,Long-Term Debt,- -,- -,- -,- -,600000,290000,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,581630,1786734,- -,1029171,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,581630,1786734,- -,1029171,600000,280000,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,668613,2138853,1839418,1434509,1031813,631270,309145,39481,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,4289205,6551650,4358221,5608387,5950000,11020000,9170000,20252690,9968850,3062300,4278170,958660,1523560,905505,166915
62,Preferred Stock,95,95,- -,- -,- -,- -,- -,- -,4617052,- -,3779,5859,4487,2992,- -
63,Common Stock,31655,36779,52129,67918,70000,80000,120000,1705380,1996930,31740,65700,1307570,184850,292279,68916673
64,Retained Earnings,-4242014,-10400769,-17276806,-21331832,-24080000,-32670000,-36140000,-54247230,-48014550,-57869440,-64288170,-71991010,-73601110,-74558101,-77085867
65,Other Comprehensive Income/Loss,-22313,-310569,-848240,-1387739,-1930000,-2400000,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,3493641,6972613,16264238,19686992,21104189,25139458,27054564,32379682,27068934,40672829,59956221,69735407,71932084,74294864,9636577
67,Total Stockholders Equity,-738936,-3701851,-1808679,-2964661,-4835811,-9850542,-8965436,-20162168,-14331634,-17164871,-4262470,-942174,-1479689,32034,1467383
68,Total Liabilities And Stockholders Equity,3550269,2849799,2549542,2643726,1114189,1169458,204564,90522,-4362784,-14102571,15700,16486,43871,937539,1634298
69,Minority Interest,- -,- -,- -,- -,5811,542,-4564,-2,4617044,14144571,- -,4,-1,- -,- -
70,Total Liabilities & Equity,3550269,2849799,2549542,2643726,1120000,1170000,200000,90520,254260,42000,15700,16490,43870,937539,1634298
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1449349/000119983512000130/0001199835-12-000130-index.html,https://www.sec.gov/Archives/edgar/data/1449349/000119983513000143/0001199835-13-000143-index.html,https://www.sec.gov/Archives/edgar/data/1449349/000119983514000135/0001199835-14-000135-index.htm,https://www.sec.gov/Archives/edgar/data/1449349/000119983515000146/0001199835-15-000146-index.htm,https://www.sec.gov/Archives/edgar/data/1449349/000149315216010305/0001493152-16-010305-index.htm,https://www.sec.gov/Archives/edgar/data/1449349/000165495417001788/0001654954-17-001788-index.html,https://www.sec.gov/Archives/edgar/data/1449349/000149315218004456/0001493152-18-004456-index.html,https://www.sec.gov/Archives/edgar/data/1449349/000149315219003838/0001493152-19-003838-index.html,https://www.sec.gov/Archives/edgar/data/1449349/000149315220009545/0001493152-20-009545-index.htm,https://www.sec.gov/Archives/edgar/data/1449349/000149315221006723/0001493152-21-006723-index.htm,https://www.sec.gov/Archives/edgar/data/1449349/000149315222006171/0001493152-22-006171-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-2869391,-6158755,-3991994,-4055026,-2750000,-8590000,-3470000,-18108710,6232690,-9854900,-6418730,-7702850,-1610100,-956992,-2527766
74,Depreciation and Amortization,1158154,1531214,562671,545192,546388,483200,208632,11992,5672,2947,1473,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,592447,347422,480024,165886,128602,3030469,135656,23800,80635,- -,103865,1325085,612379,2176,- -
77,Change in Working Capital,399804,-1118442,343212,738019,-1829372,-5470000,1660000,-11172300,10467170,6732710,-1240720,3320970,-537520,1511724,1435349
78,Accounts Receivable,-12000,-23747,16717,-38015,427175,-7540,21239,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-28400,21300,5549,150,-8275,5575,-4375,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,180489,326530,316114,64453,619580,397834,205635,239964,151607,102954,49895,-129516,-142871,-149937,31480
81,Other Working Capital,-3373417,-4491859,-4148647,-3410628,-5240000,-10710000,-9050000,-20222300,-9755130,-3022420,-4263140,-942170,-1479690,32034,1467383
82,Other Non-Cash Items,406008,3854563,1593059,1971610,3045538,8747088,-570758,28109292,-17979272,1192530,6266037,2356341,698128,-1432715,128598
83,Cash Provided by Operating Activities,-312978,-1543998,-1013028,-634319,-858844,-1799243,-2036470,-1135926,-1193105,-1926713,-1288075,-700454,-837113,-875807,-963819
84,CAPEX,-897357,-1710590,-316882,-149377,- -,-92162,-7716,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-658750,-24594,-81882,-8327,-97421,-77412,-7716,- -,- -,- -,2800,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1556107,-1710590,-316882,-24377,-97421,-92162,-7716,- -,- -,- -,2800,- -,- -,- -,- -
90,Debt Repayment,- -,-225217,-72124,-501676,-751446,-672541,-546820,-279664,-294481,-419055,- -,-200000,- -,-50000,-45000
91,Common Stock Issued,894716,1371997,455200,547000,- -,- -,- -,- -,- -,- -,- -,683140,50000,1662780,1811238
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63650,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1014521,2139931,897765,1165200,1170878,2517800,2584595,1415793,1666415,2194625,1265703,214491,802000,210000,-100000
95,Cash Used/Provided by Financing Activities,1909237,3286711,1280841,1210524,419432,1845259,2037775,1136129,1371934,1775570,1265703,697631,852000,1759130,1666238
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,40152,32123,-49069,551828,-536833,-46146,2037775,1136129,178829,-151143,-19572,-2823,14887,883323,702419
98,Cash at the End of Period,54508,86631,37562,589390,52557,6411,- -,203,179032,27889,8317,5494,20381,903704,1606123
99,Cash at the Beginning of Period,14356,54508,86631,37562,589390,52557,6411,- -,203,179032,27889,8317,5494,20381,903704
100,Free Cash Flow,-1210335,-3254588,-1329910,-783696,-858844,-1891405,-2044186,-1135926,-1193105,-1926713,-1288075,-700454,-837113,-875807,-963819
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1449349/000119983512000130/0001199835-12-000130-index.html,https://www.sec.gov/Archives/edgar/data/1449349/000119983513000143/0001199835-13-000143-index.html,https://www.sec.gov/Archives/edgar/data/1449349/000119983514000135/0001199835-14-000135-index.htm,https://www.sec.gov/Archives/edgar/data/1449349/000119983515000146/0001199835-15-000146-index.htm,https://www.sec.gov/Archives/edgar/data/1449349/000149315216010305/0001493152-16-010305-index.htm,https://www.sec.gov/Archives/edgar/data/1449349/000165495417001788/0001654954-17-001788-index.html,https://www.sec.gov/Archives/edgar/data/1449349/000149315218004456/0001493152-18-004456-index.html,https://www.sec.gov/Archives/edgar/data/1449349/000149315219003838/0001493152-19-003838-index.html,https://www.sec.gov/Archives/edgar/data/1449349/000149315220009545/0001493152-20-009545-index.htm,https://www.sec.gov/Archives/edgar/data/1449349/000149315221006723/0001493152-21-006723-index.htm,https://www.sec.gov/Archives/edgar/data/1449349/000149315222006171/0001493152-22-006171-index.htm
102,false,,,,,,,,,,,,,,,
