,https://roic.ai/company/KFS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.33,0.96,1.82,2.37,1.10,2.13,2.99,4.09,5.00,7.72,9.48,8.68,-1.32,-29.40,-21.52,-2.92,-1.55,-3.98,-2.62,-0.74,0.06,0.04,-0.73,-1.39,-0.27,-0.31,0.08
27,Weighted Average Shares Outstanding,8502500,8502500,8502500,8502500,8502500,8496211,9283264,12198160,13080215,14056330,14122176,14076370,14034848,13799149,13475403,13023609,13023609,13149000,14111000,17398000,19710000,19710000,21547000,21728000,21860000,22176000,22732000
28,Weighted Average Shares Outstanding Diluted,8502500,8502500,8502500,8502500,8502500,8496211,9439286,12349689,13160957,14116918,14241350,14206106,14034848,13799149,13484187,13023609,13023609,13149000,14111000,17398000,19710000,19710000,21547000,21728000,21860000,22176000,22732000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1072627/000107262713000013/0001072627-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262714000026/0001072627-14-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262715000023/0001072627-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262716000118/0001072627-16-000118-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262717000030/0001072627-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262718000030/0001072627-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262720000034/0001072627-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262720000075/0001072627-20-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262721000022/0001072627-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000143774922004674/0001437749-22-004674-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,155573553,108641471,87093017,111034000,129706000,161635000,105656000,58726000,140567000,85486000,80800000,98600000,71234000,51701000,36475000,20774000,14619000,13478000,14374000,12642000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20334000,- -,- -,- -,- -,- -,- -,- -,- -,157000,179000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,155573553,108641471,87093017,111034000,129706000,161635000,105656000,58726000,140567000,105820000,80800000,98600000,71234000,51701000,36475000,20774000,14619000,13478000,14531000,12821000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,319629552,434423221,599574093,505738000,528439000,573895000,352803000,125405000,80501000,56135000,19900000,32035000,28885000,27090000,31564000,10822000,12957000,17413000,20251000,6656000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42510000,15711000,-11000,2792000,- -,- -,40545000,-9523000,-14013000,-16480000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204465000,116411000,130624000,102911000,78791000,68039000,72141000,18053000,16878000,18302000,19477000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,27936683,51652182,58508992,71608000,108149000,133431000,113375000,30308000,12469000,13040000,2700000,1700000,5975000,5577000,116961000,108008000,103142000,102391000,97975000,110835000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,510000,8421000,10588000,10588000,10078000,71061000,80112000,74659000,82104000,121130000,110247000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,66244895,66195239,67312459,71130000,90850000,116774000,45777000,37573000,43959000,39121000,50600000,48900000,15980000,14736000,89017000,80062000,83266000,86424000,84133000,108230000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,66244895,66195239,67312459,71130000,90850000,116774000,45777000,37573000,43959000,39631000,50600000,48900000,15980000,14736000,89017000,80062000,83266000,86424000,205263000,218477000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116945000,127733000,66195000,85622000,105431000,122185000,103076000,48114000,59725000,58610000,68258000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,4200000,2837000,2924000,48720000,28745000,28537000,29015000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71671000,72519000,87997000,-74173000,55698000,92417000,90887000,105190000,-61570000,-68258000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169616000,255804000,193514000,198411000,54495000,432581000,412308000,353946000,382745000,300278000,329312000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,1895709231,2799599004,3518982814,3795194000,4048338000,4657405000,3343441000,1957355000,519581000,543697000,- -,- -,- -,- -,- -,- -,- -,- -,- -,785469000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,1895709231,2799599004,3518982814,3795194000,4048338000,4657405000,3343441000,1957355000,519581000,374081000,372215000,324138000,301322000,133286000,500620000,484449000,371999000,399623000,318580000,475634000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,99321391,110332407,129666000,124760000,- -,- -,- -,- -,1913000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77989000,118371000,238658000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207504000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,1996499,- -,6817000,- -,- -,- -,- -,- -,- -,2879000,2984000,- -,- -,2051000,2644000,2400000,2758000,2859000,294000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45047000,48577000,36432000,35234000,40176000,36686000,47130000,56252000,27555000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201453000,182923000,167219000,117545000,164719000,160280000,59592000,77149000,192057000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207655000,243131000,238658000,- -,- -,- -,- -,246500000,231500000,203651000,152779000,204895000,196966000,106722000,133401000,219612000,207504000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,172790619,268263455,340254047,282568000,282430000,307434000,338808000,330401000,124919000,47187000,61200000,57700000,54277000,39898000,233693000,243491000,253256000,258529000,268288000,-144052000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11128000,- -,- -,- -,- -,- -,- -,- -,- -,87945000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2653000,2879000,4173000,5386000,2924000,48720000,30331000,28537000,29015000,27555000,28553000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2879000,-4173000,-5386000,-2924000,-48720000,-30331000,-28537000,-29015000,-524917000,368875000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,172790619,268263455,340254047,282568000,282430000,307434000,338808000,330401000,124919000,60968000,61200000,57700000,54277000,39898000,233693000,243491000,253256000,258529000,-141129000,253376000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,1679170557,2524235601,3192812817,3065392000,3186675000,3785380000,3228677000,2118417000,549694000,318644000,- -,- -,- -,- -,- -,- -,- -,- -,73070000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3529000,3213000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,1506379938,2255972146,2852558770,2990479000,3147376000,3716604000,2889869000,1788016000,424775000,257676000,307700000,289200000,257928000,192677000,438588000,440457000,359978000,391930000,433811000,460880000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6330000,6394000,6427000,5461000,5800000,6819000,6504000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,226887970,361411816,392538307,331470000,328473000,326151000,- -,- -,- -,- -,296600000,- -,340844000,341646000,353882000,356021000,353890000,353609000,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,155396968,254421370,383425391,460050000,560126000,521165000,98564000,-193572000,-231815000,-201208000,-262100000,-298900000,-312050000,-308995000,-297668000,-313487000,-382196000,-388082000,-394807000,-395149000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,7044356,-72729166,-111440431,9958000,7011000,85866000,22873000,47071000,15042000,12749000,14762000,9601000,8670000,9300000,-208000,-3852000,40768000,35347000,38059000,30779000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,-0,522838,1900777,3237000,5352000,7619000,355008000,362911000,326621000,317613000,15809000,325820000,- -,- -,- -,- -,- -,- -,375411000,372627000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,389329293,543626857,666424044,804715000,900962000,940801000,453572000,169339000,94806000,123433000,65071000,35474000,43794000,48345000,62433000,44143000,18262000,7693000,4506000,8257000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,1895709231,2799599004,3518982814,3795194000,4048338000,4657405000,3343441000,1957355000,519581000,381109000,372771000,324674000,301722000,241022000,501021000,484600000,378240000,399623000,438317000,469137000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-0,- -,- -,- -,- -,- -,- -,- -,-7028000,-556000,-536000,-400000,-107736000,-401000,-151000,-6241000,- -,-119737000,6497000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,1895709231,2799599004,3518982814,3795194000,4048338000,4657405000,3343441000,1957355000,519581000,374081000,372215000,324138000,301322000,133286000,500620000,484449000,371999000,399623000,318580000,475634000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1072627/000107262713000013/0001072627-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262714000026/0001072627-14-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262715000023/0001072627-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262716000118/0001072627-16-000118-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262717000030/0001072627-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262718000030/0001072627-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262720000034/0001072627-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262720000075/0001072627-20-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262721000022/0001072627-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000143774922004674/0001437749-22-004674-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2786251,8171306,15513410,20183080,9370715,18317000,28223345,50518640,65765710,108976492,135008000,123309000,-18526000,-405865000,-290287000,-38243000,-20138000,-52100000,-36900000,-12820000,1107000,803000,-15694000,-30101000,-5886000,-6725000,1860000
74,Depreciation and Amortization,-1393125,-437749,-279521,2864695,5649990,4901000,4192264,454802,658559,573976,18504000,4961000,15542000,67763000,10650000,6621000,2271000,2955000,3838000,1787000,1845000,2780000,5572000,6711000,6917000,6728000,8627000
75,Deferred Income Tax,-219967,-729581,-10901315,5338750,-1033535,-184000,-548374,-7086914,-19684293,8741078,-6924000,-17362000,-36271000,94746000,-30410000,-6118000,3423000,1085000,435000,1389000,87000,-9807000,-18389000,-226000,-785000,-1001000,741000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37000,354000,325000,1238000,802000,1015000,1186000,-1661000,1230000,826000,3598000
77,Change in Working Capital,17524050,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-130089000,29213000,136000,26752000,-62868000,12031000,36156000,-27854000,-84787000,13283000
78,Accounts Receivable,-1099836,-8317222,-13347123,1367241,21566425,22289000,3387167,1188129,-97129021,-204853809,34713000,29297929,-177024000,- -,- -,- -,13704000,-16952000,-2054000,8875000,4078000,-4245000,2165000,997000,547000,931000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,8945331,38230037,54436696,15234970,-4203041,30429000,165857854,429245682,684266589,529886702,60814000,129073000,329226405,- -,- -,- -,912000,3043000,-3923000,-508000,-380000,-45000,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-130089000,-100876000,-100740000,-73988000,-136856000,-124825000,-88669000,-116523000,-201310000,-188027000
82,Other Non-Cash Items,-10631746,25900120,27462929,12695808,9232911,38649000,-7410897,-2004053,-23902465,7481658,127159000,56320000,-60062000,-219114000,-356269000,-32205000,-61633000,131099000,-38725000,-6354000,-63398000,52488000,-3683000,-21022000,25619000,86631000,-34017000
83,Cash Provided by Operating Activities,8065462,32904097,31795503,41082334,23220081,61683000,24456337,41882475,22837512,125773204,273747000,167228000,-99317000,-462470000,-666316000,-69945000,-76114000,-46696000,-41814000,-14624000,-32805000,-15589000,-18977000,-10143000,-759000,1672000,-5908000
84,CAPEX,-586579,-6347353,-2515688,-92125995,-22806667,-5556000,- -,- -,- -,- -,-19338000,-43356000,- -,-3887000,-2005000,-1509000,-1344000,-170000,-1126000,- -,-203000,-645000,- -,- -,-212000,-213000,-830000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-1467355,-23443921,- -,- -,-11892000,-22415000,-44721000,43855000,43858000,293823000,-100000,18939000,40363000,3039000,-9493000,4195000,9933000,10130000,-2091000,2228000,-2095000
86,Purchases of Investments,-105657555,-176120819,-631577476,-767477896,-818628430,-833295000,-1435438259,-2792858459,-5101158262,-2635514166,-2590018000,-3279985000,-4149897000,-2980183000,-1866041000,-162930000,-131176000,-51680000,-19421000,-55066000,-36515000,-39373000,-13616000,-7581000,-18075000,-12564000,- -
87,Sales/Maturities of Investments,86447091,123809871,530390910,758362957,799129075,814772000,1230340833,2449993966,4395808817,2129433344,2360554000,3298354000,4074167000,3559941000,2460456000,220301000,161592000,78876000,40211000,30655000,27484000,25799000,22680000,8660000,13912000,14558000,6274000
88,Other Investing Activites,73322,583665,0,5143430,1515851,-16130000,-8063544,-2876181,-28320365,-13860282,- -,-115770000,-20999000,-3887000,-2005000,-1509000,- -,-170000,-1126000,4656000,44919000,610000,5566000,8839000,- -,- -,-11947000
89,Cash Used for Investing Activites,-19723721,-58074636,-103702254,-96097504,-40790172,-40209000,-214628324,-369184595,-733669810,-519941105,-260694000,-163172000,-141450000,619726000,636268000,349685000,28972000,45965000,60027000,-16716000,26192000,-8769000,24563000,20048000,-6466000,4009000,-8598000
90,Debt Repayment,-1833060,- -,- -,- -,- -,- -,-4419025,- -,- -,-68883824,- -,- -,- -,-17517000,-8439000,-139295000,-10707000,-1656000,-12537000,-14356000,- -,-1220000,-2645000,-4392000,-7622000,-14226000,-499000
91,Common Stock Issued,11951549,28307737,74142919,- -,- -,13000,130498499,609791,85964358,2676893,2926000,3005000,1082000,89000,- -,848000,350000,132000,- -,- -,- -,10477000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1118084,-390640,-11024371,- -,- -,- -,- -,- -,- -,-19251000,-8129000,-5172000,-27053000,- -,- -,- -,- -,- -,-12920000,-125000,-47000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9426000,-12988000,-15710000,-15460000,-1849000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-1094371,- -,56317304,31970675,-9632000,- -,81678958,90966787,135827774,17378000,43850000,129050000,-175175000,32000,-50303000,2418000,-2418000,12100000,21133000,- -,- -,4917000,302000,8930000,27829000,-41000
95,Cash Used/Provided by Financing Activities,10118489,27213366,73024835,55926664,20946304,-9619000,126079473,82288749,176931144,69620843,10878000,14616000,106293000,-213235000,-37309000,-188750000,-7939000,-3942000,-437000,6777000,-12920000,9132000,2225000,-4090000,1308000,13603000,-540000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1613092,2042826,1118084,911494,3376214,11854000,41683941,94467417,-80228568,-30100487,23931000,18672000,31929000,-55979000,-5202000,90990000,-55081000,-4673000,17776000,-24563000,-19533000,-15226000,7811000,5815000,-5917000,19284000,-15046000
98,Cash at the End of Period,1026513,3064240,4053053,4687683,8337180,19897000,60427895,155573553,108641471,87093017,111034000,129706000,161635000,105656000,58726000,140567000,85486000,80813000,98589000,74026000,51701000,36475000,44286000,49689000,25661000,44945000,29899000
99,Cash at the Beginning of Period,2639606,1021413,2934969,3776189,4960967,8043000,18743954,61106135,188870039,117193505,87103000,111034000,129706000,161635000,63928000,49577000,140567000,85486000,80813000,98589000,71234000,51701000,36475000,43874000,31578000,25661000,44945000
100,Free Cash Flow,7478883,26556743,29279814,-51043661,413414,56127000,24456337,41882475,22837512,125773204,254409000,123872000,-99317000,-466357000,-668321000,-71454000,-77458000,-46866000,-42940000,-14624000,-33008000,-16234000,-18977000,-10143000,-971000,1459000,-6738000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1072627/000107262713000013/0001072627-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262714000026/0001072627-14-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262715000023/0001072627-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262716000118/0001072627-16-000118-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262717000030/0001072627-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262718000030/0001072627-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262720000034/0001072627-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262720000075/0001072627-20-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000107262721000022/0001072627-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1072627/000143774922004674/0001437749-22-004674-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
