,https://roic.ai/company/PAHC,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,26500000,40800000,47000000,70300000,41500000,55500000,50900000,51800000,- -,- -,- -,- -,52583000,57438000,49861000,45463000,45703000,52652000,71144000,68498000,65958000,79761000
53,Total Current Liabilities,69900000,124800000,134500000,165300000,100200000,100000000,101000000,97800000,- -,- -,- -,- -,125865000,115404000,112438000,111333000,108673000,115796000,143221000,154227000,157238000,164116000
54,Long-Term Debt,139700000,139500000,136600000,102300000,158000000,176500000,209800000,240100000,- -,- -,- -,- -,344771000,365540000,286422000,286709000,349907000,306891000,299802000,313635000,385533000,410713000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13861000,17580000,14282000,19098000,8205000,8946000,9729000,8978000,11680000,6646000
57,Other Non-Current Liabilities,17200000,62300000,86500000,91300000,47000000,21500000,21200000,22000000,- -,- -,- -,- -,44639000,44556000,44032000,46550000,53108000,40607000,33973000,33816000,41445000,21321000
58,Total Non-Current Liabilities,156900000,201800000,223100000,193600000,205000000,198000000,231000000,262100000,- -,- -,- -,- -,403271000,427676000,344736000,352357000,411220000,356444000,343504000,356429000,438658000,438680000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23715000,34621000
61,Total Liabilities,226800000,326600000,357600000,358900000,305200000,298000000,332000000,359900000,- -,- -,- -,- -,529136000,543080000,457174000,463690000,519893000,472240000,486725000,510656000,595896000,602796000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000,7000,4000,4000,4000,4000,4000,4000,4000,4000
64,Retained Earnings,32800000,9700000,-49700000,-79500000,-58000000,-74400000,-89900000,-96600000,- -,- -,- -,- -,-116012000,-94121000,-97248000,-36968000,33962000,82750000,131560000,168926000,183060000,218015000
65,Other Comprehensive Income/Loss,-5200000,-80100000,-12800000,-6400000,-76800000,1600000,9600000,15600000,- -,- -,- -,- -,-15000000,-18000000,-20000000,-52000000,-62000000,-55000000,-76000000,-86000000,-130385000,-115293000
66,Other Total Stockholders Equity,4000000,73800000,1300000,1400000,71000000,27900000,- -,- -,- -,- -,- -,- -,42777000,43176000,132393000,118592000,118514000,123403000,129390000,133085000,135525000,135803000
67,Total Stockholders Equity,31600000,3400000,-61200000,-84500000,-63800000,-44900000,-83800000,-88000000,- -,- -,- -,- -,-88228000,-68938000,15149000,29628000,90480000,151157000,184954000,216015000,188204000,238529000
68,Total Liabilities And Stockholders Equity,258400000,330000000,296400000,274400000,241400000,253100000,248200000,271900000,- -,- -,- -,- -,440908000,474142000,472323000,493318000,610373000,623397000,671679000,726671000,784100000,841325000
69,Minority Interest,100000,- -,- -,-100000,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,258500000,330000000,296400000,274300000,241400000,253100000,248300000,271900000,- -,- -,- -,- -,440908000,474142000,472323000,493318000,610373000,623397000,671679000,726671000,784100000,841325000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069899/000095012303010897/0000950123-03-010897-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000089109204004563/0000891092-04-004563-index.html,- -,- -,- -,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1069899/000157104914004664/0001571049-14-004664-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000157104915007431/0001571049-15-007431-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000157104916017853/0001571049-16-017853-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000157104917007711/0001571049-17-007711-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000114420418046489/0001144204-18-046489-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000114420419041832/0001144204-19-041832-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000110465920098687/0001104659-20-098687-index.htm,https://www.sec.gov/Archives/edgar/data/1069899/000110465921109354/0001104659-21-109354-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10100000,-14900000,-51800000,-17600000,12900000,-22100000,-13100000,-6700000,- -,- -,- -,-12922000,6976000,24891000,-3127000,60280000,82728000,64615000,64883000,54713000,33552000,54385000
74,Depreciation and Amortization,11870000,10410000,12360000,10990000,10660000,18110000,13990000,10720000,- -,- -,- -,16696000,17527000,19023000,21453000,21604000,23452000,26001000,26943000,27564000,32341000,31885000
75,Deferred Income Tax,1440000,-5730000,11240000,6460000,330000,-1020000,-520000,1200000,- -,- -,- -,653000,-2392000,-12035000,1289000,4761000,-22244000,-28000,6389000,-105000,8125000,-2183000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2259000,2259000,1129000
77,Change in Working Capital,-15980000,79900000,-5900000,-23500000,-41400000,45300000,24400000,-3200000,- -,- -,- -,18100000,82322000,4960000,5869000,15544000,31763000,13711000,24371000,39695000,-17336000,40194000
78,Accounts Receivable,- -,1500000,19900000,5300000,-4500000,4400000,-1600000,-17600000,- -,- -,- -,-4586000,-3775000,-729000,-14683000,-1877000,-13086000,-2765000,-11900000,-23679000,28713000,-18209000
79,Inventory,- -,-33400000,-1600000,-2400000,9200000,-18000000,-200000,7400000,- -,- -,- -,-8677000,-745000,-25106000,-3186000,-19354000,-16439000,5432000,-24292000,-20982000,-12930000,-12498000
80,Accounts Payable,- -,-18700000,13100000,-17200000,8600000,10500000,-5300000,-4400000,- -,- -,- -,1147000,6410000,-6601000,1682000,4796000,-3245000,-3119000,2446000,12092000,-7672000,3176000
81,Other Working Capital,- -,79900000,74000000,50500000,9100000,54400000,78800000,75600000,- -,- -,- -,93700000,176022000,180982000,186851000,202395000,234158000,247869000,272240000,311935000,294599000,334793000
82,Other Non-Cash Items,-15340000,-56540000,29350000,58310000,20370000,-46450000,-23960000,-6750000,- -,- -,- -,-27207000,-72445000,-36424000,-26196000,-33485000,-78481000,-5914000,-52578000,-76957000,407000,-77104000
83,Cash Provided by Operating Activities,-7910000,13140000,-4750000,34660000,2860000,-6160000,810000,-4730000,- -,- -,- -,-4680000,31988000,415000,-712000,68704000,37218000,98385000,70008000,47169000,59348000,48306000
84,CAPEX,-22600000,-6610000,-8520000,-8510000,-6130000,-7490000,-15090000,-10620000,- -,- -,- -,-21635000,-14824000,-19947000,-19846000,-20058000,-36352000,-20880000,-18548000,-29891000,-34045000,-29320000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-19000000,- -,-10000000,-47000000,- -,-15000000,-10000000,-54549000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82000000,-34000000,-80000000,-74000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000,60000000,49000000,86000000
88,Other Investing Activites,18540000,-33540000,-8840000,4540000,15200000,7510000,9790000,-1310000,- -,- -,- -,2172000,81000,1611000,434000,-4406000,561000,-1062000,-1064000,-242000,-34841000,-30580000
89,Cash Used for Investing Activites,-4060000,-40150000,-17360000,-3970000,9070000,20000,-5300000,-11930000,- -,- -,- -,-19463000,-17743000,-37336000,-19412000,-34464000,-82791000,-21942000,-84612000,-14133000,-120390000,-18580000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-292833000,-9218000,-60201000,-544874000,-39090000,-193429000,-520027000,-226401000,-203424000,-182646000,-612125000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114429000,1334000,4017000,5541000,5699000,1134000,- -,- -
92,Common Stock Repurchased,- -,45000000,- -,- -,- -,-26400000,- -,-580000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000000,- -,-3000000,-25000000,-15595000,-15708000,-15827000,-16073000,-18592000,-19418000,-19430000
94,Other Financing Activites,11350000,-5100000,13680000,-26380000,-17780000,40650000,-540000,20440000,- -,- -,- -,352996000,1000000,74076000,460224000,38000000,255500000,476575000,225000000,216775000,243000000,614560000
95,Cash Used/Provided by Financing Activities,11350000,39900000,13680000,-26380000,-17780000,14250000,-540000,19860000,- -,- -,- -,10163000,-8218000,10875000,4779000,-15351000,50380000,-53738000,-11775000,-4107000,40936000,-16995000
96,Effect of Forex Changes on Cash,- -,-450000,- -,450000,230000,-80000,130000,110000,- -,- -,- -,-127000,-725000,-485000,-203000,-1494000,-418000,-227000,-536000,-524000,-1124000,1138000
97,Net Change In Cash,-620000,12440000,-8430000,4760000,-5610000,8030000,-4910000,3310000,- -,- -,- -,-14107000,5302000,-26531000,-15548000,17395000,4389000,22478000,-26915000,28405000,-21230000,13869000
98,Cash at the End of Period,-620000,14840000,6370000,11160000,5590000,13630000,8090000,12010000,- -,- -,- -,48598000,53900000,27369000,11821000,29216000,33605000,56083000,29168000,57573000,36343000,50212000
99,Cash at the Beginning of Period,- -,2400000,14800000,6400000,11200000,5600000,13000000,8700000,- -,- -,- -,62705000,48598000,53900000,27369000,11821000,29216000,33605000,56083000,29168000,57573000,36343000
100,Free Cash Flow,-30510000,6530000,-13270000,26150000,-3270000,-13650000,-14280000,-15350000,- -,- -,- -,-26315000,17164000,-19532000,-20558000,48646000,866000,77505000,51460000,17278000,25303000,18986000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069899/000095012303010897/0000950123-03-010897-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000089109204004563/0000891092-04-004563-index.html,- -,- -,- -,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069899/000157104914004664/0001571049-14-004664-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000157104915007431/0001571049-15-007431-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000157104916017853/0001571049-16-017853-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000157104917007711/0001571049-17-007711-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000114420418046489/0001144204-18-046489-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000114420419041832/0001144204-19-041832-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000110465920098687/0001104659-20-098687-index.htm,https://www.sec.gov/Archives/edgar/data/1069899/000110465921109354/0001104659-21-109354-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
