,https://roic.ai/company/CNHI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0352,0.0411,0.0406,0.0335,0.0219,-0.0004,0.0249,0.0494,0.0417,-0.0194,0.0592
22,Income Tax expense (Gain),652000000,564000000,671000000,467000000,360000000,298000000,455000000,417000000,-271000000,-50000000,342000000
23,Net Income,545000000,756000000,677000000,710000000,253000000,-252000000,295000000,1068000000,1422000000,-493000000,1723000000
24,Net Income ratio,0.0163,0.0230,0.0200,0.0218,0.0098,-0.0101,0.0108,0.0360,0.0506,-0.0189,0.0515
25,EPS,0.45,0.62,0.87,0.52,0.19,-0.18,0.22,0.79,1.05,-0.36,1.26
26,EPS Diluted,0.45,0.62,0.87,0.52,0.19,-0.18,0.22,0.78,1.05,-0.36,1.26
27,Weighted Average Shares Outstanding,1223000000,1223000000,1255082000,1354000000,1362000000,1400000000,1340909091,1351898734,1354285714,1369444444,1369444444
28,Weighted Average Shares Outstanding Diluted,1223000000,1223000000,1256546000,1354000000,1362000000,1400000000,1367000000,1361000000,1354285714,1369444444,1369444444
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5199000000,5567000000,5163000000,5384000000,5017000000,5430000000,5031000000,4875000000,8785000000,6006000000
32,Short-Term Investments,- -,- -,260984838,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,5199000000,5827984838,5163000000,5384000000,5017000000,5430000000,5031000000,4875000000,8785000000,6006000000
34,Net Receivables,- -,21933000000,23338000000,22526000000,19581000000,19285000000,20338000000,19566000000,19844000000,18963000000,24195000000
35,Inventory,- -,6260000000,7410000000,7008000000,5690000000,5609000000,6280000000,6726000000,7082000000,6022000000,7221000000
36,Other Current Assets,- -,885000000,661015162,978000000,927000000,837000000,770000000,772000000,898000000,844000000,856000000
37,Total Current Assets,- -,34277000000,37237000000,35675000000,31582000000,30748000000,32818000000,32095000000,32699000000,34614000000,38278000000
38,PP&E,- -,6975000000,8149000000,8383000000,8316000000,8304000000,8848000000,7675000000,7126000000,6901000000,6499000000
39,Goodwill,- -,2510000000,2504000000,2484000000,2447000000,2449000000,2472000000,2453000000,2538000000,1924000000,- -
40,Intangible Assets,- -,780000000,810000000,850000000,810000000,787000000,792000000,788000000,806000000,772000000,- -
41,Intangible Assets,- -,3290000000,3314000000,3334000000,3257000000,3236000000,3264000000,3241000000,3344000000,2696000000,4639000000
42,Investments,- -,594000000,645000000,605000000,527000000,487000000,561000000,526000000,631000000,921000000,- -
43,Tax Assets,- -,1529000000,1679000000,1747000000,1250000000,937000000,818000000,591000000,1134000000,1451000000,- -
44,Other Non-Current Assets,- -,2300000000,2819000000,2169000000,1814000000,1835000000,1966000000,1972000000,2418000000,2136000000,- -
45,Total Non-Current Assets,- -,14688000000,16606000000,16238000000,15164000000,14799000000,15457000000,14005000000,14653000000,14105000000,11138000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,48965000000,53843000000,51913000000,46746000000,45547000000,48275000000,46100000000,47352000000,48719000000,49416000000
48,Accounts Payable,- -,6389000000,7369000000,5982000000,5342000000,5185000000,6060000000,5889000000,5632000000,6357000000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,792000000,973000000,680000000,528000000,714000000,765000000,685000000,696000000,654000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1488000000,1721000000,1411000000,1105000000,1348000000,1397000000,1294000000,1335000000,1326000000,18818000000
53,Total Current Liabilities,- -,7877000000,9090000000,7393000000,6447000000,6533000000,7457000000,7183000000,6967000000,7683000000,18818000000
54,Long-Term Debt,- -,27052000000,29866000000,29594000000,26388000000,25276000000,25895000000,24445000000,25303000000,26506000000,23745000000
55,Deferred Revenue,- -,1415000000,1902000000,1962000000,2147000000,2429000000,3102000000,1368000000,1236000000,1381000000,- -
56,Deferred Tax Liabilities,- -,210000000,385000000,452000000,334000000,84000000,97000000,114000000,172000000,112000000,- -
57,Other Non-Current Liabilities,- -,7586000000,7645000000,7551000000,6587000000,6774000000,7324000000,7922000000,7553000000,8048000000,45000000
58,Total Non-Current Liabilities,- -,36263000000,39798000000,39559000000,35456000000,34563000000,36418000000,33849000000,34264000000,36047000000,23790000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,449000000,453000000,- -
61,Total Liabilities,- -,44140000000,48888000000,46952000000,41903000000,41096000000,43875000000,41032000000,41231000000,43730000000,42608000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2565000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,- -
64,Retained Earnings,- -,1693000000,1966000000,2291000000,2241000000,1787000000,1921000000,2596000000,3808000000,3279000000,- -
65,Other Comprehensive Income/Loss,- -,-911000000,-1373000000,-1736000000,-1863000000,-1767000000,-1958000000,-1859000000,-2002000000,-2676000000,- -
66,Other Total Stockholders Equity,- -,577000000,4283000000,4342000000,4399000000,4399000000,4402000000,4281000000,4250000000,4279000000,- -
67,Total Stockholders Equity,- -,3924000000,4901000000,4922000000,4802000000,4444000000,4390000000,5043000000,6081000000,4907000000,6808000000
68,Total Liabilities And Stockholders Equity,- -,48064000000,53789000000,51874000000,46705000000,45540000000,48265000000,46075000000,47312000000,48637000000,49416000000
69,Minority Interest,- -,901000000,54000000,39000000,41000000,7000000,10000000,25000000,40000000,82000000,- -
70,Total Liabilities & Equity,- -,48965000000,53843000000,51913000000,46746000000,45547000000,48275000000,46100000000,47352000000,48719000000,49416000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,545000000,756000000,677000000,710000000,253000000,-252000000,295000000,1068000000,1422000000,-493000000,1723000000
74,Depreciation and Amortization,1023000000,1039000000,1103000000,1140000000,1146000000,1261000000,1350000000,1337000000,1215000000,1172000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,43000000,-1504000000,-586000000,-1432000000,1019000000,832000000,5000000,-61000000,-1061000000,3618000000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-1290000000,-103000000,-1205000000,-172000000,473000000,106000000,-213000000,112000000,440000000,1901000000,- -
80,Accounts Payable,1258000000,-168000000,963000000,-862000000,-161000000,96000000,344000000,280000000,-179000000,388000000,- -
81,Other Working Capital,776000000,-88000000,314000000,412000000,428000000,727000000,531000000,-273000000,-862000000,196000000,- -
82,Other Non-Cash Items,554000000,551000000,328000000,263000000,364000000,267000000,365000000,210000000,250000000,1232000000,2359000000
83,Cash Provided by Operating Activities,2165000000,842000000,1522000000,681000000,2782000000,2108000000,2015000000,2554000000,1826000000,5529000000,4082000000
84,CAPEX,-1974000000,-2234000000,-2666000000,-2836000000,-2507000000,-2134000000,-2235000000,-1902000000,-1962000000,-1850000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-117374134,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,5523489,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-361000000,-363000000,-1010149355,877000000,1575000000,1213000000,1303000000,-18000000,-25000000,-900000000,-5001000000
89,Cash Used for Investing Activites,-2335000000,-2597000000,-3788000000,-1959000000,-932000000,-921000000,-932000000,-1920000000,-1987000000,-2750000000,-5001000000
90,Debt Repayment,-7312000000,-9505000000,-9988000000,-15323000000,-10668000000,-13770000000,-16802000000,-16921000000,-12925000000,-10512000000,- -
91,Common Stock Issued,- -,- -,8285233,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-11000000,-616000000,-368000000,-382000000,-297000000,-207000000,-168000000,-243000000,-283000000,-8000000,- -
94,Other Financing Activites,10138000000,10720000000,12963714767,17070000000,10034000000,12439000000,15925000000,16441000000,13414000000,11179000000,-1445000000
95,Cash Used/Provided by Financing Activities,2815000000,599000000,2616000000,1365000000,-931000000,-1538000000,-1045000000,-723000000,206000000,659000000,-1445000000
96,Effect of Forex Changes on Cash,-300000000,- -,18000000,-491000000,-698000000,-16000000,375000000,-308000000,-75000000,418000000,-403000000
97,Net Change In Cash,2345000000,-1156000000,368000000,-404000000,221000000,-367000000,413000000,-397000000,-30000000,3856000000,-2767000000
98,Cash at the End of Period,6355000000,5199000000,5567000000,5163000000,5384000000,5017000000,5430000000,5803000000,5773000000,9629000000,6862000000
99,Cash at the Beginning of Period,4010000000,6355000000,5199000000,5567000000,5163000000,5384000000,5017000000,6200000000,5803000000,5773000000,9629000000
100,Free Cash Flow,191000000,-1392000000,-1144000000,-2155000000,275000000,-26000000,-220000000,652000000,-136000000,3679000000,4082000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,
