,https://roic.ai/company/FTLF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
78,Accounts Receivable,- -,- -,- -,-424258,-23473,-122353,-468132,73637,-290776,-425735,-116269,-108082,-429153,1334000,-505000,297000
79,Inventory,- -,- -,- -,-1984245,-101871,612511,-403677,-1807709,932355,467713,-1559392,1033585,972944,-707000,502000,-329000
80,Accounts Payable,- -,- -,- -,920947,-145058,-68988,262275,442209,-4486,-391295,522591,-1767159,1377417,-346000,-618000,1236000
81,Other Working Capital,-48772,-182743,1189003,781597,1799938,1193209,1679992,4526816,5659178,7109990,3003051,3482120,369502,1890000,2925000,7744000
82,Other Non-Cash Items,- -,392907,1161713,2212700,7930995,1656533,-971645,-5033177,-92385,-1844034,2517317,-1413798,13130629,-1840498,-1524000,-7850000
83,Cash Provided by Operating Activities,-69654,-389197,-1413547,-4751144,-1554452,-1854018,104846,581982,2564740,1506426,-2455421,-88416,665781,258000,2261000,5721000
84,CAPEX,-6925,-66139,-43009,-1585264,-28805,-14370,-2061,- -,- -,-3417,-12833,-23405,-185064,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-50000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-1657122,- -,30594,1200,- -,- -,50001,-398209,-47590,- -,4000,- -,- -
89,Cash Used for Investing Activites,-6925,-66139,-43009,-1835401,-28805,16224,-861,- -,-50000,46584,-411042,-70995,-185064,4000,- -,- -
90,Debt Repayment,- -,- -,- -,- -,-45168,-426757,-194718,- -,-164139,-489032,-660201,-539794,-511825,-2365000,-800000,- -
91,Common Stock Issued,20,- -,1651000,3498000,2074325,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-2582333,-15459,- -,- -,- -,- -,-1692000,-171000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63000,- -
94,Other Financing Activites,111868,480780,335000,2761727,326934,1674000,- -,- -,2600000,1,- -,459695,- -,1100000,300000,521000
95,Cash Used/Provided by Financing Activities,111888,480780,1986000,6259727,2356091,1247243,-194718,- -,-146472,-504490,-660201,-80099,-511825,-1265000,-2255000,350000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,111888,25444,529444,-326818,772834,-590551,-90733,581982,2368268,1048520,-3526665,-239510,-31108,-1003000,6000,6071000
98,Cash at the End of Period,35309,60753,590197,263379,1036213,445662,354929,936911,3305179,4353699,1532550,1293041,1261933,259000,265000,6336000
99,Cash at the Beginning of Period,- -,35309,60753,590197,263379,1036213,445662,354929,936911,3305179,5059215,1532551,1293041,1262000,259000,265000
100,Free Cash Flow,-76579,-455336,-1456556,-6336408,-1583257,-1868388,102785,581982,2564740,1503009,-2468254,-111821,480717,258000,2261000,5721000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1374328/000114420408017974/0001144204-08-017974-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000141588909000067/0001415889-09-000067-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1374328/000141588912000538/0001415889-12-000538-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000141588913000590/0001415889-13-000590-index.html,https://www.sec.gov/Archives/edgar/data/1374328/000141588914000995/0001415889-14-000995-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000141588915001158/0001415889-15-001158-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000135448816007152/0001354488-16-007152-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000165495417003377/0001654954-17-003377-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000165495418004031/0001654954-18-004031-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000165495419003087/0001654954-19-003087-index.html,https://www.sec.gov/Archives/edgar/data/1374328/000165495420003419/0001654954-20-003419-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000165495421003364/0001654954-21-003364-index.htm
102,false,,,,,,,,,,,,,,,,
