,https://roic.ai/company/USNU,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
21,Income Before Tax Ratio,- -,- -,-0.6527,0.0450,-0.0750,-0.0428,0.0618,0.0524,0.0762,-0.1874,-Infinity,-0.2045,0.0023,- -,0.1834,0.0141,0.5578,-Infinity,0.3080,0.2181,0.2733,0.1292,-0.1790,0.0492,0.2698
22,Income Tax expense (Gain),- -,- -,-511000,73000,-68000,-163000,65000,67000,-60000000,110000000,50000000,- -,- -,- -,- -,- -,362000,-362000,242000,252000,342000,198000,-192000,9000,323000
23,Net Income,- -,- -,-1011000,66000,-17000,120000,98000,61000,123000000,-285000000,-383000000,-335000000,4000000,- -,469000000,29000,729000,-667000,561000,396000,536000,538000,-421000,142000,533000
24,Net Income ratio,- -,- -,-0.4335,0.0214,-0.0066,0.0466,0.0371,0.0250,0.0512,-0.1352,-Infinity,-0.2045,0.0023,- -,0.1834,0.0141,0.3727,-Infinity,0.2152,0.1333,0.1669,0.1576,-0.1230,0.0463,0.1680
25,EPS,- -,- -,-0.14,0.01,-0.00,0.02,0.01,0.01,0.02,-0.04,-0.05,-0.04,0.52,0.01,0.06,0.00,0.09,-0.09,0.07,0.05,0.07,0.07,-0.05,0.02,0.07
26,EPS Diluted,- -,- -,-0.14,0.01,-0.00,0.02,0.01,0.01,0.02,-0.04,-0.05,-0.04,0.52,0.01,0.06,0.00,0.09,-0.09,0.07,0.05,0.07,0.07,-0.05,0.02,0.07
27,Weighted Average Shares Outstanding,- -,- -,7316685,7316685,7312575,7230852,7796645,7791555,7767100,7697185,7697185,7697185,7697185,7704465,7747185,7751432,7797185,7797185,7797185,7797185,7794685,7792185,7792185,7792185,7792185
28,Weighted Average Shares Outstanding Diluted,- -,- -,7316685,7316685,7312575,7230852,7796645,7791555,7767100,7697185,7697185,7697185,7697185,7704465,7747185,7751432,7797185,7797185,7797185,7797185,7794685,7792185,7792185,7792185,7792185
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1089815/000116923205002089/0001169232-05-002089-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000116923206001743/0001169232-06-001743-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000116923207001720/0001169232-07-001720-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000116923208001494/0001169232-08-001494-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000116923209001774/0001169232-09-001774-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036110014176/0001140361-10-014176-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036111019693/0001140361-11-019693-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036112018385/0001140361-12-018385-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036113014649/0001140361-13-014649-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036114016669/0001140361-14-016669-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036115013673/form10k.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036116059518/0001140361-16-059518-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036117014197/0001140361-17-014197-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036118018180/form10k.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036119006932/form10k.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036120008735/form10k.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036121011976/0001140361-21-011976-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,60000,20000,460000,290000,310000,90000,90000,510000,420000,300000,370000,610000,670000,820000,830000,1450000,1410000,1053000,1068000,1962000,2684000,1519000,1335000,2030000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,888000,532000
33,Cash and Short-Term Investments,- -,60000,20000,460000,290000,310000,90000,90000,510000,420000,300000,370000,610000,670000,820000,830000,1450000,1410000,1053000,1068000,1962000,2684000,1519000,2223000,2562000
34,Net Receivables,- -,210000,240000,300000,400000,430000,620000,470000,460000,360000,290000,140000,50000,280000,420000,520000,3560000,320000,400000,682000,910000,1235000,2388000,356000,346000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,20000,110000,110000,80000,90000,120000,350000,200000,150000,120000,60000,40000,60000,90000,10000,40000,30000,72000,98000,71000,67000,154000,102000,99000
37,Total Current Assets,- -,290000,370000,870000,770000,830000,830000,910000,1170000,930000,710000,570000,700000,1010000,1330000,1360000,5050000,1760000,1525000,1848000,2943000,3986000,4061000,2681000,3007000
38,PP&E,- -,6450000,5350000,4310000,3990000,2860000,1940000,2030000,1460000,3380000,2670000,2020000,1450000,3990000,3230000,2340000,- -,- -,5603000,4964000,4816000,3727000,- -,128000,94000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000,52000,251000,471000,246000,320000,323000,364000,447000,164000,1589000,711000,160000
43,Tax Assets,- -,450000,270000,420000,250000,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360000,- -,150000,303000,591000,675000,314000,17000,- -
44,Other Non-Current Assets,- -,-350000,-180000,-320000,-150000,40000,190000,210000,1570000,350000,120000,50000,-2000,-2000,-1000,-1000,-366000,- -,-150000,-93000,-553000,-637000,241000,1460000,912000
45,Total Non-Current Assets,- -,6550000,5440000,4410000,4090000,2970000,2130000,2240000,3030000,3730000,2790000,2070000,1500000,4040000,3480000,2810000,240000,320000,5926000,5538000,5301000,3929000,2144000,2316000,1166000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,6840000,5810000,5280000,4860000,3800000,2960000,3150000,4200000,4660000,3500000,2640000,2200000,5050000,4810000,4170000,5290000,2080000,7451000,7386000,8244000,7915000,6205000,4997000,4173000
48,Accounts Payable,- -,1570000,1650000,300000,300000,300000,300000,300000,300000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255000,170000
49,Short-Term Debt,- -,- -,- -,100000,991000,1100000,890000,581000,467000,632000,467000,434000,475000,894000,623000,539000,2271000,525000,821000,866000,936000,972000,1399000,937000,129000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000,- -,220000,111000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000,149000,257000,370000,255000,226000,- -
52,Other Current Liabilities,- -,1260000,1690000,1220000,269000,110000,300000,389000,323000,248000,123000,66000,55000,66000,117000,21000,589000,155000,201000,284000,331000,272000,227000,220000,111000
53,Total Current Liabilities,- -,2830000,3340000,1620000,1560000,1510000,1490000,1270000,1090000,1180000,590000,500000,530000,960000,740000,560000,2860000,680000,1070000,1299000,1524000,1614000,1881000,1638000,410000
54,Long-Term Debt,- -,4220000,3240000,2100000,1920000,940000,100000,340000,1450000,2100000,1610000,1180000,700000,3050000,2570000,2160000,- -,- -,3838000,2945000,2733000,1666000,988000,195000,66000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,362000,- -,150000,303000,591000,675000,314000,- -,- -
57,Other Non-Current Liabilities,- -,440000,270000,410000,250000,70000,10000,200000,200000,200000,200000,200000,200000,200000,190000,110000,8000,- -,431000,481000,502000,528000,11000,11000,11000
58,Total Non-Current Liabilities,- -,4660000,3510000,2510000,2170000,1010000,110000,540000,1650000,2300000,1810000,1380000,900000,3250000,2760000,2270000,370000,- -,4419000,3729000,3826000,2869000,1313000,206000,77000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,101000,342000,1452000,2100000,1611000,1177000,1176000,3942000,3191000,2702000,2271000,525000,4659000,3811000,3669000,2638000,2387000,1132000,195000
61,Total Liabilities,- -,7490000,6850000,4130000,3730000,2520000,1600000,1810000,2740000,3480000,2400000,1880000,1430000,4210000,3500000,2830000,3230000,680000,5489000,5028000,5350000,4483000,3194000,1844000,487000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,70000,70000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,78000,78000,78000,78000,78000,78000,78000
64,Retained Earnings,- -,-770000,-1780000,-1710000,-1730000,-1610000,-1510000,-1530000,-1410000,-1700000,-2080000,-2410000,-2410000,-2340000,-1870000,-1840000,-1110000,-1780000,-1216000,-820000,-284000,254000,-167000,-25000,508000
65,Other Comprehensive Income/Loss,- -,-1830000,-2960000,-4100000,-5270000,-6400000,-7310000,-8230000,-8690000,-5630000,-6340000,-7010000,-7590000,-2840000,-3740000,-1510000,- -,- -,- -,-1607000,-2613000,-3748000,- -,- -,- -
66,Other Total Stockholders Equity,- -,1940000,3700000,6890000,8060000,9210000,10108000,11017000,11484000,8429000,9436000,10101000,10685000,5939000,6838000,4609000,3098000,3101000,3100000,4707000,5713000,6848000,3100000,3100000,3100000
67,Total Stockholders Equity,- -,-660000,-1040000,1150000,1130000,1280000,1368000,1337000,1464000,1179000,1096000,761000,765000,839000,1308000,1339000,2068000,1401000,1962000,2358000,2894000,3432000,3011000,3153000,3686000
68,Total Liabilities And Stockholders Equity,- -,6830000,5810000,5280000,4860000,3800000,2968000,3147000,4204000,4659000,3496000,2641000,2195000,5049000,4808000,4169000,5298000,2081000,7451000,7386000,8244000,7915000,6205000,4997000,4173000
69,Minority Interest,- -,10000,- -,- -,- -,- -,-8000,3000,-4000,1000,4000,-1000,5000,1000,2000,1000,-8000,-1000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,6840000,5810000,5280000,4860000,3800000,2960000,3150000,4200000,4660000,3500000,2640000,2200000,5050000,4810000,4170000,5290000,2080000,7451000,7386000,8244000,7915000,6205000,4997000,4173000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1089815/000116923205002089/0001169232-05-002089-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000116923206001743/0001169232-06-001743-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000116923207001720/0001169232-07-001720-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000116923208001494/0001169232-08-001494-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000116923209001774/0001169232-09-001774-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036110014176/0001140361-10-014176-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036111019693/0001140361-11-019693-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036112018385/0001140361-12-018385-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036113014649/0001140361-13-014649-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036114016669/0001140361-14-016669-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036115013673/form10k.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036116059518/0001140361-16-059518-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036117014197/0001140361-17-014197-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036118018180/form10k.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036119006932/form10k.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036120008735/form10k.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036121011976/0001140361-21-011976-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,100000,-50000,-1011000,66000,-17000,120000,98000,61000,123000000,-285000000,-383000000,-335000000,4000000,- -,469000000,29000,729000,-667000,561000,396000,536000,538000,-421000,142000,533000
74,Depreciation and Amortization,450000,780000,1120000,1140000,1170000,1130000,910000,780000,570000,680000,710000,650000,570000,780000,910000,660000,430000,- -,672000,935000,1006000,1135000,983000,33000,34000
75,Deferred Income Tax,- -,110000,-260000,140000,-140000,-160000,30000,40000,10000,-110000,50000,- -,- -,- -,- -,- -,360000,-360000,242000,252000,342000,-161000,-361000,-331000,17000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,100000,-2540000,-430000,2220000,-40000,110000,20000,300000,440000,-330000,370000,-50000,100000,-120000,540000,210000,1390000,-1110000,-625000,94000,870000,953000,-192000,441000,-452000
78,Accounts Receivable,- -,- -,-30000,-60000,-100000,-30000,-190000,150000,-32000000,124000000,48000000,23000000,93000000,-228000000,-189000000,108000,306000,7000000,-277000,-349000,-265000,124000,449000,-38000,10000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-2540000,-2970000,-750000,-790000,-680000,-660000,-360000,80000,-250000,120000,70000,170000,50000,590000,800000,2190000,1080000,455000,549000,1419000,2372000,2180000,292000,-335000
82,Other Non-Cash Items,-10000,2190000,1061000,-2236000,-63000,-440000,-328000,-191000,-127520000,285180000,382410000,334900000,-4000000,60000,-469160000,-251000,-2049000,1157000,101000,-519000,-893000,-117000,2279000,1262000,985000
83,Cash Provided by Operating Activities,640000,490000,480000,1330000,910000,760000,730000,990000,500000,420000,540000,500000,670000,720000,1290000,650000,860000,-980000,951000,1158000,1861000,2348000,2288000,1547000,1117000
84,CAPEX,290000,-1060000,-20000,-40000,-850000,- -,- -,-800000,- -,-2603000000,- -,- -,- -,- -,- -,- -,- -,- -,-1541000,-341000,- -,-46000,-570000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322000,- -,- -,- -,- -,- -,-20000,-4000,-25000,-125000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-860000,820000,-23000,-42000,-5000,-4000,- -,-211000,-1071000,1280000,-5000,41000,- -,- -,-240000,-245000,190000,3215000,569000,1000,533000,-529000,-1795000,-309000,604000
89,Cash Used for Investing Activites,-570000,-240000,-23000,-42000,-850000,-4000,-1000,-1014000,-1071000,-1323000,-5000,41000,- -,- -,-240000,77000,190000,3215000,-972000,-340000,533000,-595000,-2369000,-334000,479000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-1014000000,-505000000,-655000000,-467000000,-435000000,-647000000,-902000000,-766000,-431000,-2271000000,-462000,-803000000,-1000000,-1031000,-1084000,-1397000,-901000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-10000,-10000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-60000,-210000,-491000,-849000,-238000,-724000,-945000,33000,1014996000,505814000,654345000,466533000,434565000,646353000,901099000,51000,- -,2268729000,122000,802197000,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,-60000,-210000,-491000,-849000,-238000,-734000,-955000,23000,996000,814000,-655000,-467000,-435000,-647000,-901000,-715000,-431000,-2271000,-340000,-803000,-1000000,-1031000,-1084000,-1397000,-901000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,20000,40000,-40000,440000,-180000,30000,-220000,- -,420000,-90000,-130000,80000,230000,70000,150000,10000,620000,-40000,-361000,15000,894000,722000,-1165000,-184000,695000
98,Cash at the End of Period,1539000,40000,20000,460000,280000,320000,90000,90000,510000,420000,290000,380000,600000,680000,820000,830000,1450000,1410000,1049000,1068000,1962000,2684000,1519000,1335000,2030000
99,Cash at the Beginning of Period,1519000,- -,60000,20000,460000,290000,310000,90000,90000,510000,420000,300000,370000,610000,670000,820000,830000,1450000,1410000,1053000,1068000,1962000,2684000,1519000,1335000
100,Free Cash Flow,930000,-570000,460000,1290000,60000,760000,730000,190000,500000,-2180000,540000,500000,670000,720000,1290000,650000,860000,-980000,-590000,817000,1861000,2302000,1718000,1547000,1117000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1089815/000116923205002089/0001169232-05-002089-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000116923206001743/0001169232-06-001743-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000116923207001720/0001169232-07-001720-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000116923208001494/0001169232-08-001494-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000116923209001774/0001169232-09-001774-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036110014176/0001140361-10-014176-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036111019693/0001140361-11-019693-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036112018385/0001140361-12-018385-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036113014649/0001140361-13-014649-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036114016669/0001140361-14-016669-index.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036115013673/form10k.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036116059518/0001140361-16-059518-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036117014197/0001140361-17-014197-index.html,https://www.sec.gov/Archives/edgar/data/1089815/000114036118018180/form10k.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036119006932/form10k.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036120008735/form10k.htm,https://www.sec.gov/Archives/edgar/data/1089815/000114036121011976/0001140361-21-011976-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
