,https://roic.ai/company/TTCM,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1389067/000109230608000736/0001092306-08-000736-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1389067/000147793215001840/0001477932-15-001840-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793215004365/0001477932-15-004365-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793216011172/0001477932-16-011172-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793217001828/0001477932-17-001828-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793218001556/0001477932-18-001556-index.html,https://www.sec.gov/Archives/edgar/data/1389067/000147793219001856/0001477932-19-001856-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793220001617/0001477932-20-001617-index.html,https://www.sec.gov/Archives/edgar/data/1389067/000147793221001762/0001477932-21-001762-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793222001603/0001477932-22-001603-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10000,- -,- -,59,- -,- -,- -,- -,- -,15430,1850,9730,6240,31370,114527,119466
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10000,- -,- -,59,- -,- -,- -,- -,- -,15430,1850,9730,6240,31370,114527,119466
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400,- -,- -
37,Total Current Assets,10000,- -,- -,59,- -,- -,- -,- -,- -,15430,1850,9730,6240,31770,114527,119466
38,PP&E,- -,- -,- -,104470,70000,30000,10000,- -,10000,- -,- -,- -,- -,- -,39826,25344
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,104470,70000,30000,10000,- -,10000,- -,- -,- -,- -,- -,39826,25344
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10000,- -,- -,104529,70000,30000,10000,- -,10000,15430,1850,9730,6240,31770,154353,144810
48,Accounts Payable,- -,10000,10000,- -,- -,- -,- -,- -,- -,7360,25490,15520,114050,257280,1299365,706476
49,Short-Term Debt,- -,- -,- -,- -,1224,- -,35,37115,191808,527838,759160,1026985,1250408,1077181,1203219,70392
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,13000,8776,50000,139965,22885,38192,205082,2658130,410205,1231342,3026609,1479530,3987240
53,Total Current Liabilities,- -,10000,10000,13000,10000,50000,140000,60000,230000,740280,3442780,1452710,2595800,4361070,3982114,4764108
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,104950,107190,5410,157830,242250,10080,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10,- -,-10,- -,14996
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,104950,107190,5420,157830,242240,10080,14996
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1224,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,10000,10000,13000,10000,50000,140000,60000,230000,845230,3549970,1458130,2753630,4603310,3992194,4779104
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,5,1,- -,1380,1380,1380,1380,1414,- -
63,Common Stock,10000,10000,10000,172633,180000,190000,190000,30000,30000,29880,16730,16860,19330,35050,41205,699250
64,Retained Earnings,- -,-20000,-40000,-2297876,-4180000,-5590000,-5770000,-32830000,-32910000,-2480420,-7081150,-5293040,-9476830,-12867650,-15661969,-20742160
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-50000,-90000,-110000,-11325,-4902,81301,82748,15540,96202,98039,17838,- -
66,Other Total Stockholders Equity,- -,2114,17760,- -,4110295,5470120,5556290,32757068,32661651,1539435,3432175,3810860,6612532,8161637,11763671,15408616
67,Total Stockholders Equity,10000,-7886,-12240,91529,60295,-19880,-133710,-54252,-223250,-829804,-3548117,-1448400,-2747386,-4571544,-3837841,-4634294
68,Total Liabilities And Stockholders Equity,10000,2114,-2240,104529,70295,30120,6290,5748,6750,15426,1853,9730,6244,31766,154353,144810
69,Minority Interest,- -,-2114,2240,- -,-295,-120,3710,-5748,3250,4,-3,- -,-4,4,- -,- -
70,Total Liabilities & Equity,10000,- -,- -,104529,70000,30000,10000,- -,10000,15430,1850,9730,6240,31770,154353,144810
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1389067/000109230608000736/0001092306-08-000736-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1389067/000147793215001840/0001477932-15-001840-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793215004365/0001477932-15-004365-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793216011172/0001477932-16-011172-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793217001828/0001477932-17-001828-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793218001556/0001477932-18-001556-index.html,https://www.sec.gov/Archives/edgar/data/1389067/000147793219001856/0001477932-19-001856-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793220001617/0001477932-20-001617-index.html,https://www.sec.gov/Archives/edgar/data/1389067/000147793221001762/0001477932-21-001762-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793222001603/0001477932-22-001603-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-20000,-20000,-2297656,-1880000,-1410000,-180000,-27060000,-80000,-1000000,-4600000,1790000,-4183790,-3390820,-2794324,-5080191
74,Depreciation and Amortization,- -,- -,- -,18640,36056,36056,21246,7066,3592,807,92862,- -,- -,- -,7242,14482
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2551985,- -,46934,- -,96929,1896741,172938,127000,2422525
77,Change in Working Capital,- -,-20000,- -,-2941,2941,-40000,-90000,80000,-170000,-494850,-2716080,1997950,-1146580,-1739740,461713,-777055
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-760
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-13107,18814,- -,- -,170864,344779,-87880,688546,368943
81,Other Working Capital,10000,-10000,-10000,-12941,-10000,-50000,-140000,-60000,-230000,-724850,-3440930,-1442980,-2589560,-4329300,-3867587,-4644642
82,Other Non-Cash Items,- -,25700,2203,2156745,1699286,1305859,156025,24386341,188049,1080706,6903062,-4044295,2798602,3942898,1288025,2170479
83,Cash Provided by Operating Activities,- -,-14300,-17797,-125212,-141717,-108085,-92729,-34608,-58359,-366403,-320156,-159416,-635027,-1014724,-910344,-1249760
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-8095,- -,- -,- -,- -,- -,-43447,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,38720,-39000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,1806,- -,- -,- -,- -,- -,-150000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-8095,40526,-39000,- -,- -,- -,-43447,-150000
90,Debt Repayment,- -,- -,- -,- -,-7400,- -,- -,-15426,-11844,-165918,-3557,-31693,-184248,-204166,-64874,- -
91,Common Stock Issued,- -,- -,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500,- -
92,Common Stock Repurchased,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,15603,3935,122645,147272,107876,94122,61249,72086,402217,347688,266193,735130,1242176,1186589,1439902
95,Cash Used/Provided by Financing Activities,- -,15603,18935,122645,139872,107876,94122,45823,60242,236299,344131,234500,550882,1038010,1125215,1439902
96,Effect of Forex Changes on Cash,- -,- -,- -,866,2213,13,-1318,-11325,6423,81301,1447,-67208,80662,1837,-88263,-35203
97,Net Change In Cash,- -,15603,1138,-1701,368,-196,75,-110,211,-8277,-13578,7876,-3483,25123,83161,4939
98,Cash at the End of Period,- -,1304,2442,59,427,231,306,196,407,15428,1850,9726,6243,31366,114527,119466
99,Cash at the Beginning of Period,- -,- -,1304,1760,59,427,231,306,196,23705,15428,1850,9726,6243,31366,114527
100,Free Cash Flow,- -,-14300,-17797,-125212,-141717,-108085,-92729,-34608,-66454,-366403,-320156,-159416,-635027,-1014724,-953791,-1249760
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1389067/000109230608000736/0001092306-08-000736-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1389067/000147793215001840/0001477932-15-001840-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793215004365/0001477932-15-004365-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793216011172/0001477932-16-011172-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793217001828/0001477932-17-001828-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793218001556/0001477932-18-001556-index.html,https://www.sec.gov/Archives/edgar/data/1389067/000147793219001856/0001477932-19-001856-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793220001617/0001477932-20-001617-index.html,https://www.sec.gov/Archives/edgar/data/1389067/000147793221001762/0001477932-21-001762-index.htm,https://www.sec.gov/Archives/edgar/data/1389067/000147793222001603/0001477932-22-001603-index.htm
102,false,,,,,,,,,,,,,,,,
