,https://roic.ai/company/VRE,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,-8800000,-32800000,51274000,174356000,254192000,281340000,324649000,294647000,304696000,334452000,350716000,415534000,520250000,591818000,238619000,242350000,226171000,316601000,236876000,230448000,245659000,219549000,238663000,256118000,228835000,191812000,195676000,168816000
11,COGS and Expenses,-8800000,-32800000,51274000,174356000,254192000,281340000,324649000,294647000,304696000,334452000,350716000,415534000,520250000,591818000,556112000,539665000,568490000,518978000,517013000,522583000,547988000,491736000,505880000,510853000,452989000,339250000,337086000,316185000
12,Interest Income ,100000,300000,- -,- -,2400000,- -,- -,2186000,2302000,1100000,1366000,856000,3054000,4670000,1385000,571000,86000,39000,35000,2903000,3615000,794000,1614000,2766000,3389000,2412000,43000,524000
13,Interest Expense (Gain),1800000,8700000,12677000,- -,88043000,- -,105394000,112003000,107823000,116311000,109649000,119337000,136357000,126672000,128145000,141273000,149329000,125975000,122368000,123701000,112878000,103051000,94889000,93388000,83754000,90569000,80991000,65192000
14,Depreciation and Amortization,3800000,12100000,15812000,36825000,78916000,87209000,92088000,91471000,109513000,119157000,130254000,156099000,160859000,424000,188729000,196597000,190669000,193005000,192162000,191521000,173848000,172108000,186549000,198674000,170284000,128145000,118345000,108839000
15,EBITDA,9500000,34400000,60433000,38230000,283537000,206948000,382820000,335133000,357058000,378521000,342356000,370924000,441882000,237562000,370600000,392438000,394898000,390400000,355452000,300313000,315293000,149407000,398662000,315247000,338149000,330575000,147949000,54989000
16,EBITDA ratio,0.5621,0.5522,0.6330,0.1530,0.5743,0.3753,0.6644,0.5735,0.6268,0.6457,0.5813,0.5765,0.5969,0.2939,0.4764,0.5133,0.5015,0.5390,0.5044,0.4502,0.4951,0.2512,0.6499,0.5116,0.6373,0.9420,0.4718,0.1670
17,Operating Income,25700000,95100000,44198000,75445000,239507000,253686000,251504000,289701000,264918000,251794000,238275000,227871000,220059000,216532000,221857000,208297000,209469000,205301000,169485000,33595000,88811000,-96332000,104638000,105347000,53051000,11685000,-23524000,13132000
18,Operating Income ratio,1.5207,1.5265,0.4629,0.3020,0.4851,0.4600,0.4365,0.4958,0.4651,0.4295,0.4045,0.3542,0.2973,0.2679,0.2852,0.2725,0.2660,0.2835,0.2405,0.0504,0.1395,-0.1619,0.1706,0.1710,0.1000,0.0333,-0.0750,0.0399
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-14501000,- -,-11864000,2759000,- -,637000,4457000,20137000,-127277000,-29554000,-144569000,-10997000,2022000,-123204000,-123281000,-57420000,-45720000,25656000,-71629000,53350000,240869000,-91999000,-162153000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63728000,- -,- -,46281000,-89686000,31391000,-142052000,130294000,33718000,106401000,252554000,-115523000,-149021000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0834,- -,- -,0.0657,-0.1345,0.0493,-0.2388,0.2124,0.0547,0.2005,0.7197,-0.3684,-0.4525
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,3900000,13600000,31944000,1405000,116578000,119739000,185338000,131659000,139722000,143053000,102453000,95488000,144666000,110466000,53726000,54568000,54900000,71420000,40922000,-14909000,28567000,-125752000,117224000,23185000,84111000,111861000,-51387000,-119042000
24,Net Income ratio,0.2308,0.2183,0.3346,0.0056,0.2361,0.2171,0.3217,0.2253,0.2453,0.2440,0.1739,0.1484,0.1954,0.1367,0.0691,0.0714,0.0697,0.0986,0.0581,-0.0224,0.0449,-0.2114,0.1911,0.0376,0.1585,0.3188,-0.1639,-0.3615
25,EPS,0.38,1.23,1.73,0.04,2.09,2.05,3.18,2.33,2.44,2.45,1.66,1.52,2.29,1.62,0.79,0.71,0.67,0.81,0.47,-0.17,0.32,-1.41,1.31,0.06,0.80,0.95,-0.70,- -
26,EPS Diluted,0.38,1.22,1.73,0.04,2.07,2.04,3.10,2.32,2.43,2.43,1.65,1.51,2.28,1.61,0.79,0.71,0.67,0.81,0.47,-0.17,0.32,-1.41,1.30,0.06,0.80,0.95,-0.70,- -
27,Weighted Average Shares Outstanding,10263158,11056911,18461000,39266000,55840000,58385000,58338000,56538000,57227000,57724000,60351000,61477000,62237000,67026000,65489000,74318000,79224000,86047000,87742000,87762000,88727000,89291000,89746000,90005000,90388000,90557000,90648000,- -
28,Weighted Average Shares Outstanding Diluted,10263158,11147541,18461000,44156000,63893000,67133000,73070000,64775000,65427000,65990000,68743000,74189000,77901000,82500000,80648000,88389000,92477000,98962000,99996000,99785000,100041000,100222000,100498000,100703000,100724000,100689000,100260000,- -
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,1167000,78375000,12270000,60397000,101223000,24716000,21621000,291059000,21851000,20496000,58245000,221706000,29549000,37077000,31611000,28180000,29633000,25589000,38096000,31754000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50847000,- -,4839000,- -,35680000,- -,- -,- -,- -,- -,- -,320047000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,1167000,78375000,12270000,111244000,101223000,29555000,21621000,326739000,21851000,20496000,58245000,221706000,29549000,37077000,351658000,28180000,29633000,25589000,38096000,31754000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,71049000,79066000,87150000,98493000,100847000,144166000,135663000,127558000,139312000,141455000,149163000,167221000,153952000,144496000,123920000,157795000,153518000,104503000,95452000,78663000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225141000,198675000,229348000,231186000,106816000,47378000,67072000,84751000,-165632000,292317000,235937000,1055449000,707141000,667205000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382425000,652972000,390511000,393137000,314224000,436305000,250573000,266324000,309946000,478292000,419088000,1185541000,840689000,777622000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,3412088000,3408625000,3538465000,3768772000,3776794000,3978416000,3923002000,4032985000,3937735000,3870607000,- -,- -,- -,- -,- -,- -,- -,22604000,22298000,22298000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2945000,2945000,2945000,2945000,2945000,2945000,2945000,2945000,2945000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19284000,13659000,6565000,10931000,72046000,102757000,89860000,86092000,71608000,42183000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22229000,16604000,9510000,13876000,74991000,105702000,92805000,89037000,74553000,42183000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,176797000,48624000,46743000,62138000,160301000,181066000,138495000,35680000,34220000,32015000,132339000,181129000,247468000,303457000,320047000,252626000,232750000,209091000,162382000,137772000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4057253000,3881290000,3684696000,3479833000,3591782000,4121265000,4316001000,3786525000,4047864000,3547443000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4061497000,4068665000,3971955000,3902622000,4211821000,4079023000,3941674000,3797166000,3986820000,4479593000,4641556000,4107257000,4307097000,3749696000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,3796429000,3749570000,3850165000,4247502000,4422889000,4593202000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,3796429000,3749570000,3850165000,4247502000,4422889000,4593202000,4443922000,4721637000,4362466000,4295759000,4526045000,4515328000,4192247000,4063490000,4296766000,4957885000,5060644000,5292798000,5147786000,4527318000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,50774000,41423000,57002000,85481000,71543000,90679000,119451000,106878000,101944000,100480000,124822000,121286000,126971000,135057000,159874000,192716000,168115000,209510000,194717000,134977000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155000000,634069000,822288000,790939000,329000000,25000000,148000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54693000,- -,- -,55917000,53730000,52146000,49739000,46442000,43993000,41244000,39463000,34101000,26396000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139633000,79439000,127091000,127064000,72410000,59091000,42465000,40066000,23754000,30677000,30994000,32450000,11494000,6144000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259084000,241010000,229035000,227544000,253149000,234107000,221582000,379862000,864139000,1089674000,1031292000,610423000,265312000,315517000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1752372000,1628584000,1702300000,2126181000,2159959000,2211735000,2225475000,2337437000,2089494000,1914215000,2204389000,2362766000,2088654000,1999920000,1705940000,1987280000,2001712000,2479518000,2776797000,2241070000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55917000,53730000,52146000,49739000,46442000,43993000,41244000,39463000,34101000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55917000,-53730000,-52146000,-49739000,-46442000,-43993000,-41244000,-39463000,-34101000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1752372000,1628584000,1702300000,2126181000,2159959000,2211735000,2225475000,2337437000,2089494000,1914215000,2204389000,2362766000,2088654000,1999920000,1705940000,1987280000,2001712000,2479518000,2776797000,2241070000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3664571000,3408567000,3579396000,4461577000,4572721000,4704532000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1912199000,1779983000,1877096000,2335396000,2412762000,2492797000,2484559000,2578447000,2318529000,2141759000,2457538000,2596873000,2310236000,2379782000,2570079000,3076954000,3033004000,3089941000,3042109000,2556587000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,573000,594000,610000,620000,629000,656000,664000,789000,796000,878000,875000,882000,891000,896000,897000,899000,903000,906000,907000,909000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-68966000,-74721000,-127365000,-189579000,-205775000,-269521000,-386587000,-470047000,-560165000,-647498000,-764522000,-897849000,-936293000,-1115612000,-1052184000,-1096429000,-1084518000,-1042629000,-1130277000,-1249319000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-790000,- -,-47000,- -,- -,- -,- -,- -,- -,- -,- -,1985000,6689000,8770000,-18000,- -,9000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1522587000,1590615000,1646866000,1676036000,1708053000,1886467000,1905386000,2275716000,2292641000,2536184000,2530621000,2539326000,2560183000,2570392000,2576473000,2565136000,2561503000,2535440000,2528187000,2530383000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1454194000,1541488000,1545111000,1511287000,1527907000,1642555000,1544463000,1831458000,1758272000,1889564000,1766974000,1642359000,1624781000,1455676000,1527171000,1476295000,1486658000,1493699000,1398817000,1281982000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,3366393000,3321471000,3422207000,3846683000,3940669000,4135352000,4029022000,4409905000,4076801000,4031323000,4224512000,4239232000,3935017000,3835458000,4097250000,4553249000,4519662000,4583640000,4440926000,3838569000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,430036000,428099000,427958000,400819000,482220000,457850000,414900000,311732000,285665000,264436000,301533000,276096000,257230000,228032000,199516000,404636000,540982000,709158000,706860000,688749000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,3796429000,3749570000,3850165000,4247502000,4422889000,4593202000,4443922000,4721637000,4362466000,4295759000,4526045000,4515328000,4192247000,4063490000,4296766000,4957885000,5060644000,5292798000,5147786000,4527318000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3900000,13600000,31944000,1405000,118951000,119739000,185338000,131659000,139722000,143053000,102453000,95488000,144666000,110466000,53726000,63728000,63439000,81387000,46269000,-19058000,31391000,-142052000,130294000,33718000,106401000,252554000,-115523000,-109539000
74,Depreciation and Amortization,3800000,12100000,15812000,36825000,78916000,87209000,92088000,91471000,109513000,119157000,130254000,156099000,160859000,424000,188729000,196597000,190669000,193005000,192162000,191521000,173848000,172108000,186549000,198674000,170284000,128145000,118345000,108839000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4557000,4135000,2916000,11504000,2616000,6018000,7929000,7401000,8480000,7926000,11161000
77,Change in Working Capital,-4800000,-1600000,-510000,9280000,-22144000,3899000,-57190000,-751000,-52909000,-41599000,-49280000,-33938000,-43791000,-24282000,-19445000,6292000,-43365000,-30533000,-24043000,-42159000,-19564000,-17418000,-73251000,-37699000,-21126000,-21843000,-19265000,-17409000
78,Accounts Receivable,-3300000,-2100000,-5900000,-8300000,-31600000,-44187000,-45359000,-22239000,-43950000,-31365000,-59642000,-55086000,-52911000,-36921000,13266000,14880000,-4306000,5241000,-2065000,248000,355000,-2178000,596000,2831000,1382000,2204000,-5117000,5544000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,900000,1300000,5400000,19800000,9500000,48086000,-11831000,21488000,-8959000,-10234000,22558000,21148000,9120000,12639000,- -,- -,- -,1827000,-1816000,-7090000,15858000,6960000,-14535000,-9012000,13915000,2013000,-9577000,-11268000
81,Other Working Capital,- -,- -,-1204000,-20287000,-726000,-24654000,11222000,-10889000,22785000,19583000,- -,-1154000,8229000,9724000,- -,-1167000,-24069000,- -,-14329000,-26810000,-29478000,-25262000,-37175000,-21528000,-28502000,-19806000,-3252000,-4967000
82,Other Non-Cash Items,3500000,4300000,-423000,50632000,33038000,32791000,-39707000,43504000,23811000,166000,55013000,25280000,-25807000,173368000,52979000,28069000,12293000,3649000,26183000,65473000,-37926000,154201000,-149503000,-6482000,-95887000,-235494000,93939000,63063000
83,Cash Provided by Operating Activities,6400000,28400000,46823000,98142000,208761000,243638000,180529000,265883000,220137000,220777000,238440000,242929000,235927000,259976000,275989000,294686000,223036000,252065000,244706000,198693000,159253000,169455000,100107000,196140000,167073000,131842000,85422000,56115000
84,CAPEX,-19800000,-133500000,-318145000,-928974000,-692766000,-191507000,-268243000,-279686000,-253023000,-113926000,-200033000,-451335000,-217804000,-325538000,-91734000,-77767000,-92499000,-91729000,-107545000,-281935000,-178891000,-245601000,-736406000,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-501000,-36051000,-86504000,-67325000,-71579000,-29510000,74209000,-11789000,-4972000,61814000,2585000
86,Purchases of Investments,- -,- -,- -,- -,-58844000,-41622000,-17587000,-72629000,-57106000,-13784000,-30333000,-69425000,-175340000,-33901000,-7779000,-6327000,-954000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2543000,20551000,13862000,38689000,41779000,179491000,25942000,2676000,169113000,575000,- -,11441000,- -,- -,- -,- -,- -,- -,- -,3625000,- -,- -,- -,- -
88,Other Investing Activites,10900000,-200000,10393000,-10527000,- -,17400000,278157000,168040000,162001000,22232000,98669000,96604000,298271000,2986000,10980000,-7444000,4428000,-1947000,-88760000,339462000,296539000,94646000,628254000,-623540000,-156365000,-411103000,-33349000,443644000
89,Cash Used for Investing Activites,-8900000,-133700000,-307752000,-939501000,-749067000,-195178000,6189000,-145586000,-106349000,74013000,-105755000,-421480000,74240000,-355878000,-88533000,-80097000,-89025000,-94177000,-232356000,-28977000,50323000,-222534000,-137662000,-545706000,-168154000,-416075000,28465000,446229000
90,Debt Repayment,-223800000,-20800000,-294819000,-445280000,-1108175000,-1138327000,-591375000,-712355000,-492681000,-545400000,-869676000,-1096566000,-1265915000,-464835000,-1356231000,-711952000,-497228000,-480684000,-919863000,-409715000,-711136000,-222133000,-1831765000,-1272760000,-912495000,-1447115000,-602561000,-989722000
91,Common Stock Issued,- -,- -,520220000,496303000,290705000,1049000,2500000,20675000,20547000,63777000,45445000,16603000,10445000,255534000,- -,274826000,- -,227374000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-1600000,- -,-4680000,-25058000,-27500000,-55514000,-35412000,-12557000,-1030000,- -,- -,- -,-98821000,-5198000,- -,- -,-25000000,-11011000,- -,- -,- -,- -,- -,- -,-7769000,-2693000,-898000
93,Dividends Paid,-1800000,-21700000,-32433000,-74455000,-139819000,-164735000,-172153000,-174058000,-178089000,-182331000,-189397000,-191899000,-197035000,-211483000,-208533000,-173267000,-168495000,-178488000,-179905000,-149454000,-89830000,-59987000,-60041000,-77826000,-94017000,-102575000,-60532000,-475000
94,Other Financing Activites,234600000,144000000,271801000,667368000,1525758000,1283915000,634332000,780509000,537324000,447402000,814838000,1498540000,1183164000,539000000,1379411000,665242000,262504000,297555000,1136178000,552914000,399233000,342727000,1923895000,1696721000,989175000,1833304000,563035000,487904000
95,Cash Used/Provided by Financing Activities,9000000,99900000,464769000,639256000,543411000,-45598000,-182210000,-120641000,-125456000,-217582000,-198790000,226678000,-269341000,19395000,-190551000,54849000,-403219000,-159243000,25399000,-6255000,-401733000,60607000,32089000,346135000,-17337000,275845000,-102751000,-503191000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,9000000,99900000,203840000,-202103000,3105000,2862000,4508000,-344000,-11668000,77208000,-66105000,48127000,40826000,-76507000,-3095000,269438000,-269208000,-1355000,37749000,163461000,-192157000,7528000,-5466000,-3431000,-18418000,-8388000,11136000,-847000
98,Cash at the End of Period,- -,- -,204807000,2704000,5809000,8671000,13179000,12835000,1167000,78375000,12270000,60397000,101223000,24716000,21621000,291059000,21851000,20496000,58245000,221706000,29549000,37077000,31611000,28180000,49554000,41166000,52302000,51455000
99,Cash at the Beginning of Period,- -,6400000,967000,204807000,2704000,5809000,8671000,13179000,12835000,1167000,78375000,12270000,60397000,101223000,24716000,21621000,291059000,21851000,20496000,58245000,221706000,29549000,37077000,31611000,67972000,49554000,41166000,52302000
100,Free Cash Flow,-13400000,-105100000,-271322000,-830832000,-484005000,52131000,-87714000,-13803000,-32886000,106851000,38407000,-208406000,18123000,-65562000,184255000,216919000,130537000,160336000,244706000,198693000,159253000,169455000,100107000,196140000,167073000,131842000,85422000,56115000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
