,https://roic.ai/company/ADCT,2016,2017,2018,2019,2020,2021
38,PP&E,777000,1142000,1540000,6274000,4758000,11230000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,2914000,5401000,6674000,102722000,10179000,- -
41,Intangible Assets,2914000,5401000,6674000,- -,10179000,13582000
42,Investments,- -,- -,- -,- -,47908000,41236000
43,Tax Assets,- -,- -,- -,- -,- -,26049000
44,Other Non-Current Assets,133000,232000,264000,8802000,397000,693000
45,Total Non-Current Assets,3824000,6775000,8478000,15076000,63242000,92790000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,155077000,271949000,150558000,137682000,513692000,617972000
48,Accounts Payable,2145000,7619000,6750000,3329000,5279000,12080000
49,Short-Term Debt,- -,- -,- -,1132000,4633000,7604000
50,Tax Payable,265000,202000,204000,52000,149000,3754000
51,Deferred Revenue,1843000,2320000,1765000,834000,- -,- -
52,Other Current Liabilities,5680000,10608000,13839000,14648000,30524000,54251000
53,Total Current Liabilities,9668000,20547000,22354000,19943000,40436000,73935000
54,Long-Term Debt,- -,- -,- -,- -,107983000,132094000
55,Deferred Revenue,3440000,1160000,575000,- -,23539000,23539000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1075000,1076000,1386000,- -,6229000,222316000
58,Total Non-Current Liabilities,4515000,2236000,1961000,- -,137751000,377949000
59,Other Liabilities,- -,- -,- -,6583000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,5031000,3467000,8023000
61,Total Liabilities,14183000,22783000,24315000,26526000,178187000,451884000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,334000,397000,401000,4361000,6314000,6445000
64,Retained Earnings,-119127000,-208989000,-332085000,-448569000,-694859000,-924885000
65,Other Comprehensive Income/Loss,4567000,5462000,5659000,5542000,42998000,102829000
66,Other Total Stockholders Equity,255120000,452296000,452268000,549822000,981052000,981699000
67,Total Stockholders Equity,140894000,249166000,126243000,111156000,335505000,166088000
68,Total Liabilities And Stockholders Equity,155077000,271949000,150558000,137682000,513692000,617972000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,155077000,271949000,150558000,137682000,513692000,617972000
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,-89862000,-123096000,-116484000,-246290000,-230026000
74,Depreciation and Amortization,- -,341000,740000,1646000,2188000,2630000
75,Deferred Income Tax,- -,48000,935000,1208000,327000,-21479000
76,Stock Based Compensation,- -,980000,469000,1117000,37585000,60480000
77,Change in Working Capital,- -,13512000,481000,-7883000,12362000,-20280000
78,Accounts Receivable,- -,4822000,895000,192000,- -,-30218000
79,Inventory,- -,- -,- -,- -,- -,-3022000
80,Accounts Payable,- -,5468000,-858000,-3425000,1921000,6798000
81,Other Working Capital,- -,-1803000,-1140000,-2340000,- -,- -
82,Other Non-Cash Items,- -,36000,-891000,-1185000,25099000,-24703000
83,Cash Provided by Operating Activities,- -,-74945000,-121362000,-121581000,-168729000,-233378000
84,CAPEX,- -,-3156000,-2470000,-2148000,-2809000,-6376000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-2592000,-1562000,-1890000,-2027000,-3243000
89,Cash Used for Investing Activites,- -,-3248000,-2506000,-2248000,-2828000,-6673000
90,Debt Repayment,- -,- -,- -,-1002000,-1144000,-977000
91,Common Stock Issued,- -,197239000,- -,41000,433158000,- -
92,Common Stock Repurchased,- -,- -,-24000,-141000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,101614000,62952000,268371000
95,Cash Used/Provided by Financing Activities,- -,197239000,-24000,100512000,494966000,267394000
96,Effect of Forex Changes on Cash,- -,37000,-53000,61000,235000,6000
97,Net Change In Cash,- -,119083000,-123945000,-23256000,323644000,27349000
98,Cash at the End of Period,- -,262752000,138807000,115551000,439195000,466544000
99,Cash at the Beginning of Period,- -,143669000,262752000,138807000,115551000,439195000
100,Free Cash Flow,- -,-78101000,-123832000,-123729000,-171538000,-239754000
101,SEC Link,undefined,- -,- -,- -,- -,- -
102,false,,,,,,
