,https://roic.ai/company/PATK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,1300000,1500000,1700000,2100000,2400000,2500000,2500000,2500000,2600000,2900000,3600000,4500000,5800000,7600000,8904059,8237025,7512286,6295388,5897051,4941831,4412000,4086000,6748000,8073000,5271000,4970000,4916000,5586000,7297000,10433000,16775000,24362000,33541000,55052000,62795000,73270000,104808000
15,EBITDA,3400000,3800000,4400000,5600000,3200000,2900000,2200000,4600000,12000000,17400000,20000000,22200000,19500000,23100000,21077349,882155,-2028124,6453008,5806401,5942646,6852000,8609000,-1909000,-73386000,6723000,11637000,17692000,30895000,48242000,61904000,86693000,115199000,155441000,233467000,217237000,246643000,456520000
16,EBITDA ratio,0.0278,0.0315,0.0346,0.0378,0.0218,0.0204,0.0154,0.0250,0.0464,0.0526,0.0552,0.0550,0.0475,0.0509,0.0461,0.0024,-0.0069,0.0209,0.0211,0.0197,0.0212,0.0248,-0.0044,-0.2257,0.0316,0.0418,0.0575,0.0706,0.0811,0.0841,0.0942,0.0943,0.0950,0.1032,0.0930,0.0992,0.1119
17,Operating Income,2600000,3400000,3400000,4900000,2600000,1700000,1300000,3300000,10300000,15400000,17700000,18800000,14900000,16600000,13566636,1524036,-8578610,1048879,588995,1672060,3836000,6154000,-2128000,-70232000,1347000,6406000,13475000,27040000,40945000,51471000,69918000,90837000,121900000,178415000,154442000,173373000,351712000
18,Operating Income ratio,0.0213,0.0281,0.0268,0.0331,0.0177,0.0120,0.0091,0.0179,0.0398,0.0465,0.0488,0.0466,0.0363,0.0366,0.0297,0.0042,-0.0293,0.0034,0.0021,0.0055,0.0119,0.0177,-0.0049,-0.2160,0.0063,0.0230,0.0438,0.0618,0.0688,0.0700,0.0760,0.0743,0.0745,0.0788,0.0661,0.0697,0.0862
19,Total Other Income Expenses (Gains),-500000,-1100000,-700000,-1400000,-1800000,-1300000,-1600000,-1200000,-900000,-900000,-1300000,-1100000,-1200000,-1100000,-1393346,-8878906,-961800,-891259,-679645,-670245,-1396000,-1631000,-6529000,-6377000,-7259000,-5261000,-5168000,-5768000,-2171000,-2393000,-4319000,-7185000,-8790000,-26436000,-36616000,-43001000,-57890000
20,Income Before Tax,2100000,2300000,2700000,3500000,800000,400000,-300000,2100000,9400000,14500000,16400000,17700000,13700000,15500000,12173290,-7354870,-9540410,157620,-90650,1001815,2440000,4523000,-8657000,-76609000,-5912000,1145000,8307000,21272000,38774000,49078000,65599000,83652000,113110000,151979000,117826000,130372000,293822000
21,Income Before Tax Ratio,0.0172,0.0190,0.0212,0.0236,0.0054,0.0028,-0.0021,0.0114,0.0363,0.0438,0.0452,0.0439,0.0334,0.0342,0.0266,-0.0203,-0.0326,0.0005,-0.0003,0.0033,0.0075,0.0130,-0.0199,-0.2356,-0.0278,0.0041,0.0270,0.0486,0.0652,0.0667,0.0713,0.0685,0.0692,0.0672,0.0504,0.0524,0.0720
22,Income Tax expense (Gain),800000,1000000,1100000,1400000,300000,200000,-100000,800000,3600000,5600000,6300000,6900000,5400000,6200000,4769000,-2821000,-3769000,63100,-35200,400000,1016000,1894000,-2814000,-9952000,-469000,-81000,-163000,-6823000,14734000,18404000,23380000,28075000,27392000,32147000,28260000,33311000,68907000
23,Net Income,1300000,1300000,1600000,2100000,500000,200000,-200000,1300000,5800000,8900000,10100000,10800000,8300000,9300000,7404290,-4533870,-5771410,94520,-55450,600815,1424000,2629000,-5843000,-71507000,-4521000,1226000,8470000,28095000,24040000,30674000,42219000,55577000,85718000,119832000,89566000,97061000,224915000
24,Net Income ratio,0.0106,0.0108,0.0126,0.0142,0.0034,0.0014,-0.0014,0.0071,0.0224,0.0269,0.0279,0.0268,0.0202,0.0205,0.0162,-0.0125,-0.0197,0.0003,-0.0002,0.0020,0.0044,0.0076,-0.0134,-0.2199,-0.0213,0.0044,0.0275,0.0642,0.0404,0.0417,0.0459,0.0455,0.0524,0.0530,0.0383,0.0390,0.0552
25,EPS,0.03,0.04,0.05,0.07,0.02,0.01,-0.01,0.05,0.25,0.65,0.76,0.80,0.62,0.70,0.58,-0.40,-0.57,0.01,-0.00,0.06,0.13,0.24,-0.47,-3.97,-0.22,0.06,0.39,1.18,1.00,1.28,1.84,2.47,3.54,4.99,3.88,4.27,2.68
26,EPS Diluted,0.03,0.04,0.05,0.07,0.02,0.01,-0.01,0.05,0.25,0.65,0.76,0.80,0.62,0.70,0.57,-0.40,-0.57,0.01,-0.00,0.06,0.13,0.24,-0.47,-3.97,-0.22,0.05,0.37,1.17,0.99,1.28,1.81,2.43,3.48,4.93,3.85,4.20,2.61
27,Weighted Average Shares Outstanding,8185500,10390500,10390500,10134000,10039500,9796500,9634500,9702000,13891500,13715753,13367647,13425414,13339286,13243671,12815117,11462031,10145057,10633500,12476250,10398721,10680000,10954167,12520714,18020250,20695500,21039750,21953250,23755500,24149250,23926500,22984500,22519500,24230000,23995000,23058000,22730000,22789000
28,Weighted Average Shares Outstanding Diluted,8185500,10390500,10390500,10134000,10039500,9796500,9634500,9702000,13891500,13715753,13367647,13425414,13339286,13328025,12914459,11462031,10145057,10633500,12476250,10398721,10680000,11160849,12520714,18020250,20695500,22191750,22851000,23933250,24268500,24059250,23254500,22896000,24643000,24317000,23280000,23087000,23403000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/76605/000091476003000054/0000914760-03-000054-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/76605/000091476006000072/0000914760-06-000072-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000091476007000050/0000914760-07-000050-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000091476008000059/0000914760-08-000059-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000091476009000078/0000914760-09-000078-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000091476010000037/0000914760-10-000037-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000114036111019493/0001140361-11-019493-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000114036112018064/0001140361-12-018064-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000114036113014593/0001140361-13-014593-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000143774914004258/0001437749-14-004258-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000143774915005055/0001437749-15-005055-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000143774916027616/0001437749-16-027616-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660517000036/0000076605-17-000036-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660518000045/0000076605-18-000045-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660519000040/0000076605-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660520000046/0000076605-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660521000059/0000076605-21-000059-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660522000047/0000076605-22-000047-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1300000,1400000,1100000,1100000,500000,500000,400000,200000,500000,700000,1300000,2000000,3800000,3700000,6686182,6716128,5914283,3552232,7077390,82787,1077000,357000,151000,2672000,60000,1957000,550000,434000,34000,123000,87000,6449000,2767000,6895000,139390000,44767000,122849000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1300000,1400000,1100000,1100000,500000,500000,400000,200000,500000,700000,1300000,2000000,3800000,3700000,6686182,6716128,5914283,3552232,7077390,82787,1077000,357000,151000,2672000,60000,1957000,550000,434000,34000,123000,87000,6449000,2767000,6895000,139390000,44767000,122849000
34,Net Receivables,5800000,5500000,6600000,7600000,6600000,8100000,7700000,11400000,15400000,18400000,20400000,15200000,17100000,20800000,18498685,15312760,16769015,13137304,14240556,16720245,20339000,17988000,15251000,8327000,12507000,10190000,14171000,17858000,22644000,32637000,38213000,38455000,77784000,82499000,102955000,132505000,172392000
35,Inventory,12600000,12400000,14000000,14600000,13700000,13300000,15000000,16900000,29400000,36100000,35500000,39300000,34600000,43500000,42039348,30937954,28625747,32091945,23042444,34343558,33936000,43299000,43566000,21471000,17485000,22723000,27503000,46992000,56510000,71020000,89478000,120019000,175270000,272898000,253870000,312809000,614356000
36,Other Current Assets,100000,200000,200000,300000,200000,200000,400000,200000,100000,300000,400000,4900000,600000,600000,663189,2716017,2818398,2830344,2867650,2609192,1639000,1478000,9954000,18582000,6806000,2258000,2161000,8386000,8511000,11016000,11960000,7846000,18132000,22875000,20619000,37982000,64478000
37,Total Current Assets,19800000,19500000,21900000,23600000,21000000,22100000,23500000,28700000,45400000,55500000,57600000,61400000,56100000,68600000,67887404,55682859,54127443,51611825,47228040,53755782,56991000,63122000,68922000,51052000,36858000,37128000,44385000,73670000,87699000,114796000,139738000,172769000,273953000,385167000,516834000,528063000,974075000
38,PP&E,10900000,11900000,17600000,19900000,21100000,20600000,20000000,19600000,20900000,23800000,33000000,39800000,48200000,50500000,49895640,40589738,34633449,31916597,30692910,35642867,39674000,42927000,54755000,34621000,26433000,23172000,22978000,37069000,42117000,57353000,67878000,85483000,118486000,177145000,274395000,369309000,477676000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29514000,2140000,2140000,2966000,4319000,10362000,16495000,31630000,68606000,109893000,208044000,281734000,319349000,852076000,- -
40,Intangible Assets,300000,300000,300000,300000,300000,300000,- -,- -,- -,- -,- -,5500000,7900000,5200000,8420056,6247573,3208928,2937438,- -,- -,- -,- -,38469000,7400000,7047000,7901000,11515000,19219000,25611000,49544000,106759000,164539000,263467000,382982000,357014000,- -,- -
41,Intangible Assets,300000,300000,300000,300000,300000,300000,- -,- -,- -,- -,- -,5500000,7900000,5200000,8420056,6247573,3208928,2937438,- -,- -,- -,- -,67983000,9540000,9187000,10867000,15834000,29581000,42106000,81174000,175365000,274432000,471511000,664716000,676363000,852076000,1191833000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,676000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1600000,1400000,600000,700000,900000,1200000,1400000,1600000,1700000,8000000,5300000,-100000,- -,3500000,- -,- -,- -,- -,3221010,2976026,3065000,3100000,4582000,5280000,4559000,3650000,2573000,2473000,2265000,2238000,3068000,2266000,2694000,4203000,3401000,3987000,7147000
45,Total Non-Current Assets,12800000,13600000,18500000,20900000,22300000,22100000,21400000,21200000,22600000,31800000,38300000,45200000,56100000,59200000,58315696,46837311,37842377,34854035,33913920,38618893,42739000,46027000,127320000,49441000,40179000,37689000,41385000,69799000,86488000,140765000,246311000,362181000,592691000,846064000,954159000,1225372000,1676656000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,32600000,33100000,40400000,44500000,43300000,44200000,44900000,49900000,68000000,87300000,95900000,106600000,112200000,127800000,126203100,102520170,91969820,86465860,81141960,92374675,99730000,109149000,196242000,100493000,77037000,74817000,85770000,143469000,174187000,255561000,386049000,534950000,866644000,1231231000,1470993000,1753435000,2650731000
48,Accounts Payable,- -,- -,- -,- -,4200000,4300000,5100000,9100000,13300000,14900000,9600000,10500000,10300000,13200000,11155999,7040285,7180706,5822511,4883038,11389966,12295000,10100000,14349000,5156000,5874000,8204000,10915000,17336000,18826000,29754000,28744000,46752000,84109000,89803000,96208000,105786000,203537000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,1100000,1100000,4000000,3671428,3671428,3671428,3671428,3671429,10971430,2628000,12467000,10107000,32941000,23859000,36233000,1000000,- -,- -,- -,10714000,15766000,15766000,8750000,5000000,7500000,47801000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,7400000,6400000,8400000,8200000,3600000,3600000,1900000,4500000,4700000,5600000,4000000,4100000,4500000,4700000,5506326,3555008,4192487,3552574,3038926,2624489,2621000,3450000,7568000,7252000,5275000,5628000,7935000,11816000,13585000,15388000,18468000,23575000,36550000,59202000,85727000,114103000,181439000
53,Total Current Liabilities,7400000,6400000,8400000,8200000,7800000,7900000,7000000,13600000,18000000,20500000,14300000,15700000,15900000,21900000,20333753,14266721,15044621,13046513,11593393,24985885,17544000,26017000,32024000,45349000,35008000,50065000,19850000,29152000,32411000,45142000,57926000,86093000,136425000,157755000,186935000,227389000,432777000
54,Long-Term Debt,14200000,12000000,15700000,17300000,16000000,16600000,18600000,15400000,11600000,21200000,26200000,26200000,25000000,26100000,22457144,18785716,15114288,11442860,7771430,4100000,16472000,14006000,71501000,27367000,18408000,- -,31954000,49716000,55000000,101054000,193770000,256811000,338111000,621751000,670354000,810907000,1399150000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,300000,500000,800000,900000,1000000,800000,1000000,1100000,1400000,1500000,1400000,1100000,1700000,1900000,1176000,81000,521000,426000,379000,874000,687000,16604000,1309000,1309000,1326000,1344000,- -,1920000,4358000,3837000,4988000,13640000,22699000,27284000,39516000,36453000
57,Other Non-Current Liabilities,500000,400000,400000,500000,600000,600000,700000,700000,800000,800000,900000,1000000,1500000,1800000,1945058,2042198,2226390,2176577,2103403,2169606,2160000,2363000,4180000,5708000,5963000,5290000,3780000,3193000,2546000,2239000,1919000,1610000,7783000,20272000,88939000,116182000,14794000
58,Total Non-Current Liabilities,14700000,12700000,16600000,18600000,17500000,18200000,20100000,17100000,13500000,23400000,28600000,28600000,27600000,29600000,26302202,22003914,17421678,14140437,10300833,6648606,19506000,17056000,92285000,34384000,25680000,6616000,37078000,52909000,59466000,107651000,199526000,263409000,359534000,664722000,786577000,966605000,1450397000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94161000,119076000,160462000
61,Total Liabilities,22100000,19100000,25000000,26800000,25300000,26100000,27100000,30700000,31500000,43900000,42900000,44300000,43500000,51500000,46635955,36270635,32466299,27186950,21894226,31634491,37050000,43073000,124309000,79733000,60688000,56681000,56928000,82061000,91877000,152793000,257452000,349502000,495959000,822477000,973512000,1193994000,1883174000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21389940,17689417,17620517,18028833,18236386,19128021,19715000,- -,- -,- -,53588000,53798000,54242000,55501000,53863000,54769000,57683000,63716000,163196000,161436000,172662000,180892000,196383000
64,Retained Earnings,4500000,4300000,6000000,6700000,7200000,7400000,7200000,8600000,14300000,22000000,31400000,40200000,46800000,54200000,58177205,48560118,41883004,41250077,41011348,41612163,43036000,45665000,- -,-31685000,-36206000,-34980000,-26510000,1585000,21789000,40509000,62574000,113462000,199180000,224874000,305503000,360214000,513734000
65,Other Comprehensive Income/Loss,-6800000,-8000000,-9300000,-10500000,-12100000,-14400000,-16300000,-17100000,-19200000,-21200000,-23100000,-25900000,-29800000,-34100000,-40554763,-51831581,-56302359,-59583325,-59927134,-58518666,-57423000,-55114000,-1000000,-1000000,-1000000,-1000000,-54521000,-57401000,-58943000,-63086000,-67571000,-75682000,-84953000,-3000000,-6000000,-6052000,-2228000
66,Other Total Stockholders Equity,12800000,17700000,18700000,21500000,22900000,25100000,26900000,27700000,41400000,42600000,44700000,48000000,51700000,56200000,40554763,51831581,56302359,59583325,59927134,58518666,57352000,75525000,72933000,53445000,-33000,318000,55631000,61723000,65601000,70576000,75911000,83952000,93262000,25444000,25316000,24387000,- -
67,Total Stockholders Equity,10500000,14000000,15400000,17700000,18000000,18100000,17800000,19200000,36500000,43400000,53000000,62300000,68700000,76300000,79567145,66249535,59503521,59278910,59247734,60740184,62680000,66076000,71933000,20760000,16349000,18136000,28842000,61408000,82310000,102768000,128597000,185448000,370685000,408754000,497481000,559441000,767557000
68,Total Liabilities And Stockholders Equity,32600000,33100000,40400000,44500000,43300000,44200000,44900000,49900000,68000000,87300000,95900000,106600000,112200000,127800000,126203100,102520170,91969820,86465860,81141960,92374675,99730000,109149000,196242000,100493000,77037000,74817000,85770000,143469000,174187000,255561000,386049000,534950000,866644000,1231231000,1470993000,1753435000,2650731000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,32600000,33100000,40400000,44500000,43300000,44200000,44900000,49900000,68000000,87300000,95900000,106600000,112200000,127800000,126203100,102520170,91969820,86465860,81141960,92374675,99730000,109149000,196242000,100493000,77037000,74817000,85770000,143469000,174187000,255561000,386049000,534950000,866644000,1231231000,1470993000,1753435000,2650731000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/76605/000091476003000054/0000914760-03-000054-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/76605/000091476006000072/0000914760-06-000072-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000091476007000050/0000914760-07-000050-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000091476008000059/0000914760-08-000059-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000091476009000078/0000914760-09-000078-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000091476010000037/0000914760-10-000037-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000114036111019493/0001140361-11-019493-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000114036112018064/0001140361-12-018064-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000114036113014593/0001140361-13-014593-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000143774914004258/0001437749-14-004258-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000143774915005055/0001437749-15-005055-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000143774916027616/0001437749-16-027616-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660517000036/0000076605-17-000036-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660518000045/0000076605-18-000045-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660519000040/0000076605-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660520000046/0000076605-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660521000059/0000076605-21-000059-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660522000047/0000076605-22-000047-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,500000,200000,-200000,1300000,5800000,8900000,10100000,10800000,8300000,9300000,7404290,-4533870,-5771410,94520,-55450,600815,1424000,2629000,-5843000,-71507000,-4521000,1226000,8470000,28095000,24040000,30674000,42219000,55577000,85718000,119832000,89566000,97061000,224915000
74,Depreciation and Amortization,- -,- -,- -,- -,2400000,2500000,2500000,2500000,2600000,2900000,3600000,4500000,5800000,7600000,8904059,8237025,7512286,6295388,5897051,4941831,4412000,4086000,6748000,8073000,5271000,4970000,4916000,5586000,7297000,10433000,16775000,24362000,33541000,55052000,62795000,73270000,104808000
75,Deferred Income Tax,- -,- -,- -,- -,200000,- -,100000,- -,- -,- -,- -,-100000,-200000,600000,226000,-2670000,-1163000,473000,-68000,249000,1012000,156000,-144000,-13690000,- -,17000,18000,-8401000,3983000,1652000,-1799000,-560000,-6477000,759000,5593000,8091000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000,210000,333000,802000,1312000,3282000,4666000,6470000,10411000,13981000,15436000,15960000,22887000
77,Change in Working Capital,- -,- -,- -,- -,1200000,1000000,2300000,-1400000,12300000,7600000,8300000,2400000,-5500000,6500000,853651,-6137513,-2333316,-517510,-2930665,-6864750,10677103,-2342000,-207000,-31195000,-3853000,-14787000,37472000,19983000,10770000,14366000,12158000,4864000,50852000,89884000,102487000,-29225000,-110078000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5414000,3456000,-3334000,1034000,-1477000,-1942000,9017000,11324000,-12344000,26117000,5768000,- -,- -
79,Inventory,- -,- -,- -,- -,900000,400000,-1800000,-1900000,-12500000,-6600000,1000000,-3900000,6300000,-8300000,1459284,11101394,2312207,-3466198,9049501,-11301114,408000,-9363000,17252000,16523000,4703000,-1956000,-3874000,-14182000,-7482000,-1660000,3042000,-12461000,-35270000,92000,19682000,-34554000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,13200000,14200000,16500000,15100000,27400000,35000000,43300000,45700000,40200000,46700000,47553651,41416138,39082822,38565312,35634647,28769897,39447000,37105000,36898000,5703000,1850000,-12937000,24535000,44518000,55288000,69654000,81812000,86676000,137528000,227412000,329899000,300674000,- -
