,https://roic.ai/company/PGTI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-4098000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,43000,261000,109000,43000,- -,58000,4177000,1722000,454000,7478000,- -,- -,45000,3089000,5957000,71000,- -,766000
89,Cash Used for Investing Activites,- -,- -,-299331000,-15603000,-26644000,-10526000,- -,-8525000,395000,-1774000,-3338000,-72000,- -,-129739000,-118987000,-14729000,-378396000,-31197000,- -,-114402000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-40055000,-22098000,-52613000,-8050000,-38500000,- -,-79500000,-203525000,-40132000,-160294000,-64138000,- -,-10000000
91,Common Stock Issued,- -,- -,125866000,- -,130782000,1930000,- -,29281000,- -,- -,92000,3580000,- -,- -,- -,- -,152503000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-12000,- -,-3946000,-56091000,- -,-1025000,-2847000,-284000,-687000,-5550000,- -,-815000
93,Dividends Paid,- -,- -,- -,-20000000,-83484000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,161684000,14650000,-17122000,-33726000,- -,-424000,- -,44987000,-143000,76813000,- -,200279000,256711000,939000,305189000,64262000,- -,52799000
95,Cash Used/Provided by Financing Activities,- -,- -,287550000,-5350000,30176000,-31796000,- -,-11198000,-22110000,-7626000,-12047000,-14198000,- -,119754000,50339000,-39477000,296711000,-5426000,- -,41984000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,6180000,745000,33711000,-17502000,- -,149000,-12211000,-11072000,7803000,11461000,- -,12265000,-22283000,-5181000,18621000,44593000,- -,3077000
98,Cash at the End of Period,- -,- -,14716000,3270000,36981000,19479000,- -,19628000,7417000,10940000,18743000,30204000,- -,42469000,39210000,34029000,52650000,97243000,- -,100320000
99,Cash at the Beginning of Period,- -,- -,8536000,2525000,3270000,36981000,- -,19479000,19628000,22012000,10940000,18743000,- -,30204000,61493000,39210000,34029000,52650000,- -,97243000
100,Free Cash Flow,- -,- -,5176000,5834000,3426000,14251000,- -,15387000,7174000,-5368000,19396000,18181000,- -,2949000,28671000,31207000,70537000,49948000,- -,50695000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1354327/000095012307004192/0000950123-07-004192-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312508051492/0001193125-08-051492-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1354327/000135432709000022/0001354327-09-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000135432710000012/0001354327-10-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312512116968/0001193125-12-116968-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312513086990/0001193125-13-086990-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312514075673/0001193125-14-075673-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1354327/000119312515098115/0001193125-15-098115-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312517078296/0001193125-17-078296-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312518082384/0001193125-18-082384-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000156459019004831/0001564590-19-004831-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000156459020006608/0001564590-20-006608-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1354327/000156459021010144/0001564590-21-010144-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
