,https://roic.ai/company/MCFE,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1783317/000156459021009891/0001564590-21-009891-index.htm,https://www.sec.gov/Archives/edgar/data/1783317/000095017022001804/0000950170-22-001804-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-512000000,-236000000,-289000000,849000000
74,Depreciation and Amortization,543000000,536000000,491000000,236000000
75,Deferred Income Tax,9000000,18000000,-10000000,138000000
76,Stock Based Compensation,28000000,25000000,313000000,102000000
77,Change in Working Capital,263000000,-447000000,-142000000,-17000000
78,Accounts Receivable,29000000,-60000000,15000000,86000000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,1000000,28000000,- -,- -
81,Other Working Capital,-882000000,-1329000000,-1471000000,-57000000
82,Other Non-Cash Items,-12000000,600000000,397000000,-795000000
83,Cash Provided by Operating Activities,319000000,496000000,760000000,513000000
84,CAPEX,-61000000,-56000000,-42000000,-22000000
85,Acquisitions Net,- -,- -,-5000000,3930000000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-616000000,-7000000,-4000000,27000000
89,Cash Used for Investing Activites,-677000000,-63000000,-51000000,3935000000
90,Debt Repayment,-87000000,-67000000,-869000000,-1038000000
91,Common Stock Issued,- -,1000000,588000000,15000000
92,Common Stock Repurchased,- -,- -,-33000000,- -
93,Dividends Paid,- -,-1334000000,-277000000,-2727000000
94,Other Financing Activites,546000000,666000000,-60000000,-101000000
95,Cash Used/Provided by Financing Activities,459000000,-734000000,-651000000,-3851000000
96,Effect of Forex Changes on Cash,-4000000,- -,6000000,-12000000
97,Net Change In Cash,97000000,-301000000,64000000,585000000
98,Cash at the End of Period,468000000,167000000,231000000,816000000
99,Cash at the Beginning of Period,371000000,468000000,167000000,231000000
100,Free Cash Flow,258000000,440000000,718000000,491000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1783317/000156459021009891/0001564590-21-009891-index.htm,https://www.sec.gov/Archives/edgar/data/1783317/000095017022001804/0000950170-22-001804-index.htm
102,false,,,,
