,https://roic.ai/company/DOCU,2016,2017,2018,2019,2020,2021,2022
25,EPS,-0.89,-3.62,-0.37,-3.16,-1.18,-1.31,-0.35
26,EPS Diluted,-0.89,-3.62,-0.37,-3.16,-1.18,-1.31,-0.35
27,Weighted Average Shares Outstanding,140058280,32294000,140058280,135163000,176704000,185760000,197597000
28,Weighted Average Shares Outstanding Diluted,140058280,32294000,140058280,135163000,176704000,185760000,197597000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1261333/000126133319000012/0001261333-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1261333/000126133320000033/0001261333-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/1261333/000126133321000059/0001261333-21-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1261333/000126133322000049/0001261333-22-000049-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,228523000,190556000,256867000,517811000,241203000,566055000,509059000
32,Short-Term Investments,- -,- -,- -,251203000,414939000,207450000,293763000
33,Cash and Short-Term Investments,228523000,190556000,256867000,769014000,656142000,773505000,802822000
34,Net Receivables,80354000,102085000,138010000,174548000,237841000,340453000,440950000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,24467000,24704000,23918000,40959000,49907000,48390000,75824000
37,Total Current Assets,333344000,317345000,418795000,984521000,943890000,1162348000,1319596000
38,PP&E,36833000,63679000,63019000,75832000,278126000,324391000,310685000
39,Goodwill,34026000,35782000,37306000,195225000,194882000,350151000,355058000
40,Intangible Assets,32862000,22971000,14148000,74203000,56500000,121828000,98816000
41,Intangible Assets,66888000,58753000,51454000,269428000,251382000,471979000,453874000
42,Investments,- -,- -,- -,164220000,239729000,92717000,293763000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,49422000,63083000,86705000,121416000,178011000,285072000,163347000
45,Total Non-Current Assets,153143000,185515000,201178000,630896000,947248000,1174159000,1221669000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,486487000,502860000,619973000,1615417000,1891138000,2336507000,2541265000
48,Accounts Payable,13426000,19043000,23713000,19590000,28144000,37367000,52804000
49,Short-Term Debt,- -,- -,- -,- -,20728000,53440000,37404000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,127412000,188390000,270188000,381060000,507560000,779642000,- -
52,Other Current Liabilities,60020000,65662000,79918000,115663000,137533000,222724000,1281431000
53,Total Current Liabilities,200858000,273095000,373819000,516313000,693965000,1093173000,1371639000
54,Long-Term Debt,- -,- -,- -,438932000,465321000,862313000,844827000
55,Deferred Revenue,3301000,2825000,7736000,7712000,11478000,16492000,- -
56,Deferred Tax Liabilities,2425000,2437000,2511000,4207000,4920000,6464000,9316000
57,Other Non-Current Liabilities,556048000,571858000,26609000,33891000,169127000,32328000,39980000
58,Total Non-Current Liabilities,561774000,577120000,36856000,484742000,650846000,917597000,894123000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,183160000,198675000,- -
61,Total Liabilities,762632000,850215000,410675000,1001055000,1344811000,2010770000,2265762000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3000,3000,14000,17000,18000,19000,20000
64,Retained Earnings,-334632000,-450044000,-743601000,-928778000,-1137185000,-1380452000,-1438189000
65,Other Comprehensive Income/Loss,-3397000,-2746000,3403000,-1965000,-1673000,4964000,-4809000
66,Other Total Stockholders Equity,61881000,105432000,949482000,1545088000,1685167000,1701206000,1718481000
67,Total Stockholders Equity,-276145000,-347355000,209298000,614362000,546327000,325737000,275503000
68,Total Liabilities And Stockholders Equity,486487000,502860000,619973000,1615417000,1891138000,2336507000,2541265000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,486487000,502860000,619973000,1615417000,1891138000,2336507000,2541265000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1261333/000126133319000012/0001261333-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1261333/000126133320000033/0001261333-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/1261333/000126133321000059/0001261333-21-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1261333/000126133322000049/0001261333-22-000049-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-122559000,-115412000,-52276000,-426458000,-208359000,-243267000,-69976000
74,Depreciation and Amortization,17620000,28469000,31720000,38027000,50182000,71090000,81913000
75,Deferred Income Tax,-1166000,12000,-996000,-5001000,1287000,-2410000,1369000
76,Stock Based Compensation,32664000,35443000,29747000,410978000,206404000,286877000,408542000
77,Change in Working Capital,-13694000,-88236000,726000,423232000,-218283000,-180750000,-121218000
78,Accounts Receivable,-34696000,-16451000,-28077000,-42571000,-63293000,-73913000,-117380000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,7955000,4890000,2864000,-7380000,3849000,12128000,12148000
81,Other Working Capital,132486000,44250000,44976000,468208000,249925000,69175000,-52043000
82,Other Non-Cash Items,19140000,134934000,46058000,-364692000,284465000,365414000,205837000
83,Cash Provided by Operating Activities,-67995000,-4790000,54979000,76086000,115696000,296954000,506467000
84,CAPEX,-28305000,-43330000,-18929000,-30413000,-72046000,-82395000,-61396000
85,Acquisitions Net,-51860000,665000,168000,-218779000,- -,-180370000,-6388000
86,Purchases of Investments,- -,- -,- -,-415132000,-876752000,-173530000,-385878000
87,Sales/Maturities of Investments,- -,1785000,- -,- -,627309000,517524000,290753000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-80165000,-40880000,-18761000,-664324000,-321489000,81229000,-162909000
90,Debt Repayment,-35072000,- -,- -,- -,- -,-384199000,- -
91,Common Stock Issued,- -,- -,- -,529305000,- -,- -,- -
92,Common Stock Repurchased,-32344000,-85000,- -,-67563000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,342272000,8122000,25728000,391374000,-70455000,325223000,-394621000
95,Cash Used/Provided by Financing Activities,274856000,8037000,25728000,853116000,-70455000,-58976000,-394621000
96,Effect of Forex Changes on Cash,-1483000,-334000,4246000,-4136000,-447000,5646000,-5594000
97,Net Change In Cash,125213000,-37967000,66192000,260742000,-276695000,324853000,-56657000
98,Cash at the End of Period,229211000,191244000,257436000,518178000,241483000,566336000,509679000
99,Cash at the Beginning of Period,103998000,229211000,191244000,257436000,518178000,241483000,566336000
100,Free Cash Flow,-96300000,-48120000,36050000,45673000,43650000,214559000,445071000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1261333/000126133319000012/0001261333-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1261333/000126133320000033/0001261333-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/1261333/000126133321000059/0001261333-21-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1261333/000126133322000049/0001261333-22-000049-index.htm
102,false,,,,,,,
