,https://roic.ai/company/SCHL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,339700000,382900000,445000000,503200000,576000000,682200000,846500000,948600000,998800000,1076800000,1295000000,1863600000,1732300000,1839600000,2118800000,1945000000,2144500000,2056400000,1998900000,1735400000,1732200000,1795300000,1928300000,1711100000,1719900000,1577500000,1578900000,1631000000,1551700000,1617400000,1517800000,1311900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,1600000,1500000,1000000,1200000,600000,300000,1100000,1400000,3100000,5600000,3100000,400000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24200000,17800000,17100000,16500000,15700000,7500000,3800000,2200000,2400000,2000000,2200000,3000000,6200000
14,Depreciation and Amortization,3500000,3900000,4500000,17000000,21700000,24000000,42500000,58400000,64900000,73600000,71400000,111200000,86800000,107100000,132600000,130800000,133600000,125800000,110800000,105500000,59500000,60100000,68800000,68600000,62700000,48300000,39300000,39100000,44200000,59300000,64000000,90300000
15,EBITDA,12000000,26400000,26100000,63800000,66300000,86300000,89200000,59400000,103000000,132500000,151800000,168300000,234900000,197200000,223100000,230500000,241200000,221400000,162500000,136800000,186300000,154100000,249700000,133000000,120700000,361100000,106700000,129200000,44700000,87500000,-22800000,78200000
16,EBITDA ratio,0.0320,0.0624,0.0533,0.1155,0.1050,0.1151,0.0961,0.0615,0.0973,0.1147,0.1082,0.0858,0.1225,0.1007,0.0999,0.1108,0.1056,0.1016,0.0737,0.0740,0.0974,0.0808,0.1162,0.0742,0.0662,0.2207,0.0638,0.0742,0.0275,0.0529,-0.0153,0.0601
17,Operating Income,34900000,40000000,44300000,49100000,55600000,67700000,82100000,17700000,59600000,77900000,107500000,98700000,184700000,118700000,115000000,134900000,139300000,122700000,206700000,70400000,128400000,100700000,186300000,67900000,63100000,32900000,67600000,88900000,55600000,25000000,-88500000,-22700000
18,Operating Income ratio,0.0932,0.0946,0.0905,0.0889,0.0880,0.0903,0.0884,0.0183,0.0563,0.0675,0.0766,0.0503,0.0963,0.0606,0.0515,0.0649,0.0610,0.0563,0.0937,0.0381,0.0671,0.0528,0.0867,0.0379,0.0346,0.0201,0.0404,0.0510,0.0341,0.0151,-0.0595,-0.0175
19,Total Other Income Expenses (Gains),-26400000,-17500000,-22700000,-2300000,-2900000,-5400000,-35400000,-16700000,-21500000,-19000000,-27100000,-41600000,-31400000,-28600000,-24500000,-35200000,-31700000,-27100000,-27200000,-35800000,-16800000,-19600000,-15600000,-14500000,-12700000,-3000000,1100000,-1000000,-57100000,1000000,-1200000,4500000
20,Income Before Tax,8500000,22500000,21600000,46800000,52700000,62300000,46700000,1000000,38100000,58900000,80400000,57100000,153300000,90100000,90500000,99700000,107600000,95600000,179500000,34600000,111600000,81100000,170700000,53400000,50400000,29900000,68700000,87900000,-1500000,26000000,-89700000,-18200000
21,Income Before Tax Ratio,0.0227,0.0532,0.0441,0.0847,0.0834,0.0831,0.0503,0.0010,0.0360,0.0510,0.0573,0.0291,0.0800,0.0460,0.0405,0.0479,0.0471,0.0439,0.0814,0.0187,0.0583,0.0425,0.0794,0.0298,0.0277,0.0183,0.0411,0.0505,-0.0009,0.0157,-0.0603,-0.0140
22,Income Tax expense (Gain),5700000,8700000,8600000,18700000,19800000,23700000,14800000,600000,14500000,22100000,29000000,20800000,54600000,31500000,32100000,35400000,39000000,34700000,68900000,21400000,52900000,37500000,62000000,17600000,6100000,14400000,24700000,35400000,3500000,10400000,-46000000,-7300000
23,Net Income,2800000,13800000,13000000,28100000,24800000,38600000,31900000,400000,23600000,36800000,51400000,36300000,93500000,58600000,58400000,64300000,68600000,60900000,-17200000,-14300000,56100000,39400000,102400000,31100000,44400000,294600000,40500000,52300000,-5000000,15600000,-43800000,-11000000
24,Net Income ratio,0.0075,0.0326,0.0266,0.0509,0.0393,0.0515,0.0344,0.0004,0.0223,0.0319,0.0366,0.0185,0.0488,0.0299,0.0261,0.0309,0.0300,0.0279,-0.0078,-0.0077,0.0293,0.0207,0.0477,0.0174,0.0244,0.1801,0.0242,0.0300,-0.0031,0.0094,-0.0295,-0.0085
25,EPS,0.12,0.65,0.54,0.89,0.80,1.24,0.98,0.01,0.73,1.13,1.53,1.05,2.55,1.50,1.48,1.61,1.65,1.43,-0.44,-0.44,1.54,1.18,3.27,0.97,1.39,9.00,1.18,1.51,-0.14,0.44,-1.27,-0.32
26,EPS Diluted,0.11,0.65,0.53,0.88,0.77,1.19,0.98,0.01,0.72,1.10,1.48,1.01,2.38,1.46,1.46,1.58,1.63,1.42,-0.44,-0.44,1.52,1.16,3.21,0.95,1.36,8.80,1.16,1.47,-0.14,0.43,-1.27,-0.32
27,Weighted Average Shares Outstanding,23333333,21230769,24074074,31573034,31000000,31129032,32391712,32800000,32328767,32711111,33485342,34571429,36666667,39066667,39459459,39937888,41575758,42587413,38700000,38700000,36500000,33100000,31200000,31800000,31985000,32685000,34092000,34694000,35016000,35201000,34622000,34332000
28,Weighted Average Shares Outstanding Diluted,25454545,21230769,24528302,31931818,32207792,32436975,34682074,32800000,32551724,33454545,34729730,35940594,39285714,40136986,40000000,40696203,42085890,42887324,39200000,39200000,36800000,33600000,31700000,32400000,32528000,33394000,34900000,35430000,35016000,35772000,34622000,34622000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866729/000093041300001138/0000930413-00-001138-index.html,https://www.sec.gov/Archives/edgar/data/866729/000093041301501059/0000930413-01-501059-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/866729/000093041304003432/0000930413-04-003432-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041305005569/0000930413-05-005569-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041306005646/0000930413-06-005646-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041307006318/0000930413-07-006318-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041308004578/0000930413-08-004578-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041309003936/0000930413-09-003936-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041310004074/0000930413-10-004074-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041311004927/0000930413-11-004927-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041312004127/0000930413-12-004127-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041313003986/0000930413-13-003986-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672914000008/0000866729-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672915000013/0000866729-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672916000030/0000866729-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672917000009/0000866729-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672918000008/0000866729-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672919000009/0000866729-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672920000010/0000866729-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672921000013/0000866729-21-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,16500000,12700000,17100000,4100000,4100000,3700000,4300000,4900000,5100000,5900000,9000000,13800000,10700000,58600000,17800000,110600000,205300000,22800000,120000000,143600000,244100000,105300000,194900000,87400000,20900000,506800000,399700000,444100000,391900000,334100000,393800000,366500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,16500000,12700000,17100000,4100000,4100000,3700000,4300000,4900000,5100000,5900000,9000000,13800000,10700000,58600000,17800000,110600000,205300000,22800000,120000000,143600000,244100000,105300000,194900000,87400000,20900000,506800000,399700000,444100000,391900000,334100000,393800000,366500000
34,Net Receivables,25900000,26600000,31900000,37200000,56300000,77400000,118400000,100500000,116700000,136400000,153700000,220700000,243800000,266200000,265700000,269600000,266800000,281600000,220100000,197400000,212500000,220300000,314100000,214900000,253300000,193800000,196300000,199200000,204900000,250100000,329800000,344900000
35,Inventory,59600000,71200000,85100000,102500000,120300000,165200000,189900000,222000000,199300000,227400000,290700000,340300000,359500000,382600000,402600000,404900000,431500000,422900000,370200000,344800000,315700000,309900000,295300000,278100000,272700000,257600000,271200000,282500000,294900000,323700000,270600000,269700000
36,Other Current Assets,8800000,13100000,20200000,22400000,39700000,33200000,37900000,68900000,61600000,64500000,86300000,194700000,184300000,174700000,156600000,154200000,175300000,177400000,207700000,134000000,122200000,122600000,125600000,140800000,116500000,152300000,82900000,44700000,66600000,52700000,41100000,47200000
37,Total Current Assets,110800000,123600000,154300000,166200000,220400000,279500000,350500000,396300000,382700000,434200000,539700000,769500000,798300000,882100000,842700000,939300000,1078900000,904700000,918000000,819800000,894500000,758100000,929900000,721200000,663400000,1110500000,950100000,970500000,958300000,960600000,1035300000,1028300000
38,PP&E,27800000,28100000,31400000,42100000,79500000,93200000,114100000,134000000,136800000,149100000,176400000,257300000,301400000,341700000,334600000,392700000,397000000,383300000,358600000,315400000,309100000,339000000,327200000,311600000,467000000,439700000,437600000,475300000,555600000,577700000,672200000,635500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253100000,265900000,172300000,157000000,156600000,154200000,157700000,157900000,144500000,116300000,116200000,118900000,119200000,125200000,124900000,126300000
40,Intangible Assets,- -,5600000,5100000,11500000,- -,- -,41600000,67800000,66700000,71100000,- -,283800000,320000000,320200000,329200000,332900000,194300000,195500000,47500000,46800000,15500000,19800000,16700000,14600000,12200000,6800000,6800000,11100000,12200000,14300000,12600000,10500000
41,Intangible Assets,- -,5600000,5100000,11500000,- -,- -,41600000,67800000,66700000,71100000,- -,283800000,320000000,320200000,329200000,332900000,447400000,461400000,219800000,203800000,172100000,174000000,174400000,172500000,156700000,123100000,123000000,130000000,131400000,139500000,137500000,136800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41500000,38000000,- -,- -,- -,- -,- -,- -,- -,- -,29400000,31000000,40300000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19600000,- -,5100000,11400000,4500000,6100000,42600000,- -,- -,20200000,42300000,14900000,4100000,6500000,68500000,53700000,25200000,37000000,18600000,25400000
44,Other Non-Current Assets,29600000,30300000,35200000,43400000,90100000,133200000,167000000,186300000,179100000,187900000,267100000,191200000,197400000,257000000,244200000,255100000,124400000,122200000,222600000,228300000,186700000,195700000,196500000,220800000,237300000,142500000,133900000,130900000,154900000,134300000,139000000,142000000
45,Total Non-Current Assets,57400000,64000000,71700000,97000000,169600000,226400000,322700000,388100000,382600000,408100000,443500000,732300000,838400000,918900000,913100000,992100000,973300000,973000000,843600000,789000000,705900000,728900000,740400000,719800000,865100000,711800000,763000000,789900000,867100000,917900000,998300000,980000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,168200000,187600000,226000000,263200000,390000000,505900000,673200000,784400000,765300000,842300000,983200000,1501800000,1636700000,1801000000,1755800000,1931400000,2052200000,1877700000,1761600000,1608800000,1600400000,1487000000,1670300000,1441000000,1528500000,1822300000,1713100000,1760400000,1825400000,1878500000,2033600000,2008300000
48,Accounts Payable,19000000,20800000,28700000,37000000,43600000,52400000,63100000,74200000,76900000,97000000,129700000,157300000,134300000,139400000,150100000,141400000,141700000,135400000,109700000,128200000,101000000,120200000,119600000,156200000,145300000,146800000,138200000,141200000,198900000,195300000,153600000,138000000
49,Short-Term Debt,200000,600000,4500000,5100000,7100000,9500000,21200000,5300000,10100000,18200000,8700000,23300000,23500000,153700000,24100000,35900000,336700000,71700000,59500000,53700000,50300000,43500000,6500000,2000000,15800000,6000000,6300000,6200000,7900000,7300000,7900000,207900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12100000,16200000,18800000,22700000,22900000,19300000,24200000,36200000,34200000,39800000,49100000,47100000,48100000,48700000,21500000,23500000,24200000,24700000,130800000,116500000,99100000
52,Other Current Liabilities,44900000,49600000,56500000,62700000,69400000,80800000,89100000,101100000,94700000,96600000,147400000,182200000,156200000,165800000,160500000,174600000,191300000,182800000,236300000,191300000,202300000,209900000,329300000,215400000,219900000,373300000,210300000,215500000,214300000,208100000,223500000,250500000
53,Total Current Liabilities,64100000,71000000,89700000,104800000,120100000,142700000,173400000,180600000,181700000,211800000,285800000,374900000,330200000,477700000,357400000,374800000,689000000,414100000,441700000,407400000,393400000,422700000,502500000,421700000,429700000,547600000,378300000,387100000,445800000,541500000,501500000,695500000
54,Long-Term Debt,108500000,108500000,23400000,3300000,39600000,91500000,186800000,287900000,243500000,248000000,241100000,585300000,525800000,482200000,492500000,476500000,173200000,173400000,295100000,250000000,202500000,159900000,152800000,- -,120000000,- -,- -,- -,- -,- -,210600000,74700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2200000,1900000,1200000,1600000,24500000,21500000,24400000,18400000,22000000,21100000,26300000,47900000,61800000,68500000,49900000,143000000,140700000,161200000,151700000,166400000,174100000,164400000,184700000,154900000,63400000,69800000,77200000,65400000,58800000,64200000,140900000,55800000
58,Total Non-Current Liabilities,110700000,110400000,24600000,4900000,64100000,113000000,211200000,306300000,265500000,269100000,267400000,633200000,587600000,550700000,542400000,619500000,313900000,334600000,446800000,416400000,376600000,324300000,337500000,154900000,183400000,69800000,77200000,65400000,58800000,64200000,351500000,130500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63400000,61400000,59800000,56700000,57900000,55900000,55500000,57400000,57700000,- -,- -,- -,- -,- -,10100000,98500000,92400000
61,Total Liabilities,174800000,181400000,114300000,109700000,184200000,255700000,384600000,486900000,447200000,480900000,553200000,1008100000,917800000,1028400000,899800000,994300000,1002900000,748700000,888500000,823800000,770000000,747000000,840000000,576600000,613100000,617400000,455500000,452500000,504600000,605700000,853000000,826000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,300000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000
64,Retained Earnings,-19500000,-5700000,7300000,35400000,60200000,98700000,130600000,131000000,154600000,191400000,242800000,279100000,372600000,431200000,489600000,543300000,611900000,672800000,588300000,562800000,607800000,635800000,723900000,738900000,765100000,1039900000,1059800000,1091200000,1065200000,1012600000,948000000,916400000
65,Other Comprehensive Income/Loss,-6800000,-10200000,-14000000,-17100000,-17200000,-23200000,-32000000,-43200000,-54300000,-65400000,-78500000,-102300000,-140800000,-189000000,-242800000,-29000000,-20000000,-35000000,-35000000,-77000000,-85000000,-54000000,-74000000,-65000000,-55000000,-77000000,-87000000,-94000000,-56000000,-60000000,-58000000,-34700000
66,Other Total Stockholders Equity,19700000,22100000,118400000,135200000,162800000,174700000,190000000,209700000,217800000,235200000,265500000,316600000,486700000,530000000,608800000,422400000,457000000,490800000,319400000,298800000,307200000,157800000,180000000,190100000,204900000,241600000,284400000,310300000,311200000,318500000,288800000,298700000
67,Total Stockholders Equity,-6600000,6200000,111700000,153500000,205800000,250200000,288600000,297500000,318100000,361400000,430000000,493700000,718900000,772600000,856000000,937100000,1049300000,1129000000,873100000,785000000,830400000,740000000,830300000,864400000,915400000,1204900000,1257600000,1307900000,1320800000,1271500000,1179200000,1180800000
68,Total Liabilities And Stockholders Equity,168200000,187600000,226000000,263200000,390000000,505900000,673200000,784400000,765300000,842300000,983200000,1501800000,1636700000,1801000000,1755800000,1931400000,2052200000,1877700000,1761600000,1608800000,1600400000,1487000000,1670300000,1441000000,1528500000,1822300000,1713100000,1760400000,1825400000,1877200000,2032200000,2006800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,1400000,1500000
70,Total Liabilities & Equity,168200000,187600000,226000000,263200000,390000000,505900000,673200000,784400000,765300000,842300000,983200000,1501800000,1636700000,1801000000,1755800000,1931400000,2052200000,1877700000,1761600000,1608800000,1600400000,1487000000,1670300000,1441000000,1528500000,1822300000,1713100000,1760400000,1825400000,1878500000,2033600000,2008300000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866729/000093041300001138/0000930413-00-001138-index.html,https://www.sec.gov/Archives/edgar/data/866729/000093041301501059/0000930413-01-501059-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/866729/000093041304003432/0000930413-04-003432-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041305005569/0000930413-05-005569-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041306005646/0000930413-06-005646-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041307006318/0000930413-07-006318-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041308004578/0000930413-08-004578-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041309003936/0000930413-09-003936-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041310004074/0000930413-10-004074-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041311004927/0000930413-11-004927-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041312004127/0000930413-12-004127-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041313003986/0000930413-13-003986-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672914000008/0000866729-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672915000013/0000866729-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672916000030/0000866729-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672917000009/0000866729-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672918000008/0000866729-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672919000009/0000866729-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672920000010/0000866729-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672921000013/0000866729-21-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2800000,13800000,13000000,28100000,24800000,38600000,31900000,400000,23600000,36800000,51400000,36300000,93500000,58600000,58400000,64300000,68600000,60900000,-17200000,-14300000,56100000,39400000,102400000,31100000,44400000,294600000,40500000,52300000,-5000000,15600000,-43800000,-11000000
74,Depreciation and Amortization,3500000,3900000,4500000,17000000,21700000,24000000,42500000,58400000,64900000,73600000,71400000,111200000,86800000,107100000,132600000,130800000,133600000,125800000,110800000,105500000,59500000,60100000,68800000,68600000,62700000,48300000,39300000,39100000,44200000,59300000,64000000,90300000
75,Deferred Income Tax,-5100000,-3100000,-4200000,800000,- -,2600000,-4700000,-7000000,-8400000,-2100000,-15100000,-15100000,18000000,12300000,3000000,20400000,1800000,1400000,19100000,38700000,29400000,-3000000,-37500000,19600000,8900000,-3500000,18800000,15500000,7700000,3300000,17900000,-8000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,13700000,12200000,6300000,9300000,8800000,9700000,10100000,10700000,8300000,3800000,6600000
77,Change in Working Capital,-5000000,5900000,12000000,-3200000,38900000,36500000,40300000,38600000,-14700000,21400000,31500000,140700000,73500000,-63700000,80900000,79200000,-174600000,100700000,-14300000,-63900000,88700000,-165700000,92000000,-127900000,-65800000,329200000,8900000,11600000,-70900000,-93400000,114700000,-201000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17700000,-22400000,-12600000,-108900000,94400000,-48500000,1600000,-18700000,-15200000,-12900000,-11900000,-7000000,-14600000
79,Inventory,-8700000,-11200000,-13700000,-20400000,-17500000,-42800000,-31600000,-29300000,14800000,-23300000,-66800000,-25700000,-7300000,-16700000,-14700000,3200000,-21500000,-15900000,-16800000,-25800000,3400000,-10000000,-40400000,-9900000,-21300000,-33400000,-27800000,-29400000,-27400000,-49800000,-20800000,-26200000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27000000,18900000,-300000,35600000,-11200000,12100000,-12700000,-6000000,45900000,11800000,-33600000,-17900000
81,Other Working Capital,46700000,52600000,64600000,61400000,100300000,136800000,177100000,215700000,201000000,222400000,253900000,394600000,468100000,404400000,485300000,564500000,389900000,490600000,476300000,412400000,501100000,335400000,427400000,299500000,233700000,562900000,571800000,583400000,512500000,419100000,533800000,332800000
82,Other Non-Cash Items,32200000,4600000,3200000,5200000,-47800000,-73200000,-59400000,-43700000,52300000,-12100000,7000000,-74400000,-107200000,64900000,-62600000,-48100000,206400000,-75700000,210200000,122600000,28100000,283900000,22300000,191400000,97300000,-510500000,-196100000,12800000,154800000,123300000,-154500000,194100000
83,Cash Provided by Operating Activities,28400000,25100000,28500000,47900000,37600000,28500000,50600000,46700000,117700000,117600000,146200000,198700000,164600000,179200000,212300000,246600000,235800000,213100000,308600000,188600000,275800000,228400000,260200000,189100000,156800000,166900000,-78900000,141400000,141500000,116400000,2100000,71000000
84,CAPEX,-9900000,-7400000,-7400000,-16000000,-41500000,-21700000,-30400000,-29500000,-20300000,-29600000,-46000000,-90500000,-78400000,-83900000,-112200000,-49800000,-115700000,-103300000,-56800000,-98000000,-104200000,-74300000,-53700000,-54600000,-280900000,-30300000,-35600000,-65700000,-121500000,-95000000,-66000000,-47200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,- -,-7000000,-3000000,29000000,-1000000,-34000000,-10000000,- -,-1000000,-8000000,- -,- -,- -,- -,-3000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4400000,- -,- -,- -,- -,- -,-8300000,-3700000,-10100000,-4400000,-18500000,-1200000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5200000,- -,- -,- -,4000000,- -,6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-20500000,-19300000,-25000000,-42600000,-52200000,-73300000,-124000000,-108000000,-58900000,-107200000,-99200000,-486800000,-160100000,-135300000,-35400000,-106600000,-45500000,-34400000,-58300000,-58100000,-48700000,-32800000,-57600000,-73300000,-63800000,-17400000,-21900000,-26900000,-36100000,-33800000,-25500000,-3300000
