,https://roic.ai/company/THTX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,- -,- -,- -,- -,13453895,- -,6180045,712359,5434954,5895052,482325,- -,- -,- -,- -,200000,11298409,11514658,15253924,16117856,32209000,39684000,31852000,23829000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48980807,35350949,32419136,18968138,10631264,- -,- -,2902779,7666485,5206513,619000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,43020001,36013097,31612724,23819513,19013579,32516742,30651421,38763,- -,380864,-68138,-31264,-1,-1,-15602,-362666,-6513,- -,- -,621000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,61297847,40114792,39674238,31211096,25832676,40132934,32179725,50181526,36390654,33800000,19300000,11100000,11407985,11596831,18175895,23467574,37510000,41374000,35335000,27304000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,89780817,72875193,57227318,45930905,44650022,74552724,43597713,65696322,70279151,51900000,36500000,23400000,24507655,37076547,39216760,56481344,111116000,117555000,100142000,119212000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,5854048,5494607,4207619,3971917,5688130,8608696,5795958,- -,- -,3400000,1500000,500000,381267,2328250,2305301,5158425,- -,13106000,17510000,15526000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3682000,4391000,- -,4676000,- -,- -,425000,463000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000,60000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6473480,6715906,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,54000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5579087,4881709,7900000,4900000,3900000,4428177,5756320,9119780,11360422,26871000,24038000,23934000,29033000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,5854048,5494607,4207619,3971917,5688130,8608696,5795958,12052567,11597615,11300000,6400000,4400000,8491444,12475570,11425081,21194847,26871000,37144000,41919000,45076000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10109577,9257477,6590169,3363192,49233000,55311000,52403000,56282000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12944124,6714925,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,2011630,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,2403987,2898305,- -,- -,- -,- -,- -,- -,318777,4900000,7300000,1600000,1501,519692,1294048,1,- -,266000,2596000,94000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,4415618,2898305,- -,- -,- -,- -,- -,12944124,7033702,4900000,7300000,1600000,10111078,9777169,7884217,3363193,49233000,55577000,54999000,56376000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2980000,2518000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,10269666,8392912,4207619,3971917,5688130,8608696,5795958,24996691,18631317,16200000,13700000,6000000,18602522,22252739,19309298,24558040,76104000,92721000,96918000,101452000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275200000,282500000,264600000,210801561,215423453,215819514,243307670,286828000,287035000,287312000,335752000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-23448783,-53516949,-79922013,-93531401,-119634691,-177250375,-183774861,-230582396,-230614407,-248100000,-268300000,-255200000,-211184329,-208081877,-207778354,-222627332,-264966000,-277462000,-300129000,-335248000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,69014,83205,1900840,-3824650,-2681559,-332834,299541,1212064,555163,444509,428852,249604,56747,1141267,1368772,55948,985871,21000,-481000,-44000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,102890920,117916025,131040872,139315039,161278143,243527236,221277075,270069963,281707078,7651114,8192913,7801982,7194997,6492738,10605103,12772145,12206657,15240000,16522000,17300000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,65586299,54263482,53019699,41958988,38961892,65944028,37801755,40699631,51647834,35195623,22821765,17451586,6868976,14975582,20015035,33508431,35054528,24834000,3224000,17760000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,75855965,62656394,57227318,45930905,44650022,74552724,43597713,65696322,70279151,51395623,36521765,23451586,25471498,37228321,39324333,58066471,111158528,117555000,100142000,119212000
69,Minority Interest,- -,- -,- -,- -,- -,- -,13924851,10218798,- -,0,0,- -,-0,- -,- -,504377,-21765,-51586,-963843,-151774,-107573,-1585127,-42528,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,89780817,72875193,57227318,45930905,44650022,74552724,43597713,65696322,70279151,51900000,36500000,23400000,24507655,37076547,39216760,56481344,111116000,117555000,100142000,119212000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1512717/000119312512045045/0001193125-12-045045-index.html,https://www.sec.gov/Archives/edgar/data/1512717/000119312513078305/0001193125-13-078305-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1512717/000119312520047314/0001193125-20-047314-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3487941,-4005622,-3320313,-3327584,3773929,16977653,-9160969,-25246533,-19215577,-12280491,-22655278,-37569215,-39417828,-14236551,8759024,-17950000,-13910000,-3960000,-7911288,1163015,303524,-13658573,-4700000,-12496000,-22667000,-31725000
74,Depreciation and Amortization,74212,140548,65104,203730,300273,627483,1435235,13214946,1096541,1318550,915462,1111444,4849827,578614,775855,321518,567776,113970,996997,1433689,1568989,1547906,4147587,7495000,8520000,8748000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-25561,-2425270,- -,- -,- -,- -,- -,- -,111817,-69727,5033,24489,27064,7479,- -,- -,-1251732,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,849957,1111307,796049,57382,69701,70715,110686,419042,788717,826204,1087000,1427000,1932000
77,Change in Working Capital,- -,- -,- -,-135820,-46897,-352204,-662662,-827427,-653545,-1024016,699080,2287856,-622433,18156377,-8101852,-11108851,1436553,-4867757,-1462320,856324,-2333388,8464527,-36904,-3662000,-6274000,242000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245816,209903,-1571761,620124,643320,-1636053,-1245223,-1563779,-2582951,-3406489,831000,-2253000,1852000
79,Inventory,- -,- -,- -,203730,-461157,-253663,-539332,-755778,256028,-1065970,-449409,367816,468637,510542,-2240270,-6212473,-2883173,636727,-605881,-364966,445837,979874,-3901307,-9861000,-4872000,-4187000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3438000,5549000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19417604,-6713944,-4972884,5611315,-6909803,-2053359,-216886,168212,170953,439085,1513000,-557000,2230000
82,Other Non-Cash Items,445269,281096,-325521,-135820,-8597836,-25780222,-6697553,-5806626,243395,8272614,787560,1777111,1157098,-0,188324,1652305,-3895406,1325496,1260569,1728295,2044750,4765108,680448,4185000,5440000,6326000
83,Cash Provided by Operating Activities,-2968460,-3583978,-3580729,-3395494,-4570532,-8527289,-15111509,-21090909,-18529186,-3713344,-20253176,-32392804,-34033336,5348397,2844476,-26358706,-15738662,-7294100,-7018264,5299489,2002918,1907685,-334398,-3391000,-13554000,-14477000
84,CAPEX,-148423,-140548,-195313,-203730,-954230,-987953,-4013036,-1157165,-544060,-497453,-153307,-546727,-242371,-384797,-407054,-226612,-69462,- -,-723739,- -,-1190139,-73821,-39164,-3622000,-32000,-166000
85,Acquisitions Net,- -,- -,- -,- -,-68392,-476811,- -,- -,-293927,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-14940171,-27129430,-47771385,-31646112,-12878274,-24709231,-12248812,-14088480,-41475262,-14483453,-27522927,- -,-26771257,- -,-47095,- -,- -,-37730176,-41252623,-16962403,-213000,-99000,-12756000
87,Sales/Maturities of Investments,- -,- -,- -,10390210,6346115,18736133,31212218,34718028,31632094,17162550,15781866,20153923,24067155,14470077,22067247,30157854,14801430,6771344,7501048,1844276,29561457,25193877,25577665,2506000,4506000,640000
88,Other Investing Activites,1335807,3865074,-195313,-950738,-7013099,876697,-252412,-139445,1587542,-201207,-127902,-227886,-117562,0,- -,-810575,-291941,56514,-720247,50856,-1167066,-41184,-19282852,-1208000,401000,-211000
89,Cash Used for Investing Activites,1187384,3724526,-390625,-5704429,-28819035,-29623319,-4699342,20543143,7672419,4215078,1412177,-22095952,9223770,-13437648,21660193,2349409,14440026,6780763,6779927,1895132,-9358858,-16132567,-10690938,-130000,4776000,-12454000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5398000,- -,-5390000,-10180000,- -,-568000,-635000
91,Common Stock Issued,6456401,- -,8398438,7198446,28393703,1431069,19557160,437596,13309246,55653,19179150,60240880,24394879,9407204,14713,32927,- -,- -,- -,7558092,- -,12822286,- -,- -,- -,46002000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-5722,-1180906,- -,- -,- -,- -,- -,- -,-7564,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-667904,-140548,-520833,1561927,5650472,37415684,- -,- -,-2129917,- -,-1276391,-3191404,-1554070,0,129473,646911,244627,- -,- -,1224073,-3613588,6317034,57069498,-6807000,-6661000,-10810000
95,Cash Used/Provided by Financing Activities,5788497,-140548,7877604,8760373,34044175,38841031,18376254,437596,11179329,55653,17902760,57049475,22840808,9399641,144185,679837,244627,- -,- -,3384164,-3613588,13749320,46889498,-6807000,-7229000,34557000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382168,332703,1020281,1855004,-8000,83000,36000
97,Net Change In Cash,4007421,70274,3906250,-271639,654608,690422,-1434596,-110169,322562,557387,-938239,2560720,-1968758,1310390,24648854,-23329460,-1054009,-513337,-238336,10960953,-10636825,544720,37719166,-10336000,-15924000,7662000
98,Cash at the End of Period,7272727,6957133,10351563,271639,882581,1551861,125248,40832,367198,930691,14017,2576712,107094,1436135,26138771,2478210,1522122,910821,605881,11479983,788216,1367628,39044707,28661000,12737000,20399000
99,Cash at the Beginning of Period,3265306,6886859,6445313,543279,227973,861439,1559844,151002,44636,373304,952256,15992,2075852,125745,1489917,25807670,2576131,1424158,844217,519030,11425041,822908,1325541,38997000,28661000,12737000
100,Free Cash Flow,-3116883,-3724526,-3776042,-3599223,-5524761,-9515242,-19124545,-22248074,-19073246,-4210797,-20406483,-32939530,-34275707,4963600,2437422,-26585319,-15808124,-7294100,-7742003,5299489,812778,1833864,-373561,-7013000,-13586000,-14643000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1512717/000119312512045045/0001193125-12-045045-index.html,https://www.sec.gov/Archives/edgar/data/1512717/000119312513078305/0001193125-13-078305-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1512717/000119312520047314/0001193125-20-047314-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
