,https://roic.ai/company/HHC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,1333645000,764764000,940146000,1053607000,2072765000,2507983000,2990871000,3337430000,3097030000,3418545000,4475329000,4717428000,4994654000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70413000,68929000,69363000
61,Total Liabilities,1401707000,843600000,1065550000,1192045000,2322722000,2892425000,3357693000,3795872000,3540513000,4117673000,5080778000,5425309000,5848524000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,379000,379000,395000,396000,396000,398000,398000,433000,436000,437000,562000,563000
64,Retained Earnings,- -,-528505000,-381325000,-509613000,-583403000,-606934000,-480215000,-277912000,-109508000,-120341000,-46385000,-72556000,-16456000
65,Other Comprehensive Income/Loss,-1744000,-1627000,-5578000,-9575000,-8222000,-7712000,-7889000,-6786000,-6965000,-8126000,-29372000,-38590000,-14457000
66,Other Total Stockholders Equity,1503520000,2708036000,2711109000,2824031000,2829813000,2838013000,2847823000,2852038000,3299026000,3260243000,3223453000,3825187000,3740345000
67,Total Stockholders Equity,1502620000,2178283000,2324585000,2305238000,2238584000,2223763000,2360117000,2567738000,3182986000,3132212000,3148133000,3714603000,3709995000
68,Total Liabilities And Stockholders Equity,2904327000,3021883000,3390135000,3497283000,4561306000,5116188000,5717810000,6363610000,6723499000,7249885000,8228911000,9139912000,9558519000
69,Minority Interest,900000,824000,5014000,5759000,6562000,3743000,3772000,3772000,5565000,105914000,184855000,420000,23175000
70,Total Liabilities & Equity,2905227000,3022707000,3395149000,3503042000,4567868000,5119931000,5721582000,6367382000,6729064000,7355799000,8413766000,9140332000,9581694000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1498828/000110465911019165/a11-8932_110k.htm,https://www.sec.gov/Archives/edgar/data/1498828/000119312512089462/0001193125-12-089462-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000104746913001963/0001047469-13-001963-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000104746914001497/a2218444z10-k.htm,https://www.sec.gov/Archives/edgar/data/1498828/000155837015000245/hhc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1498828/000155837016003656/0001558370-16-003656-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000155837017000885/0001558370-17-000885-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000155837018001095/0001558370-18-001095-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000162828019002143/0001628280-19-002143-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000162828020002426/0001628280-20-002426-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000162828021003287/0001628280-21-003287-index.htm,https://www.sec.gov/Archives/edgar/data/1498828/000162828022004247/0001628280-22-004247-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-703612000,-69431000,147180000,-128288000,-73790000,-23531000,126719000,202303000,168404000,57012000,73956000,-26154000,56100000
74,Depreciation and Amortization,19841000,16563000,17079000,24525000,34058000,56626000,99459000,94007000,130925000,128246000,155170000,217436000,205152000
75,Deferred Income Tax,-23120000,-636117000,-19200000,4448000,8352000,65010000,21152000,113698000,-43463000,16195000,27818000,10827000,10356000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,23518000,614695000,-661000,-82455000,604438000,-666956000,56110000,309366000,19312000,-419144000,-39013000,555136000,92484000
78,Accounts Receivable,- -,- -,- -,43460000,3857000,45209000,50228000,29295000,24034000,26209000,24519000,78647000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,15112000,20333000,37213000,29867000,-46322000,8181000,- -,- -,- -,- -
81,Other Working Capital,94990000,709685000,709024000,626569000,1231007000,564051000,620161000,929527000,948839000,529695000,490682000,1045818000,-22903000
82,Other Non-Cash Items,665503000,6391000,-57890000,334834000,-443726000,510536000,-279510000,-660459000,43854000,428211000,-10199000,-830113000,-648050000
83,Cash Provided by Operating Activities,-17870000,-67899000,86508000,153064000,129332000,-58315000,23930000,58915000,319032000,210520000,207732000,-72868000,-283958000
84,CAPEX,- -,- -,-44380000,-68509000,-256800000,-773823000,-602354000,-435683000,-302059000,-625201000,-669609000,-1611000,-1814000
85,Acquisitions Net,- -,- -,5493000,-4552000,-31135000,-15850000,22968000,377486000,-1138000,-2617000,-6056000,-3882000,-1249000
86,Purchases of Investments,-288000,- -,- -,- -,-31135000,-6248000,-2171000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,6392000,3000,- -,- -,13270000,9386000,9121000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-27536000,-111832000,-793000,-2430000,24745000,40079000,-3132000,16529000,68900000,-839154000,-1226841000,-423053000,102707000
89,Cash Used for Investing Activites,-21432000,-111829000,-39680000,-81349000,-294325000,-746456000,-575568000,-38563000,-322681000,-841771000,-1232897000,-428546000,101458000
90,Debt Repayment,-10465000,-22109000,-407027000,-55832000,-279721000,-120182000,-103808000,-333302000,-1390192000,-838462000,-386489000,-867935000,-2140340000
91,Common Stock Issued,- -,268385000,- -,- -,- -,- -,- -,- -,- -,- -,- -,593574000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58715000,-53922000,- -,-81127000
93,Dividends Paid,- -,- -,- -,- -,-12000,-12000,- -,- -,-12000,- -,- -,- -,- -
94,Other Financing Activites,48008000,214930000,303083000,-14252000,1110477000,590468000,540296000,533159000,1589402000,1288343000,1361496000,1398639000,2377607000
95,Cash Used/Provided by Financing Activities,37543000,461206000,-103944000,-70084000,830744000,470274000,436488000,199857000,199198000,391166000,921085000,1124278000,156140000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1759000,281478000,-57116000,1631000,665751000,-334497000,-115150000,220209000,195549000,-240085000,-104080000,622864000,-26360000
98,Cash at the End of Period,3204000,284682000,227566000,229197000,894948000,560451000,445301000,665510000,861059000,724215000,620135000,1242999000,1216637000
99,Cash at the Beginning of Period,4963000,3204000,284682000,227566000,229197000,894948000,560451000,445301000,665510000,964300000,724215000,620135000,1242997000
100,Free Cash Flow,-17870000,-67899000,42128000,153064000,129332000,-58315000,23930000,58915000,319032000,210520000,207732000,-72868000,-285772000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1498828/000110465911019165/a11-8932_110k.htm,https://www.sec.gov/Archives/edgar/data/1498828/000119312512089462/0001193125-12-089462-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000104746913001963/0001047469-13-001963-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000104746914001497/a2218444z10-k.htm,https://www.sec.gov/Archives/edgar/data/1498828/000155837015000245/hhc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1498828/000155837016003656/0001558370-16-003656-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000155837017000885/0001558370-17-000885-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000155837018001095/0001558370-18-001095-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000162828019002143/0001628280-19-002143-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000162828020002426/0001628280-20-002426-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000162828021003287/0001628280-21-003287-index.htm,https://www.sec.gov/Archives/edgar/data/1498828/000162828022004247/0001628280-22-004247-index.htm
102,false,,,,,,,,,,,,,
