,https://roic.ai/company/ARGQ,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1533106/000149315213000655/0001493152-13-000655-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315214000894/0001493152-14-000894-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315215001392/0001493152-15-001392-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315216008126/0001493152-16-008126-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315217002774/0001493152-17-002774-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315218004869/0001493152-18-004869-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315219004502/0001493152-19-004502-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315220004694/0001493152-20-004694-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,3275,2218,4852,48856,19026,42163,66523,5084,193807,326245
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,2029340,1458848,204239
33,Cash and Short-Term Investments,3275,2218,4852,48856,19026,42163,66523,2034424,1652655,530484
34,Net Receivables,- -,35000,145020,8520,13345,- -,21800,30888,13679,7422
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,551,551,1919,486000,15729,94380,44582,12629,8927,9484
37,Total Current Assets,3826,37769,151791,543376,48100,136543,132905,2077941,1675261,547390
38,PP&E,- -,- -,6462,7817,30224,20081,10215,2067,5180,79458
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,142924,142924
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,332689,309876
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,475613,452800
42,Investments,2227236,1690000,160000,5000,3000,2650471,3085322,136,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,2227236,1690000,166462,12817,33224,2670552,3095537,2203,480793,532258
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2231062,1727769,318253,556193,81324,2807095,3228442,2080144,2156054,1079648
48,Accounts Payable,23357,37191,126059,38989,114191,293607,1161,64032,62851,68127
49,Short-Term Debt,- -,- -,10000,1053725,519954,563351,887371,741884,2018201,273958
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,2832,- -,- -
51,Deferred Revenue,- -,- -,- -,247000,462015,839130,200000,- -,- -,- -
52,Other Current Liabilities,- -,185701,469575,312971,1379434,587564,726203,565028,369097,786391
53,Total Current Liabilities,23357,222892,605634,1652685,2475594,2283652,1814735,1370944,2450149,1128476
54,Long-Term Debt,- -,- -,- -,324475,33800,- -,- -,- -,- -,982140
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,480000,480000,1020000,1413510,- -,- -,- -,283732,126872
58,Total Non-Current Liabilities,- -,480000,480000,1344475,1447310,- -,- -,- -,283732,1109012
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,75786
61,Total Liabilities,23357,702892,1085634,2997160,3922904,2283652,1814735,1370944,2733881,2237488
62,Preferred Stock,- -,- -,- -,- -,- -,- -,45000,47400,48200,48200
63,Common Stock,28668,28781,29628,31045,36271,776166,374476,525534,525534,590989
64,Retained Earnings,1676095,-12007,-2867563,-5212521,-7434650,-7187216,-7203218,-10914391,-11353215,-13223188
65,Other Comprehensive Income/Loss,166076,615000,- -,-1499,1045,-17123,-28600,1181795,13592,-5548
66,Other Total Stockholders Equity,336866,393103,2070554,2742008,3555754,6951616,8226049,9868862,10188062,11431707
67,Total Stockholders Equity,2207705,1024877,-767381,-2440967,-3841580,523443,1413707,709200,-577827,-1157840
68,Total Liabilities And Stockholders Equity,2231062,1727769,318253,556193,81324,2807095,3228442,2080144,2156054,1079648
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2231062,1727769,318253,556193,81324,2807095,3228442,2080144,2156054,1079648
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1533106/000149315213000655/0001493152-13-000655-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315214000894/0001493152-14-000894-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315215001392/0001493152-15-001392-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315216008126/0001493152-16-008126-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315217002774/0001493152-17-002774-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315218004869/0001493152-18-004869-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315219004502/0001493152-19-004502-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315220004694/0001493152-20-004694-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,1769247,-1688102,-2855556,-2344958,-2222129,247434,-16002,-3711173,-1620499,-1869973
74,Depreciation and Amortization,- -,- -,117,1382,4372,11251,11478,9349,11787,25476
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,31060,432000,160000,- -
77,Change in Working Capital,26274,124362,263452,135806,1553151,1426306,56503,477133,79637,333220
78,Accounts Receivable,- -,-35000,-110020,142500,- -,- -,-21800,-39088,-6236,6257
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,19600,13834,374840,170028,- -,- -,69997,571934,47657,271112
81,Other Working Capital,- -,- -,- -,247000,215015,377115,-362500,-100000,- -,- -
82,Other Non-Cash Items,-2061160,1470960,2413298,1278268,873934,-1759141,-507067,2499172,408158,1164632
83,Cash Provided by Operating Activities,-265639,-92780,-178689,-929502,209328,-74150,-424028,-293519,-960917,-346645
84,CAPEX,- -,- -,-6579,-2737,-26779,-1108,-1612,-1201,-4798,-1282
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-170967,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,52036,69294,170442
88,Other Investing Activites,- -,- -,- -,-8737,-4825,-1108,-1612,-1201,- -,- -
89,Cash Used for Investing Activites,- -,- -,-6579,-8737,-31604,-1108,-1612,50835,-106471,169160
90,Debt Repayment,- -,-35500,-48900,-52500,-450500,-48982,-135000,-49130,-411750,-109178
91,Common Stock Issued,- -,51550,140000,10000,- -,- -,135000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,265534,75673,96802,1024743,241901,148422,450000,230255,1655164,438278
95,Cash Used/Provided by Financing Activities,265534,91723,187902,982243,-208599,99440,450000,181125,1243414,329100
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,1045,-1045,- -,120,12697,-19177
97,Net Change In Cash,-105,-1057,2634,44004,-29830,23137,24360,-61439,188723,132438
98,Cash at the End of Period,3275,2218,4852,48856,19026,42163,66523,5084,193807,326245
99,Cash at the Beginning of Period,3380,3275,2218,4852,48856,19026,42163,66523,5084,193807
100,Free Cash Flow,-265639,-92780,-185268,-929502,182549,-75258,-425640,-294720,-965715,-347927
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1533106/000149315213000655/0001493152-13-000655-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315214000894/0001493152-14-000894-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315215001392/0001493152-15-001392-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315216008126/0001493152-16-008126-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315217002774/0001493152-17-002774-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315218004869/0001493152-18-004869-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315219004502/0001493152-19-004502-index.htm,https://www.sec.gov/Archives/edgar/data/1533106/000149315220004694/0001493152-20-004694-index.htm
102,false,,,,,,,,,,
