,https://roic.ai/company/DSGT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1413909/000116552708000768/0001165527-08-000768-index.html,https://www.sec.gov/Archives/edgar/data/1413909/000116552709000988/0001165527-09-000988-index.html,https://www.sec.gov/Archives/edgar/data/1413909/000116552710001031/0001165527-10-001031-index.html,- -,https://www.sec.gov/Archives/edgar/data/1413909/000116552713000016/0001165527-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000116552714000035/0001165527-14-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000116552715000070/0001165527-15-000070-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1413909/000149315217004554/0001493152-17-004554-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000149315218005781/0001493152-18-005781-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000149315219008278/0001493152-19-008278-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000149315220008900/0001493152-20-008900-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000149315221005426/0001493152-21-005426-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000149315222008666/0001493152-22-008666-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8964,31721,16980,2686,74,1157,476,2309,- -,- -,5488,5059,25494,1372016,275383
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,8964,31721,16980,2686,74,1157,476,2309,- -,- -,5488,5059,25494,1372016,275383
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,164939,90038,24770,139400,74793,32171,239822
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,306648,80573,8929,141296,140943,254362,712678
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,186248,56076,20355,47484,9570,124144,472343
37,Total Current Assets,8964,31721,16980,2686,74,1157,476,2309,657835,226687,59542,333239,250800,1782693,1700226
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,112497,47504,15778,4185,141280,269477,177194
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,2500,9550,9550,9550,- -,- -,16984,16580,15395,15289,14061,12833,11604
41,Intangible Assets,- -,- -,2500,9550,9550,9550,9550,- -,16984,16580,15395,15289,14061,12833,11604
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38559,723216
45,Total Non-Current Assets,- -,- -,2500,9550,9550,9550,9550,- -,129481,64084,31173,19474,155341,320869,912014
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8964,31721,19480,12236,9624,10707,10026,2309,787316,290771,90715,352713,406141,2103562,2612240
48,Accounts Payable,590,- -,15,360,2500,1335,6561,9084,742256,940722,1121841,978770,1334685,1519379,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,52970,2020949,2610337,3216407,2719500,3360057,649173,440758
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,99739,149147,159665,215662,65274,93548,255984
52,Other Current Liabilities,- -,- -,- -,4500,11000,26000,32872,- -,794635,2107255,3563929,3107114,3867217,266934,3317647
53,Total Current Liabilities,590,- -,15,4860,13500,27335,39433,62054,3657579,5807461,8061842,7021046,8627233,2529034,4014389
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232834,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,5286731,5286731,5286731,6702450,108032,2390813,251594
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5286731,5286731,6702450,108032,2623647,251594
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137160,276741,- -
61,Total Liabilities,590,- -,15,4860,13500,27335,39433,62054,3657579,11094192,13348573,13723496,8735265,5152681,4265983
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200,2084680,- -
63,Common Stock,15000,30000,30000,30000,30000,30000,30000,30000,30291,30291,101877,634,1146,94018,50196768
64,Retained Earnings,-590,-22279,-34535,-46624,-57876,-70628,-83407,-113745,-24707197,-27013446,-30409853,-42054821,-45132941,-51310040,-57694695
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,1306959,1296652,873250,1465389,1372345,1252082,1289559
66,Other Total Stockholders Equity,-6036,24000,24000,24000,24000,24000,24000,24000,- -,15982222,17511673,27218015,35430126,44830141,1411223
67,Total Stockholders Equity,8374,31721,19465,7376,-3876,-16628,-29407,-59745,-7496223,-9704281,-11923053,-13370783,-8329124,-3049119,-4797145
68,Total Liabilities And Stockholders Equity,8964,- -,19480,12236,9624,10707,10026,2309,-3838644,1389911,1425520,352713,406141,2103562,-531162
69,Minority Interest,- -,31721,- -,- -,- -,- -,- -,- -,4625960,-1099140,-1334805,- -,- -,- -,3143402
70,Total Liabilities & Equity,8964,31721,19480,12236,9624,10707,10026,2309,787316,290771,90715,352713,406141,2103562,2612240
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1413909/000116552708000768/0001165527-08-000768-index.html,https://www.sec.gov/Archives/edgar/data/1413909/000116552709000988/0001165527-09-000988-index.html,https://www.sec.gov/Archives/edgar/data/1413909/000116552710001031/0001165527-10-001031-index.html,- -,https://www.sec.gov/Archives/edgar/data/1413909/000116552713000016/0001165527-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000116552714000035/0001165527-14-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000116552715000070/0001165527-15-000070-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1413909/000149315217004554/0001493152-17-004554-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000149315218005781/0001493152-18-005781-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000149315219008278/0001493152-19-008278-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000149315220008900/0001493152-20-008900-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000149315221005426/0001493152-21-005426-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000149315222008666/0001493152-22-008666-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-590,-21689,-12256,-12089,-11252,-12752,-12779,-30339,-2092184,-2306249,-3396407,-9825404,-3078120,-6177099,-6384655
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,49463,49664,35040,13649,4218,6759,130059
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,590,23347,-14756,-19139,-11252,-12752,-12779,-20788,-2939999,-2581030,-2421526,1314493,-1688626,7630092,-1567822
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,67354,-48710,-9238,-216538,42456,30091,-259437
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-83785,153495,71644,-278659,4919,-139219,-457817
80,Accounts Payable,590,-590,15,345,2140,-1165,5226,2524,- -,1250632,719127,568132,797785,664239,- -
81,Other Working Capital,8374,31721,16965,-2174,-13426,-26178,-38957,-59745,-2999744,-5580774,-8002300,-6687807,-8376433,-746341,-2314163
82,Other Non-Cash Items,- -,-23937,14771,23984,19892,11587,18005,23312,4294524,4217458,5213921,7076025,3913751,-2859838,2208850
83,Cash Provided by Operating Activities,- -,-22279,-12241,-7244,-2612,-13917,-7553,-27815,-688196,-620157,-568972,-1421237,-848777,-1400086,-5613568
84,CAPEX,- -,- -,-2500,-7050,- -,- -,- -,- -,-14509,-2782,- -,-2670,-1383,-23161,-26541
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,89001,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-2500,-7050,- -,- -,- -,9550,82178,20646,- -,-1100,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-2500,-7050,- -,- -,- -,9550,161700,18654,- -,-2670,-1383,-23161,-26541
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-146233,-47327,- -,-45000,- -,-386996,-4704
91,Common Stock Issued,15000,15000,- -,- -,- -,- -,- -,- -,103660,- -,50000,81659,23453,1532023,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-6036,30036,- -,- -,- -,15000,6872,20098,489241,646575,934684,1292000,846538,1690853,4501611
95,Cash Used/Provided by Financing Activities,8964,45036,- -,- -,- -,15000,6872,20098,446668,599248,984684,1328659,869991,2835880,4496907
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-12012,2255,-410224,94819,604,-66111,46568
97,Net Change In Cash,- -,22757,-14741,-14294,-2612,1083,-681,1833,446668,- -,- -,-429,20435,1346522,-1096633
98,Cash at the End of Period,8964,31721,16980,2686,74,1157,476,2309,- -,- -,5488,5059,25494,1372016,275383
99,Cash at the Beginning of Period,- -,8964,31721,16980,2686,74,1157,476,91840,- -,- -,5488,5059,25494,1372016
100,Free Cash Flow,- -,-22279,-14741,-14294,-2612,-13917,-7553,-27815,-702705,-622939,-568972,-1423907,-850160,-1423247,-5640109
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1413909/000116552708000768/0001165527-08-000768-index.html,https://www.sec.gov/Archives/edgar/data/1413909/000116552709000988/0001165527-09-000988-index.html,https://www.sec.gov/Archives/edgar/data/1413909/000116552710001031/0001165527-10-001031-index.html,- -,https://www.sec.gov/Archives/edgar/data/1413909/000116552713000016/0001165527-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000116552714000035/0001165527-14-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000116552715000070/0001165527-15-000070-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1413909/000149315217004554/0001493152-17-004554-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000149315218005781/0001493152-18-005781-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000149315219008278/0001493152-19-008278-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000149315220008900/0001493152-20-008900-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000149315221005426/0001493152-21-005426-index.htm,https://www.sec.gov/Archives/edgar/data/1413909/000149315222008666/0001493152-22-008666-index.htm
102,false,,,,,,,,,,,,,,,
