,https://roic.ai/company/QIPT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,727403,3335888,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5168,- -,- -,127525,4446835,15042408,- -,- -,- -,- -,- -,558809,133000
58,Total Non-Current Liabilities,- -,- -,- -,- -,524063,1184572,511688,531528,476068,40850,11842,- -,- -,631932,5024462,15769811,7914047,5641377,7462939,8854421,12877323,19377540,17214000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,1023376,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11282753,- -,- -,- -,38755080,- -
60,Capital Lease Obligations,- -,- -,- -,- -,524063,504363,478854,422339,369826,40850,35250,- -,- -,- -,- -,- -,83738,4393991,5442029,10762301,8769452,5248177,7765000
61,Total Liabilities,- -,- -,- -,- -,1365468,2381676,2068994,2384372,2198442,2683121,336865,677859,1389944,1453774,7410507,23697664,28074229,20323255,30786841,23091927,27206527,43676787,49951000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4676521,6752590,15950236,134961814,146840084,155948667,150115711,149669890,167770589,202827000
64,Retained Earnings,- -,- -,- -,- -,-963426,-2228067,-3134840,-3738552,-3197264,-5136524,-341424,-1822056,-3344081,-4125739,-6404887,-7320991,-24411070,-81956265,-106011947,-159483286,-161232815,-165923829,-165863000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,155663,100405,- -,- -,309948,- -,-30723,-9882,-108903,-105261,71636,13734191,12139190,7999807,9544818,9822481,9972657,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,688366,893818,3934580,6618117,14189770,13827155,14737502,16205620,16323512,21658000
67,Total Stockholders Equity,- -,- -,- -,- -,492059,41667,-544586,-887202,-212788,-1779308,-69694,2384352,958934,1130244,1136261,12635460,130903053,91212778,71763682,14914745,14465176,28142930,58622000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,1857526,2423343,1524408,1497169,1985654,903813,267171,3062211,2348878,2584018,8546768,36333125,158977282,111536033,102550523,38006672,41671703,71819717,108573000
69,Minority Interest,- -,- -,- -,- -,0,-0,-0,- -,0,210674,- -,- -,- -,-0,0,-0,- -,- -,-0,0,0,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,1857526,2423343,1524408,1497169,1985654,1114487,267171,3062211,2348878,2584018,8546768,36333125,158977282,111536033,102550523,38006672,41671703,71819717,108573000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-34054,-241263,-336470,-156373,-41540,-1254654,-710127,-291861,715837,-1792559,1263008,-1594985,-1532385,-548400,-2468441,-1401558,-18324258,-57370603,-19152298,14509950,-5579393,-5046468,-6174000
74,Depreciation and Amortization,263,77871,130892,135544,166917,186956,177093,217268,236497,47507,33727,7424,116817,297839,374208,2205981,8670688,22176840,12453548,12022353,10552198,14616454,17786000
75,Deferred Income Tax,- -,- -,- -,- -,- -,17997,86277,- -,-123250,56101,- -,- -,- -,- -,- -,-1077962,621147,-8145275,- -,- -,- -,- -,-3800000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212599,87331,70547,61279,1322625,6825204,7924701,-1209161,1291786,1558393,171826,4952000
77,Change in Working Capital,60152,-13058,161562,91503,-89619,156382,-134446,169705,297078,329739,132963,311733,-204344,-1038459,-658653,-4322504,-14192200,-24240350,-4203848,-4378449,-3822330,-4660979,-8876000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28826,-33593,-386569,-455733,-428241,-4088944,-7379418,-19739114,-4208685,-6999946,-5160900,-5142840,-8825000
79,Inventory,- -,- -,- -,-5661,- -,- -,- -,- -,- -,- -,- -,-13692,-66587,57262,-266047,-272972,-1643213,176459,-3983781,3692696,637559,-1771306,-44000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4695443,-3751284,- -,- -,- -,- -,518000
81,Other Working Capital,- -,- -,161562,- -,-89619,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,579329,- -,- -,-16600000,3045000,- -,46318,333000
82,Other Non-Cash Items,1710,5313,5946,8243,-47058,827295,112796,63418,-138267,1265147,-1731925,-71659,29208,96310,2905931,2103004,14018407,55193763,7220301,-12800985,5681372,8090784,14804000
83,Cash Provided by Operating Activities,28071,-171137,-38069,78917,-11300,-66025,-468408,158530,987894,-94065,-302227,-1134889,-1503374,-1122163,214324,-1170413,-2381013,-4460924,-4891458,10644654,8390240,13171617,18692000
84,CAPEX,- -,-154694,-8579,-111782,-83909,-200829,-21315,-6571,-120032,-1479,-1219,-129516,-661642,-738545,-91355,-1204398,-5578801,-2940483,-2441698,-530182,-1361988,-91890,-5046000
85,Acquisitions Net,- -,-33758,-38097,-18522,- -,-680881,- -,- -,-193210,- -,- -,- -,- -,- -,-303790,-1876954,-29866450,-19989352,-129783,-422597,2967216,-8058660,-12890000
86,Purchases of Investments,-93426,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,56780,82883,35124,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-31436,-0,-0,-218052,-16927,-15127,- -,- -,- -,-39804,564839,-31494,- -,74813,- -,-0,-113662,-0,11869120,229100,161656,254004,98000
89,Cash Used for Investing Activites,-68082,-105569,-11552,-348357,-100836,-896837,-21315,-6571,-313242,-41283,563620,-161011,-661642,-663732,-395145,-3081352,-35445251,-22929835,9297639,-723679,1766883,-7896546,-17838000
90,Debt Repayment,- -,-66905,- -,- -,- -,- -,- -,- -,- -,- -,-456617,- -,- -,- -,- -,-2444556,-740129,-6731318,-1787945,-8427179,-16860553,-13040133,-13893000
91,Common Stock Issued,19333,235661,143282,366829,155843,702263,- -,113813,- -,235803,227210,3999089,- -,685886,- -,4670057,46063981,- -,- -,- -,3131893,19449259,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-7099,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,56981,-58900,105213,-78415,628507,-93061,-216963,-443520,-263480,-61843,57891,- -,731575,3200223,11370849,14838939,196235,-4743134,-2085123,9906330,7543181,17803000
95,Cash Used/Provided by Financing Activities,19333,225737,84382,472042,77428,1330770,-100159,-103150,-443520,-27677,-291249,4056980,- -,1417461,3200223,13596350,60162790,-6535083,-6531079,-10512303,-3822330,13952307,3910000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27440,-26171,6226,-809,232376,5896213,-423655,-615866,1318875,104245,293599,621000
97,Net Change In Cash,-20678,-50968,34760,202602,-34708,367908,-589882,48809,231132,-163025,-29857,4056980,-2191187,-362208,3018598,9576962,28232739,-34349496,-2741570,727549,6439039,19520978,5385000
98,Cash at the End of Period,6724,-44275,-8568,177565,165204,534825,-7854,40173,273181,122690,77705,2788521,581479,250849,3257937,12587966,38698613,5166001,2733509,3352141,9710681,29124582,34612000
99,Cash at the Beginning of Period,27403,6693,-43329,-25037,199912,166917,582028,-8636,42049,285715,107562,- -,2772666,613057,239340,3011004,10465874,39515497,5475079,2624593,3271642,9603604,29227000
100,Free Cash Flow,28071,-325831,-46648,-32865,-95209,-266854,-489723,151959,867862,-95543,-303446,-1264405,-2165016,-1860708,122969,-2374811,-7959815,-7401407,-7333156,10114473,7028252,13079727,13646000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
