,https://roic.ai/company/WISH,2017,2018,2019,2020,2021
64,Retained Earnings,- -,-1287000000,-1439000000,-2184000000,-2545000000
65,Other Comprehensive Income/Loss,- -,-14000000,-22000000,1000000,3000000
66,Other Total Stockholders Equity,- -,14000000,22000000,3210000000,- -
67,Total Stockholders Equity,- -,-1287000000,-1439000000,1027000000,818000000
68,Total Liabilities And Stockholders Equity,- -,1193000000,1366000000,2397000000,1283000000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1193000000,1366000000,2397000000,1283000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1822250/000156459021015544/0001564590-21-015544-index.htm,https://www.sec.gov/Archives/edgar/data/1822250/000156459022010074/0001564590-22-010074-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-207000000,-208000000,-129000000,-745000000,-361000000
74,Depreciation and Amortization,4000000,8000000,10000000,12000000,9000000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,8000000,2000000,2000000,390000000,141000000
77,Change in Working Capital,268000000,139000000,- -,848000000,-768000000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,85000000,2000000,40000000,263000000,-367000000
81,Other Working Capital,-5000000,134000000,134000000,982000000,- -
82,Other Non-Cash Items,73000000,-35000000,57000000,-505000000,28000000
83,Cash Provided by Operating Activities,146000000,-94000000,-60000000,- -,-951000000
84,CAPEX,-12000000,-20000000,-11000000,-2000000,-2000000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,-343000000,-366000000,-485000000,-266000000,-299000000
87,Sales/Maturities of Investments,163000000,361000000,456000000,433000000,298000000
88,Other Investing Activites,- -,9000000,- -,- -,- -
89,Cash Used for Investing Activites,-192000000,-16000000,-40000000,165000000,-3000000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,1052000000,- -
92,Common Stock Repurchased,-48000000,-6000000,-28000000,-1000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,260000000,1000000,160000000,-5000000,7000000
95,Cash Used/Provided by Financing Activities,212000000,-5000000,132000000,1046000000,7000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,166000000,-115000000,32000000,1211000000,-947000000
98,Cash at the End of Period,837000000,722000000,754000000,1965000000,1018000000
99,Cash at the Beginning of Period,671000000,837000000,722000000,754000000,1965000000
100,Free Cash Flow,134000000,-114000000,-71000000,-2000000,-953000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1822250/000156459021015544/0001564590-21-015544-index.htm,https://www.sec.gov/Archives/edgar/data/1822250/000156459022010074/0001564590-22-010074-index.htm
102,false,,,,,
