,https://roic.ai/company/FNAM,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,26581,31523,48862,63267,78162,13672,253752,4561326,3995665,955446,1006768,2248995,3762613
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,3226128,- -,3710861,4520255,4805822,- -
63,Common Stock,7894,7894,7894,7894,7894,7894,5882,5882,5882,5882,5882,5882,5882
64,Retained Earnings,-1200940,-1200940,-1270458,-1200940,-1200940,-1333889,-9788271,-10940295,-11479912,-12578529,-13371669,-15083552,-17877496
65,Other Comprehensive Income/Loss,-28651,-52178,- -,-86550,-105810,- -,-261644,-297939,-338189,-376664,-414783,- -,- -
66,Other Total Stockholders Equity,1214066,1214066,1214066,1216980,1221685,1312323,12961111,9847572,13215846,12671616,12496184,12015552,13471498
67,Total Stockholders Equity,-7631,-31158,-48498,-62616,-77171,-13672,2917078,1841348,1403627,3433166,3235869,1743704,-4400116
68,Total Liabilities And Stockholders Equity,18950,365,364,651,991,- -,3170830,6402674,5399292,4388612,4242637,3992699,-637503
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3569594
70,Total Liabilities & Equity,18950,365,364,651,991,- -,3170830,6402674,5399292,4388612,4242637,3992699,2932091
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/884363/000126967812000002/0001269678-12-000002-index.html,https://www.sec.gov/Archives/edgar/data/884363/000155335013000061/0001553350-13-000061-index.htm,https://www.sec.gov/Archives/edgar/data/884363/000155335014000386/0001553350-14-000386-index.htm,https://www.sec.gov/Archives/edgar/data/884363/000155335015000188/0001553350-15-000188-index.htm,https://www.sec.gov/Archives/edgar/data/884363/000155335016001601/0001553350-16-001601-index.html,https://www.sec.gov/Archives/edgar/data/884363/000155335017000164/0001553350-17-000164-index.html,https://www.sec.gov/Archives/edgar/data/884363/000155335018000184/0001553350-18-000184-index.html,https://www.sec.gov/Archives/edgar/data/884363/000155335019000304/0001553350-19-000304-index.html,https://www.sec.gov/Archives/edgar/data/884363/000155335020000255/0001553350-20-000255-index.htm,https://www.sec.gov/Archives/edgar/data/884363/000155335021000252/0001553350-21-000252-index.htm,https://www.sec.gov/Archives/edgar/data/884363/000155335022000231/0001553350-22-000231-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-16020,-23527,- -,- -,-19260,-1400260,-286000,-1152020,-539620,-1098620,-793140,-1711883,-2793944
74,Depreciation and Amortization,- -,- -,- -,- -,- -,10790,28111,38897,42852,41077,40721,409368,1038816
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31907,-987353,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,8929,101840,101896,98577,55828,219718,219718
77,Change in Working Capital,6026,-23527,-17340,-14118,-14555,63499,59683,2061475,-925106,-958963,-124669,175681,-37494
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,24483,6859,9289,-40439,33594,6845,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15702
81,Other Working Capital,-7631,-31158,-48498,-62616,-77171,-13672,46011,2107486,1182380,223417,98748,274429,236935
82,Other Non-Cash Items,- -,21306,-9408,-187,20647,1300168,-400767,-2156635,142673,1169092,163373,-402848,1572904
83,Cash Provided by Operating Activities,-9994,-25748,-26748,-14305,-13168,-25803,-590044,-1106443,-1177305,-748837,-625980,-2297317,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-103195,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,82025,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,52259,259330,- -,- -,- -,147613,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,134284,156135,- -,- -,- -,147613,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,285568
94,Other Financing Activites,8580,7163,26747,14405,13695,25162,- -,3004033,- -,- -,540015,2320099,1295743
95,Cash Used/Provided by Financing Activities,28580,7163,26747,14405,13695,25162,- -,3004033,- -,- -,540015,2320099,1581311
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,18586,-18585,-1,100,527,- -,-455760,2053725,-1177305,-748837,-85965,170395,-1827
98,Cash at the End of Period,18600,15,14,114,641,- -,3823,2057548,880243,131406,45441,215836,214009
99,Cash at the Beginning of Period,14,18600,15,14,114,641,459583,3823,2057548,880243,131406,45441,215836
100,Free Cash Flow,-9994,-25748,-26748,-14305,-13168,-25803,-590044,-1209638,-1177305,-748837,-625980,-2297317,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/884363/000126967812000002/0001269678-12-000002-index.html,https://www.sec.gov/Archives/edgar/data/884363/000155335013000061/0001553350-13-000061-index.htm,https://www.sec.gov/Archives/edgar/data/884363/000155335014000386/0001553350-14-000386-index.htm,https://www.sec.gov/Archives/edgar/data/884363/000155335015000188/0001553350-15-000188-index.htm,https://www.sec.gov/Archives/edgar/data/884363/000155335016001601/0001553350-16-001601-index.html,https://www.sec.gov/Archives/edgar/data/884363/000155335017000164/0001553350-17-000164-index.html,https://www.sec.gov/Archives/edgar/data/884363/000155335018000184/0001553350-18-000184-index.html,https://www.sec.gov/Archives/edgar/data/884363/000155335019000304/0001553350-19-000304-index.html,https://www.sec.gov/Archives/edgar/data/884363/000155335020000255/0001553350-20-000255-index.htm,https://www.sec.gov/Archives/edgar/data/884363/000155335021000252/0001553350-21-000252-index.htm,https://www.sec.gov/Archives/edgar/data/884363/000155335022000231/0001553350-22-000231-index.htm
102,false,,,,,,,,,,,,,
