,https://roic.ai/company/EPZM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),10000,67000,-7000,154000,173000,1614000,2197000,4532000,6905000,-6164000,-13108000
20,Income Before Tax,-20957000,-701000,-3134000,-54896000,-132376000,-110212000,-134645000,-123573000,-170237000,-231580000,-251100000
21,Income Before Tax Ratio,-3.0180,-0.0155,-0.0458,-1.3256,-51.7094,-13.7645,-13.4645,-5.6946,-7.1528,-14.6923,-6.7091
22,Income Tax expense (Gain),- -,1000,349000,109000,- -,- -,-336000,57000,58000,114000,22000
23,Net Income,-20957000,-702000,-3483000,-55005000,-132376000,-110212000,-134309000,-123630000,-170295000,-231694000,-251122000
24,Net Income ratio,-3.0180,-0.0155,-0.0509,-1.3283,-51.7094,-13.7645,-13.4309,-5.6972,-7.1553,-14.6995,-6.7096
25,EPS,-0.94,-0.03,-0.22,-1.67,-3.32,-1.93,-2.18,-1.72,-1.93,-2.29,-2.45
26,EPS Diluted,-0.94,-0.03,-0.22,-1.67,-3.32,-1.93,-2.18,-1.72,-1.93,-2.29,-2.45
27,Weighted Average Shares Outstanding,22424000,21448000,17049000,33027000,39839000,57126000,61471000,71864000,89891000,100960000,102646000
28,Weighted Average Shares Outstanding Diluted,22424000,21448000,17049000,33027000,39839000,57126000,61471000,71864000,89891000,100960000,102646000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1571498/000119312514073691/0001193125-14-073691-index.htm,https://www.sec.gov/Archives/edgar/data/1571498/000119312515088459/d869037d10k.htm,https://www.sec.gov/Archives/edgar/data/1571498/000119312516497434/0001193125-16-497434-index.html,https://www.sec.gov/Archives/edgar/data/1571498/000119312517079460/0001193125-17-079460-index.html,https://www.sec.gov/Archives/edgar/data/1571498/000156459018005397/0001564590-18-005397-index.html,https://www.sec.gov/Archives/edgar/data/1571498/000156459019004237/0001564590-19-004237-index.html,https://www.sec.gov/Archives/edgar/data/1571498/000156459020007398/0001564590-20-007398-index.html,https://www.sec.gov/Archives/edgar/data/1571498/000156459021007292/0001564590-21-007292-index.htm,https://www.sec.gov/Archives/edgar/data/1571498/000095017022002552/0000950170-22-002552-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,33341000,97981000,123564000,190095000,208323000,77895000,226664000,86671000,139482000,168215000,98336000
32,Short-Term Investments,- -,- -,- -,- -,- -,164297000,49775000,153633000,241605000,205391000,78454000
33,Cash and Short-Term Investments,33341000,97981000,123564000,190095000,208323000,242192000,276439000,240304000,381087000,373606000,176790000
34,Net Receivables,1873000,1829000,33667000,2075000,262000,318000,631000,20746000,3510000,3474000,6644000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,10461000,3216000
36,Other Current Assets,208000,815000,2421000,2840000,4478000,6162000,8734000,11485000,14580000,17552000,19393000
37,Total Current Assets,35422000,100625000,159652000,195010000,213063000,248672000,285804000,272535000,399177000,405093000,206043000
38,PP&E,1577000,2140000,2157000,3620000,4089000,3124000,2527000,2057000,23425000,19457000,21599000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,47002000,42849000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,47002000,42849000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,331000,746000,1179000,573000,751000,645000,1028000,909000,1987000,2021000,18509000
45,Total Non-Current Assets,1938000,2886000,3336000,4193000,4840000,3769000,3555000,2966000,25412000,68480000,82957000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,37360000,103511000,162988000,199203000,217903000,252441000,289359000,275501000,424589000,473573000,289000000
48,Accounts Payable,2498000,2967000,4698000,8300000,4653000,4994000,7001000,4780000,8782000,10163000,10265000
49,Short-Term Debt,- -,- -,- -,- -,561000,620000,110000,16000,3039000,4665000,4154000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,7096000,28208000,23243000,1702000,1900000,- -,- -,13300000,- -,- -,11950000
52,Other Current Liabilities,1754000,4328000,6632000,7043000,11335000,16007000,17553000,19737000,22565000,28572000,18827000
53,Total Current Liabilities,11348000,35503000,34573000,17045000,18449000,21621000,24664000,37833000,34386000,43400000,45196000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,42429000,231079000,234958000
55,Deferred Revenue,22721000,41237000,23629000,21449000,28809000,28809000,28809000,3806000,3806000,- -,11950000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,53935000,77897000,473000,427000,1113000,311000,515000,853000,12831000,14197000,17584000
58,Total Non-Current Liabilities,76656000,119134000,24102000,21876000,29922000,29120000,29324000,4659000,59066000,245276000,264492000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1291000,730000,110000,69000,22159000,20074000,22651000
61,Total Liabilities,88004000,154637000,58675000,38921000,48371000,50741000,53988000,42492000,93452000,288676000,309688000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,37432000,36127000,36127000
63,Common Stock,- -,- -,3000,3000,4000,6000,7000,8000,10000,10000,11000
64,Retained Earnings,-51895000,-52597000,-56080000,-111085000,-243461000,-353673000,-488097000,-586724000,-757019000,-988713000,-1239835000
65,Other Comprehensive Income/Loss,-1068000,-1844000,-2547000,-3280000,-4700000,-106000,-49000,-54000,19000,3000,3000
66,Other Total Stockholders Equity,2319000,3315000,162937000,274644000,417689000,555473000,723510000,819779000,1050695000,1137470000,1183006000
67,Total Stockholders Equity,-50644000,-51126000,104313000,160282000,169532000,201700000,235371000,233009000,331137000,184897000,-20688000
68,Total Liabilities And Stockholders Equity,37360000,103511000,162988000,199203000,217903000,252441000,289359000,275501000,424589000,473573000,289000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,37360000,103511000,162988000,199203000,217903000,252441000,289359000,275501000,424589000,473573000,289000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1571498/000119312514073691/0001193125-14-073691-index.htm,https://www.sec.gov/Archives/edgar/data/1571498/000119312515088459/d869037d10k.htm,https://www.sec.gov/Archives/edgar/data/1571498/000119312516497434/0001193125-16-497434-index.html,https://www.sec.gov/Archives/edgar/data/1571498/000119312517079460/0001193125-17-079460-index.html,https://www.sec.gov/Archives/edgar/data/1571498/000156459018005397/0001564590-18-005397-index.html,https://www.sec.gov/Archives/edgar/data/1571498/000156459019004237/0001564590-19-004237-index.html,https://www.sec.gov/Archives/edgar/data/1571498/000156459020007398/0001564590-20-007398-index.html,https://www.sec.gov/Archives/edgar/data/1571498/000156459021007292/0001564590-21-007292-index.htm,https://www.sec.gov/Archives/edgar/data/1571498/000095017022002552/0000950170-22-002552-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-20957000,-702000,-3483000,-55005000,-132376000,-110212000,-134309000,-123630000,-170295000,-231694000,-251122000
74,Depreciation and Amortization,479000,847000,703000,742000,1419000,1589000,1639000,1052000,840000,3984000,5246000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-368000,184000,92000,92000,- -
76,Stock Based Compensation,305000,689000,2819000,6864000,9849000,10568000,11431000,12004000,18016000,27609000,26787000
77,Change in Working Capital,30149000,41048000,59957000,52886000,16649000,32437000,34089000,-26438000,7125000,-8042000,-156000
78,Accounts Receivable,-1872000,44000,-31838000,31592000,1813000,239000,-359000,-19686000,17500000,-538000,-3467000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10461000,-8224000
80,Accounts Payable,1284000,469000,1641000,3611000,-3647000,341000,1967000,-2404000,3389000,1480000,84000
81,Other Working Capital,24074000,65122000,125079000,177965000,194614000,227051000,261140000,234702000,-13424000,-3947000,11457000
82,Other Non-Cash Items,24000,2272000,-113730000,-40850000,31534000,-30753000,-32915000,15228000,-2946000,1715000,-7608000
83,Cash Provided by Operating Activities,10000000,44154000,-53734000,-35363000,-72925000,-96371000,-120433000,-121600000,-147168000,-206336000,-226853000
84,CAPEX,-918000,-1482000,-630000,-2216000,-40183000,-624000,-984000,-299000,-594000,-50880000,-486000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-229887000,-126356000,-298670000,-504981000,-276404000,-262613000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,65097000,240670000,196363000,420255000,312694000,388581000
88,Other Investing Activites,- -,37000,- -,- -,-40000000,- -,- -,- -,- -,-50000000,- -
89,Cash Used for Investing Activites,-918000,-1445000,-630000,-2216000,-40183000,-165414000,113330000,-102606000,-85320000,-14590000,125482000
90,Debt Repayment,- -,- -,- -,- -,-441000,-561000,-620000,-129000,-16000,- -,- -
91,Common Stock Issued,- -,- -,82491000,101283000,130712000,130438000,152922000,81938000,222765000,- -,15954000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,19083000,21931000,-2544000,2827000,1065000,1480000,3570000,2404000,63597000,249659000,15538000
95,Cash Used/Provided by Financing Activities,19083000,21931000,79947000,104110000,131336000,131357000,155872000,84213000,286346000,249659000,31492000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,28165000,64640000,25583000,66531000,18228000,-130428000,148769000,-139993000,53858000,28733000,-69879000
98,Cash at the End of Period,33341000,97981000,123564000,190095000,208323000,77895000,226664000,87133000,140991000,169724000,99845000
99,Cash at the Beginning of Period,5176000,33341000,97981000,123564000,190095000,208323000,77895000,227126000,87133000,140991000,169724000
100,Free Cash Flow,9082000,42672000,-54364000,-37579000,-113108000,-96995000,-121417000,-121899000,-147762000,-257216000,-227339000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1571498/000119312514073691/0001193125-14-073691-index.htm,https://www.sec.gov/Archives/edgar/data/1571498/000119312515088459/d869037d10k.htm,https://www.sec.gov/Archives/edgar/data/1571498/000119312516497434/0001193125-16-497434-index.html,https://www.sec.gov/Archives/edgar/data/1571498/000119312517079460/0001193125-17-079460-index.html,https://www.sec.gov/Archives/edgar/data/1571498/000156459018005397/0001564590-18-005397-index.html,https://www.sec.gov/Archives/edgar/data/1571498/000156459019004237/0001564590-19-004237-index.html,https://www.sec.gov/Archives/edgar/data/1571498/000156459020007398/0001564590-20-007398-index.html,https://www.sec.gov/Archives/edgar/data/1571498/000156459021007292/0001564590-21-007292-index.htm,https://www.sec.gov/Archives/edgar/data/1571498/000095017022002552/0000950170-22-002552-index.htm
102,false,,,,,,,,,,,
