,https://roic.ai/company/PSHG,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,85281396,121492236,53901000,12356000,96001000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2571000,- -
93,Dividends Paid,- -,-4153709,-28545000,-29674000,-7534000,-739000,-374000,- -,- -,- -,-502000,- -
94,Other Financing Activites,18813200,84404300,83430000,55400000,- -,145693000,-150000,115616000,17345000,39100000,34239000,- -
95,Cash Used/Provided by Financing Activities,103764596,97072827,108786000,38082000,88467000,41691000,-19683000,4116000,-88772000,38581000,21985000,-7911000
96,Effect of Forex Changes on Cash,1051399,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,103764596,30255545,-9828000,-11841000,62318000,-52615000,-21072000,-1872000,4049000,15870000,-4985000,-11804000
98,Cash at the End of Period,11098284,41353829,31526000,19685000,82003000,29388000,8316000,6444000,10493000,26363000,21378000,9574000
99,Cash at the Beginning of Period,- -,11098284,41354000,31526000,19685000,82003000,29388000,8316000,6444000,10493000,26363000,21378000
100,Free Cash Flow,-93717711,-66817282,-118614000,-85045000,-35792000,-101614000,-12186000,-12668000,-456000,-54410000,-50434000,-4908000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,
