,https://roic.ai/company/PLYA,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,450898287,990000,- -,- -,- -,- -
43,Tax Assets,- -,- -,1063000,1427000,21381000,2130000,- -
44,Other Non-Current Assets,450000000,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,450000000,450898287,1522197000,1899598000,2038042000,1799723000,1653860000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,451270085,451169249,1737823000,2135158000,2196964000,2097665000,2057576000
48,Accounts Payable,- -,- -,18160000,24452000,45299000,31421000,165272000
49,Short-Term Debt,- -,- -,- -,- -,- -,84667000,- -
50,Tax Payable,- -,- -,- -,- -,- -,37798000,828000
51,Deferred Revenue,- -,- -,43884000,57339000,53769000,29707000,- -
52,Other Current Liabilities,617814,4069883,81540000,84028000,93407000,70703000,828000
53,Total Current Liabilities,617814,4069883,143584000,165819000,192475000,216498000,166100000
54,Long-Term Debt,- -,- -,899190000,989387000,1040658000,1173452000,1139319000
55,Deferred Revenue,- -,- -,- -,1994000,8225000,15790000,- -
56,Deferred Tax Liabilities,- -,- -,77081000,106033000,97941000,70323000,68898000
57,Other Non-Current Liabilities,15750000,15750000,18419000,32084000,48014000,53466000,52425000
58,Total Non-Current Liabilities,15750000,15750000,994690000,1129498000,1194838000,1313031000,1260642000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,10625000,2294000,8395000,9146000,- -
61,Total Liabilities,16367814,19819883,1138274000,1295317000,1387313000,1529529000,1426742000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,429903596,426350722,11803000,14161000,14215000,14871000,18518000
64,Retained Earnings,-258727,-3811632,-181542000,-162565000,-166922000,-429292000,-529696000
65,Other Comprehensive Income/Loss,- -,- -,-4000000,-4000000,-25000000,-30949000,-18671000
66,Other Total Stockholders Equity,5257402,8810276,773288000,992245000,987358000,1013506000,- -
67,Total Stockholders Equity,434902271,431349366,599549000,839841000,809651000,568136000,630834000
68,Total Liabilities And Stockholders Equity,451270085,451169249,1737823000,2135158000,2196964000,2097665000,2057576000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,451270085,451169249,1737823000,2135158000,2196964000,2097665000,2057576000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1692412/000169241218000007/0001692412-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1692412/000169241219000010/0001692412-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1692412/000169241220000008/0001692412-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1692412/000169241221000038/0001692412-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1692412/000169241222000042/0001692412-22-000042-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,9711000,-3552905,-241000,18977000,-4357000,-262370000,-89682000
74,Depreciation and Amortization,46098000,- -,53131000,73278000,101897000,92570000,81508000
75,Deferred Income Tax,-12555000,- -,1004000,3006000,-22947000,-11472000,-10017000
76,Stock Based Compensation,- -,- -,3765000,6116000,8845000,10158000,13163000
77,Change in Working Capital,1615000,-4451192,75840921,-2301000,-103294000,114997000,-212398000
78,Accounts Receivable,-10510000,- -,-3861000,-16471000,-8861000,44377000,-23223000
79,Inventory,-1437000,- -,-900000,-456000,-1218000,1132000,-4353000
80,Accounts Payable,18317000,- -,-10213000,15079000,4918000,-39866000,- -
81,Other Working Capital,652271,-3798921,72042000,69741000,-33553000,81444000,-130954000
82,Other Non-Cash Items,-14070000,6780397,-69308921,15354000,92044000,-43821000,247070000
83,Cash Provided by Operating Activities,30799000,-1223700,64191000,114430000,72188000,-99938000,29644000
84,CAPEX,-120111000,- -,-107233000,-113683000,-212539000,-37361000,-17334000
85,Acquisitions Net,- -,- -,- -,-93128000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,15557000,- -,-3599000,-111458000,-203816000,29412000,73400000
89,Cash Used for Investing Activites,-104147000,- -,-109829000,-204586000,-203816000,29412000,73400000
90,Debt Repayment,-18750000,- -,-862412000,-9850000,-10100000,-25472000,-34479000
91,Common Stock Issued,- -,- -,- -,- -,- -,19558000,- -
92,Common Stock Repurchased,- -,- -,- -,-314000,-13694000,-2554000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-3088000,250000,982116000,99444000,60000000,230923000,52152000
95,Cash Used/Provided by Financing Activities,- -,250000,119704000,89280000,36206000,222455000,17673000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3686000,-973700,74066000,-876000,-95422000,151929000,120717000
98,Cash at the End of Period,41843000,144046,117229000,116353000,20931000,172860000,293577000
99,Cash at the Beginning of Period,45529000,1117746,43163000,117229000,116353000,20931000,172860000
100,Free Cash Flow,-89312000,-1223700,-43042000,747000,-140351000,-137299000,12310000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1692412/000169241218000007/0001692412-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1692412/000169241219000010/0001692412-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1692412/000169241220000008/0001692412-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1692412/000169241221000038/0001692412-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1692412/000169241222000042/0001692412-22-000042-index.htm
102,false,,,,,,,
