,https://roic.ai/company/CNI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16868/000095010304000651/apr2904_40f.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16868/000095010309000227/0000950103-09-000227-index.html,https://www.sec.gov/Archives/edgar/data/16868/000095010310000290/0000950103-10-000290-index.html,- -,https://www.sec.gov/Archives/edgar/data/16868/000095010312000558/0000950103-12-000558-index.html,https://www.sec.gov/Archives/edgar/data/16868/000095010313000767/0000950103-13-000767-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/16868/000095010316010713/0000950103-16-010713-index.html,https://www.sec.gov/Archives/edgar/data/16868/000110465917005816/0001104659-17-005816-index.html,https://www.sec.gov/Archives/edgar/data/16868/000110465918005597/0001104659-18-005597-index.html,https://www.sec.gov/Archives/edgar/data/16868/000110465919005119/0001104659-19-005119-index.html,https://www.sec.gov/Archives/edgar/data/16868/000110465920009382/0001104659-20-009382-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,119000000,105951245,365339406,260034642,305940364,15000000,53000000,25000000,130000000,147000000,62000000,179000000,310000000,413000000,352000000,490000000,101000000,155000000,214000000,52000000,153000000,176000000,70000000,266000000,64000000,569000000,838000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,119000000,105951245,365339406,260034642,305940364,15000000,53000000,25000000,130000000,147000000,62000000,179000000,310000000,413000000,352000000,490000000,101000000,155000000,214000000,52000000,153000000,176000000,70000000,266000000,64000000,569000000,838000000
34,Net Receivables,564000000,798129495,681737928,395965332,802585490,726000000,645000000,722000000,529000000,793000000,623000000,692000000,370000000,913000000,797000000,775000000,820000000,831000000,815000000,928000000,878000000,875000000,984000000,1169000000,1213000000,1139000000,1074000000
35,Inventory,209000000,158035945,150113998,129940524,115380735,110000000,133000000,127000000,120000000,127000000,151000000,189000000,162000000,200000000,170000000,210000000,201000000,230000000,274000000,335000000,355000000,363000000,424000000,557000000,611000000,583000000,589000000
36,Other Current Assets,437000000,99097995,353318838,243907272,295926187,257000000,333000000,318000000,348000000,643000000,313000000,276000000,206000000,230000000,171000000,115000000,726000000,653000000,674000000,751000000,767000000,693000000,712000000,736000000,942000000,811000000,925000000
37,Total Current Assets,1329000000,1161214680,1550510170,1029847770,1519832776,1108000000,1164000000,1192000000,1127000000,1710000000,1149000000,1336000000,1048000000,1756000000,1490000000,1590000000,1848000000,1869000000,1977000000,2066000000,2153000000,2107000000,2190000000,2728000000,2830000000,3102000000,3426000000
38,PP&E,4650000000,4869919450,5127058456,6749995518,14666125049,15638000000,19145000000,19681000000,18305000000,19715000000,20078000000,21053000000,20413000000,23203000000,22630000000,22917000000,23917000000,24541000000,26227000000,28514000000,32624000000,33755000000,34189000000,37773000000,40189000000,40504000000,41623000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77000000,70000000,70000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,961000000,1615000000,1999000000,- -,58000000,699000000,261000000,57000000,59000000,62000000,71000000,67000000,62000000,73000000,152000000,145000000,139000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,940000000,961000000,1615000000,1999000000,1761000000,58000000,699000000,261000000,57000000,59000000,62000000,71000000,67000000,62000000,73000000,229000000,215000000,209000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,- -,- -,30000000,57000000,58000000,69000000,68000000,73000000,70000000,84000000,83000000,119000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,219000000,205871630,404549354,4079149452,295926187,568000000,914000000,865000000,905000000,- -,- -,- -,- -,- -,976000000,- -,- -,162000000,1843000000,1092000000,1485000000,1060000000,1115000000,570000000,452000000,900000000,3161000000
45,Total Non-Current Assets,4869000000,5075791080,5531607810,10829144970,14962051236,16206000000,20059000000,20546000000,19210000000,20655000000,21039000000,22668000000,22412000000,24964000000,23686000000,23616000000,24178000000,24790000000,28186000000,29726000000,34249000000,34950000000,35439000000,38486000000,40954000000,41702000000,45112000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6198000000,6237005760,7082117980,11858992740,16481884012,17314000000,21223000000,21738000000,20337000000,22365000000,22188000000,24004000000,23460000000,26720000000,25176000000,25206000000,26026000000,26659000000,30163000000,31792000000,36402000000,37057000000,37629000000,41214000000,43784000000,44804000000,48538000000
48,Accounts Payable,901000000,929163635,1067111614,1149036714,1377312170,- -,- -,- -,- -,- -,1484718650,1821190500,1274152450,413000000,309000000,383000000,445000000,386000000,408000000,464000000,391000000,484000000,738000000,982000000,866000000,780000000,903000000
49,Short-Term Debt,288000000,27001805,43073702,131937246,271834109,434000000,163000000,574000000,483000000,578000000,408000000,218000000,254000000,1892000000,88000000,558000000,135000000,577000000,1021000000,544000000,1442000000,1489000000,2080000000,1184000000,2052000000,1017000000,616000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,170000000,130000000,294000000,96000000,208000000,254000000,122000000,201000000,205000000,202000000,223000000,309000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,115000000,74000000
52,Other Current Liabilities,414000000,381040700,96021442,88316550,120460390,1471000000,1506000000,1560000000,1439000000,1681000000,65281350,74809500,61847550,-413000000,840000000,965000000,1135000000,1240000000,1069000000,1193000000,1165000000,1035000000,1165000000,1334000000,1319000000,1362000000,1527000000
53,Total Current Liabilities,1603000000,1337206140,1206206758,1369290510,1769606669,1905000000,1669000000,2134000000,1922000000,2259000000,1958000000,2114000000,1590000000,1892000000,1237000000,1906000000,1715000000,2203000000,2498000000,2201000000,2998000000,3008000000,3983000000,3500000000,4287000000,3274000000,3120000000
54,Long-Term Debt,1313000000,1499216970,1641666144,3963953952,3960534437,3886000000,5764000000,5003000000,4175000000,4586000000,4677000000,5386000000,5363000000,7405000000,6391000000,5531000000,6441000000,6323000000,6819000000,7865000000,8985000000,9448000000,8748000000,11385000000,12245000000,12307000000,12299000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,390000000,254000000,- -,- -,- -,- -,- -,- -,- -,- -,161000000,85000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,324390528,2984369879,3375000000,4591000000,4826000000,4550000000,4723000000,4817000000,5215000000,4908000000,5511000000,5119000000,5152000000,5333000000,5555000000,6537000000,6902000000,8105000000,8473000000,6953000000,7480000000,7844000000,8271000000,9303000000
57,Other Non-Current Liabilities,976000000,1020174795,813821074,1195575696,1290958035,1550000000,1711000000,1406000000,1258000000,1513000000,1487000000,1465000000,1422000000,1353000000,806000000,1079000000,1857000000,1560000000,1356000000,1354000000,1364000000,1287000000,1289000000,1208000000,1206000000,1216000000,1072000000
58,Total Non-Current Liabilities,2289000000,2519391765,2455487218,5483920176,8235862351,8811000000,12066000000,11235000000,9983000000,10822000000,10981000000,12066000000,11693000000,14269000000,12706000000,12016000000,13631000000,13438000000,14712000000,16121000000,18454000000,19208000000,16990000000,20073000000,21456000000,21879000000,22674000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,501000000,418000000,430000000
61,Total Liabilities,3892000000,3856597905,3661693976,6853210686,10005469020,10716000000,13735000000,13369000000,11905000000,13081000000,12939000000,14180000000,13283000000,16161000000,13943000000,13922000000,15346000000,15641000000,17210000000,18322000000,21452000000,22216000000,20973000000,23573000000,25743000000,25153000000,25794000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,4349000000,4442000000,4785000000,4664000000,4706000000,4580000000,4459000000,4283000000,- -,- -,- -,- -,4108000000,4015000000,3718000000,3705000000,3730000000,3780000000,3634000000,3650000000,3698000000,3704000000
64,Retained Earnings,104000000,178047435,1212217042,890998794,1535797406,2098000000,2988000000,3487000000,3897000000,4726000000,4891000000,5409000000,5925000000,6535000000,7915000000,8741000000,9378000000,10167000000,10788000000,11740000000,12637000000,13242000000,15586000000,16623000000,17634000000,19161000000,20741000000
65,Other Comprehensive Income/Loss,-5415000000,-5334843930,-5205192148,-7714105056,-7913957357,- -,- -,97000000,-129000000,-148000000,-222000000,-44000000,-31000000,-155000000,-948000000,-1709000000,-2839000000,-3257000000,-1850000000,-2427000000,-1767000000,-2358000000,-2784000000,-2849000000,-3483000000,-3472000000,-1995000000
66,Other Total Stockholders Equity,7617000000,7537204350,7413399110,11828888316,12854574943,151000000,58000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,439000000,375000000,227000000,74000000,233000000,240000000,264000000,- -
67,Total Stockholders Equity,2306000000,2380407855,3420424004,5005782054,6476414992,6598000000,7488000000,8369000000,8432000000,9284000000,9249000000,9824000000,10177000000,10559000000,11233000000,11284000000,10680000000,11018000000,12953000000,13470000000,14950000000,14841000000,16656000000,17641000000,18041000000,19651000000,22744000000
68,Total Liabilities And Stockholders Equity,6198000000,6237005760,7082117980,11858992740,16481884012,17314000000,21223000000,21738000000,20337000000,22365000000,22188000000,24004000000,23460000000,26720000000,25176000000,25206000000,26026000000,26659000000,30163000000,31792000000,36402000000,37057000000,37629000000,41214000000,43784000000,44804000000,48538000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6198000000,6237005760,7082117980,11858992740,16481884012,17314000000,21223000000,21738000000,20337000000,22365000000,22188000000,24004000000,23460000000,26720000000,25176000000,25206000000,26026000000,26659000000,30163000000,31792000000,36402000000,37057000000,37629000000,41214000000,43784000000,44804000000,48538000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16868/000095010304000651/apr2904_40f.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16868/000095010309000227/0000950103-09-000227-index.html,https://www.sec.gov/Archives/edgar/data/16868/000095010310000290/0000950103-10-000290-index.html,- -,https://www.sec.gov/Archives/edgar/data/16868/000095010312000558/0000950103-12-000558-index.html,https://www.sec.gov/Archives/edgar/data/16868/000095010313000767/0000950103-13-000767-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/16868/000095010316010713/0000950103-16-010713-index.html,https://www.sec.gov/Archives/edgar/data/16868/000110465917005816/0001104659-17-005816-index.html,https://www.sec.gov/Archives/edgar/data/16868/000110465918005597/0001104659-18-005597-index.html,https://www.sec.gov/Archives/edgar/data/16868/000110465919005119/0001104659-19-005119-index.html,https://www.sec.gov/Archives/edgar/data/16868/000110465920009382/0001104659-20-009382-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1085000000,141999340,403404538,263874492,753385403,937000000,1040000000,800000000,1014000000,1258000000,1556000000,2087000000,2158000000,1895000000,1854000000,2104000000,2457000000,2680000000,2612000000,3167000000,3538000000,3640000000,5484000000,4328000000,4216000000,3562000000,4892000000
74,Depreciation and Amortization,-234000000,-196140015,-202203126,-316557234,-497515924,533000000,538000000,591000000,560000000,602000000,630000000,653000000,678000000,725000000,790000000,834000000,884000000,924000000,980000000,1050000000,1158000000,1225000000,1281000000,1329000000,1562000000,1589000000,1598000000
75,Deferred Income Tax,- -,- -,315253706,55601028,418273306,312000000,295000000,272000000,411000000,366000000,547000000,3000000,-82000000,230000000,138000000,418000000,531000000,451000000,331000000,416000000,600000000,704000000,-1195000000,527000000,569000000,487000000,511000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-476000000,-203652990,-209946866,151351192,-399306342,118000000,-6000000,-252000000,25000000,-197000000,-31000000,202000000,-65508950,-545000000,-56000000,-205000000,-8000000,66000000,-238000000,-105000000,-44000000,-35000000,143000000,182000000,-560000000,129000000,147000000
78,Accounts Receivable,-61000000,7264445,5008570,264949650,-157469305,71000000,197941200,-80000000,153777750,-232441100,142514300,-17000000,229000000,-432000000,39000000,-3000000,-51000000,-20000000,32000000,-59000000,188000000,-3000000,-125000000,-91000000,-7000000,158000000,-22000000
79,Inventory,20000000,16036605,7011998,18892062,38169979,6000000,11000000,- -,-3000000,10000000,-25000000,-36000000,18000000,-23000000,32000000,-43000000,11000000,-30000000,-38000000,-51000000,4000000,-2000000,-70000000,-120000000,-60000000,20000000,-7000000
80,Accounts Payable,-135000000,50028725,19032566,64509480,63132855,21028140,-209000000,-154000000,-96000000,4792600,-156532100,196665300,-348393350,-127000000,-204000000,285000000,34000000,129000000,-245000000,- -,-282000000,-51000000,418000000,379000000,-498000000,- -,141000000
81,Other Working Capital,- -,- -,- -,- -,-27139871,- -,- -,-18000000,-29000000,21000000,-177050,58000000,38491050,- -,- -,-457000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,1929000000,824831570,336162830,1073100176,1007268479,-394000000,-246000000,201000000,-34000000,110000000,3000000,5000000,-271491050,-274000000,-447000000,-152000000,-888000000,-1061000000,-137000000,-147000000,-112000000,-332000000,-197000000,-448000000,136000000,398000000,-177000000
83,Cash Provided by Operating Activities,134000000,567037905,642671082,1227369654,1282104922,1506000000,1621000000,1612000000,1976000000,2139000000,2705000000,2950000000,2417000000,2031000000,2279000000,2999000000,2976000000,3060000000,3548000000,4381000000,5140000000,5202000000,5516000000,5918000000,5923000000,6165000000,6971000000
84,CAPEX,-326000000,-496038235,-577559672,-738172764,-939010510,-958000000,-1058000000,-938000000,-1043000000,-1072000000,-1185672250,-1298000000,-1387000000,-1424000000,-1402000000,-1586000000,-1625000000,-1731000000,-1973000000,-2297000000,-2706000000,-2695000000,-2673000000,-3531000000,-3865000000,-2863000000,-2891000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1531000000,- -,-84000000,-25000000,-50000000,-373000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-259000000,-8000000,-22000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,138000000,64968810,153119140,-2535222564,38169979,-981000000,-1115000000,-924000000,-1075000000,192000000,110672250,33000000,403000000,74000000,338000000,203000000,-104000000,310000000,121000000,121000000,-121000000,40000000,-65000000,127000000,-66000000,-75000000,40000000
89,Cash Used for Investing Activites,-188000000,-431069425,-424440532,-3273395328,-900840531,-981000000,-2173000000,-924000000,-1075000000,-2411000000,-1075000000,-1349000000,-895000000,-1400000000,-1437000000,-1383000000,-1729000000,-1421000000,-1852000000,-2176000000,-2827000000,-2655000000,-2738000000,-3404000000,-4190000000,-2946000000,-2873000000
90,Debt Repayment,-814000000,-294004425,-98024870,-2523242232,-1512721259,-1038000000,-3336000000,-3558000000,-4141000000,-7579000000,-2865000000,-3089000000,-3589000000,-3589000000,-2109000000,-184000000,-1083000000,-2001000000,-1413000000,-822000000,-752000000,-955000000,-841000000,-2393000000,-402000000,-1221000000,-861000000
91,Common Stock Issued,1033000000,- -,4006856,12901896,781396072,28000000,61000000,69000000,83000000,86000000,115000000,120000000,77000000,54000000,73000000,115000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-271000000,- -,- -,- -,- -,-529000000,- -,-203000000,-656000000,-273000000,-1418000000,-1483000000,-1584000000,-1021000000,- -,-913000000,-1420000000,-1400000000,-1400000000,-1505000000,-1842000000,-2052000000,-2071000000,-2038000000,-1733000000,-393000000,-1608000000
93,Dividends Paid,- -,-67984240,-78133692,-98300160,-118428528,-136000000,-150000000,-170000000,-191000000,-222000000,-275000000,-340000000,-418000000,-436000000,-474000000,-503000000,-585000000,-652000000,-724000000,-818000000,-996000000,-1159000000,-1239000000,-1333000000,-1544000000,-1634000000,-1740000000
94,Other Financing Activites,-30000000,212999010,213221980,4553447724,457459216,996000000,4165000000,3316000000,4300000000,8499000000,3003000000,3308000000,4171000000,4433000000,1626000000,- -,1438000000,2471000000,1881000000,775000000,1367000000,1627000000,1256000000,3456000000,1776000000,541000000,352000000
95,Cash Used/Provided by Financing Activities,-82000000,-148989655,41070274,1944807228,-392294499,-679000000,740000000,-546000000,-605000000,511000000,-1440000000,-1484000000,-1343000000,-559000000,-884000000,-1485000000,-1650000000,-1582000000,-1656000000,-2370000000,-2223000000,-2539000000,-2895000000,-2308000000,-1903000000,-2707000000,-3857000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47373600,31000000,-19000000,7000000,14000000,-3000000,19000000,3000000,11000000,15000000,-2000000,- -,-1000000,- -,- -
97,Net Change In Cash,-136000000,-12972420,258961418,-98099494,-11030108,-290000000,38000000,-28000000,105000000,17000000,-85000000,117000000,131000000,103000000,-61000000,138000000,-389000000,54000000,59000000,-162000000,101000000,23000000,-119000000,206000000,-171000000,512000000,241000000
98,Cash at the End of Period,119000000,106000000,365000000,263000000,305940364,15000000,53000000,25000000,130000000,147000000,62000000,179000000,310000000,413000000,352000000,490000000,101000000,155000000,214000000,52000000,153000000,176000000,553000000,759000000,588000000,1100000000,1341000000
99,Cash at the Beginning of Period,255000000,118972420,106038582,361099494,316970472,305000000,15000000,53000000,25000000,130000000,147000000,62000000,179000000,310000000,413000000,352000000,490000000,101000000,155000000,214000000,52000000,153000000,672000000,553000000,759000000,588000000,1100000000
100,Free Cash Flow,-192000000,70999670,65111410,489196890,343094412,548000000,563000000,674000000,933000000,1067000000,1519327750,1652000000,1030000000,607000000,877000000,1413000000,1351000000,1329000000,1575000000,2084000000,2434000000,2507000000,2843000000,2387000000,2058000000,3302000000,4080000000
