,https://roic.ai/company/IPSI,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,161,158
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,51926,- -
61,Total Liabilities,- -,- -,- -,- -,1259732,5784310,4272340,1671120,4624,2992
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,5545,5620,8880,12890,19,37
64,Retained Earnings,- -,- -,-40000,-70000,-8757197,-13388190,-18455930,-22185030,- -,-42112
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,730150,487554,380907,- -,- -,- -
66,Other Total Stockholders Equity,- -,23880,71499,74265,8284522,8494501,14857778,21579021,-4430832,45771
67,Total Stockholders Equity,- -,23880,31499,4265,263020,-4400515,-3208365,-593119,-4430813,3696
68,Total Liabilities And Stockholders Equity,- -,20000,30000,- -,1522752,1383795,1063975,1078001,-4426189,6688
69,Minority Interest,- -,10000,- -,- -,- -,5,-5,-1,4426382,35
70,Total Liabilities & Equity,- -,30000,30000,- -,1522752,1383800,1063970,1078000,193,6723
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1591913/000139390514000677/0001393905-14-000677-index.html,https://www.sec.gov/Archives/edgar/data/1591913/000139390515000653/0001393905-15-000653-index.html,- -,https://www.sec.gov/Archives/edgar/data/1591913/000161577418002695/0001615774-18-002695-index.htm,https://www.sec.gov/Archives/edgar/data/1591913/000161577419005533/0001615774-19-005533-index.htm,https://www.sec.gov/Archives/edgar/data/1591913/000121390020012061/0001213900-20-012061-index.htm,https://www.sec.gov/Archives/edgar/data/1591913/000121390021019152/0001213900-21-019152-index.htm,https://www.sec.gov/Archives/edgar/data/1591913/000121390022016727/0001213900-22-016727-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,- -,-42380,-27230,-4731049,-4630990,-5067730,-3729110,- -,-14
74,Depreciation and Amortization,- -,- -,- -,- -,105319,65827,100179,- -,47315,0
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,144000,- -,131781,- -,590128,7
77,Change in Working Capital,- -,- -,- -,-30000,-1746816,-4546608,1163920,1919180,1608716,7065
78,Accounts Receivable,- -,- -,- -,- -,162132,25361,-863,- -,- -,- -
79,Inventory,- -,- -,- -,- -,45742,-228939,28465,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,102745,249815,151054,- -
81,Other Working Capital,- -,30000,30000,- -,-149572,-4696180,-3532260,-1613080,-4364,2701
82,Other Non-Cash Items,- -,- -,-738,29613,4299093,7204190,1937530,1035074,-3502438,-7057
83,Cash Provided by Operating Activities,- -,- -,-43118,-27617,-1929453,-1907581,-1734320,-774856,-1256279,- -
84,CAPEX,- -,- -,- -,- -,-453,-17538,-291,- -,-50000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-1547,- -,- -,- -,- -,-1
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2000,-17538,-291,- -,-50000,-1
90,Debt Repayment,- -,- -,- -,- -,- -,-235000,-394226,-138000,-807664,- -
91,Common Stock Issued,- -,- -,50000,- -,375000,- -,- -,65000,33000,- -
92,Common Stock Repurchased,- -,30000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,447000,2237169,2289358,1123888,2172667,9
95,Cash Used/Provided by Financing Activities,- -,30000,50000,- -,822000,2002169,1895132,1050888,1398003,9
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,323580,-104308,-108255,-344347,- -,- -
97,Net Change In Cash,- -,30000,6882,-27617,-785873,-27258,52266,-68315,91724,-94698
98,Cash at the End of Period,- -,30000,31882,4265,46286,19028,71294,2979,94703,5
99,Cash at the Beginning of Period,- -,- -,25000,31882,832159,46286,19028,71294,2979,94703
100,Free Cash Flow,- -,- -,-43118,-27617,-1929906,-1925119,-1734611,-774856,-1306279,- -
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1591913/000139390514000677/0001393905-14-000677-index.html,https://www.sec.gov/Archives/edgar/data/1591913/000139390515000653/0001393905-15-000653-index.html,- -,https://www.sec.gov/Archives/edgar/data/1591913/000161577418002695/0001615774-18-002695-index.htm,https://www.sec.gov/Archives/edgar/data/1591913/000161577419005533/0001615774-19-005533-index.htm,https://www.sec.gov/Archives/edgar/data/1591913/000121390020012061/0001213900-20-012061-index.htm,https://www.sec.gov/Archives/edgar/data/1591913/000121390021019152/0001213900-21-019152-index.htm,https://www.sec.gov/Archives/edgar/data/1591913/000121390022016727/0001213900-22-016727-index.htm
102,false,,,,,,,,,,
