,https://roic.ai/company/IIPR,2014,2015,2016,2017,2018,2019,2020,2021
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,63327000,80028000,281466000,745857000,1768081000,2084602000
48,Accounts Payable,- -,- -,70000,1082000,4401000,28385000,41141000,53992000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,2542000,4158000,9014000,- -,- -,52805000
52,Other Current Liabilities,- -,- -,-2542000,-2960000,-5255000,12975000,30065000,38847000
53,Total Current Liabilities,- -,- -,70000,2280000,8160000,41360000,71206000,145644000
54,Long-Term Debt,- -,- -,- -,- -,- -,134654000,136693000,326092000
55,Deferred Revenue,- -,- -,2542000,4158000,9014000,20631000,34153000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,276000,41000,- -,1202000,1057000,1167000
58,Total Non-Current Liabilities,- -,- -,2818000,4199000,9014000,156487000,171903000,327259000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,1202000,1057000,- -
61,Total Liabilities,- -,- -,2888000,6479000,17174000,197847000,243109000,472903000
62,Preferred Stock,- -,- -,- -,14009000,14009000,14009000,14009000,14009000
63,Common Stock,- -,- -,3000,4000,10000,13000,24000,26000
64,Retained Earnings,- -,- -,-4392000,-4464000,- -,- -,- -,-75218000
65,Other Comprehensive Income/Loss,- -,- -,-27000,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,64855000,64000000,250273000,533988000,1510939000,1672882000
67,Total Stockholders Equity,- -,- -,60439000,73549000,264292000,548010000,1524972000,1611699000
68,Total Liabilities And Stockholders Equity,- -,- -,63327000,80028000,281466000,745857000,1768081000,2084602000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,63327000,80028000,281466000,745857000,1768081000,2084602000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1677576/000114420417016274/0001144204-17-016274-index.htm,https://www.sec.gov/Archives/edgar/data/1677576/000114420418017926/0001144204-18-017926-index.html,https://www.sec.gov/Archives/edgar/data/1677576/000114420419013981/0001144204-19-013981-index.html,https://www.sec.gov/Archives/edgar/data/1677576/000110465920027821/0001104659-20-027821-index.html,https://www.sec.gov/Archives/edgar/data/1677576/000155837021001890/0001558370-21-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1677576/000155837022001947/0001558370-22-001947-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,- -,-4392000,-72000,6985000,23475000,65730000,113990000
74,Depreciation and Amortization,- -,- -,27000,915000,2629000,8599000,28025000,41776000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,58000,1719000,1465000,2495000,3330000,8616000
77,Change in Working Capital,- -,- -,2293000,-23249000,115373000,-49377000,-21156000,18067000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,3102000
81,Other Working Capital,- -,- -,33209000,9960000,125333000,75956000,54800000,18652000
82,Other Non-Cash Items,- -,- -,3707000,25702000,-110759000,59742000,34885000,6298000
83,Cash Provided by Operating Activities,- -,- -,1693000,5015000,15693000,44934000,110814000,188747000
84,CAPEX,- -,- -,-30032000,-32734000,-57474000,-259889000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-650000,-200000,- -
86,Purchases of Investments,- -,- -,- -,- -,-184988000,-255664000,-1077867000,-569772000
87,Sales/Maturities of Investments,- -,- -,- -,- -,65500000,260250000,580978000,864498000
88,Other Investing Activites,- -,- -,- -,-38645000,-79767000,-344566000,-530026000,-678819000
89,Cash Used for Investing Activites,- -,- -,-30032000,-38645000,-199255000,-340630000,-1027115000,-384093000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-2166000,- -
91,Common Stock Issued,- -,- -,61343000,- -,193223000,286292000,1003973000,- -
92,Common Stock Repurchased,- -,- -,-1000,-276000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-1050000,-7979000,-23936000,-76816000,-132306000
94,Other Financing Activites,- -,- -,- -,13711000,-390000,137606000,- -,288065000
95,Cash Used/Provided by Financing Activities,- -,- -,61342000,12385000,184854000,399962000,924991000,155759000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-21245000,1292000,104266000,8690000,-39587000
98,Cash at the End of Period,- -,- -,33003000,11758000,13050000,117316000,126006000,86419000
99,Cash at the Beginning of Period,- -,- -,- -,33003000,11758000,13050000,117316000,126006000
100,Free Cash Flow,- -,- -,-28339000,-896000,15693000,44934000,110814000,188747000
101,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1677576/000114420417016274/0001144204-17-016274-index.htm,https://www.sec.gov/Archives/edgar/data/1677576/000114420418017926/0001144204-18-017926-index.html,https://www.sec.gov/Archives/edgar/data/1677576/000114420419013981/0001144204-19-013981-index.html,https://www.sec.gov/Archives/edgar/data/1677576/000110465920027821/0001104659-20-027821-index.html,https://www.sec.gov/Archives/edgar/data/1677576/000155837021001890/0001558370-21-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1677576/000155837022001947/0001558370-22-001947-index.htm
102,false,,,,,,,,
