,https://roic.ai/company/TDUP,2018,2019,2020,2021
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,1000,8000,10000
64,Retained Earnings,- -,-203725000,-252167000,-315343000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1094000
66,Other Total Stockholders Equity,- -,20483000,277829000,522161000
67,Total Stockholders Equity,- -,-183241000,25670000,205734000
68,Total Liabilities And Stockholders Equity,- -,122559000,142911000,360826000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,122559000,142911000,360826000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1484778/000148477822000044/0001484778-22-000044-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-34181000,-38197000,-47877000,-63176000
74,Depreciation and Amortization,4171000,4274000,5581000,9155000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,2319000,7678000,7336000,12959000
77,Change in Working Capital,4868000,51281000,-38682000,126405000
78,Accounts Receivable,84000,-638000,229000,-1189000
79,Inventory,-153000,2290000,374000,-2741000
80,Accounts Payable,2701000,-426000,7876000,5943000
81,Other Working Capital,-4000,51277000,12595000,139000000
82,Other Non-Cash Items,333000,-35126000,54537000,-120362000
83,Cash Provided by Operating Activities,-22490000,-10090000,-19105000,-35019000
84,CAPEX,-13926000,-9504000,-19424000,-19828000
85,Acquisitions Net,- -,- -,- -,-23581000
86,Purchases of Investments,-35090000,- -,- -,-125217000
87,Sales/Maturities of Investments,27000000,8250000,- -,2800000
88,Other Investing Activites,- -,- -,- -,-3750000
89,Cash Used for Investing Activites,-22016000,-1254000,-19424000,-169576000
90,Debt Repayment,-3084000,-11801000,-1190000,-4000000
91,Common Stock Issued,3120000,- -,- -,226905000
92,Common Stock Repurchased,-3305000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,42239000,102983000,19405000,6055000
95,Cash Used/Provided by Financing Activities,38970000,91182000,18215000,228960000
96,Effect of Forex Changes on Cash,- -,- -,- -,-64000
97,Net Change In Cash,-5536000,79838000,-20314000,24301000
98,Cash at the End of Period,8015000,87853000,67539000,91840000
99,Cash at the Beginning of Period,13551000,8015000,87853000,67539000
100,Free Cash Flow,-36416000,-19594000,-38529000,-54847000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1484778/000148477822000044/0001484778-22-000044-index.htm
102,false,,,,
