,https://roic.ai/company/SOBR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.4321,-0.8776,-185.5125,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),1231,-200,-3500,-3642,-544455,-673605,21418,-242601,-249309,-203089,-329217,-263172,-464864,-29982289090400,-2315144
20,Income Before Tax,-92136,-172602,-77705,-70327,-1182243,-3560921,-763207,-748929,-696746,-599232,-642311,-562123,-1252157,-29982292000000,-7870378
21,Income Before Tax Ratio,-0.4264,-0.8786,-194.2625,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-92136,-172602,-77705,-70327,-1101401,-3553306,-758416,-744562,-691734,-595130,-639085,-558965,-1249032,-29982292000000,-7870272
24,Net Income ratio,-0.4264,-0.8786,-194.2625,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-2.99,-5.65,-2.00,-1.66,3.33,-4.32,-0.67,-0.67,-0.33,-0.33,-0.23,-0.17,-0.23,-1.95,-0.30
26,EPS Diluted,-2.99,-5.65,-2.00,-1.66,3.33,-4.32,-0.67,-0.67,-0.33,-0.33,-0.23,-0.17,-0.23,-1.95,-0.30
27,Weighted Average Shares Outstanding,29845,30941,40371,42146,341082,850119,978364,1179065,1781744,2024065,2941162,3443828,5081097,15399208,25978390
28,Weighted Average Shares Outstanding Diluted,29845,30941,40371,42146,341082,850119,978364,1179065,1781744,2024065,2941162,3443828,5081097,15399208,25978390
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1425627/000147793213002245/0001477932-13-002245-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793214001800/0001477932-14-001800-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793215002495/0001477932-15-002495-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793216009693/0001477932-16-009693-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793217001798/0001477932-17-001798-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1425627/000147793219004605/0001477932-19-004605-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793220002035/0001477932-20-002035-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793221001930/0001477932-21-001930-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793222001338/0001477932-22-001338-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,31287,68,94,83,108019,782,- -,623,7851,14305,142,89,681759,232842,882268
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,31287,68,94,83,108019,782,- -,623,7851,14305,142,89,681759,232842,882268
34,Net Receivables,35625,11469,- -,- -,100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39461
36,Other Current Assets,- -,- -,- -,- -,192,- -,- -,- -,- -,- -,3006,12991,9054,115230,12553
37,Total Current Assets,66912,11537,94,83,108311,782,- -,623,7851,14305,3148,13080,690813,348072,934282
38,PP&E,508,- -,- -,- -,1132,1496,1230,454,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3244357
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3244357
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,400,400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3638501,30576
45,Total Non-Current Assets,908,400,- -,- -,1132,1496,1230,454,- -,- -,- -,- -,- -,3638501,3274933
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,67820,11937,94,83,109443,2278,1230,1077,7851,14305,3148,13080,690813,3986573,4209215
48,Accounts Payable,73169,18150,88579,101555,207660,298994,421597,484260,622129,349849,270851,191714,213880,101308,270150
49,Short-Term Debt,- -,- -,- -,- -,- -,650101,612342,871694,646419,790596,794149,861424,930460,11810,1872892
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110590
51,Deferred Revenue,- -,- -,- -,17300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2810,142048,72981,83022,841125,1085586,1447383,1696619,893828,1885740,1902285,2383373,3139594,833971,1838893
53,Total Current Liabilities,75979,160198,161560,201877,1048785,2034681,2481322,3052573,2162376,3026185,2967285,3436511,4283934,947089,3981935
54,Long-Term Debt,- -,- -,- -,- -,549263,- -,- -,- -,- -,- -,- -,- -,- -,- -,710873
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,363888,167007,43298,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,549263,363888,167007,43298,- -,- -,- -,- -,- -,- -,710873
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,75979,160198,161560,201877,1598048,2398569,2648329,3095871,2162376,3026185,2967285,3436511,4283934,947089,4692808
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14,14,- -,- -,- -
63,Common Stock,10,11,14,14,254,303,342,585,602,677,1096,1172,2146,253688,263
64,Retained Earnings,-368449,-541051,-618756,-689084,-10720938,-14274244,-15032660,-15777222,-16468956,-17064086,-17703171,-18262136,-19511168,- -,-57471492
65,Other Comprehensive Income/Loss,-2905,-3413,- -,- -,-74743,-41676,-42453,-43229,-43683,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,363185,396192,457276,487276,9341702,11944955,12458092,12759859,14397311,14095430,14785051,14887804,15969311,2839326,- -
67,Total Stockholders Equity,-8159,-148261,-161466,-201794,-1453725,-2370662,-2616679,-3060007,-2114726,-2967979,-2917010,-3373146,-3539711,3093014,-429957
68,Total Liabilities And Stockholders Equity,67820,11937,94,83,144323,27907,31650,35864,47650,58206,50275,63365,744223,4040103,4262851
69,Minority Interest,- -,- -,- -,- -,-34880,-25629,-30420,-34787,-39799,-43901,-47127,-50285,-53410,-53530,-53636
70,Total Liabilities & Equity,67820,11937,94,83,109443,2278,1230,1077,7851,14305,3148,13080,690813,3986573,4209215
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1425627/000147793213002245/0001477932-13-002245-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793214001800/0001477932-14-001800-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793215002495/0001477932-15-002495-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793216009693/0001477932-16-009693-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793217001798/0001477932-17-001798-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1425627/000147793219004605/0001477932-19-004605-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793220002035/0001477932-20-002035-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793221001930/0001477932-21-001930-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793222001338/0001477932-22-001338-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-92136,-172602,-77705,-70327,-1101401,-3553306,-758416,-744562,-691734,-595130,-639085,-558965,-1249032,-29982292000000,-7870272
74,Depreciation and Amortization,818,507,- -,- -,911,606,777,776,454,- -,- -,- -,- -,232194,385464
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,7500,30000,- -,- -,- -,- -,69888,- -,34750,6290,20808,44082,54283,473748
77,Change in Working Capital,1154,-139594,-12805,-40328,-738680,-1093425,-447423,-570628,897425,-857355,47743,-459294,-169690,2994104,472860
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39461
80,Accounts Payable,27564,47313,-8002,48075,- -,250709,369133,64730,221678,-272280,103113,-79137,22166,113158,168842
81,Other Working Capital,-9067,-148661,-161466,-201794,-940474,-2033899,-2481322,-3051950,-2154525,-3011880,-2964137,-3423431,-3593121,-599017,- -
82,Other Non-Cash Items,3130,214820,17286,92004,1405994,4239722,760347,933617,-326894,1286262,422495,936098,830684,29982286527886,2849898
83,Cash Provided by Operating Activities,-87034,-89369,-43224,-18651,-433176,-406403,-444715,-310909,-120749,-131473,-162557,-61353,-543956,-2191533,-3688302
84,CAPEX,- -,- -,- -,- -,- -,-970,- -,- -,- -,- -,- -,- -,- -,951,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,1250,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,280,511,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,-10000,-7700,- -,-11500,- -,-82000,-35734,- -,- -,- -,- -,- -,- -,-30000
91,Common Stock Issued,- -,25000,- -,- -,436000,132000,- -,- -,1502,- -,50200,- -,39000,29222955,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107880,- -
94,Other Financing Activites,- -,43150,50950,18640,86000,166886,525422,347266,126475,137927,98194,61300,1186626,-27589170,4367728
95,Cash Used/Provided by Financing Activities,- -,58150,43250,18640,510500,298886,443422,311532,127977,137927,148394,61300,1225626,1741665,4337728
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-87034,-31219,26,-11,77324,-107237,- -,- -,7228,6454,-14163,-53,681670,-448917,649426
98,Cash at the End of Period,31287,68,94,83,108019,782,- -,623,7851,14305,142,89,681759,232842,882268
99,Cash at the Beginning of Period,118321,31287,68,94,30695,108019,782,- -,623,7851,14305,142,89,681759,232842
100,Free Cash Flow,-87034,-89369,-43224,-18651,-433176,-407373,-444715,-310909,-120749,-131473,-162557,-61353,-543956,-2190582,-3688302
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1425627/000147793213002245/0001477932-13-002245-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793214001800/0001477932-14-001800-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793215002495/0001477932-15-002495-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793216009693/0001477932-16-009693-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793217001798/0001477932-17-001798-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1425627/000147793219004605/0001477932-19-004605-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793220002035/0001477932-20-002035-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793221001930/0001477932-21-001930-index.htm,https://www.sec.gov/Archives/edgar/data/1425627/000147793222001338/0001477932-22-001338-index.htm
102,false,,,,,,,,,,,,,,,
