,https://roic.ai/company/SILK,2017,2018,2019,2020,2021
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,43086000,40881000,137402000,179314000,156625000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1397702/000139770220000007/0001397702-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1397702/000139770221000021/0001397702-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1397702/000139770222000012/0001397702-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-19356000,-37629000,-52415000,-47365000,-49811000
74,Depreciation and Amortization,129000,517000,1294000,1391000,1919000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,535000,911000,2977000,7226000,14612000
77,Change in Working Capital,-5882000,-9594000,67734000,58215000,-6482000
78,Accounts Receivable,-4793000,-1003000,-2241000,-437000,-2769000
79,Inventory,-2408000,-2565000,-4696000,-2161000,-5563000
80,Accounts Payable,678000,-309000,615000,592000,-1159000
81,Other Working Capital,37418000,27824000,95558000,153773000,- -
82,Other Non-Cash Items,-678000,24100000,-49200000,-61535000,827000
83,Cash Provided by Operating Activities,-25252000,-21695000,-29610000,-42068000,-38935000
84,CAPEX,-443000,-2276000,-535000,-842000,-4758000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-69421000,-79906000,- -
87,Sales/Maturities of Investments,- -,- -,- -,71355000,77400000
88,Other Investing Activites,- -,6000,- -,- -,2000
89,Cash Used for Investing Activites,-443000,-2270000,-69956000,-9393000,72644000
90,Debt Repayment,- -,- -,- -,-40000000,- -
91,Common Stock Issued,338000,656000,111942000,75736000,6946000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,46818000,14768000,1815000,46010000,32000
95,Cash Used/Provided by Financing Activities,47156000,15424000,113757000,81746000,6978000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,21461000,-8541000,14191000,30285000,40687000
98,Cash at the End of Period,33841000,25300000,39491000,69776000,110463000
99,Cash at the Beginning of Period,12380000,33841000,25300000,39491000,69776000
100,Free Cash Flow,-25695000,-23971000,-30145000,-42910000,-43693000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1397702/000139770220000007/0001397702-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1397702/000139770221000021/0001397702-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1397702/000139770222000012/0001397702-22-000012-index.htm
102,false,,,,,
