,https://roic.ai/company/KANP,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1230058/000089262612000082/0000892626-12-000082-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262613000089/0000892626-13-000089-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262615000373/0000892626-15-000373-index.htm,https://www.sec.gov/Archives/edgar/data/1230058/000089262616000472/0000892626-16-000472-index.htm,https://www.sec.gov/Archives/edgar/data/1230058/000089262616000543/0000892626-16-000543-index.htm,https://www.sec.gov/Archives/edgar/data/1230058/000089262617000060/0000892626-17-000060-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262618000064/0000892626-18-000064-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262619000038/0000892626-19-000038-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262620000013/0000892626-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262621000007/0000892626-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1230058/000089262622000017/0000892626-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15848000,28995000,45744000,51677000,39600000,24100000,25800000,16900000,11700000,14400000,14300000,13100000,23608000,22112000,21049000,30565000,28745000,23183000,17715000,16997000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,15848000,28995000,45744000,51677000,39600000,24100000,25800000,16900000,11700000,14400000,14300000,13100000,23608000,22112000,21049000,30565000,28745000,23183000,17715000,16997000
34,Net Receivables,1959000,777000,445000,4735000,100000,100000,- -,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000,- -,- -,- -,- -,- -,- -,902000,- -
37,Total Current Assets,17807000,29772000,46189000,56412000,- -,- -,- -,- -,- -,- -,- -,13121000,23608000,22112000,21049000,30565000,28745000,23183000,18617000,16997000
38,PP&E,142832000,104926000,104036000,92322000,105200000,118500000,98400000,100000000,98000000,96400000,95500000,90800000,77977000,75214000,71170000,64283000,61758000,62198000,62660000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,10000000,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,28600000,30900000,18600000,23300000,19400000,18300000,18900000,21600000,19643000,19402000,17558000,11007000,10162000,9643000,- -,9927000
44,Other Non-Current Assets,28987000,54775000,29176000,39141000,29200000,33300000,9100000,23000000,23000000,15500000,16200000,6079000,4895000,2649000,-590000,7053000,8241000,11134000,20871000,- -
45,Total Non-Current Assets,171819000,159701000,133212000,131463000,- -,- -,- -,- -,- -,- -,- -,118479000,102515000,97265000,88138000,82343000,80161000,82975000,83531000,9927000
46,Other Assets,- -,- -,- -,- -,185300000,186300000,150500000,155600000,144700000,132800000,126900000,- -,- -,- -,- -,- -,- -,- -,- -,100126000
47,Total Assets,189626000,189473000,179401000,187875000,185300000,186300000,150500000,155600000,144700000,132800000,126900000,131600000,126123000,119377000,109187000,112908000,108906000,106158000,102148000,107196000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,812000,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2298000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9643000,- -,- -
52,Other Current Liabilities,19345000,21813000,26767000,29548000,- -,- -,- -,- -,- -,- -,- -,1200000,2394000,- -,- -,- -,- -,- -,742000,- -
53,Total Current Liabilities,19345000,21813000,26767000,29548000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10455000,742000,- -
54,Long-Term Debt,11248000,8288000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1987000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,18275,- -,21612000,19643000,19402000,17558000,11007000,10162000,9643000,9101000,- -
57,Other Non-Current Liabilities,136538000,66241000,54616000,39267000,29100000,25100000,21700000,21900000,22300000,- -,17200000,- -,- -,- -,- -,- -,- -,- -,11799000,- -
58,Total Non-Current Liabilities,147786000,74529000,54616000,39267000,- -,- -,- -,- -,- -,18275,- -,21612000,19643000,19402000,17558000,11007000,10162000,9643000,22887000,- -
59,Other Liabilities,- -,- -,- -,- -,64700000,63300000,46900000,48900000,42600000,42218275,36700000,60612000,57715000,55941000,51396000,38057000,36408000,24941000,- -,26987000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,167131000,96342000,81383000,68815000,64700000,63300000,46900000,48900000,42600000,42200000,36700000,39000000,38072000,36539000,33838000,27050000,26246000,25753000,23629000,26987000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,17138000,87774000,92661000,113703000,115300000,116000000,112400000,107100000,103000000,96200000,95800000,93200000,91430000,87817000,71094000,81754000,78792000,75173000,71440000,71685000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-7500000,1650000,-14259000,-5893000,-6374000,-11147000,-11089000,-6069000,-8850000,-10450000,-1216000,-1367000,-1603000,-239000,946000,2298000
66,Other Total Stockholders Equity,5357000,5357000,5357000,5357000,12872000,15835000,- -,3486000,3313000,- -,- -,- -,- -,- -,4942000,4734000,4762000,11775000,6133000,6226000
67,Total Stockholders Equity,22495000,93131000,98018000,119060000,120672000,123035000,103565000,106686000,102113000,90537000,90177000,92593000,88051000,82838000,75349000,85858000,82660000,80405000,77857000,80209000
68,Total Liabilities And Stockholders Equity,189626000,189473000,179401000,187875000,185372000,186335000,150465000,155586000,144713000,132737000,126877000,131593000,126123000,119377000,109187000,112908000,108906000,106158000,101486000,107196000
69,Minority Interest,- -,- -,- -,- -,-72000,-35000,35000,14000,-13000,63000,23000,7000,- -,- -,- -,- -,- -,- -,662000,- -
70,Total Liabilities & Equity,189626000,189473000,179401000,187875000,185300000,186300000,150500000,155600000,144700000,132800000,126900000,131600000,126123000,119377000,109187000,112908000,108906000,106158000,102148000,107196000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1230058/000089262612000082/0000892626-12-000082-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262613000089/0000892626-13-000089-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262615000373/0000892626-15-000373-index.htm,https://www.sec.gov/Archives/edgar/data/1230058/000089262616000472/0000892626-16-000472-index.htm,https://www.sec.gov/Archives/edgar/data/1230058/000089262616000543/0000892626-16-000543-index.htm,https://www.sec.gov/Archives/edgar/data/1230058/000089262617000060/0000892626-17-000060-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262618000064/0000892626-18-000064-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262619000038/0000892626-19-000038-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262620000013/0000892626-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262621000007/0000892626-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1230058/000089262622000017/0000892626-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,140784000,70636000,4887000,21042000,1612000,1418000,-3642000,-5278000,-4092000,- -,- -,-2964000,-1517000,-3522000,-16651000,10710000,-2908000,-3627000,-3740000,-306000
74,Depreciation and Amortization,2994000,1164000,1136000,1040000,1050000,1280000,490000,280000,300000,280000,290000,230000,195000,200000,248000,200000,237000,201000,218000,269000
75,Deferred Income Tax,- -,- -,- -,3080000,450000,2240000,-2210000,-680000,-3570000,1940000,620000,-530000,-192000,783000,-7748000,-9440000,-762000,-1182000,-959000,350000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-24596000,9497000,11463000,7442000,-26864000,- -,- -,- -,- -,- -,- -,13121000,10487000,-1496000,-1063000,9516000,-1820000,-16017000,5147000,-878000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2532000
81,Other Working Capital,-1538000,7959000,19422000,26864000,- -,- -,- -,- -,- -,- -,- -,13121000,23608000,22112000,21049000,30565000,28745000,12728000,17875000,16997000
82,Other Non-Cash Items,-131123000,-93590000,-30550000,-16344000,28282000,-3168000,4602000,-1682000,182000,-3760000,-5640000,-10287000,2470000,2832000,24512000,-1145000,3685000,15788000,-6084000,-423000
83,Cash Provided by Operating Activities,-11941000,-12293000,-13064000,16260000,4530000,1770000,-760000,-7360000,-7180000,-1540000,-4730000,-430000,11443000,-1203000,-702000,9841000,-1568000,-4837000,-5418000,-988000
84,CAPEX,-178000,-1190000,-2053000,-3150000,-16590000,-17350000,-5520000,-1940000,-820000,-780000,-420000,-817000,-1011000,-426000,-423000,-562000,-474000,-641000,-680000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,10932000,26740000,32976000,- -,- -,- -,8006000,457000,2789000,5008000,5000000,- -,- -,115000,- -,- -,- -,- -,- -,-436000
89,Cash Used for Investing Activites,10754000,25550000,30923000,-3151000,-16587000,-17345000,2487000,-1484000,1971000,4230000,4576000,-698000,-1011000,-311000,-423000,-562000,-474000,-641000,-680000,-436000
90,Debt Repayment,-103000,-110000,-1110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166000,-260000,-153000,-82000,-97000,- -,-104000,- -
94,Other Financing Activites,-2850000,- -,- -,-7178000,- -,- -,- -,- -,- -,- -,- -,13140000,202000,278000,315000,362000,390000,418000,471000,644000
95,Cash Used/Provided by Financing Activities,-2953000,-110000,-1110000,-7178000,- -,- -,- -,- -,- -,- -,- -,- -,36000,18000,162000,280000,293000,418000,367000,644000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4140000,13147000,16749000,5930000,-12050000,-15570000,1730000,-8840000,-5210000,2690000,-150000,-1130000,10468000,-1496000,-963000,9559000,-1749000,-5060000,-5731000,-780000
98,Cash at the End of Period,15848000,28995000,45744000,34675000,-12050000,24030000,25830000,16960000,11690000,14390000,14250000,13170000,23568000,22112000,21149000,30608000,28816000,23685000,18617000,17837000
99,Cash at the Beginning of Period,19988000,15848000,28995000,28745000,- -,39600000,24100000,25800000,16900000,11700000,14400000,14300000,13100000,23608000,22112000,21049000,30565000,28745000,24348000,18617000
100,Free Cash Flow,-12119000,-13483000,-15117000,13110000,-12060000,-15580000,-6280000,-9300000,-8000000,-2320000,-5150000,-1250000,10432000,-1629000,-1125000,9279000,-2042000,-5478000,-6098000,-988000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1230058/000089262612000082/0000892626-12-000082-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262613000089/0000892626-13-000089-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262615000373/0000892626-15-000373-index.htm,https://www.sec.gov/Archives/edgar/data/1230058/000089262616000472/0000892626-16-000472-index.htm,https://www.sec.gov/Archives/edgar/data/1230058/000089262616000543/0000892626-16-000543-index.htm,https://www.sec.gov/Archives/edgar/data/1230058/000089262617000060/0000892626-17-000060-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262618000064/0000892626-18-000064-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262619000038/0000892626-19-000038-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262620000013/0000892626-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1230058/000089262621000007/0000892626-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1230058/000089262622000017/0000892626-22-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
