,https://roic.ai/company/BLUE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1293971/000119312514084683/0001193125-14-084683-index.htm,https://www.sec.gov/Archives/edgar/data/1293971/000156459015000948/blue-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1293971/000156459016013381/0001564590-16-013381-index.html,https://www.sec.gov/Archives/edgar/data/1293971/000156459017002015/0001564590-17-002015-index.html,https://www.sec.gov/Archives/edgar/data/1293971/000156459018002704/0001564590-18-002704-index.html,https://www.sec.gov/Archives/edgar/data/1293971/000156459019003694/0001564590-19-003694-index.html,https://www.sec.gov/Archives/edgar/data/1293971/000129397120000007/0001293971-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1293971/000129397121000013/0001293971-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1293971/000129397122000016/0001293971-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-15598000,-23670000,-25321000,-48709000,-166783000,-263507000,-335643000,-555625000,-789608000,-618695000,-819378000
74,Depreciation and Amortization,225000,301000,941000,4228000,7419000,9648000,13538000,17158000,17434000,19356000,19649000
75,Deferred Income Tax,- -,- -,- -,-11797000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,863000,822000,6491000,10763000,41120000,39756000,53282000,110836000,160629000,156631000,127915000
77,Change in Working Capital,1932000,36069000,113957000,259898000,46586000,166084000,577476000,45409000,46117000,-28850000,17985000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18447000
80,Accounts Payable,870000,380000,2067000,-2249000,2541000,6658000,526000,3614000,23600000,-20100000,9286000
81,Other Working Capital,27087000,63156000,177113000,437011000,483597000,649681000,1227157000,1272566000,-22413000,2420000,-5596000
82,Other Non-Cash Items,361000,-34566000,-52618000,-274076000,-26771000,-141628000,-589206000,-31204000,1044000,1207000,18190000
83,Cash Provided by Operating Activities,-12217000,-21044000,43450000,-59693000,-98429000,-189647000,-280553000,-413426000,-564384000,-470351000,-635639000
84,CAPEX,-403000,-867000,-8670000,-8708000,-7055000,-15995000,-62242000,-55737000,-76252000,-28986000,-23003000
85,Acquisitions Net,- -,- -,- -,-4673000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-5276000,- -,- -,-174981000,-755175000,-348225000,-686204000,-1517982000,-756570000,-1003525000,-451391000
87,Sales/Maturities of Investments,1750000,3506000,- -,30960000,199179000,443364000,431816000,894284000,1340629000,948166000,926651000
88,Other Investing Activites,-35000,-40000,-1153000,209000,-8816000,-16413000,627000,- -,-5224000,- -,101800000
89,Cash Used for Investing Activites,-3964000,2599000,-9823000,-157193000,-571867000,62731000,-316003000,-679435000,507807000,-84345000,562557000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-574000,-1017000,- -,- -,- -
91,Common Stock Issued,30000,21000,104921000,353226000,487173000,241896000,1039801000,703852000,- -,541536000,74975000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,32405000,59831000,720000,5226000,-453000,-362000,36947000,34857000,21187000,5179000,-168929000
95,Cash Used/Provided by Financing Activities,32435000,59852000,105641000,358452000,486720000,241534000,1076174000,737692000,21187000,546715000,-93954000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,16254000,41407000,139268000,141566000,-183576000,114618000,479618000,-355169000,-35390000,-7981000,-167036000
98,Cash at the End of Period,25604000,67011000,206279000,347845000,164269000,278887000,758505000,417099000,381709000,373728000,206692000
99,Cash at the Beginning of Period,9350000,25604000,67011000,206279000,347845000,164269000,278887000,772268000,417099000,381709000,373728000
100,Free Cash Flow,-12620000,-21911000,34780000,-68401000,-105484000,-205642000,-342795000,-469163000,-640636000,-499337000,-658642000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1293971/000119312514084683/0001193125-14-084683-index.htm,https://www.sec.gov/Archives/edgar/data/1293971/000156459015000948/blue-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1293971/000156459016013381/0001564590-16-013381-index.html,https://www.sec.gov/Archives/edgar/data/1293971/000156459017002015/0001564590-17-002015-index.html,https://www.sec.gov/Archives/edgar/data/1293971/000156459018002704/0001564590-18-002704-index.html,https://www.sec.gov/Archives/edgar/data/1293971/000156459019003694/0001564590-19-003694-index.html,https://www.sec.gov/Archives/edgar/data/1293971/000129397120000007/0001293971-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1293971/000129397121000013/0001293971-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1293971/000129397122000016/0001293971-22-000016-index.htm
102,false,,,,,,,,,,,
