,https://roic.ai/company/TDW,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,146700000,147000000,141800000,147100000,164300000,168200000,148200000,145000000,145000000,148600000,192500000,174800000,197100000,214900000,235900000,235200000,295700000,145454000,174537000,175609000,209886000,218141000,187473000,- -,102327000,91101000,71940000,68171000
11,COGS and Expenses,- -,466000000,478400000,529600000,596900000,697400000,705300000,508200000,534300000,537100000,518400000,608700000,606100000,652400000,736800000,868100000,925400000,928300000,929280000,940178000,1044542000,1189001000,1254218000,949726000,- -,435730000,525028000,460834000,446760000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5065000,3440000,3476000,2123000,1927000,2703000,- -,11294000,6598000,1228000,1605000
13,Interest Expense (Gain),- -,- -,1900000,2400000,6800000,-15900000,10100000,19200000,22300000,6400000,4100000,3500000,1800000,11900000,19600000,23500000,26000000,27400000,10769000,22308000,29745000,43814000,50029000,53752000,- -,30439000,29068000,24156000,15583000
14,Depreciation and Amortization,- -,83700000,86600000,82400000,82300000,91400000,94800000,82500000,79500000,78100000,83200000,98500000,99600000,107500000,116200000,120800000,126200000,130200000,140576000,138356000,147299000,167480000,175204000,182309000,- -,51332000,77045000,73030000,73223000
15,EBITDA,- -,129400000,155900000,195700000,305600000,504400000,381600000,207000000,229200000,289300000,215000000,156500000,201156000,442956000,586589000,569906000,643700000,425358000,299440000,271700000,372207000,384342000,158966000,96697000,- -,-71494000,-7906000,-100021000,-34288000
16,EBITDA ratio,- -,0.2478,0.2893,0.3042,0.3806,0.4758,0.3938,0.3601,0.3717,0.3968,0.3382,0.2398,0.2906,0.5047,0.5213,0.4487,0.4628,0.3640,0.2837,0.2546,0.2992,0.2678,0.1063,0.0988,- -,-0.1759,-0.0162,-0.2519,-0.0924
17,Operating Income,- -,56100000,60400000,113800000,206100000,362700000,263700000,66600000,82400000,191900000,117500000,43900000,86100000,225200000,388400000,402000000,465500000,240300000,139336000,113554000,206232000,201541000,-37181000,-69524000,- -,-107497000,-86604000,-186802000,-95016000
18,Operating Income ratio,- -,0.1075,0.1121,0.1769,0.2567,0.3421,0.2721,0.1159,0.1336,0.2632,0.1848,0.0673,0.1244,0.2566,0.3452,0.3165,0.3347,0.2056,0.1320,0.1064,0.1658,0.1404,-0.0249,-0.0710,- -,-0.2644,-0.1780,-0.4705,-0.2561
19,Total Other Income Expenses (Gains),- -,1600000,7000000,-2900000,10400000,-6200000,13000000,38700000,45000000,12900000,10200000,10600000,13700000,98300000,62400000,23600000,26000000,27400000,8759000,-2518000,-11069000,-28493000,-29245000,-70033000,- -,-46022000,-26891000,-10859000,-28769000
20,Income Before Tax,- -,57700000,67400000,110900000,216500000,356500000,276700000,105300000,127400000,204800000,127700000,54500000,99800000,323500000,450800000,425600000,491500000,267700000,148095000,111036000,195163000,173048000,-66426000,-139557000,- -,-153519000,-113495000,-197661000,-123785000
21,Income Before Tax Ratio,- -,0.1105,0.1251,0.1724,0.2696,0.3363,0.2856,0.1832,0.2066,0.2809,0.2008,0.0835,0.1442,0.3686,0.4006,0.3351,0.3534,0.2291,0.1403,0.1041,0.1569,0.1206,-0.0444,-0.1425,- -,-0.3776,-0.2333,-0.4978,-0.3336
22,Income Tax expense (Gain),- -,21500000,24800000,34700000,70500000,113400000,66000000,28700000,41300000,68600000,39100000,12800000,-1544000,87756000,94189000,76806000,84600000,8258000,42479000,23625000,44413000,32793000,-1077000,20819000,- -,18252000,27724000,-965000,5875000
23,Net Income,- -,24200000,42600000,76200000,146000000,315500000,210700000,76600000,86100000,136200000,88600000,41700000,101300000,235800000,356600000,348800000,406900000,259500000,105616000,87411000,150750000,140255000,-65190000,-160183000,- -,-171517000,-141743000,-196242000,-128969000
24,Net Income ratio,- -,0.0464,0.0791,0.1184,0.1818,0.2976,0.2174,0.1333,0.1396,0.1868,0.1394,0.0639,0.1463,0.2687,0.3169,0.2746,0.2926,0.2221,0.1001,0.0819,0.1212,0.0977,-0.0436,-0.1636,- -,-0.4219,-0.2913,-0.4943,-0.3476
25,EPS,- -,14.24,25.06,38.10,73.00,166.05,117.06,42.56,47.83,75.67,49.22,23.17,56.28,131.00,198.11,205.18,254.31,162.19,5.72,4.74,8.17,7.60,-3.53,-8.68,- -,-6.45,-3.71,-4.86,-3.14
26,EPS Diluted,- -,14.24,25.06,38.10,73.00,166.05,117.06,42.56,47.83,75.67,49.22,23.17,56.28,131.00,198.11,205.18,254.31,162.19,5.72,4.74,8.17,7.60,-3.53,-8.68,- -,-6.45,-3.71,-4.86,-3.14
27,Weighted Average Shares Outstanding,- -,1700000,1700000,2000000,2000000,1900000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1700000,1600000,1600000,18456186,18456186,18456186,18456186,18456186,18456186,26589883,26589883,38204934,40355000,41009000
28,Weighted Average Shares Outstanding Diluted,- -,1700000,1700000,2000000,2000000,1900000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1700000,1600000,1600000,18456186,18456186,18456186,18456186,18456186,18456186,26589883,26589883,38204934,40355000,41009000
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/98222/000095013494000502/0000950134-94-000502-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98222/000089924300001081/0000899243-00-001081-index.html,- -,https://www.sec.gov/Archives/edgar/data/98222/000102140802005737/0001021408-02-005737-index.html,https://www.sec.gov/Archives/edgar/data/98222/000119312503001391/d10k.htm,https://www.sec.gov/Archives/edgar/data/98222/000119312504066274/d10k.htm,https://www.sec.gov/Archives/edgar/data/98222/000119312505125175/d10k.htm,https://www.sec.gov/Archives/edgar/data/98222/000119312506121048/d10k.htm,https://www.sec.gov/Archives/edgar/data/98222/000119312507123360/0001193125-07-123360-index.html,https://www.sec.gov/Archives/edgar/data/98222/000119312508125425/0001193125-08-125425-index.html,https://www.sec.gov/Archives/edgar/data/98222/000119312509111537/0001193125-09-111537-index.html,https://www.sec.gov/Archives/edgar/data/98222/000119312510125172/0001193125-10-125172-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98222/000143774921010450/0001437749-21-010450-index.htm,https://www.sec.gov/Archives/edgar/data/98222/000143774922005725/0001437749-22-005725-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,106800000,14700000,28800000,41100000,25000000,10400000,226900000,95200000,11900000,17800000,17600000,15400000,246100000,393800000,270200000,250800000,223100000,245700000,320710000,40569000,60359000,78568000,678438000,432035000,371791000,218290000,149933000,149037000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8908000,18000,- -,- -,- -
33,Cash and Short-Term Investments,- -,106800000,14700000,28800000,41100000,25000000,10400000,226900000,95200000,11900000,17800000,17600000,15400000,246100000,393800000,270200000,250800000,223100000,245700000,320710000,40569000,60359000,78568000,678438000,440943000,371809000,218290000,149933000,149037000
34,Net Receivables,- -,140600000,145800000,144500000,187600000,258500000,238000000,149000000,160700000,182600000,160800000,165800000,169800000,237400000,286800000,308800000,328600000,311600000,272500000,309468000,393438000,681871000,723461000,566708000,344499000,244217000,236152000,174673000,156637000
35,Inventory,- -,34600000,36300000,31300000,36000000,31500000,28000000,25400000,28600000,28100000,31300000,37900000,39000000,41200000,44900000,46400000,48700000,44200000,50700000,53850000,62348000,57392000,49005000,33413000,28220000,29505000,21856000,15876000,12606000
36,Other Current Assets,- -,4400000,4400000,4300000,4000000,4100000,4500000,2400000,4100000,4000000,3600000,3300000,3800000,4300000,6000000,5200000,6400000,6700000,10200000,10072000,11735000,20587000,17781000,44755000,31522000,37771000,60998000,48167000,24392000
37,Total Current Assets,- -,286400000,201200000,208900000,268700000,319100000,280900000,403700000,288600000,226600000,213500000,224600000,228000000,529000000,731500000,630600000,634500000,585600000,579100000,694100000,508090000,820209000,868815000,1323314000,845184000,683302000,537296000,388649000,342672000
38,PP&E,- -,448200000,605900000,659800000,681100000,705600000,638200000,556000000,771700000,998400000,1165900000,1342500000,1452200000,1373700000,1482100000,1679000000,2013300000,2253800000,2701800000,2905765000,3189819000,3621608000,3746307000,3551291000,850935000,1089857000,938961000,780318000,688040000
39,Goodwill,- -,- -,25000000,23100000,21400000,356400000,347200000,338000000,328800000,328800000,328800000,328800000,328800000,328800000,328800000,328800000,328800000,328800000,328800000,297822000,297822000,283699000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,25000000,23100000,21400000,356400000,347200000,338000000,328800000,328800000,328800000,328800000,328800000,328800000,328800000,328800000,328800000,328800000,328800000,297822000,297822000,283699000,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,21800000,21500000,35900000,20600000,21800000,17300000,23300000,16500000,13700000,27400000,33700000,32100000,34300000,24400000,27400000,37200000,40600000,39000000,46077000,46047000,63928000,65844000,37502000,29216000,1039000,- -,- -,- -
43,Tax Assets,- -,45100000,49500000,76600000,95600000,158500000,128800000,145100000,155700000,173400000,199500000,212000000,184400000,175300000,179700000,189600000,201200000,211500000,216700000,64090000,73105000,34376000,19004000,33505000,- -,395000,- -,- -,- -
44,Other Non-Current Assets,- -,8400000,-900000,-26100000,-48400000,-68600000,-17900000,-33800000,-55800000,-71500000,-85500000,-59800000,-12300000,-76600000,-97200000,-103600000,-141200000,-126900000,-117300000,53764000,53172000,62009000,56192000,44935000,34260000,53146000,103271000,82210000,65068000
45,Total Non-Current Assets,- -,523500000,701000000,769300000,770300000,1173700000,1113600000,1028600000,1216900000,1442800000,1636100000,1857200000,1985200000,1835500000,1917800000,2121200000,2439300000,2707800000,3169000000,3367518000,3659965000,4065620000,3887347000,3667233000,914411000,1144437000,1042232000,862528000,753108000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,809900000,902200000,978200000,1039000000,1492800000,1394500000,1432300000,1505500000,1669400000,1849600000,2081800000,2213200000,2364500000,2649300000,2751800000,3073800000,3293400000,3748100000,4061618000,4168055000,4885829000,4756162000,4990547000,1759595000,1827739000,1579528000,1251177000,1095780000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75200000,93100000,104700000,41700000,45200000,74115000,63602000,74515000,54011000,49130000,38497000,31939000,27501000,16981000,20788000
49,Short-Term Debt,- -,47500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9512000,10181000,2052270000,5103000,8568000,9890000,27797000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23791000,38100000,56080000,56620000,45854000,10326000,13167000,18661000,23883000,18977000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,173422000,199543000,211982000,184410000,175267000,179687000,189605000,- -,211504000,216735000,- -,- -,13996000,25057000,23798000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,82800000,101500000,85700000,94700000,204200000,82300000,74800000,83600000,-99722000,-127243000,-139882000,-92210000,-59467000,-108187000,-83805000,98700000,-48504000,-78335000,164814000,203027000,303658000,392985000,333930000,176532000,117848000,148286000,138401000,137154000
53,Total Current Liabilities,- -,130300000,101500000,85700000,94700000,204200000,82300000,74800000,83600000,73700000,72300000,72100000,92200000,115800000,146700000,198900000,203400000,204700000,183600000,238929000,266629000,401681000,482234000,2459128000,220132000,158355000,185677000,183179000,157942000
54,Long-Term Debt,- -,- -,100000000,- -,- -,25000000,- -,- -,- -,54000000,139000000,325000000,380000000,300000000,319700000,300000000,300000000,275000000,700000000,950000000,1000000000,1505358000,1524295000,- -,443057000,430436000,279044000,164934000,167885000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39568000,39568000,85316000,136238000,112721000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216735000,214627000,189763000,108929000,23276000,34841000,- -,1913000,2571000,- -,- -
57,Other Non-Current Liabilities,- -,122600000,120500000,153800000,174600000,264900000,244500000,243300000,243600000,255900000,286900000,318600000,298300000,289600000,296900000,322800000,325700000,349600000,133865000,92137000,110339000,99174000,109404000,78303000,74462000,92112000,95826000,79792000,68184000
58,Total Non-Current Liabilities,- -,122600000,220500000,153800000,174600000,289900000,244500000,243300000,243600000,309900000,425900000,643600000,678300000,589600000,616600000,622800000,625700000,624600000,1050600000,1296332000,1339670000,1798777000,1793213000,225865000,517519000,524461000,377441000,244726000,236069000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,252900000,322000000,239500000,269300000,494100000,326800000,318100000,327200000,383600000,498200000,715700000,770500000,705400000,763300000,821700000,829100000,829300000,1234200000,1535261000,1606299000,2200458000,2275447000,2684993000,737651000,682816000,563118000,427905000,394011000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,5300000,5300000,6200000,6000000,5900000,6100000,6100000,6100000,6100000,6100000,6100000,6100000,6000000,5700000,5200000,5200000,5200000,5200000,5125000,4949000,4973000,4703000,4707000,22000,37000,40000,41000,41000
64,Retained Earnings,- -,231000000,252400000,322700000,433300000,712500000,888800000,932000000,984700000,1087200000,1141900000,1149600000,1216600000,1417800000,1740600000,1893000000,2194800000,2402600000,2436700000,2437836000,2453973000,2544255000,2330223000,2135075000,-39266000,-210783000,-352526000,-548931000,-677900000
65,Other Comprehensive Income/Loss,- -,-22000000,-24600000,-23600000,-22200000,-29600000,-27600000,-24400000,-24200000,-26400000,-27200000,-34200000,-46400000,-69800000,-79600000,-70400000,-20000000,-17000000,-18000000,-19330000,-17141000,-12225000,-20378000,-6866000,-147000,2194000,-236000,-804000,2668000
66,Other Total Stockholders Equity,- -,342700000,347100000,433500000,352600000,310000000,200400000,200500000,211700000,218900000,230600000,244600000,266400000,305100000,219300000,102300000,64700000,73200000,90000000,102726000,119975000,142381000,159940000,166604000,1059120000,1352388000,1367521000,1371809000,- -
67,Total Stockholders Equity,- -,557000000,580200000,738800000,769700000,998800000,1067700000,1114200000,1178300000,1285800000,1351400000,1366100000,1442700000,1659100000,1886000000,1930100000,2244700000,2464000000,2513900000,2526357000,2561756000,2679384000,2474488000,2299520000,1019729000,1143836000,1014799000,822115000,701303000
68,Total Liabilities And Stockholders Equity,- -,809900000,902200000,978300000,1039000000,1492900000,1394500000,1432300000,1505500000,1669400000,1849600000,2081800000,2213200000,2364500000,2649300000,2751800000,3073800000,3293300000,3748100000,4061618000,4168055000,4879842000,4749935000,4984513000,1757380000,1826652000,1577917000,1250020000,1095314000
69,Minority Interest,- -,- -,- -,-100000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,5987000,6227000,6034000,2215000,1087000,1611000,1157000,466000
70,Total Liabilities & Equity,- -,809900000,902200000,978200000,1039000000,1492800000,1394500000,1432300000,1505500000,1669400000,1849600000,2081800000,2213200000,2364500000,2649300000,2751800000,3073800000,3293400000,3748100000,4061618000,4168055000,4885829000,4756162000,4990547000,1759595000,1827739000,1579528000,1251177000,1095780000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/98222/000095013494000502/0000950134-94-000502-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98222/000089924300001081/0000899243-00-001081-index.html,- -,https://www.sec.gov/Archives/edgar/data/98222/000102140802005737/0001021408-02-005737-index.html,https://www.sec.gov/Archives/edgar/data/98222/000119312503001391/d10k.htm,https://www.sec.gov/Archives/edgar/data/98222/000119312504066274/d10k.htm,https://www.sec.gov/Archives/edgar/data/98222/000119312505125175/d10k.htm,https://www.sec.gov/Archives/edgar/data/98222/000119312506121048/d10k.htm,https://www.sec.gov/Archives/edgar/data/98222/000119312507123360/0001193125-07-123360-index.html,https://www.sec.gov/Archives/edgar/data/98222/000119312508125425/0001193125-08-125425-index.html,https://www.sec.gov/Archives/edgar/data/98222/000119312509111537/0001193125-09-111537-index.html,https://www.sec.gov/Archives/edgar/data/98222/000119312510125172/0001193125-10-125172-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98222/000143774921010450/0001437749-21-010450-index.htm,https://www.sec.gov/Archives/edgar/data/98222/000143774922005725/0001437749-22-005725-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,24200000,42600000,76200000,146000000,315500000,210700000,76600000,86100000,136200000,88600000,41700000,101300000,235800000,356600000,348800000,406900000,259500000,105616000,87411000,150750000,140255000,-65190000,-160183000,-660118000,-171517000,-141743000,-196242000,-128969000
74,Depreciation and Amortization,- -,83700000,86600000,82400000,82300000,91400000,94800000,82500000,79500000,78100000,83200000,98500000,99600000,107500000,116200000,120800000,126200000,130200000,140576000,138356000,147299000,167480000,175204000,182309000,167291000,51332000,77045000,73030000,73223000
75,Deferred Income Tax,- -,4800000,4400000,16200000,19000000,-1600000,-29900000,7000000,8900000,12400000,6100000,-17800000,-33900000,55600000,7000000,6700000,12900000,600000,-6849000,-23754000,-11733000,-34709000,-72389000,-6796000,-2200000,572000,672000,1224000,-1287000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,446000,465000,1845000,3248000,8115000,11473000,10868000,8740000,15482000,14340000,19416000,19642000,21374000,13219000,3278000,13406000,19603000,5117000,5638000
77,Change in Working Capital,- -,-45300000,23500000,50800000,-59100000,83700000,130300000,-123900000,-52100000,-11700000,11300000,-16700000,277400000,171600000,-153100000,-600000,-50200000,14600000,59671000,-213710000,177067000,-31947000,-1522395000,-51612000,1812478000,-100105000,-173328000,-146149000,-7444000
78,Accounts Receivable,- -,8400000,-5200000,1300000,-43100000,-70900000,20500000,89000000,-11700000,-21900000,22058000,-4953000,-5691000,-64521000,-38335000,-22012000,-14222000,-20458000,15272000,-33650000,-82450000,13485000,-43537000,71540000,104829000,- -,- -,- -,- -
79,Inventory,- -,-200000,-1700000,5000000,-4700000,4500000,3500000,2600000,-3200000,500000,- -,- -,- -,- -,- -,- -,- -,- -,-4511000,-3102000,-8498000,5715000,6148000,13672000,2285000,-1955000,2425000,2588000,1365000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-565000,990000,6655000,17431000,22252000,17330000,9468000,-12657000,3504000,-2423000,-25924000,-1395000,-22989000,-4881000,-17531000,-15174000,-4438000,-10520000,3807000
81,Other Working Capital,- -,99700000,123200000,174000000,114900000,198600000,328900000,205000000,152900000,141200000,152500000,135800000,413200000,584800000,431700000,431100000,380900000,395500000,455171000,241461000,418528000,386581000,-1135814000,-1187426000,625052000,524947000,351619000,205470000,-32089000
82,Other Non-Cash Items,- -,68300000,-17900000,-46400000,17300000,-142900000,-151500000,192900000,28500000,-21100000,12354000,22835000,-286145000,-290148000,100285000,2327000,19732000,-85340000,-50290000,219778000,-268876000,-156104000,1822109000,276423000,-1290908000,210253000,186328000,267006000,73845000
83,Cash Provided by Operating Activities,- -,135700000,139200000,179200000,205500000,346100000,254400000,235100000,150900000,193900000,202000000,129000000,160100000,283600000,435100000,489500000,526400000,328300000,264206000,222421000,213923000,104617000,358713000,253360000,29821000,3941000,-31423000,3986000,15006000
84,CAPEX,- -,-53300000,-299700000,-46100000,-58000000,-82500000,-48300000,-57400000,-302800000,-317900000,-269620000,-297515000,-207391000,-172408000,-235182000,-354022000,-473675000,-451973000,-615289000,-357110000,-440572000,-594695000,-364194000,-194485000,-25499000,-21391000,-17998000,-14900000,-8951000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-127737000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,7500000,26100000,25500000,23700000,-204000000,-46100000,71800000,43900000,17700000,13720000,12115000,18291000,225608000,83982000,82022000,39575000,153473000,45346000,42029000,27085000,318747000,132776000,59489000,40362000,89921000,28847000,38296000,34010000
89,Cash Used for Investing Activites,- -,-45800000,-273600000,-20600000,-34300000,-286500000,-94400000,14400000,-258900000,-300200000,-255900000,-285400000,-189100000,53200000,-151200000,-272000000,-434100000,-298500000,-569943000,-315081000,-413487000,-403685000,-231418000,-134996000,14863000,68530000,10849000,23396000,25059000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,-285000000,-58000000,-110000000,-5000000,-45723000,-10059000,- -,-190000000,-40000000,-60000000,-1103054000,-97823000,-136843000,-10069000,-121665000,-133693000,-98080000,-198918000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8695000,4590000,7474000,29645000,23156000,43645000,3977000,- -,- -,- -,- -,- -,- -,- -,- -,3000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,4200000,-80400000,-57100000,-108700000,400000,9700000,2700000,8700000,4600000,7500000,8900000,-108600000,-266400000,-49700000,1900000,-19988000,-35015000,-85034000,- -,-99999000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-21200000,-21300000,-25300000,-35400000,-36400000,-34400000,-33400000,-33500000,-33700000,-33900000,-34000000,-34300000,-34600000,-33900000,-32700000,-51500000,-51700000,-51478000,-51261000,-49588000,-49816000,-48834000,-35388000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-70800000,63600000,-132000000,-43000000,17700000,-31400000,- -,- -,54000000,101305000,466010000,104126000,-45000,-11856000,-39922000,-4518000,-7700000,589853000,293926000,114045000,1471728000,137570000,653737000,-6649000,-6400000,-15869000,-1685000,157904000
95,Cash Used/Provided by Financing Activities,- -,-92000000,42300000,-153100000,-158800000,-75800000,-174500000,-33000000,-23800000,23000000,59800000,156200000,26800000,-106100000,-136200000,-341100000,-111800000,-57500000,328387000,167650000,-80577000,318858000,-109086000,481506000,-16718000,-128062000,-149562000,-99765000,-41014000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-2200000,-92100000,5500000,12300000,-16200000,-14600000,216500000,-131800000,-83300000,5900000,-100000,-2300000,230700000,147700000,-123600000,-19400000,-27700000,22650000,74990000,-280141000,19790000,18209000,599870000,27966000,-55591000,-170136000,-72383000,-949000
98,Cash at the End of Period,- -,106800000,14700000,20200000,41100000,24900000,10400000,226900000,95100000,11900000,17800000,17700000,15300000,246100000,393800000,270200000,250800000,223100000,245720000,320710000,40569000,60359000,78568000,678438000,706404000,397744000,227608000,155225000,154276000
99,Cash at the Beginning of Period,- -,109000000,106800000,14700000,28800000,41100000,25000000,10400000,226900000,95200000,11900000,17800000,17600000,15400000,246100000,393800000,270200000,250800000,223070000,245720000,320710000,40569000,60359000,78568000,678438000,453335000,397744000,227608000,155225000
100,Free Cash Flow,- -,82400000,-160500000,133100000,147500000,263600000,206100000,177700000,-151900000,-124000000,-67600000,-168500000,-47300000,111200000,199900000,135500000,52700000,-123700000,-351083000,-134689000,-226649000,-490078000,-5481000,58875000,4322000,-17450000,-49421000,-10914000,6055000
