,https://roic.ai/company/PRTY,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,59631000,- -,94624000,82890000,80515000,83630000,85168000,78575000,81116000,76506000,65610000
75,Deferred Income Tax,5208000,- -,-25599000,-13758000,-6178000,3401000,-102651000,4573000,-47366000,-95085000,-5155000
76,Stock Based Compensation,1397000,- -,2137000,1583000,3042000,3853000,8342000,3195000,4180000,13076000,228000
77,Change in Working Capital,161581000,- -,8169000,67688000,-80927000,4777000,-192933000,117766000,-113195000,-103820000,33041000
78,Accounts Receivable,-8006000,- -,-7356000,-7202000,6868000,-5898000,1153000,-10431000,-2600000,22396000,-10673000
79,Inventory,14979000,- -,-2040000,-55786000,15515000,-42819000,37175000,-142866000,72385000,184924000,-34236000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85306000
81,Other Working Capital,387858000,- -,396027000,463715000,382788000,387565000,194632000,312398000,199203000,95383000,128424000
82,Other Non-Cash Items,-142828000,- -,52468000,-58139000,73301000,44662000,254655000,-225103000,651453000,714761000,-35207000
83,Cash Provided by Operating Activities,161264000,- -,135818000,136387000,80212000,257800000,267921000,101856000,43693000,77200000,51935000
84,CAPEX,-44483000,- -,-61241000,-78241000,-78825000,-81948000,-66970000,-85661000,-61733000,-51128000,-79222000
85,Acquisitions Net,- -,- -,- -,- -,-23000000,-32000000,-75000000,-65000000,-21000000,- -,-6954000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-138909000,- -,-112522000,-89632000,-77136000,-81733000,-66645000,-85907000,184675000,-54271000,-58666000
89,Cash Used for Investing Activites,-138909000,- -,-112522000,-89632000,-100136000,-113733000,-141645000,-150907000,163675000,-54271000,-65395000
90,Debt Repayment,-29215000,- -,-1392681000,-1374017000,-2561594000,-1521218000,-234619000,-547695000,-441632000,-254438000,-1106000
91,Common Stock Issued,- -,- -,- -,- -,397159000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-286733000,-40197000,-156000,-96000,- -
93,Dividends Paid,- -,- -,-338015000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9431000,- -,1712323000,1350487000,2183376000,1401478000,381390000,644062000,204078000,348238000,-88019000
95,Cash Used/Provided by Financing Activities,-19784000,- -,-18373000,-23530000,18941000,-119740000,-139962000,56170000,-237710000,93704000,-89125000
96,Effect of Forex Changes on Cash,-972000,- -,-177000,-1656000,-3312000,-2636000,3367000,-2308000,6299000,-500000,190000
97,Net Change In Cash,1599000,- -,4746000,21569000,-4295000,21691000,-10319000,4811000,-24043000,84505000,-70767000
98,Cash at the End of Period,22053000,- -,25645000,47214000,42919000,64610000,54291000,59219000,35176000,119681000,48914000
99,Cash at the Beginning of Period,20454000,- -,20899000,25645000,47214000,42919000,64610000,54408000,59219000,35176000,119681000
100,Free Cash Flow,116781000,- -,74577000,58146000,1387000,175852000,200951000,16195000,-18040000,26072000,-27287000
101,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1592058/000119312516501808/0001193125-16-501808-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000119312517083893/0001193125-17-083893-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000119312518082430/0001193125-18-082430-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000119312519057714/0001193125-19-057714-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000119312520071738/0001193125-20-071738-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000156459021012608/0001564590-21-012608-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000095017022002280/0000950170-22-002280-index.htm
102,false,,,,,,,,,,,
