,https://roic.ai/company/AFTM,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
69,Minority Interest,133788,- -,- -,- -,-1660,4203,2130,220,-3530,-3275,-5407,-4243,1549,-6210,4705,5886,-5,1,2,10000,- -
70,Total Liabilities & Equity,530973,885033,211594,18,- -,- -,- -,590000,1760000,2110000,1980000,2870000,2700000,950000,800000,390000,6817980,1993460,1494330,1150760,1093450
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/836809/000119983512000711/0001199835-12-000711-index.htm,https://www.sec.gov/Archives/edgar/data/836809/000119983513000660/0001199835-13-000660-index.htm,https://www.sec.gov/Archives/edgar/data/836809/000119983514000488/0001199835-14-000488-index.html,https://www.sec.gov/Archives/edgar/data/836809/000119983515000451/0001199835-15-000451-index.html,https://www.sec.gov/Archives/edgar/data/836809/000165495416002435/0001654954-16-002435-index.html,https://www.sec.gov/Archives/edgar/data/836809/000165495417008923/0001654954-17-008923-index.html,https://www.sec.gov/Archives/edgar/data/836809/000165495418011177/0001654954-18-011177-index.htm,https://www.sec.gov/Archives/edgar/data/836809/000119983519000021/form-10k.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1021145,-1059775,-1515774,-120000,-110000,-110000,-110000,-5630000,-8620000,-6600000,-5330000,-9100000,-7480000,-4470000,-5330000,-11180320,-5619750,-8518360,-4253200,-9302740
74,Depreciation and Amortization,- -,426553,209696,241140,- -,- -,- -,- -,8968,45099,138132,235832,340900,493137,214952,114330,67415,83620,178630,158507,84448
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2896823,3613676,1120847,1092227,906581,2360698,1152029,399495,600817,545502
77,Change in Working Capital,- -,-288187,125449,181693,118590,85863,57927,-925651,257795,176032,987996,-565693,644557,824199,174373,1152236,3325892,4971005,2253231,2411892,1816906
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85714,-106617,179492
79,Inventory,- -,4822,5002,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-104891,104891,-306762
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1250908,365297
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-6400,- -,- -,- -,-26463,- -,527219,140218,53220,2104169,4218648,1298578,-259977,2421
82,Other Non-Cash Items,- -,114563,- -,860181,1192,24137,52073,2026,4545829,5810076,2592466,71313,1596533,1917246,1329079,1574141,2617478,-4394087,1583677,-1299337,4438628
83,Cash Provided by Operating Activities,- -,-768216,-724630,-232760,-218,- -,- -,-1033625,-817408,-2588793,-2881406,-2691725,-2904334,-3124571,-1659369,-1582712,-2808837,-3807183,-4103327,-2381321,-2417256
84,CAPEX,- -,-1071,-3585,- -,- -,- -,- -,- -,-993807,-398475,-648559,-512038,-874707,-113139,-115802,-58500,-83253,-284556,-181096,-8575,-1907
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270000,- -
88,Other Investing Activites,- -,-49702,-39651,-32169,- -,- -,- -,- -,- -,-34744,-35215,80000,90470,- -,- -,- -,- -,- -,-31800,-3150,- -
89,Cash Used for Investing Activites,- -,-50773,-43236,-32169,- -,- -,- -,- -,-993807,-433219,-648559,-432038,-784237,-113139,-115802,-58500,-83253,-284556,-181096,261425,-1907
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7270,-4833,-255000,-100000,-210000,-72000,-44000,-67500,-247500,-1271000,-282749
91,Common Stock Issued,- -,975500,108160,15000,- -,- -,- -,939883,1899500,3152544,2061074,2401643,1001912,436869,700915,966565,4516632,175914,1897725,642750,281500
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,99803,385000,248320,200,- -,- -,93948,328744,-156659,1523185,920459,2559157,2750000,1349877,659265,527284,2191948,2490601,2887609,2396350
95,Cash Used/Provided by Financing Activities,- -,1075303,493160,263320,200,- -,- -,1033831,2228244,2995885,3576989,3317269,3306069,3086869,1840792,1553830,4999916,2300362,4140826,2259359,2395101
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,256314,-274706,-1609,200,- -,- -,1033831,417029,-26127,47024,193506,-382502,-150841,65621,-87382,2107826,-1791377,-143597,139463,-24062
98,Cash at the End of Period,- -,276333,1627,18,- -,- -,- -,207,417236,391109,439474,632980,250478,99637,165258,77876,2185702,394325,250728,390191,366129
99,Cash at the Beginning of Period,- -,20019,276333,1627,18,- -,- -,- -,207,417236,392450,439474,632980,250478,99637,165258,77876,2185702,394325,250728,390191
100,Free Cash Flow,- -,-769287,-728215,-232760,-218,- -,- -,-1033625,-1811215,-2987268,-3529965,-3203763,-3779041,-3237710,-1775171,-1641212,-2892090,-4091739,-4284423,-2389896,-2419163
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/836809/000119983512000711/0001199835-12-000711-index.htm,https://www.sec.gov/Archives/edgar/data/836809/000119983513000660/0001199835-13-000660-index.htm,https://www.sec.gov/Archives/edgar/data/836809/000119983514000488/0001199835-14-000488-index.html,https://www.sec.gov/Archives/edgar/data/836809/000119983515000451/0001199835-15-000451-index.html,https://www.sec.gov/Archives/edgar/data/836809/000165495416002435/0001654954-16-002435-index.html,https://www.sec.gov/Archives/edgar/data/836809/000165495417008923/0001654954-17-008923-index.html,https://www.sec.gov/Archives/edgar/data/836809/000165495418011177/0001654954-18-011177-index.htm,https://www.sec.gov/Archives/edgar/data/836809/000119983519000021/form-10k.htm
102,false,,,,,,,,,,,,,,,,,,,,,
